method,ec_class,class_mcc,overall_mcc,overall_precision,overall_recall,coverage,total_support
SelenzymeRF,1,0.7753751940266443,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
SelenzymeRF,2,0.8803424796905975,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
SelenzymeRF,3,0.7063866791182345,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
SelenzymeRF,4,0.8380314518157064,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
SelenzymeRF,5,0.8676215602364287,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
SelenzymeRF,6,0.636201705050908,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
SelenzymeRF,7,,0.807032749695792,0.8014121529298538,0.8421052631578947,1.0,494
BEC-Pred,1,0.8179318641276648,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BEC-Pred,2,0.8444017987407871,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BEC-Pred,3,0.7714672819829751,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BEC-Pred,4,0.727726271065847,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BEC-Pred,5,0.7493047240158235,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BEC-Pred,6,0.782522685091904,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BEC-Pred,7,,0.8054528613801694,0.8116455465676875,0.819838056680162,1.0,494
BridgIT,1,0.24592580712125853,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
BridgIT,2,0.21195959313072218,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
BridgIT,3,0.34406418717464876,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
BridgIT,4,0.1885087151318642,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
BridgIT,5,0.0,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
BridgIT,6,0.4044763921102394,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
BridgIT,7,,0.23529507590208967,0.3094412335303024,0.20445344129554655,0.3805668016194332,494
Theia,1,0.9031180021524934,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
Theia,2,0.915880442190691,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
Theia,3,0.9016581324090298,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
Theia,4,0.8975332986806956,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
Theia,5,0.8924056994497391,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
Theia,6,0.9373732251521298,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
Theia,7,,0.9070199285517604,0.9064291028359854,0.9149797570850202,1.0,494
E-zyme1,1,0.4249040184347973,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme1,2,0.6325008837334056,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme1,3,0.42580067854902653,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme1,4,0.6326423842746582,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme1,5,0.40703426070696713,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme1,6,0.32758068203731494,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme1,7,,0.5122491271760988,0.4780709359764404,0.6356275303643725,0.9251012145748988,494
E-zyme2,1,0.35452504546912317,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
E-zyme2,2,0.5708729522101633,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
E-zyme2,3,0.38531176960780167,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
E-zyme2,4,0.41747562302079044,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
E-zyme2,5,0.2564153586659373,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
E-zyme2,6,0.4715599540143941,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
E-zyme2,7,,0.43525904193988024,0.36405911013691344,0.6052631578947368,0.9433198380566802,494
SIMMER,1,0.3313441237441992,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
SIMMER,2,0.7031428724091426,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
SIMMER,3,0.5405138071342003,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
SIMMER,4,0.7545632013819051,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
SIMMER,5,0.4844148947483324,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
SIMMER,6,0.4281832639383091,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
SIMMER,7,,0.5392301763253148,0.5711532816036864,0.5425101214574899,0.8825910931174089,494
