method,n_reactions,ec_class,class_mcc,overall_mcc,overall_precision,overall_recall,total_support
SelenzymeRF,951,1,0.6116181867967609,0.5901080911675307,0.6158695641540761,0.616266944734098,959
SelenzymeRF,951,2,0.7388558600686763,0.5901080911675307,0.6158695641540761,0.616266944734098,959
SelenzymeRF,951,3,0.5228270849112535,0.5901080911675307,0.6158695641540761,0.616266944734098,959
SelenzymeRF,951,4,0.3313540967803179,0.5901080911675307,0.6158695641540761,0.616266944734098,959
SelenzymeRF,951,5,0.40517390757312327,0.5901080911675307,0.6158695641540761,0.616266944734098,959
SelenzymeRF,951,6,0.5140208191594002,0.5901080911675307,0.6158695641540761,0.616266944734098,959
BEC-Pred,951,1,0.793026272711172,0.8578413890439465,0.866641155934258,0.8654848800834203,959
BEC-Pred,951,2,0.9163641511151486,0.8578413890439465,0.866641155934258,0.8654848800834203,959
BEC-Pred,951,3,0.866770394179509,0.8578413890439465,0.866641155934258,0.8654848800834203,959
BEC-Pred,951,4,0.8568108519712467,0.8578413890439465,0.866641155934258,0.8654848800834203,959
BEC-Pred,951,5,0.7631179139333643,0.8578413890439465,0.866641155934258,0.8654848800834203,959
BEC-Pred,951,6,0.7359446294329043,0.8578413890439465,0.866641155934258,0.8654848800834203,959
SIMMER,951,1,0.43178692055649637,0.6656615716981371,0.6794489442954639,0.6819603753910324,959
SIMMER,951,2,0.8051893799049515,0.6656615716981371,0.6794489442954639,0.6819603753910324,959
SIMMER,951,3,0.6806865139736933,0.6656615716981371,0.6794489442954639,0.6819603753910324,959
SIMMER,951,4,0.7010123674427162,0.6656615716981371,0.6794489442954639,0.6819603753910324,959
SIMMER,951,5,0.6437915824849916,0.6656615716981371,0.6794489442954639,0.6819603753910324,959
SIMMER,951,6,0.4825456186791798,0.6656615716981371,0.6794489442954639,0.6819603753910324,959
BridgIT,951,1,0.6012191283682912,0.6728686240723181,0.7142859447681777,0.6819603753910324,959
BridgIT,951,2,0.8451932725895712,0.6728686240723181,0.7142859447681777,0.6819603753910324,959
BridgIT,951,3,0.7435542322728441,0.6728686240723181,0.7142859447681777,0.6819603753910324,959
BridgIT,951,4,0.4000590857898377,0.6728686240723181,0.7142859447681777,0.6819603753910324,959
BridgIT,951,5,0.12980012416069495,0.6728686240723181,0.7142859447681777,0.6819603753910324,959
BridgIT,951,6,0.9223765641982304,0.6728686240723181,0.7142859447681777,0.6819603753910324,959
CLAIRE,951,1,0.44511516639282833,0.5995124954640194,0.6901493455813107,0.5787278415015641,959
CLAIRE,951,2,0.6662689316924626,0.5995124954640194,0.6901493455813107,0.5787278415015641,959
CLAIRE,951,3,0.6728025642097017,0.5995124954640194,0.6901493455813107,0.5787278415015641,959
CLAIRE,951,4,0.5069032119646623,0.5995124954640194,0.6901493455813107,0.5787278415015641,959
CLAIRE,951,5,0.7178226280601548,0.5995124954640194,0.6901493455813107,0.5787278415015641,959
CLAIRE,951,6,0.5705525322918676,0.5995124954640194,0.6901493455813107,0.5787278415015641,959
SelenzymeRF2_SelenzymeRF2,951,1,0.32130719915740086,0.39856224951175745,0.44587878881477394,0.44525547445255476,959
SelenzymeRF2_SelenzymeRF2,951,2,0.6556352439738832,0.39856224951175745,0.44587878881477394,0.44525547445255476,959
SelenzymeRF2_SelenzymeRF2,951,3,0.27585258218336767,0.39856224951175745,0.44587878881477394,0.44525547445255476,959
SelenzymeRF2_SelenzymeRF2,951,4,0.12711706647846285,0.39856224951175745,0.44587878881477394,0.44525547445255476,959
