reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R09385,1.14.13.107,1.14.13,1.14.13.107;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3,1.5.1;1.1.1,1.14.13;1.14.14;3.3.2;3.1.7;1.14.15,1.14.13.239;1.13.11.48;1.13.12.23;1.13.99.1,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.14.13,1.14.13
R11842,4.2.3.177,4.2.3,2.5.1.39;2.5.1.20,4.2.3,5.5.1;4.2.3;5.3.3;2.5.1;4.3.2,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20,,4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.1.99;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3,4.2.3,4.2.3
R00430,2.7.1.40,2.7.1,2.7.1.40;2.7.9.1;2.7.3.9,2.7.7;2.7.1,2.7.1;2.7.9;4.1.1;2.5.1;2.7.4,2.7.7.96;2.7.1.40;2.7.3.3;2.7.14.1;2.7.2.2;6.3.5.5;2.7.11.7;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1,,,2.7.1,2.7.1
R00764,2.7.1.90,2.7.1,2.7.1.90;3.1.3.11,3.1.3,2.7.1;3.1.3;2.4.1;2.7.8;2.3.1,,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;3.1.5;2.7.99;2.4.1;5.1.3;1.19.6;3.-.-,2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.8,2.7.1,2.7.1
R09739,7.2.1.3,1.3.2,7.2.1.3;1.16.3.1;2.1.1.342;1.16.1.9;1.14.14.18,,1.5.5;1.6.5;1.10.3;1.8.5;1.11.1,,,,1.11.1,1.3.2|1.5.5|7.2.1
R03396,1.1.1.135|1.1.1.187,1.1.1,1.1.1.133;1.1.1.271;1.1.1.135|1.1.1.187;1.1.1.187|1.1.1.281;1.1.1.339|1.1.1.344;1.1.1.266;1.1.1.364;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17,1.1.1,1.1.1;1.6.5;1.1.5;1.14.13;1.8.1,,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-,1.1.1,1.1.1
R09637,2.5.1.63,2.1.1,2.5.1.63;2.5.1.94;2.5.1.6,2.5.1,2.5.1;2.1.1;2.6.1;4.1.1;5.3.99,,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.8.3;1.3.1;3.7.1;1.1.1;1.8.1;4.5.1,1.1.99,2.5.1,2.5.1
R07276,2.6.1.79,2.6.1,2.6.1.1|2.6.1.79;2.6.1.1|2.6.1.57|2.6.1.78;2.6.1.27;2.6.1.7;2.6.1.1|2.6.1.27|2.6.1.42|2.6.1.5|2.6.1.57|2.6.1.9,2.6.1,2.6.1;5.3.1;2.7.8;2.3.1;2.4.1,2.6.1.79;2.6.99.2;2.7.8.29,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,2.6.1;2.6.1;1.4.1;2.6.1;1.5.1;4.4.1;1.4.3;1.4.3;1.4.1;1.5.1;1.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.3;1.4.3;2.6.1;1.4.1;1.4.1;1.4.99;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1;1.4.3;4.3.1,2.6.1,2.6.1
R09299,2.4.1.-,2.5.1,1.11.1.14;1.17.4.2;1.14.13.242;1.11.1.16;1.17.4.1,,2.1.1;2.5.1;1.13.11;1.14.12;2.3.2,,,,2.5.1,2.5.1
R05277,1.7.1.-,2.5.1,1.7.1.6;1.7.1.17|1.7.1.6,3.5.1,1.7.1;1.7.-;2.6.1;2.3.2;1.14.99,,,,1.7.1,1.7.1
R02243,4.1.1.6,4.1.1,5.5.1.1;2.3.1.180,4.1.1,4.1.1;5.3.3;4.2.1;2.3.1;1.3.3,4.1.1.11;4.1.3.16;4.1.2.18;4.2.1.155;1.3.8.6;1.1.1.381;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;4.1.1,4.1.1,4.1.1
