reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R00357,1.4.3.2|1.4.3.16,1.4.3,1.4.3;1.13.12;1.1.3;1.6.3,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.1.3.15;1.14.18.1,2.6.1,1.4.3;1.4.1;1.4.9;1.4.11;4.3.1,1.4.3.1;1.1.5.4;1.1.3.15;1.5.3.21;1.5.99.6;1.4.9.2;1.1.99.9;1.4.4.2;1.4.1.21;1.5.1.22,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,1.4.3;1.4.3;2.6.1;2.6.1;2.6.1;1.4.99;1.4.1;2.6.1;1.4.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.1;1.4.1;2.6.1;1.4.1,1.4.3,1.4.3
R10835,2.4.1.324,2.4.1,2.4.1;3.2.1;2.4.2;3.1.3,2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.245;2.4.1.15;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.266;2.4.1.202;2.4.1.22;2.4.1.-|2.4.1.284;2.4.1.85;2.4.1.173,2.4.1,2.4.1;3.2.1;5.1.3;2.7.7;2.4.2,2.4.1.324;2.4.2.9;2.4.99.1,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R10532,4.2.1.146,4.2.1,4.2.1;4.4.1;5.4.4;1.14.14,4.2.1.140|4.2.1.39|4.2.1.82;4.2.1.68|4.2.1.7;4.2.1.8;4.2.1.146|4.2.1.68;4.2.1.140|4.2.1.39|4.2.1.6,4.2.1;5.3.1,4.2.1;5.3.99;1.1.1;5.5.1;3.2.1,3.1.1.17;3.1.3.18;3.11.1.2;3.6.1.7;3.1.2.16;4.2.3.1;3.1.6.17;3.1.4.2;3.7.1.8;4.2.1.155;2.3.1.85;3.2.1.175;3.1.7.5;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14,,4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;3.1.3;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1;4.3.1;5.1.3;1.1.1;4.2.1;5.1.2;5.3.1;4.2.1;1.1.1;4.2.1;4.2.1;4.2.3;1.14.13;1.1.1;1.14.99;4.2.3;4.2.3,4.2.1,4.2.1
R12161,2.5.1.147,2.1.1,6.3.3;6.3.4;3.5.2;6.3.2,2.5.1.78,2.5.1,2.5.1;4.3.1;4.1.99;4.3.3;1.3.98,,4.1.99;4.2.3,1.4.1;1.4.3,2.5.1,2.5.1
R08869,2.7.8.23,4.1.1,2.4.2;2.4.1;2.7.8;3.6.1,2.7.8.23;2.3.1.180,2.7.8,2.7.8;6.5.1;2.7.4;6.2.1;2.A.3,2.2.1.6;1.2.4.4;4.1.1.1,2.7.8,2.7.8,2.7.8,2.7.8
R02360,3.2.1.15|3.2.1.82,3.2.1,3.2.1;3.6.1;3.1.3;2.4.1,2.4.1.43;2.4.1.17;3.2.1.15|3.2.1.67,3.2.1,3.2.1;3.4.11;3.1.4;3.1.1;3.4.13,,,4.2.2;1.13.99;5.1.3;1.1.1;1.1.1;1.1.1;5.3.99,3.2.1,3.2.1
R13099,4.2.3.206,4.2.3,4.2.3;5.5.1;3.1.7;3.1.3,2.5.1.41;2.5.1.62;2.5.1.89;2.5.1.31;2.5.1.81;1.3.1.83;2.5.1.-|2.5.1.32,4.2.3,4.2.3;5.5.1;4.3.2;3.1.7;4.1.99,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20,2.2.1;4.1.2;1.2.4;2.3.1,2.2.1;2.2.1,4.2.3,4.2.3
R10446,1.14.11.39,1.14.11,6.3.5;6.3.4;1.2.1;2.7.2,1.14.11.13;1.13.11.15;1.14.13.1;4.1.1.68;4.1.1.77;1.13.11.1;1.14.14.36;4.1.1.55;1.13.11.16;4.1.1.98,1.14.11,1.14.11;1.4.11;1.14.20;2.6.1;3.4.-,,1.14.11;1.14.13;1.14.15;1.17.1;1.14.99;1.14.14;1.14.-;2.5.1;1.5.8;1.17.99;2.1.1;4.3.2;1.5.3,4.2.1;1.14.14;1.14.14;4.2.1;4.2.1;1.14.11;5.1.99;4.2.3;5.1.99;1.14.11;1.14.14;1.14.14;1.14.11;4.2.1;4.2.1;4.2.1;4.2.1;4.2.1,1.14.11,1.14.11
R02161,7.1.1.8,1.1.2,7.1.1;1.14.18;1.6.5;1.10.3,1.6.5.2,3.1.1,1.10.2;1.1.2;1.1.5;1.6.5;1.7.3,,1.10.3;1.6.5;1.10.2;1.14.18;1.1.3;1.12.5,1.1.5;1.8.5;1.14.13;1.10.9;1.14.13;1.14.13;1.10.9;2.1.1;1.14.18;1.10.3,1.6.5,1.1.2
R10966,2.5.1.121,2.5.1,2.5.1;5.3.99;4.4.1;2.2.1,2.5.1.121;2.5.1.34;2.5.1.39,2.5.1,2.5.1;5.3.3;1.14.15;4.2.99;2.7.8,2.5.1.121;1.3.1.96;2.4.1.85;4.4.1.20;2.4.2.27;2.1.3.12,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;2.1.2;3.3.1;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.8.3;1.3.1;3.7.1;1.1.1;1.8.1;4.5.1,2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.1.1;2.5.1;4.1.99;2.1.1;4.1.99;4.1.2;2.1.1;1.14.13;2.1.1;1.14.13;2.1.1;1.14.13;4.1.1;1.14.13;4.1.1;4.1.1;1.14.13;1.14.13;2.1.1;4.2.1;2.1.1;4.1.1;1.14.13;4.1.1;1.14.21;1.14.13;2.1.1;2.1.1;1.21.3;2.4.1,2.5.1,2.5.1
