Method1,Method2,pval,FDR
BEC-Pred,BridgIT,1.0825088224469e-05,1.49885836954187e-05
BEC-Pred,E-zyme1,1.0825088224469e-05,1.49885836954187e-05
BEC-Pred,E-zyme2,1.0825088224469e-05,1.49885836954187e-05
BEC-Pred,MajorityVoteCore4,0.0630128385546342,0.0708894433739635
BEC-Pred,SIMMER,1.0825088224469e-05,1.49885836954187e-05
BEC-Pred,SelenzymeRF,1.0825088224469e-05,1.49885836954187e-05
BEC-Pred,Theia,0.352681374353201,0.362757985049007
BridgIT,E-zyme1,0.911797181147026,0.911797181147026
BridgIT,E-zyme2,2.16501764489381e-05,2.68760811090266e-05
BridgIT,MajorityVoteCore4,1.0825088224469e-05,1.49885836954187e-05
BridgIT,SIMMER,1.0825088224469e-05,1.49885836954187e-05
BridgIT,SelenzymeRF,1.0825088224469e-05,1.49885836954187e-05
BridgIT,Theia,1.0825088224469e-05,1.49885836954187e-05
E-zyme1,E-zyme2,7.57756175712832e-05,8.79974913731031e-05
E-zyme1,MajorityVoteCore4,1.0825088224469e-05,1.49885836954187e-05
E-zyme1,SIMMER,1.0825088224469e-05,1.49885836954187e-05
E-zyme1,SelenzymeRF,1.0825088224469e-05,1.49885836954187e-05
E-zyme1,Theia,1.0825088224469e-05,1.49885836954187e-05
E-zyme2,MajorityVoteCore4,1.0825088224469e-05,1.49885836954187e-05
E-zyme2,SIMMER,1.0825088224469e-05,1.49885836954187e-05
E-zyme2,SelenzymeRF,1.0825088224469e-05,1.49885836954187e-05
E-zyme2,Theia,1.0825088224469e-05,1.49885836954187e-05
MajorityVoteCore4,SIMMER,1.0825088224469e-05,1.49885836954187e-05
MajorityVoteCore4,SelenzymeRF,1.0825088224469e-05,1.49885836954187e-05
MajorityVoteCore4,Theia,0.279861005867198,0.305302915491489
SIMMER,SelenzymeRF,2.16501764489381e-05,2.68760811090266e-05
SIMMER,Theia,1.0825088224469e-05,1.49885836954187e-05
SelenzymeRF,Theia,1.0825088224469e-05,1.49885836954187e-05
