method,ec_class,mcc_mean,mcc_std,ec_class_name
BEC-Pred,1,0.7730863194009323,0.03075348747810463,Oxidoreductases
BEC-Pred,2,0.8660039113295607,0.027627206204537326,Transferases
BEC-Pred,3,0.7872764951233173,0.03570696922870422,Hydrolases
BEC-Pred,4,0.7979983482059566,0.059160795776655194,Lyases
BEC-Pred,5,0.7085827210140981,0.09636737225704724,Isomerases
BEC-Pred,6,0.5862233569236328,0.11318517588020535,Ligases
BEC-Pred,7,0.0,,Translocases
BridgIT,1,0.3267225164602683,0.030845003261597483,Oxidoreductases
BridgIT,2,0.6779080324948007,0.03285809389574343,Transferases
BridgIT,3,0.6385884852264401,0.06508690501827269,Hydrolases
BridgIT,4,0.3411782569107814,0.08855162227275164,Lyases
BridgIT,5,0.034330499016321736,0.03930581481306389,Isomerases
BridgIT,6,0.5302058044022033,0.10050250980454094,Ligases
BridgIT,7,0.0,,Translocases
E-zyme1,1,0.3391325216979112,0.047785013832610836,Oxidoreductases
E-zyme1,2,0.5867353232544908,0.03450566016898008,Transferases
E-zyme1,3,0.42120648004388483,0.08940600100155394,Hydrolases
E-zyme1,4,0.7084716875144856,0.07271793828447831,Lyases
E-zyme1,5,0.7230490331633195,0.06636566987758917,Isomerases
E-zyme1,6,0.06492099111737966,0.06332177216010137,Ligases
E-zyme1,7,0.0,,Translocases
E-zyme2,1,0.24477974224524135,0.039367676601898834,Oxidoreductases
E-zyme2,2,0.4686261128017565,0.033823107848579406,Transferases
E-zyme2,3,0.5550955319879952,0.06817555485152957,Hydrolases
E-zyme2,4,0.70813427992336,0.0416438604019242,Lyases
E-zyme2,5,0.626310443308353,0.07318313388363774,Isomerases
E-zyme2,6,0.30076790145878973,0.10392716660237246,Ligases
E-zyme2,7,0.0,,Translocases
MajorityVoteCore4,1,0.7912784909732908,0.029035721328964953,Oxidoreductases
MajorityVoteCore4,2,0.8616663985883177,0.028458866507757783,Transferases
MajorityVoteCore4,3,0.8078792550344811,0.03833459143664076,Hydrolases
MajorityVoteCore4,4,0.8466592222983985,0.05152858735777635,Lyases
MajorityVoteCore4,5,0.8353976300537239,0.06929415188431035,Isomerases
MajorityVoteCore4,6,0.6826272205191799,0.1203378914120362,Ligases
MajorityVoteCore4,7,0.0,,Translocases
SIMMER,1,0.38696910114277216,0.039328854576488825,Oxidoreductases
SIMMER,2,0.7137314628266778,0.026282259840427598,Transferases
SIMMER,3,0.5658103157746806,0.06822874959786322,Hydrolases
SIMMER,4,0.6722431784852895,0.05003971004551037,Lyases
SIMMER,5,0.5350852085707023,0.052750840494097895,Isomerases
SIMMER,6,0.4655139879698451,0.10163336283808423,Ligases
SIMMER,7,0.0,,Translocases
SelenzymeRF,1,0.6241676917027047,0.04005913899476509,Oxidoreductases
SelenzymeRF,2,0.7391328533767638,0.02764385942801667,Transferases
SelenzymeRF,3,0.5621203140206996,0.051035517854078234,Hydrolases
SelenzymeRF,4,0.6874864308714896,0.07665532651078322,Lyases
SelenzymeRF,5,0.5988342986519002,0.11925678156809383,Isomerases
SelenzymeRF,6,0.44454521825582133,0.1598642648498244,Ligases
SelenzymeRF,7,0.0,,Translocases
Theia,1,0.8518707898410183,0.022695478278429694,Oxidoreductases
Theia,2,0.7773561048008646,0.03641975982903549,Transferases
Theia,3,0.7891526708431036,0.04472455283835725,Hydrolases
Theia,4,0.8293101719264081,0.03868499076730561,Lyases
Theia,5,0.780745126052555,0.08549588996152264,Isomerases
Theia,6,0.6568666432296298,0.10171188552075755,Ligases
Theia,7,0.0,,Translocases
