reaction_id,true_ec,true_class,BEC-Pred_correct,CLAIRE_correct,SelenzymeRF_correct,SIMMER_correct,Theia_correct,BridgIT_correct,E-zyme1_correct,E-zyme2_correct,MajorityVote_correct,MajorityVoteCore4_correct,n_methods_correct
R11591,1.1.5.12,1,False,False,False,False,False,False,False,False,False,False,0
R01882,3.9.1.1,3,False,False,False,False,False,False,False,False,False,False,0
R00353,2.1.3.1,2,False,False,False,False,False,False,False,False,False,False,0
R12330,6.3.5.13,6,False,False,False,False,False,False,False,False,False,False,0
R00262,5.4.99.1,5,False,False,False,False,False,False,False,False,False,False,0
R01374,1.4.5.1,1,False,False,False,False,False,False,False,False,False,False,0
R01533,3.8.2.2,3,False,False,False,False,False,False,False,False,False,False,0
R12873,6.1.1.13,6,False,False,False,False,False,False,False,False,False,False,0
R12899,2.4.1.315,2,False,False,False,False,False,False,False,False,False,False,0
R12298,2.4.1.-,2,False,False,False,False,False,False,False,False,False,False,0
R06290,1.8.1.15,1,False,False,False,False,False,False,False,False,False,False,0
R07350,1.3.1.74|1.3.1.102,1,False,False,False,False,False,False,False,False,False,False,0
R12683,1.17.99.9,1,False,False,False,False,False,False,False,False,False,False,0
R12866,2.4.1.53,2,False,False,False,False,False,False,False,False,False,False,0
R12062,4.4.1.37,4,False,False,False,False,False,False,False,False,False,False,0
R01930,3.12.1.1,3,False,False,False,False,False,False,False,False,False,False,0
R10220,2.4.99.17,2,False,False,False,False,False,False,False,False,False,False,0
R07618,1.8.1.4,1,False,False,False,False,False,False,False,False,False,False,0
R04180,3.1.4.51,3,False,False,False,False,False,False,False,False,False,False,0
R05796,3.1.1.76,3,False,False,False,False,False,False,False,False,False,False,0
R05318,1.9.98.1,1,False,False,False,False,False,False,False,False,False,False,0
R06270,1.21.98.3,1,False,False,False,False,False,False,False,False,False,False,0
R06277,2.4.1.47,2,False,False,False,False,False,False,False,False,False,False,0
R13433,2.3.2.38,2,False,False,False,False,False,False,False,False,False,False,0
R09320,2.4.1.-,2,False,False,False,False,False,False,False,False,False,False,0
R04648,2.4.3.2,2,False,False,False,False,False,False,False,False,False,False,0
R12802,3.7.1.28,3,False,False,False,False,False,False,False,False,False,False,0
R10537,6.5.1.5,6,False,False,False,False,False,False,False,False,False,False,0
R09497,1.7.5.1,1,False,False,False,False,False,False,False,False,False,False,0
R10541,6.1.2.2,6,False,False,False,False,False,False,False,False,False,False,0
R07459,2.7.7.73|2.7.7.80,2,False,False,False,False,False,False,False,False,False,False,0
R11377,2.4.1.228,2,False,False,False,False,False,False,False,False,False,False,0
R13241,6.7.1.2,6,False,False,False,False,False,False,False,False,False,False,0
R11775,6.1.3.1,6,False,False,False,False,False,False,False,False,False,False,0
R06241,3.5.1.41,3,False,False,False,False,False,False,False,False,False,False,0
R02965,1.12.5.1,1,False,False,False,False,False,False,False,False,False,False,0
R02664,2.7.2.16,2,False,False,False,False,False,False,False,False,False,False,0
R07112,1.14.14.-,1,False,False,False,False,False,False,False,False,False,False,0
R12296,2.4.1.-,2,False,False,False,False,False,False,False,False,False,False,0
R13331,1.14.19.80,1,False,False,False,False,False,False,False,False,False,False,0
R06178,2.4.99.28,2,False,False,False,False,False,False,False,False,False,False,0
R06278,2.4.1.43,2,False,False,False,False,False,False,False,False,False,False,0
R10797,1.17.98.3,1,False,False,False,False,False,False,False,False,False,False,0
R06243,5.4.99.15,5,False,False,False,False,False,False,False,False,False,False,0
R02999,1.16.1.6,1,False,False,False,False,False,False,False,False,False,False,0
R08218,6.1.1.11,6,False,False,False,False,False,False,False,False,False,False,0
R12947,4.3.99.5,4,False,False,False,False,False,False,False,False,False,False,0
R02409,1.8.4.3,1,False,False,False,False,False,False,False,False,False,False,0
R08999,1.14.14.-,1,False,False,False,False,False,False,False,False,False,False,0
R12539,1.14.14.22|1.14.99.46,1,False,False,False,False,False,False,False,False,False,False,0
R11344,1.1.5.11,1,False,False,False,False,False,False,False,False,False,False,0
R02929,6.3.1.6,6,False,False,False,False,False,False,False,False,False,False,0
R04007,1.11.1.7|1.11.1.21,1,False,False,False,False,False,False,False,False,False,False,0
R12951,2.7.1.235,2,False,False,False,False,False,False,False,False,False,False,0
R05276,1.21.1.2,1,False,False,False,False,False,False,False,False,False,False,0
R12602,1.11.1.28,1,False,False,False,False,False,False,False,False,False,False,0
R11407,2.4.1.312,2,False,False,False,False,False,False,False,False,False,False,0
R09298,2.4.3.1,2,False,False,False,False,False,False,False,False,False,False,0
R13196,4.2.99.25,4,False,False,False,False,False,False,False,False,False,False,0
R10660,1.3.4.1,1,False,False,False,False,False,False,False,False,False,False,0
R03877,6.6.1.1,6,False,False,False,False,False,False,False,False,False,False,0
R00507,3.6.2.2,3,False,False,False,False,False,False,False,False,False,False,0
R05218,1.16.8.-,1,False,False,False,False,False,False,False,False,False,False,0
R04564,2.4.3.8,2,False,False,False,False,False,False,False,False,False,False,0
R03295,1.5.5.3,1,False,False,False,False,False,False,False,False,False,False,0
R13344,1.21.3.11,1,False,False,False,False,False,False,False,False,False,False,0
R06073,2.4.1.14,2,False,False,False,False,False,False,False,False,False,False,0
R04273,5.2.1.8,5,False,False,False,False,False,False,False,False,False,False,0
R07619,2.4.1.-,2,False,False,False,False,False,False,False,False,False,False,0
R05746,1.20.1.1,1,False,False,False,False,False,False,False,False,False,False,0
R12080,2.4.1.288,2,False,False,False,False,False,False,False,False,False,False,0
R12953,2.6.1.121,2,False,False,False,False,False,False,False,False,False,False,0
R05227,6.6.1.2,6,False,False,False,False,False,False,False,False,False,False,0
R10974,3.13.1.4,3,False,False,False,False,False,False,False,False,False,False,0
R00381,6.5.1.1|6.5.1.6|6.5.1.7,6,False,False,False,False,False,False,False,False,False,False,0
R12098,3.13.2.3,3,False,False,False,False,False,False,False,False,False,False,0
R00192,3.13.2.1,3,False,False,False,False,False,False,False,False,False,False,0
R13388,1.97.1.14,1,False,False,False,False,False,False,False,False,False,False,0
R13248,4.2.2.29,4,False,False,False,False,False,False,False,False,False,False,0
R12867,6.1.1.13,6,False,False,False,False,False,False,False,False,False,False,0
