seed,method,mcc,ppv,recall,coverage,n_reactions
0,BEC-Pred,0.8755731768186942,0.8944660894660894,0.8772727272727273,1.0,216
0,SelenzymeRF,0.6406261930350426,0.6863413547237077,0.6409090909090909,1.0,216
0,SIMMER,0.6667039900489174,0.6879522497704316,0.6818181818181818,1.0,216
0,Theia,0.8039068938579954,0.8256891392920804,0.8090909090909091,1.0,216
0,BridgIT,0.6208924347655913,0.6927678256087347,0.6181818181818182,1.0,216
0,E-zyme1,0.6510331605221912,0.6660627443792766,0.6772727272727272,1.0,216
0,E-zyme2,0.6524410876382324,0.7382034632034631,0.6227272727272727,1.0,216
0,MajorityVote,0.8800316931570769,0.8913045830980614,0.8863636363636364,1.0,216
0,MajorityVoteCore4,0.8748309654936185,0.8855762562933408,0.8818181818181818,1.0,216
1,BEC-Pred,0.8738989262321993,0.8987387223368531,0.8644859813084113,1.0,211
1,SelenzymeRF,0.7443574712703033,0.7921734029210665,0.7383177570093458,1.0,211
1,SIMMER,0.7065533069295107,0.728375168445262,0.719626168224299,1.0,211
1,Theia,0.8825860186663664,0.9048064085447263,0.8785046728971962,1.0,211
1,BridgIT,0.6786495010214327,0.6908622919136937,0.6915887850467289,1.0,211
1,E-zyme1,0.6122544600230007,0.6396116192157972,0.6401869158878505,1.0,211
1,E-zyme2,0.6613125856165833,0.7499458874458874,0.6308411214953271,1.0,211
1,MajorityVote,0.9147762716163537,0.9269966015293118,0.9158878504672897,1.0,211
1,MajorityVoteCore4,0.9331150599009747,0.9442342226282217,0.9299065420560748,1.0,211
2,BEC-Pred,0.910336602155261,0.9159211159211159,0.9166666666666666,1.0,215
2,SelenzymeRF,0.6838228756566355,0.7200208099513655,0.6898148148148148,1.0,215
2,SIMMER,0.6946406258103612,0.7105719602655877,0.7129629629629629,1.0,215
2,Theia,0.8692968178324122,0.8898189516245071,0.8703703703703703,1.0,215
2,BridgIT,0.611037454951867,0.6030047549069288,0.6435185185185185,1.0,215
2,E-zyme1,0.6292427863031038,0.6524183635294747,0.6666666666666666,1.0,215
2,E-zyme2,0.6780849071897657,0.7363943669499226,0.6666666666666666,1.0,215
2,MajorityVote,0.9185808042258389,0.921493406285073,0.9259259259259259,1.0,215
