reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R02693,2.3.1.73,2.3.1,2.3.1.43;3.1.1.13;2.3.1.22;3.1.1.3,5.4.99,3.1.1;2.3.1;2.4.1;3.1.-;3.2.1,2.3.1.73;2.3.3.17;2.1.3.12;2.3.2.19;6.1.2.2;6.2.1.51;6.3.1.20;6.3.4.10;1.2.1.95;2.1.2.13,2.3.1;3.1.1;6.2.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;4.1.3;2.5.1;2.3.-;2.8.3;4.4.1;2.1.1;1.-.-;6.1.2;3.5.3;1.2.3;2.6.1;6.3.1;6.3.4;2.1.2;2.2.1,3.1.1;3.1.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;3.1.1;2.3.1;2.3.1;3.1.1;3.1.1;2.3.1;2.3.1,2.3.1,2.3.1
R05170,3.5.3.21,3.5.3,2.1.3.3|6.3.4.16,3.5.1,3.2.1;3.5.1;3.1.1;3.5.3;3.5.5,3.5.3.21;3.5.1.84;3.5.2.2;3.5.4.1;3.5.5.1;1.2.7.12;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.22;2.3.2.2;3.13.1.6;4.2.1.48;3.1.1.1;3.4.19.13;3.4.17.8;3.8.1.8;3.4.14.13;2.1.2.3;3.5.99.8;4.3.2.4,3.5.1;3.5.3;2.1.2;6.3.4;2.3.1;3.5.4;6.3.1;6.3.5;6.3.2;2.1.4;1.2.99;2.3.2;2.1.3;3.4.11;3.4.13,3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;6.3.5;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1;1.4.1;3.5.1;3.5.1;3.5.1;6.3.1;3.5.1;3.5.1;6.3.2;3.5.1;6.3.2;3.4.11;3.5.1;3.5.1;6.3.1;6.3.2;3.5.1;3.4.11;3.5.1;2.3.2;3.5.1,3.5.1,3.5.1
R11539,2.8.3.25,2.3.1,2.8.3.25;2.3.1.26;1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134,3.5.1,2.3.1;2.7.4;2.4.1;5.1.3;2.7.8,2.8.3.25;2.8.2.34;2.3.1.187,3.1.2;6.2.1;2.8.3;2.3.1;3.2.1,3.1.2;3.1.2;6.2.1;6.2.1;3.5.1;6.2.1;6.2.1;3.5.1;3.5.1;3.5.1;3.5.1;3.5.1,2.3.1,2.3.1
R02268,5.3.99.5,5.3.99,5.3.99.5;1.1.1|1.1.1.-|1.1.1.188;1.11.1.20;5.3.99.2|5.3.99.3|5.3.99.4;1.14.99.1;1.14.14.1,3.3.2,5.3.99;2.5.1;5.3.1;4.1.1;1.14.99,1.13.11.25;1.13.99.1;1.13.12.3;1.14.13.239,5.3.99;5.1.2;5.99.1,5.3.99,5.3.99,5.3.99
R11395,2.6.1.109,2.6.1,2.6.1.109;1.1.3.48;4.3.1.15;5.3.1.17;5.3.1.34;4.4.1.13;5.3.1.22;2.6.1.-|2.6.1.94;2.6.1.-|2.6.1.93;2.6.1.22;2.6.1.40;2.6.1.29,2.6.1,2.6.1;5.3.1;1.1.99;5.1.3;1.1.2,2.6.1.109;2.6.99.2;2.7.8.29,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.2;1.4.7;1.13.12;4.1.1;1.14.11;2.-.-;4.3.1,2.6.1;2.6.1;2.6.1;2.6.1;2.6.1;2.6.1;2.6.1;2.6.1,2.6.1,2.6.1
R04322,2.4.1.47,2.4.1,2.4.1.47;3.2.1.46|3.2.1.62;3.2.1.45|3.2.1.62;2.7.8.27;3.2.1.23,2.4.1,5.1.3;2.4.2;2.7.7;2.3.1;2.7.6,2.4.1.47;2.4.2.40;2.4.99.18,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.6.1;2.4.2;2.4.2;2.4.2;2.4.99;2.4.2;2.4.99;2.4.2;2.4.1;4.2.3;2.7.8,2.4.1,2.4.1
R10443,3.6.1.5,3.6.1,3.6.1.5;3.6.1.15|3.6.1.5,3.6.1,3.6.1;3.-.-;3.1.4;3.1.3;3.6.4,3.6.1.5;3.6.5.1;3.6.3.55;3.6.4.1;3.1.3.81,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.2.1;1.2.1;1.2.1;1.2.1;1.2.1;1.2.1,3.6.1,3.6.1
R09099,2.1.2.1,2.1.2,2.1.2|2.1.2.-|2.1.2.1,3.5.4,2.1.2;4.3.1;4.2.1;1.4.4;3.4.13,2.3.1.101;2.1.2.1;2.1.1.86;2.1.3.2;2.8.4.4,2.1.2;2.1.1;6.3.4;3.5.1;1.2.99;4.1.2;2.3.1;1.8.1;1.4.4;1.5.1;3.5.4;3.5.3;6.3.3;4.3.-,2.1.2;4.1.2;4.1.2;2.3.1,2.1.2,2.1.2
R08117,6.2.1.33,6.2.1,6.2.1.33;3.1.2.23;6.2.1.2;6.2.1.27;6.2.1.7;3.6.1.5;6.2.1.65|6.2.1.ak;6.2.1.30;6.2.1.12,2.3.1,6.2.1;2.8.3;2.3.1;2.7.2;3.1.2,6.2.1.33;3.1.2.23;4.2.1.155;2.3.1.85,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,6.2.1;6.2.1;3.1.2;2.3.1;6.2.1;2.3.1;2.3.1;3.1.2;6.2.1,6.2.1,6.2.1
R03134,2.5.1.51,2.5.1,2.5.1.51;1.14.14.1,2.6.99;2.5.1,2.5.1;1.14.14;4.2.1;3.1.1;3.5.1,5.5.1.1;4.2.99.12;4.3.1.17;4.2.1.31;2.5.1.119;4.1.1.2;2.3.1.85;3.5.1.110;1.1.1.276;4.2.3.3;1.2.1.31;1.4.1.18;1.3.8.6;3.5.5.4;1.1.3.47;3.2.1.22;3.7.1.21;2.7.8.23;3.1.7.9;3.3.1.1;1.14.13.109;1.17.98.2;4.3.3.3,2.6.1;1.4.1;1.4.3;1.5.1;3.8.1;4.1.3;4.1.1;4.3.1;1.4.7;1.4.99;1.14.14;3.7.1;1.5.3;3.11.1;1.4.2;1.13.12;1.14.11;2.6.3;1.4.5;1.17.4,4.1.2;4.1.2;4.1.3;4.1.3;4.1.3;4.1.3,2.5.1,2.5.1
