reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,BridgIT,E-zyme1,E-zyme2,MajorityVote,MajorityVoteCore4
R02997,3.1.1.42,3.1.1,3.1.1;2.3.1;3.1.2;-,2.3.1.98;3.1.1.42;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.99.35;5.5.1.1;5.5.1.7;3.2.1.14,3.1.1;3.2.1,3.1.1;2.3.1;3.1.2;3.2.1;3.1.-,3.1.1.42;3.1.3.25;3.1.4.44;3.2.1.175;3.7.1.8;4.6.1.13;3.1.6.1;3.1.7.3;3.6.1.20;3.1.2.31;2.4.1.17;2.3.1.85;4.2.3.1;5.1.3.14;3.1.5.1;3.11.1.3;4.2.1.155,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.2;2.3.3;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;1.-.-;4.1.3;2.3.-;2.5.1;2.8.3;4.4.1;2.1.1;6.1.2;1.2.3;2.6.1;3.5.3;6.3.2;6.3.1;6.3.4,2.3.1;2.3.1;2.3.1;2.3.1;2.3.1,2.3.1,3.1.1
R05764,2.1.1.145,2.1.1,2.1.1;2.5.1;2.3.3;4.4.1,2.1.1.197;2.1.1.145;2.1.1.80;2.1.1.77,2.1.1,2.1.1;2.3.1;2.5.1;3.5.1;3.1.1,2.1.1.72;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.5.1;2.3.1,2.1.1,2.1.1
R12636,2.4.3.10,2.4.99,3.2.1;3.2.2;3.1.4;3.1.1,2.4.99.7;2.4.99.2|2.4.99.4;2.4.99.8;2.4.99.3;2.7.8.41;3.6.1.26;3.2.1.18,2.4.1,2.4.99;2.4.1;3.1.3;3.1.4;2.7.7,1.13.99.1;1.14.13.179;1.13.11.25;1.13.12.2,2.4.99;3.2.1;2.4.1;3.1.4,2.4.99;3.6.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;4.2.3;2.4.1;2.4.1;2.4.1;2.4.2;2.4.2;2.4.2;2.4.2;2.4.2;2.4.99;2.4.1,2.4.99,2.4.99
R09680,3.5.1.101,3.5.1,3.5.1;3.4.19;3.1.1;3.2.2,3.5.1.101;3.5.1.1;3.5.3.1;6.3.2.3,3.5.1,3.5.1;3.4.19;3.4.17;2.3.2;4.3.2,3.5.1.101;2.3.2.2;3.5.2.11;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.17.8;3.4.13.4;4.2.1.48;3.4.14.13;3.4.11.1;3.5.5.1;3.4.19.13;3.13.1.6;3.5.3.8;3.1.1.1;3.5.4.1;1.2.7.12;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4,3.5.1;2.3.1;6.3.2;6.3.1;6.3.4;2.3.2;6.3.5;2.1.2;3.4.13;2.1.3;3.4.11;3.5.4;3.4.19;1.4.1;4.3.3;6.2.1;1.4.7;1.2.99;3.5.5;3.1.1;4.3.2;3.5.3;4.2.1;4.3.1;2.6.1;2.4.2;4.1.3,6.2.1,3.5.1,3.5.1
R09099,2.1.2.1,2.1.2,4.4.1;4.2.1;2.3.1;3.1.1,2.1.2|2.1.2.-|2.1.2.1,3.5.4,2.1.2;4.3.1;4.2.1;1.4.4;3.4.13,2.3.1.101;2.1.2.1;2.1.1.86;2.1.3.2;2.8.4.4,2.1.2;2.1.1;6.3.4;3.5.1;1.2.99;4.1.2;2.3.1;1.8.1;1.4.4;1.5.1;3.5.4;3.5.3;6.3.3;4.3.-,2.1.2;4.1.2;4.1.2;2.3.1,2.1.2,2.1.2
R00841,3.1.3.21,3.1.3,3.1.3;3.6.1;3.1.7;3.1.4,2.7.1.30,3.1.3,3.1.3;3.6.1;2.7.1;3.1.4;4.6.1,3.1.3.21;3.1.4.46;4.2.3.1;3.6.1.7;3.11.1.1;3.1.7.6;3.1.1.79;3.1.5.1;4.6.1.13;3.2.1.42;2.4.1.17;5.1.3.14;3.1.6.17;3.1.2.16;2.3.1.85;4.2.1.155;3.7.1.8,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;2.7.99;3.1.5;2.4.1;5.1.3;1.19.6;3.-.-,2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;4.2.3;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;3.1.4;3.1.3;2.7.1;2.7.1;2.7.8;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1,3.1.3,3.1.3
R04373,3.1.4.45,3.5.1,3.6.1;3.1.3;3.2.1;2.4.1,3.1.4.45;3.2.1.49;1.1.1.124|1.1.1.138|1.1.1.14|1.1.1.67|1.1.99.11|1.14.13.50|2.5.1.18|2.5.1.48|2.7.1.-|2.7.1.162|2.7.1.221|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8;2.7.1.157;2.7.1.162,2.4.2;2.4.1,3.1.4;3.1.3;3.6.1;3.2.1;3.4.11,1.11.1.8,2.4.1;3.2.1;2.4.2;3.1.4;6.1.1;4.2.2;5.1.3;6.5.1;3.1.1;2.4.99;4.2.1;3.1.3;3.6.1;2.7.8;4.3.3,2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.99;3.6.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.2;2.4.1;2.4.2;2.4.1;2.4.2;2.4.2;2.4.99;2.4.1;2.4.2;2.4.1;2.4.2;4.2.3;2.7.8,2.4.1,3.1.4
R05409,1.13.11.-,1.13.11,1.13.11;3.3.2;1.14.99;1.13.99,1.13.11.39;1.13.11.2;1.13.11.1;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,1.13.11,1.13.11;6.2.1;1.14.12;2.7.7;1.14.99,1.13.11.39;1.13.12.4;1.13.99.1;1.14.13.239,1.13.11;1.14.99;1.13.-;1.14.13;3.7.1;2.8.1;1.8.1;1.8.99;1.8.7,1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11;1.13.11,1.13.11,1.13.11
R11534,2.1.1.328,2.1.1,2.1.1;2.3.1;2.3.3;2.5.1,2.1.1.328;2.1.1.163,2.1.1,2.1.1;2.3.1;1.14.14;3.5.1;2.6.1,2.1.1.328;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.14.13;1.16.1;1.14.99;1.5.99;1.2.7;3.7.1,2.1.1;2.1.1;2.1.1;1.14.14;2.1.1;1.14.14;2.1.1;2.1.1;2.1.1;2.1.1;2.1.1;1.14.14;2.1.1;2.-.-,2.1.1,2.1.1
R11094,3.5.4.41,3.5.4,3.5.4;2.4.2;3.5.99;1.5.99,3.5.4.46;1.1.1.37,3.5.4,3.5.4;3.5.99;3.3.1;3.4.17;1.11.1,3.5.4.31;2.1.2.3;4.3.2.4;3.5.99.6;3.5.2.3;3.5.3.22;3.5.1.26;3.8.1.8;3.4.14.13;2.3.2.2;3.4.17.21;4.2.1.48;3.4.13.4;3.4.19.13;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.1.1.1;3.5.5.1;3.13.1.6;1.2.7.12,3.5.4;6.3.5;6.3.4;3.5.99;2.1.2,3.5.4;3.5.4;3.5.4;6.3.5;6.3.5;3.5.4;1.1.1;1.1.1;1.7.1;3.5.4;3.5.4;3.5.4;6.3.4;1.17.1;1.17.1;1.17.3;1.17.3;1.17.3;1.17.3;1.14.14;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;2.4.2;3.5.4;3.5.4;3.5.4,3.5.4,3.5.4
