reaction_id,SelenzymeRF,BEC-Pred,SIMMER,BridgIT,CLAIRE,SelenzymeRF2_SelenzymeRF2,CLAIRE2_CLAIRE_EC,E-zyme1,E-zyme2,Theia,EC Number
R00001,2.7.4.6,3.6.1,5.1.3,3.6.1.25;3.1.3.81;3.6.3.55;3.6.5.1;3.6.4.1,3.6.1;3.1.3;3.6.4;3.6.5,2.7.4.6,3.6.1,,,3.2.1;3.4.11;3.1.4;3.1.1;3.4.13,3.6.1.10
R00014,1.2.4.1|2.2.1.6|4.1.1.1,4.1.1,,1.2.4.1;2.2.1.6;4.1.1.1,1.2.4;4.1.1;1.8.1;2.3.1,1.2.4.1|2.2.1.6|4.1.1.1,1.2.4,1.2.4;2.2.1;4.1.1;1.2.7;2.3.1;1.8.1;4.1.2,1.2.4.1|2.2.1.6|4.1.1.1;1.2.4.2;1.2.4.4;1.2.4.4;1.2.4.4,1.2.4;4.1.1;1.2.7;1.4.11;1.8.98,1.2.4.1|2.2.1.6|4.1.1.1
R00022,3.2.1.169;2.7.1.59|5.1.3.8;3.1.4.45;3.2.1.52,3.2.1,3.2.1,1.11.1.8,3.2.1;5.4.1;5.1.3;3.1.2,2.7.1.59|5.1.3.8;3.1.4.45;3.2.1.169;3.2.1.52,3.2.1,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;2.4.99;6.1.1;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,3.2.1.52;3.2.1.108|3.2.1.23;3.2.1.21;3.2.1.20;3.2.1.85;3.2.1.122;2.4.1.245|2.4.1.64|3.2.1.28;3.2.1.23;2.4.1.25|2.4.1.8;2.4.1.20;2.4.1.22;3.2.1.122|3.2.1.93;2.4.1.15;3.2.1.165;2.4.1.283;2.4.1.284;3.2.1.20|3.2.1.26|3.2.1.48;2.4.1.125|2.4.1.13|2.4.1.4|2.4.1.5|2.4.1.7|3.2.1.10|3.2.1.20|3.2.1.48;2.4.1.67|2.4.1.82|3.2.1.22;2.4.1.226;2.4.1.208;2.4.1.246;2.4.1.14;3.2.1.23;2.4.1.66;3.2.1.3|3.2.1.33;3.2.1.67;3.2.1.26;3.2.1.26;2.4.1.10|3.2.1.10|3.2.1.20|3.2.1.48;3.2.1.22;3.2.1.23;3.2.1.10|3.2.1.3;2.4.1.285;3.2.1.105;nan;2.4.1.236;2.4.1.236;2.4.1.274|3.2.1.23;3.2.1.15;nan;2.4.1.236;2.4.1.-;2.4.1.297;2.4.1.236;3.2.1.26;2.4.1.297;2.4.2.51;3.2.1.15|3.2.1.67;2.4.1.-;2.4.1.-;2.4.1.277;nan;3.2.1.23;2.4.1.17;2.4.1.297;2.4.2.51;nan;nan;2.4.2.27;2.4.1.-;nan;2.4.1.-;2.4.1.-;2.4.2.51;2.4.1.277;2.4.2.49;2.4.1.-;2.4.1.-;nan;2.4.1.-;nan;2.4.1.-;nan;2.4.1.278;2.4.1.254;3.2.1.18;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.17;2.4.1.17;2.4.1.-;2.4.1.254;2.4.1.202;2.4.1.17;2.4.1.-;2.4.1.-;nan;2.4.1.-;2.4.1.-;2.4.1.17;2.4.1.17;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.276;4.2.2.2|4.2.2.9;nan;3.2.1.125;nan;2.4.2.52;3.2.1.22,3.2.1;3.7.1;3.4.11;3.1.1;3.5.1,3.2.1.52
R00026,3.2.1.108|3.2.1.23,3.2.1,3.2.1,1.14.18.5;1.10.3.3;1.14.15.16;1.14.11.2;1.14.13.154;1.14.14.1;1.14.19.29;1.14.12.25;1.14.99.2;1.14.21.11;1.2.3.9;1.14.16.1,3.2.1;5.4.1;4.2.2;5.4.2,3.2.1.108|3.2.1.23,3.2.1,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;2.4.99;6.1.1;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,3.2.1.20;3.2.1.21;3.2.1.108|3.2.1.23;3.2.1.85;3.2.1.122;2.4.1.245|2.4.1.64|3.2.1.28;3.2.1.23;2.4.1.25|2.4.1.8;2.4.1.20;2.4.1.22;3.2.1.122|3.2.1.93;2.4.1.15;2.4.1.67|2.4.1.82|3.2.1.22;2.4.1.125|2.4.1.13|2.4.1.4|2.4.1.5|2.4.1.7|3.2.1.10|3.2.1.20|3.2.1.48;3.2.1.20|3.2.1.26|3.2.1.48;3.2.1.52;2.4.1.284;2.4.1.208;2.4.1.246;2.4.1.14;3.2.1.23;2.4.1.66;3.2.1.67;3.2.1.26;3.2.1.3|3.2.1.33;3.2.1.26;2.4.1.10|3.2.1.10|3.2.1.20|3.2.1.48;2.4.1.283;3.2.1.10|3.2.1.3;2.4.1.226;3.2.1.23;3.2.1.22;3.2.1.165;2.4.1.236;2.4.1.236;3.2.1.105;3.2.1.15;2.4.1.274|3.2.1.23;2.4.1.236;2.4.1.297;2.4.1.285;3.2.1.26;2.4.1.236;2.4.2.51;2.4.1.297;nan;3.2.1.15|3.2.1.67;2.4.2.51;2.4.1.297;2.4.1.-;2.4.1.-;nan;2.4.1.17;nan;2.4.2.51;2.4.2.49;2.4.1.254;nan;2.4.1.-;2.4.1.254;2.4.1.-;nan;2.4.1.202;nan;3.2.1.23;2.4.2.27;2.4.1.17;2.4.1.17;2.4.1.-;nan;2.4.1.17;2.4.1.-;2.4.1.-;2.4.1.17;2.4.1.17;2.4.1.-;2.4.1.-;nan;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.277;2.4.1.-;3.2.1.18;2.4.1.-;2.4.1.278;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.-;2.4.1.-;nan;nan;2.4.1.-;2.4.1.-;2.4.1.277;4.2.2.2|4.2.2.9;2.4.1.276;2.4.1.-;2.4.1.-;3.2.1.22;3.2.1.10;3.2.1.22;3.2.1.22;3.2.1.21;2.4.1.241|3.2.1.22;3.2.1.117|3.2.1.21;3.2.1.125;2.4.2.52;nan;nan;3.2.1.22;nan;2.4.1.252;2.4.1.175;2.4.1.157;2.4.1.46;3.2.1.31;2.4.1.17;2.4.1.178|2.4.1.63|2.4.1.85|3.2.1.21;2.4.1.63|3.2.1.21;3.2.1.22;3.2.1.21;2.4.1.203;2.4.1.215,3.2.1;2.3.1;3.7.1;5.4.1;2.4.1,3.2.1.21
R00027,4.1.2.26;1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91;1.2.1.28|1.2.1.7;4.1.1.7;1.2.1.28|1.2.1.3|1.2.1.64;1.2.1.29;3.5.1.13,4.1.2,4.1.2,4.1.2.38;4.1.1.7;4.2.99.21;4.1.3.40;4.1.99.11;4.2.1.20;2.1.2.11;3.1.1.82;1.1.1.85;1.3.8.6,4.1.1;3.7.1;2.2.1;2.7.11,1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91;1.2.1.28|1.2.1.3|1.2.1.64;1.2.1.28|1.2.1.7;1.2.1.29;3.5.1.13;4.1.1.7;4.1.2.26,4.1.1,4.1.2;4.1.3;2.2.1;4.2.1;2.5.1;1.14.99;4.1.1;1.13.11;2.1.2;1.11.1;1.14.13,1.1.1.1;1.1.1.1;1.1.1.90;4.1.2.10;1.1.1.90;1.1.1.90;1.1.1.90;nan;1.1.1.65|1.1.3.12|1.4.3.5;1.1.1.294|1.14.13.122;1.4.3.5;1.1.1.294,4.1.2;1.1.1;1.-.-;4.2.1;4.1.1,4.1.2.38
R00042,1.14.13.1;1.14.14.36;1.14.11.13;1.13.11.15;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;4.1.1.68;4.1.1.77;1.13.11.1,1.13.11,4.1.1,1.2.3.13;1.2.5.1;1.2.1.96;1.1.1.1;1.2.4.4;1.1.3.23;1.3.1.20;1.8.1.4;2.3.1.12;1.17.1.9,1.6.3;1.10.3;1.14.18;1.14.13,1.13.11.1;1.13.11.15;1.14.11.13;1.14.13.1;1.14.14.36;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;4.1.1.68;4.1.1.77,1.6.3,1.14.13;1.2.4;1.2.3;1.14.14;1.14.11;1.14.18;1.14.16;1.14.15;1.14.99;1.14.-;1.17.1,1.13.11.46;1.14.13.168;nan;1.13.11.27;3.5.1.4;3.5.1.4;3.1.2.-|6.2.1.30,1.13.11;1.13.12;1.14.11;4.1.1;1.14.99,1.2.3.13
R00043,1.4.3.4;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1,1.13.11,1.13.11,1.13.11.22;1.13.12.23;1.13.99.1;1.14.13.239,1.13.11;1.14.99;3.3.2;1.2.1,1.2.3.1;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.4.3.4,1.13.11,4.1.2;4.2.1;4.1.3;2.2.1;2.5.1;1.13.11;1.14.99;2.3.1;4.1.1,4.1.2.-;4.1.2.45;4.1.2.34,1.13.11;1.14.99;1.14.12;1.1.3;1.13.12,1.13.11.43
R00053,3.7.1.-|3.7.1.8;2.4.1.238;2.1.1.68;2.1.1.6;5.5.1.6;2.1.1.128;2.4.1.170;2.1.1.116|2.1.1.121;3.2.1.21,3.1.1,1.13.11,1.11.1.8,3.1.1;2.3.1;3.1.2;3.5.1,2.1.1.116|2.1.1.121;2.1.1.128;2.1.1.6;2.1.1.68;2.4.1.170;2.4.1.238;3.2.1.21;3.7.1.-|3.7.1.8;5.5.1.6,3.1.1,3.1.1;2.5.1;1.1.1;2.3.1;3.7.1;6.1.1;6.1.2;2.1.1,3.1.1.-,3.1.1;1.14.-;3.4.21;3.4.11;3.5.1,3.1.1.20
R00057,1.4.3.2;1.4.3.3;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.22|1.4.3.4,1.8.3,5.1.3,,1.11.1;1.14.99;1.13.11;1.10.3,1.2.3.1;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.4.3.2;1.4.3.22|1.4.3.4;1.4.3.3,1.11.1,1.8.3,1.8.1.6;1.8.98.1|2.8.4.1;1.11.1.12|1.11.1.9|1.5.4.1|1.8.1.7|1.8.4.2|1.8.4.9|2.5.1.-,1.8.3;1.11.1;1.1.3;1.15.1;6.5.1,1.8.3.2
R00063,2.3.1.92;3.2.1.22;3.2.1.107;3.2.1.21,2.3.1,,,3.2.1;3.1.2;5.4.1;3.1.1,2.3.1.92;3.2.1.107;3.2.1.21;3.2.1.22,3.2.1,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.2;2.3.3;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;1.-.-;4.1.3;2.3.-;2.5.1;2.8.3;4.4.1;2.1.1;6.1.2;1.2.3;2.6.1;3.5.3;6.3.2;6.3.1;6.3.4;2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.2;2.3.3;1.2.7;3.5.1;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;1.-.-;4.1.3;2.3.-;2.5.1;2.8.3;4.4.1;2.1.1;6.1.2;1.2.3;2.6.1;3.5.3;6.3.2;6.3.1;6.3.4,2.3.1.91|2.3.1.92;2.3.1.133;2.3.1.133|2.3.1.99;2.3.1.133;2.3.1.133;2.3.1.153;2.3.1.153;2.3.1.153;2.3.1.153;2.3.1.153;2.3.1.153;2.1.3.-;3.2.1.175;2.3.1.214;2.3.1.-;2.3.1.-;2.3.1.-;nan;2.3.1.172;2.3.1.172;2.3.2.16|2.3.2.17|2.3.2.18|6.1.1.14;2.3.2.-|2.3.2.10|6.1.1.7;6.1.1.11;6.1.1.11;6.1.1.3;6.1.1.22;6.1.1.6;6.1.1.23;6.1.1.20;2.3.1.91|2.3.1.92;2.3.1.133;2.3.1.133|2.3.1.99;2.3.1.133;2.3.1.133;3.2.1.175,2.3.1;3.1.1;2.4.1;3.2.1;2.3.2,2.3.1.103
