reaction_id,SelenzymeRF,BEC-Pred,BridgIT,Theia,E-zyme1,E-zyme2,SIMMER,EC Number
1,2.4.1.115;2.4.1.91;2.4.1.-|2.4.1.298;2.4.1.294;2.4.1.116;2.4.1.237;2.4.1.297;2.4.1.81;2.4.1.234;2.4.1.286;2.4.1.170;2.4.1.358;2.4.1.238|2.4.1.249;2.4.1.360;2.4.1.35;2.4.1.186;2.4.1.126;2.4.1.376;2.4.1.315|2.4.1.336;2.4.1.337;2.4.1.46;2.4.1.178|2.4.1.63|2.4.1.85;2.4.1.220;2.4.1.239;2.4.1.47;2.4.1.53;2.4.1.122;2.4.1.86,2.4.1,,2.4.1;2.7.7;5.1.3;2.7.8;3.2.1,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2|6.1.1;5.1.3|4.2.2;6.5.1|5.1.3;2.4.99|6.5.1;6.1.1|3.1.1;4.2.1|2.4.99;3.1.3|4.2.1;3.6.1|3.1.3;2.7.8|3.6.1;3.1.1|2.7.8;4.3.3,2.4.1|1.-.-|2.4.2|2.5.1;2.4.1|5.3.1|2.5.1;2.4.1|2.6.1|4.1.99;2.4.1|5.3.1|2.3.1;2.4.1|5.3.1|2.4.2|2.5.1;2.4.1|5.3.1;2.4.1|5.3.1;2.1.1|5.3.1|2.4.1;2.1.1|1.1.1|2.4.1;3.2.1|1.1.1|2.4.1;3.2.1|5.3.1|2.4.1;2.4.1|5.3.1;2.4.1|5.3.1|2.4.2;3.2.1|5.3.99|2.4.1;3.2.1|5.3.1|2.4.1;3.2.1|5.3.1|2.4.1;3.2.1|4.2.1|2.4.1;2.1.1|4.1.99|2.4.1;2.4.1|5.3.3|2.4.2;2.4.1|4.2.3|2.4.2;3.2.1|4.2.3|2.4.1;2.4.1|4.2.3;2.4.1|4.2.3|2.4.2;2.4.1|3.6.1;3.2.1|2.4.2;2.4.1|2.4.2;3.2.1|2.4.1;3.2.1|2.4.1;2.4.1|2.4.99;3.2.1|2.4.99;3.2.1|2.7.8;2.4.1;2.4.2|4.2.3;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1,2.4.1,2.4.1.287
10,2.7.8.31;2.7.8.6;2.7.8.33;2.7.8.40;2.7.8.35;2.7.8.36;2.7.8.13,2.7.8,2.7.7.71;2.7.1.17;2.7.4.32;2.7.2.14;6.3.5.5;2.7.3.8;2.7.11.4;2.7.14.1;2.7.8.19;2.7.10.1;2.7.12.1;2.7.6.1;2.7.99.1,2.3.1;2.7.4;2.4.1;5.1.3;2.7.8,,2.5.1|5.5.1;2.5.1|1.14.13;4.1.99|4.1.1;2.5.1|1.14.13;1.14.13;1.21.3;1.21.3;1.14.-;4.2.3;4.1.99;4.3.3;2.6.99;4.2.1;4.2.1;4.3.1;1.17.7;4.2.1;4.2.3;4.2.1;4.2.3;4.2.3;4.2.3;4.2.3;1.11.1;4.2.3;4.1.1;4.2.3;4.2.3;1.14.-;1.14.-;5.4.99,2.4.2;2.4.1,2.7.8.31
100,1.1.1.71;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17,1.1.1,1.1.1.323;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.56;1.1.3.16;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155,1.1.1;5.3.3;1.3.1;1.-.-;1.14.13,1.1.1|1.3.1;1.1.99|1.3.99;1.1.3|1.5.1;2.3.1|1.3.8;1.14.13|5.3.3;1.1.5|1.3.3;1.1.-|1.14.11;1.1.2|2.3.1;5.3.3|1.1.1;1.14.11|1.3.5;1.14.-|5.2.1;1.1.98|5.3.2;1.4.3|5.3.1;1.-.-|1.3.7;1.6.5|1.4.3;1.6.99|1.5.99;1.2.1|1.14.21;5.1.3;4.2.1|1.5.3;1.14.15|1.10.3;1.1.9|1.6.5;1.3.1|1.3.-;1.6.3|2.5.1;1.6.1|1.1.3;1.14.12|1.5.-;6.4.1|1.6.99;5.4.99|4.1.1;1.11.1|1.4.1;4.1.1|1.11.1;1.1.-;5.3.99;1.17.99;1.12.98;1.6.3;1.3.2;1.10.9;1.6.1;1.14.99;1.14.13;1.14.14;5.1.1;3.1.3;1.14.12;1.14.-;5.5.1;1.7.1;1.8.5;1.3.98,1.1.1|1.14.13|1.-.-;1.1.1|4.2.1|4.2.3|1.-.-;1.1.1|4.2.1|4.1.99;1.14.13|5.3.3|4.2.3;1.1.1|4.2.1|4.2.3;1.1.1|1.3.1|5.3.3;1.10.3|1.3.1|4.2.3;1.1.1|4.2.1|4.2.3;1.1.1|4.2.1|4.2.3;1.1.1|4.1.3|4.2.3;1.1.1|4.2.1|4.2.3;1.1.3|2.1.1|4.2.3;1.1.1|4.2.1|4.2.3;1.1.3|4.2.1|4.2.3;1.1.1|1.3.1|4.2.3;5.3.1|1.3.-|4.2.3;4.3.1|4.2.3;1.1.1|4.2.3;1.1.1|1.14.-|1.14.14;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;4.2.1|4.2.3|4.1.99;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3|4.1.1;1.1.1|4.2.3;1.1.1|2.1.1|4.2.3;4.2.1|4.2.3;1.1.1|4.2.3;1.1.1|1.14.21|4.2.3;1.1.1|4.2.3;4.2.1|1.14.-|4.2.3;1.1.1|4.2.3;1.1.5|4.2.3;4.2.1|4.2.3;1.3.1|4.2.3;1.1.1|4.1.99|1.14.20;5.3.99|4.2.3;1.1.1|4.2.3;4.2.1|4.2.3;4.2.1|4.2.3;1.1.1|4.2.3;1.1.1|1.14.14|1.3.1;1.1.1|4.2.3|4.2.99;5.1.3|1.14.14|1.14.-;4.2.1|4.2.3|1.3.-;1.14.11|4.2.3;1.1.1|4.2.3|1.3.1;1.1.1|4.2.3|4.2.1;1.1.3|4.2.3|1.1.1;1.3.2|1.3.1|2.5.1;1.1.1|2.5.1|4.2.3;1.1.1|4.2.3|1.10.99;5.1.3|1.10.99;2.1.1|4.2.3;1.1.3|1.10.99;5.1.3|1.1.1;5.1.3|5.4.99;1.14.13|1.1.1;1.14.13|4.2.3;1.1.1|4.2.1;1.1.1|4.2.3;1.1.1|2.5.1;1.1.1|2.5.1;2.1.3|4.2.3;1.1.1|4.2.3;1.1.1|5.3.99;5.3.3|4.2.3;1.1.1|4.2.3;5.1.3|2.2.1;1.3.3|5.3.99;1.1.1|4.2.3;1.1.1|1.3.1;1.1.1|1.3.1;1.1.1|4.2.3;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.14.-;1.14.-;4.2.1,1.1.1,1.1.1.323
101,2.3.1.85|2.3.1.86;1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.39|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.104|1.3.1.39;1.1.1.212;1.1.1.330|1.1.1.36,1.1.1,1.1.1.84;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;5.4.99.3;1.1.5.4;1.1.99.9;1.1.3.21;1.4.3.5;4.2.1.155,1.1.1;2.3.1;1.2.1;4.2.1;1.3.1,1.1.1|1.3.1;1.1.99|1.3.99;1.1.3|1.5.1;2.3.1|1.3.8;1.14.13|5.3.3;1.1.5|1.3.3;1.1.-|1.14.11;1.1.2|2.3.1;5.3.3|1.1.1;1.14.11|1.3.5;1.14.-|5.2.1;1.1.98|5.3.2;1.4.3|5.3.1;1.-.-|1.3.7;1.6.5|1.4.3;1.6.99|1.5.99;1.2.1|1.14.21;5.1.3;4.2.1|1.5.3;1.14.15|1.10.3;1.1.9|1.6.5;1.3.1|1.3.-;1.6.1|2.5.1;1.6.3|1.1.3;1.14.12|1.6.99;6.4.1|1.5.-;5.4.99|4.1.1;1.11.1|1.4.1;4.1.1|1.11.1;1.1.-;5.3.99;1.17.99;1.12.98;1.3.2;1.10.9;1.6.3;1.6.1;1.14.99;1.14.13;1.14.14;5.1.1;3.1.3;1.14.12;1.14.-;5.5.1;1.7.1;1.8.5;1.3.98,1.1.1|4.2.3|1.-.-;1.1.1|4.2.3|1.-.-;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.3.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3|4.3.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3|4.1.99;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;2.3.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|1.3.1;5.3.1|2.5.1;1.1.1|4.2.3;4.2.1|2.5.1;1.1.1|2.5.1;1.1.1|4.2.3;4.1.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;3.1.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.2;1.1.1|4.2.3;1.1.1|4.2.3;4.2.1|4.2.3;1.1.1|4.2.3;4.2.1;1.1.1,1.2.1;1.14.13;1.1.1,1.1.1.100
102,2.6.1.52,2.6.1,,2.6.1;2.3.1;4.1.2;2.2.1;1.1.99,2.6.1|2.5.1;1.4.3|1.5.3|1.3.1;1.4.1|1.4.3|1.3.99;1.4.9|4.4.1|1.14.11;1.4.99|2.4.1|5.3.3;1.4.7|4.2.1|1.3.-;1.4.2|1.5.1|4.4.1;4.3.1|1.5.99|1.3.8;1.13.12|2.3.1|4.2.1;4.1.1|4.1.99|2.4.1;1.14.11|4.1.3|2.3.1;2.-.-|1.14.15|1.14.21;2.4.2|3.1.1|4.1.99;1.4.5|3.5.99|1.1.-;3.2.1|1.1.1;3.3.1|1.3.3;2.1.2|1.5.3;3.5.1|1.3.5;2.4.2|2.1.2;3.3.2|3.3.1;1.14.14|3.5.99;1.14.11|1.3.7;4.3.3|4.1.3;1.21.4|1.4.3;3.5.-|3.5.1;4.5.1|3.2.1;1.3.1|2.4.2;3.5.3|1.3.98;4.3.1|1.5.1;1.1.1|5.5.1;3.3.2;1.14.14;1.5.99,2.6.1|2.5.1|4.1.3|1.4.1;4.1.3|4.1.1|2.6.1;4.1.3|2.6.1;4.2.3|2.6.1;4.1.3|1.5.1;4.1.2|4.4.1;4.1.2|1.4.3;4.1.2|1.4.3;4.1.3|1.4.1;4.1.3|1.5.1;4.1.3|1.4.1;4.1.3|4.4.1;4.1.3|4.4.1;4.1.3|2.6.1;2.5.1|2.6.1;2.5.1|1.4.3;4.1.2|1.4.3;4.1.2|2.6.1;4.1.2|1.4.1;2.5.1|1.4.99;2.5.1|1.4.1;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1;1.4.3;4.3.1,2.6.1,2.6.1.52
103,1.13.12.22;1.13.12.21;1.13.11.80;1.13.11.16;1.14.14.78;1.14.14.61;1.14.14.173;1.13.11.52;1.13.11.38;1.13.11.48;1.13.11.5;1.14.14.154,1.13.12,,1.13.12;1.14.13;1.14.-;1.9.3;4.2.1,1.13.12;2.1.1;1.14.13;1.14.14;1.11.1;1.14.99,1.14.12,,1.13.12.22
104,2.5.1.106;2.5.1.136;2.5.1.137;2.5.1.75,2.5.1,2.5.1.80;1.3.1.96;2.4.1.311;4.4.1.20;2.4.2.27;2.1.3.12,2.5.1;4.2.3;4.2.99;2.4.2;4.1.99,2.5.1|3.1.4;1.5.3|6.5.1;4.4.1|4.6.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.3.1;3.7.1;1.1.1;1.8.3,2.5.1;2.1.1|4.2.1|2.5.1;4.1.99|2.5.1;4.1.2|2.5.1|4.2.3;2.1.1|2.5.1;2.1.1|2.5.1;4.2.1|2.5.1|4.2.3;2.5.1|4.2.3;4.2.3;2.5.1;2.5.1;2.5.1;4.2.3;4.1.2;2.5.1,2.5.1,2.5.1.106
105,2.1.1.316;2.1.1.77,2.1.1,,2.1.1;2.3.1;6.2.1;2.5.1;2.7.8,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.1.1|4.1.99|1.-.-|2.-.-;2.1.1|1.14.13|1.10.99|2.5.1;2.1.1|1.14.13|2.3.1;2.1.1|1.14.13;2.1.1|4.1.99;2.1.1|1.14.13;2.1.1|1.14.14;2.4.1|1.10.99;3.2.1|4.2.1;1.14.14;1.14.14;1.10.99;1.14.14;4.2.1;1.14.13;1.14.13;2.6.1;1.1.4;5.3.1;2.6.1;4.2.1;1.1.4;4.2.1;3.3.2;3.3.2;1.1.4;4.2.1;5.3.99;3.3.2;3.3.2;3.3.2;1.14.14;3.3.2;1.14.14;3.3.2;4.3.3,2.1.1,2.1.1.316
106,4.2.1.144;4.1.99.20|4.3.3;6.3.1.12;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,4.2.1,,4.2.1;1.1.1;1.14.13;4.4.1;2.3.1,4.2.1;2.3.1;4.1.2;4.3.3;3.5.5;3.2.-;2.5.1;3.5.1;3.5.2;2.8.1;2.9.1;5.4.4,4.2.1;4.2.1;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;4.2.1;1.14.12;4.1.3;1.3.1;1.3.5;1.14.18;1.3.1;4.1.3;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;4.1.3;4.2.99;1.10.3;1.3.1;1.14.12;1.14.13;5.3.3;1.3.7;1.3.1,4.2.1,4.2.1.144
107,6.3.1.2,6.3.5,,3.6.3;3.6.1;3.6.4;3.A.1;3.6.5,,3.5.4|4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.3.3;4.2.3,3.6.1,7.4.2.11
