Reaction ID,BridgIT
R12819,
R10279,2.4.2.9;2.4.1.71;2.4.99.18
R03997,
R06814,2.4.1.91;2.4.2.56;2.4.99.18
R06161,
R13052,3.2.1.167;3.1.1.93;4.3.3.5;3.2.2.3
R13160,2.4.1.309;2.4.99.9;2.4.2.35
R02194,6.2.1.12;3.1.2.28;4.2.1.155;2.3.1.85
R01683,1.4.1.1;1.5.1.23;1.5.3.6;1.4.4.2;1.4.3.3;1.1.3.39;1.1.99.9;1.5.99.6;1.1.5.4;1.4.9.2
R06963,5.3.3.13;5.3.2.1;5.3.99.7;5.99.1.4;1.1.3.8;5.3.1.32;4.2.1.159;1.1.1.153;5.5.1.9;3.1.3.77;3.5.4.16
R07352,
R12303,4.1.1.92;4.1.99.1;4.1.2.8;4.2.1.20;3.1.1.82;4.2.99.21;4.1.3.40;1.1.1.381;1.3.8.6;2.1.2.11
R01376,2.6.1.28;2.6.99.2;2.7.8.29
R04022,2.3.1.250;6.2.1.11;2.3.3.9;2.3.2.30;6.3.1.20;6.3.4.10;1.2.1.95;6.1.2.2;2.1.3.12;2.1.2.13
R13318,
R06789,3.7.1.14
R10263,2.4.1.297;2.4.2.51;2.4.99.18
R12506,
R03645,
R00132,4.2.1.1;3.5.1.110;4.1.1.2;1.1.1.276;4.3.1.17;1.3.8.6;2.7.8.23;2.3.1.85;1.1.3.47;4.2.3.3;4.2.99.12;5.5.1.1;3.5.5.4;2.5.1.119;1.14.13.109;1.17.98.2;1.2.1.31;1.4.1.18;3.2.1.22;3.7.1.21;3.1.7.9;3.3.1.1;4.3.3.3
R00990,4.1.1.24;1.3.8.6;4.1.2.38;4.2.1.155;1.1.1.276;4.2.99.21;4.1.3.39;2.1.2.11;4.1.99.2;3.1.1.82
R05299,1.13.11.2;1.13.12.4;1.13.99.1;1.14.13.239
R07214,
R04812,
R10976,1.11.1.8
R07170,1.5.3.5;1.5.99.6;1.4.3.4;1.1.99.9;1.4.9.2;1.1.3.49;1.4.1.9;1.1.5.4;1.4.4.2;1.5.1.26
R00310,
R07331,2.1.1.212;2.8.4.4;2.1.2.13;2.1.3.2;2.3.1.32
R11842,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20
R10785,
R04391,2.7.7.96;2.7.1.33;2.7.2.8;2.7.3.3;2.7.14.1;2.7.11.31;6.3.5.5;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
R08964,2.7.4.21;2.7.7.96;2.7.1.86;2.7.6.5;2.7.2.3;2.7.3.3;2.7.14.1;2.7.11.7;6.3.5.5;2.7.10.1;2.7.12.1;2.7.8.28;2.7.99.1
R06160,
R04029,2.6.1.65;2.7.8.29;2.6.99.2
R02009,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20
R01686,
R12312,6.3.4.4;6.3.2.6;6.3.1.6;6.2.1.39;6.3.5.4;6.3.3.3;3.5.4.41;3.5.1.96;3.4.14.13;2.3.2.2;3.4.13.4;3.4.17.21;3.13.1.6;3.1.1.1;3.4.19.13;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;3.5.99.5;3.4.11.1;3.5.3.21
R01735,
