Reaction name,SIMMER pred
R11407,1.21.98
R12961,5.3.1
R12959,1.14.13;1.1.1
R00540,3.5.5
R09159,1.1.1
R12566,4.1.2
R10641,2.8.3
R05150,1.3.1
R03573,2.4.1
R09658,5.3.99
R09615,4.2.3
R10718,1.14.13;1.17.1;1.14.12;1.1.1
R05277,3.5.1;3.5.4
R01568,3.6.1;2.4.2
R09966,4.2.3
R03318,2.7.7;2.4.1
R02051,3.1.4
R04102,3.5.4
R12934,6.3.3;6.3.4;2.7.1
R00406,2.8.3
R04328,1.3.1;1.1.1
R13166,
R01160,2.3.1
R09201,1.3.1;1.14.12;1.1.1
R00224,4.1.1;4.4.1
R01483,
R05146,2.3.1
R09111,4.2.3
R03920,2.7.1
R08754,1.3.1;1.1.1
R05399,1.14.12;1.1.1
R01751,4.1.1
R12384,2.4.1
R08017,1.14.12;1.1.1
R02828,4.2.1
R03197,4.1.1;4.99.1
R12460,1.14.11
R08259,2.4.1
R03822,6.3.1
R11445,1.2.1
R00626,3.1.3
R00157,3.6.1
R11165,2.1.1
R11997,2.4.1
R00621,
R07626,2.4.2
R00221,4.3.1;4.4.1
R08150,3.1.1;3.1.8
R06177,2.4.1;2.5.1
R04962,1.14.13;1.1.1
R04502,2.4.1
R04880,1.14.13;1.1.1
R10203,3.5.1;3.5.4
R12781,3.6.1;2.7.1
R08096,1.14.13;1.1.1
R03549,4.1.1
R03384,2.7.1
R13108,1.13.11
R09527,2.3.1
R10423,1.1.1
R01357,6.2.1;2.3.1
R10344,3.1.4
R05595,4.2.1
R01487,1.14.13;1.14.12;1.1.1
R10975,
R11279,2.7.1
R04138,6.4.1
R09070,1.1.1
R07400,
R09314,
R04259,5.5.1
R06856,1.3.1;1.14.12;1.1.1
R09166,
R05621,1.14.12;1.1.1
R09476,5.4.99
R09380,3.1.1
R11453,2.1.1
R13403,1.14.13;1.1.1
R08826,1.11.1
R08370,4.2.3
R02850,2.7.1
R12778,1.14.11
R02648,3.1.3
R01341,4.1.1
R08286,
R00277,1.4.3
R00155,3.6.1;3.1.3
R09450,2.3.1
R00111,1.14.13;1.1.1
R07613,2.6.99;2.6.1
R07896,
R04623,1.1.1
R08266,1.7.1;1.5.1;1.1.1
R11328,4.3.1
R07625,3.1.1
R02512,5.1.3
R05415,1.13.11
R06814,2.4.2;2.4.1
R02794,2.7.7;2.3.1
R05620,6.2.1;2.3.1
R07479,
R01960,1.1.1
R00811,3.1.3
R12163,3.5.1
R02687,3.1.1
R10691,5.4.99
R03478,2.7.1
R10130,1.3.1;1.1.1
R03337,1.3.1;1.1.1
R08932,2.1.1
R12429,3.6.1;2.7.1
R01773,1.1.1
R11337,1.1.1
R06614,4.4.1
R12328,1.1.1;1.2.1
R11947,3.5.1
R05650,5.99.1;1.13.11
R08692,2.4.1
R10542,1.14.11
R01876,2.4.2;3.2.1
R08205,1.3.1;1.1.1
R07529,2.1.1
R01444,3.2.1;2.4.1
R00681,
R02036,4.1.2
R05777,
R00833,5.4.99;4.1.3
R05526,1.1.1
R03431,1.14.12;1.1.1
R11471,1.1.1
R01873,
R09572,1.14.11
R07880,2.3.1
R11582,2.7.7
R07318,4.2.1
R08520,
R11450,1.3.1;2.3.1
R08251,3.5.1
R02411,2.4.1;3.2.1
R12845,2.3.1
R06915,1.14.13;1.14.12;1.1.1
R00078,1.13.11
R10190,1.1.1
R09150,3.5.1
R01573,2.7.1
R04294,
R06433,5.1.3
R07252,2.3.1
R00212,2.3.1
R11035,1.1.1
R07734,5.4.4
R12979,2.4.1
R13295,4.2.3
R04725,1.3.1;1.1.1
R05055,3.4.13
R05796,
R10117,5.3.99;5.3.3
R12785,1.2.1;1.1.1
R12090,1.3.1;1.5.1;1.1.1
R08313,1.14.13;1.1.1
R04094,3.2.1
R04706,
R12526,2.4.1
R05410,3.7.1
R00998,2.3.3;2.3.1
R09120,4.2.3
R00740,1.2.1
R06390,3.1.1
R01057,5.4.2
R07813,
R10663,1.2.1;1.14.13;1.1.1
R05030,6.3.5
R06546,2.4.1
R02868,2.7.1
R10892,6.3.2
R11243,1.1.1
R07731,2.3.1
R06889,3.7.1
R03979,3.1.8;3.1.1
R04319,1.3.1
R12472,2.4.1
R11487,1.10.3
R10239,2.3.1
R06460,3.2.1
R05063,2.3.3;2.3.1
R11292,2.1.1
R11406,2.7.1
R13113,5.3.3
R05179,2.1.1
R11025,2.4.1
R02322,3.5.1
R07390,3.1.3
R02599,2.7.7;2.4.1
R06594,1.1.1
R00625,1.14.13;1.1.1
R08534,2.4.1
R05632,1.14.13;1.1.1
R07324,5.5.1
R09776,2.7.1
R01752,1.14.12;1.1.1
R12894,
R01220,1.5.1;1.1.1
R03424,2.1.1
R00533,1.8.3
R07269,2.5.1
R12913,4.3.1
R05475,1.2.1;1.1.1
R08537,2.1.1
R03529,5.1.3
R12683,
R01741,
R11223,2.3.1
R06171,4.1.2
R05164,2.4.1
R01059,2.7.1
R04130,1.14.12;1.1.1
R12216,1.14.11
R08604,1.1.1
R06047,2.4.1
R09097,1.2.1
R00700,1.14.13;1.1.1
R05697,
R00183,3.1.3
R09460,1.5.1;1.1.1
R06486,2.4.1
R13308,3.5.3
R05606,4.2.1;5.3.1
R00656,
R01174,2.3.1
R03885,
R11370,6.2.1;2.3.1
R02027,3.1.1
R05032,2.4.1
R11064,6.3.2;2.7.1
R07723,
R09594,6.3.2
R01292,1.20.4;1.8.4
R05631,2.4.1
R10827,4.2.1
R10198,2.1.1
R13162,2.4.1
R08368,2.4.2
R01211,1.14.12;1.1.1
R11206,1.3.3
R11496,4.1.1
R09381,3.1.1
R11217,2.1.1
R02520,
R00303,3.1.3
R04518,1.3.1;1.1.1
R07533,2.1.1
R09282,4.2.1
R12352,3.6.1;2.7.1
R01318,2.3.1
R06172,1.10.3
R03522,
R04225,
R11954,2.1.1
R11469,2.1.1
R04656,2.4.1
R04401,2.7.1
R00130,2.7.1
R09289,1.14.13;1.1.1
R06611,2.4.1
R01951,2.7.7
R00380,5.3.1
R03102,1.2.1;1.1.1
R10046,3.2.2
R08208,1.14.13;1.1.1
R10217,1.14.13;1.14.12;1.1.1
R04885,
R02745,3.3.2
R03355,2.4.1
R07794,3.5.99
R11896,3.6.1
R09568,
R00032,1.13.11
R09208,
R01492,2.7.1
R02543,2.3.1
R06862,5.5.1
R03030,4.3.1;4.2.1
R05463,1.14.13;1.1.1
R07310,5.4.99
R06759,1.13.12
R03408,1.1.1
R05173,4.1.1
R12968,6.2.1;2.3.1
R03800,3.5.4
R08164,2.4.1
R02221,2.3.1
R04967,1.5.1;1.14.13;1.1.1
R01101,3.2.1
R13313,4.2.3
R09478,1.1.1
R03465,4.1.2
R03618,3.2.1;2.4.1
R02537,1.1.1
R10891,3.5.1
R10183,2.7.7;2.4.1
R05880,3.1.1
R08195,4.1.2
R08387,
R05220,2.7.1
R04654,2.4.1
R12867,
R11150,1.14.12;1.1.1
R06180,1.3.1;1.1.1
R10394,4.1.2
R03637,1.14.12;1.1.1
R02827,5.1.3
R01844,2.7.1
R11065,5.3.3
R12268,3.1.1
R02688,3.1.1
R02381,3.1.1;3.1.8
R10357,1.14.13;1.1.1
R11749,4.1.1
R09296,5.4.99
R08105,1.14.12;1.3.1;1.1.1
R00908,2.6.1
R08727,1.3.1;1.1.1
R10062,2.1.1
R08959,1.3.1;1.1.1
R12754,3.13.1;3.5.1
R02491,2.8.3
R05811,
R11312,2.5.1
R03356,2.4.1
R00923,4.1.1
