Reaction ID,Theia
R09385,"1.14.13,0.9999094009399414;1.14.14,4.6217679482651874e-05;3.3.2,1.961894304258749e-05;3.1.7,1.6460038750665262e-05;1.14.15,2.493695319571998e-06"
R11842,"5.5.1,0.5417822003364563;4.2.3,0.34928953647613525;5.3.3,0.05206664651632309;2.5.1,0.019215961918234825;4.3.2,0.01137633342295885"
R00430,"2.7.1,0.8019711971282959;2.7.9,0.19148844480514526;4.1.1,0.0049536763690412045;2.5.1,0.0007555287447758019;2.7.4,0.0002942866994999349"
R00764,"2.7.1,0.9971745014190674;3.1.3,0.0010850917315110564;2.4.1,0.000427156628575176;2.7.8,0.00027382353437133133;2.3.1,0.0002513642539270222"
R09739,"1.5.5,0.7810404300689697;1.6.5,0.12219159305095673;1.10.3,0.05370943620800972;1.8.5,0.012424957938492298;1.11.1,0.008556056767702103"
R03396,"1.1.1,0.998820960521698;1.6.5,0.00033740728395059705;1.1.5,0.0002114150847773999;1.14.13,8.934572542784736e-05;1.8.1,8.158041600836441e-05"
R09637,"2.5.1,0.9999090433120728;2.1.1,3.6436809750739485e-05;2.6.1,2.8803528039134108e-05;4.1.1,6.274039606068982e-06;5.3.99,5.467541541293031e-06"
R07276,"2.6.1,0.9903456568717957;5.3.1,0.0020504933781921864;2.7.8,0.0015628949040547013;2.3.1,0.0012667564442381263;2.4.1,0.0011668993392959237"
R09299,"2.1.1,0.9860582947731018;2.5.1,0.013183207251131535;1.13.11,0.0004132779431529343;1.14.12,0.00022116827312856913;2.3.2,5.065270306658931e-05"
R05277,"1.7.1,0.5327330827713013;1.7.-,0.18044613301753998;2.6.1,0.03669385612010956;2.3.2,0.020761143416166306;1.14.99,0.017761358991265297"
R02243,"4.1.1,0.9909173846244812;5.3.3,0.008097347803413868;4.2.1,0.0003319525858387351;2.3.1,0.0002584425965324044;1.3.3,0.0001552711910335347"
R12274,"1.14.14,0.32019269466400146;3.1.1,0.28240567445755005;4.2.3,0.1519075632095337;3.3.2,0.056809015572071075;3.1.2,0.03752913326025009"
R07813,"3.7.1,0.7071437835693359;1.14.13,0.2449619621038437;4.3.3,0.036619771271944046;4.4.1,0.0035933218896389008;4.2.1,0.0027034771628677845"
R05231,"1.1.1,0.9770804643630981;1.2.1,0.020993085578083992;1.-.-,0.0011165788164362311;1.1.-,0.00040654922486282885;1.5.1,0.0001817338925320655"
R09518,"4.2.1,0.9899438619613647;2.1.1,0.005202919710427523;2.5.1,0.002355649834498763;5.3.99,0.000639268197119236;4.1.2,0.00048311962746083736"
R02517,"1.14.13,0.9902426600456238;1.14.14,0.004414685070514679;1.14.12,0.002191942185163498;1.14.15,0.00107349525205791;1.14.-,0.0006357943639159203"
R05163,"2.3.1,0.9998350143432617;3.1.2,0.0001252291986020282;3.1.1,2.185028642998077e-05;6.2.1,1.236646858160384e-05;1.2.1,4.059012553625507e-06"
R01899,"1.1.1,0.9999978542327881;1.-.-,7.9413439380005e-07;2.3.1,4.7260650148928107e-07;1.14.13,4.286555395083269e-07;1.1.-,1.8440852045387146e-07"
R04478,"4.2.1,0.945404589176178;4.1.3,0.05351414903998375;5.4.4,0.00027714890893548727;3.7.1,0.0002673476410564035;2.3.3,0.00026265816995874047"
R12898,"2.5.1,0.4516479969024658;2.3.1,0.3060021698474884;4.3.1,0.199876070022583;2.3.2,0.041910767555236816;2.7.8,0.0001397879095748067"
R11100,"3.5.99,0.6588765978813171;4.3.1,0.19208791851997375;1.4.3,0.08111871033906937;1.5.99,0.03984212130308151;3.5.4,0.0059595112688839436"
R12314,"5.1.3,0.9418651461601257;5.3.1,0.0354563407599926;3.2.1,0.008384906686842442;2.4.1,0.005233015399426222;2.7.1,0.0048621478490531445"
R06447,"5.3.3,0.5661337971687317;2.5.1,0.42915722727775574;2.7.1,0.0006991998525336385;2.7.8,0.0005514448275789618;1.14.99,0.0005449616000987589"
R04812,"1.1.1,0.9997244477272034;1.2.1,0.00018795704818330705;1.1.-,3.2109481253428385e-05;2.3.1,2.4433405997115187e-05;1.3.1,1.2718252946797293e-05"
R10732,"4.2.3,0.9807012677192688;5.5.1,0.016486283391714096;1.1.1,0.0005994574748910964;1.14.13,0.0003773418429773301;4.3.2,0.00032420517527498305"
