Reaction ID,Theia
R06382,"1.1.1,0.9999997615814209;1.14.13,1.5014869347851345e-07;1.-.-,1.2844908781062259e-07;1.3.1,3.160172568072994e-08;1.1.5,2.477521121591053e-08"
R02869,"2.5.1,0.9999730587005615;2.1.1,7.1580079747946e-06;3.3.1,4.894193352811271e-06;4.4.1,4.5961087380419485e-06;6.2.1,3.0385317586478777e-06"
R10000,"2.1.1,1.0;1.8.3,2.8254749651068778e-09;2.5.1,2.183174530046017e-09;4.4.1,1.8418568892286658e-09;2.3.1,8.825012942637045e-10"
R00045,"1.14.18,0.9903280138969421;1.10.3,0.00452659884467721;1.14.16,0.0033475710079073906;1.14.13,0.0012196103343740106;1.13.11,0.0003911689855158329"
R04662,"2.7.7,0.7416996359825134;2.4.1,0.24882380664348602;6.2.1,0.0022852818947285414;2.7.4,0.0012783365091308951;2.7.1,0.000834431906696409"
R02353,"1.1.1,0.9984142780303955;1.3.1,0.00047378402086906135;2.3.1,0.0003853387024719268;1.14.13,0.0001556550560053438;1.-.-,0.00012729688023682684"
R06804,"2.4.1,0.9907076358795166;2.4.2,0.009199338033795357;2.3.1,4.865755545324646e-05;3.2.1,1.7736458175932057e-05;2.7.7,1.4682375876873266e-05"
R09628,"4.2.3,0.5488100051879883;5.5.1,0.355744868516922;4.2.1,0.06871803104877472;5.4.99,0.017882831394672394;5.3.3,0.0025611103046685457"
R09672,"3.2.1,0.996595561504364;3.1.1,0.0012379192048683763;3.1.4,0.0010195847135037184;3.5.1,0.00045404135016724467;3.2.2,0.000279499712632969"
R10253,"2.3.1,0.9999967813491821;3.1.2,1.7599226111997268e-06;3.1.1,1.3256737929623341e-06;2.3.3,1.4894740729687328e-07;1.2.7,3.757270050641637e-08"
R04249,"1.13.11,0.8363615870475769;1.14.13,0.06497124582529068;1.1.1,0.029427997767925262;4.1.1,0.010272457264363766;2.3.1,0.007409180048853159"
R11784,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R11899,"2.1.1,0.5731467008590698;4.4.1,0.4196699261665344;4.2.1,0.002455834997817874;2.5.1,0.0022850821260362864;1.14.13,0.0006406071479432285"
R07672,"5.1.3,0.9966179728507996;2.7.1,0.0012060347944498062;2.7.7,0.0008050506003201008;2.3.1,0.00023740442702546716;2.3.2,0.00016336279804818332"
R03275,"2.6.1,0.9106366038322449;6.2.1,0.03792007267475128;3.5.1,0.026744836941361427;2.8.3,0.016769636422395706;2.8.1,0.0012139087775722146"
R02433,"2.6.1,0.9997521042823792;2.8.1,0.00013973898603580892;1.4.1,3.4454620617907494e-05;1.1.1,8.158317541528959e-06;4.1.1,6.7679607127502095e-06"
R05748,"1.20.4,0.9747786521911621;1.8.5,0.005714067257940769;1.11.1,0.004093106836080551;1.4.1,0.002288594376295805;5.3.4,0.0018242402002215385"
R07619,"2.5.1,0.9981912970542908;1.14.14,0.001559136202558875;1.14.13,0.0001183002968900837;1.8.99,7.99860863480717e-05;2.1.1,1.5684496247558855e-05"
R06310,"2.3.1,0.9989142417907715;3.1.1,0.0007319403230212629;6.2.1,0.0002520343696232885;2.8.3,6.508972001029179e-05;3.1.2,2.9244991310406476e-05"
R03407,"1.1.1,0.9955599308013916;1.3.1,0.004138108342885971;2.3.1,8.083630382316187e-05;1.8.1,4.3465748603921384e-05;1.6.5,3.1826464692130685e-05"
