Reaction ID,Theia
R02693,"3.1.1,0.7158641815185547;2.3.1,0.276847243309021;2.4.1,0.00458300719037652;3.1.-,0.0011408942518755794;3.2.1,0.0003852345689665526"
R05170,"3.2.1,0.9953175783157349;3.5.1,0.00447580311447382;3.1.1,0.00010653195931809023;3.5.3,1.6326410332112573e-05;3.5.5,1.4723388630955014e-05"
R11539,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R11824,"4.2.3,0.8792348504066467;5.5.1,0.11221442371606827;5.3.3,0.004853308666497469;1.1.1,0.0015552040422335267;4.2.1,0.0013415432767942548"
R02268,"5.3.99,0.9930671453475952;2.5.1,0.0061426106840372086;5.3.1,0.00027068654890172184;4.1.1,0.00013492951984517276;1.14.99,0.00010728002962423488"
R11395,"2.6.1,0.9876537919044495;5.3.1,0.011837814934551716;1.1.99,0.00020440726075321436;5.1.3,0.00012024713942082599;1.1.2,4.1423551010666415e-05"
R04322,"5.1.3,0.5814255475997925;2.4.2,0.3697454333305359;2.7.7,0.028728503733873367;2.3.1,0.008642073720693588;2.7.6,0.00527274701744318"
R01525,"1.1.1,0.9998831748962402;1.-.-,1.730744043015875e-05;5.1.3,1.4540632037096657e-05;1.3.1,1.3897783901484217e-05;1.14.13,1.2817251445085276e-05"
R10443,"3.6.1,0.9977896213531494;3.-.-,0.0016778982244431973;3.1.4,0.00023707072250545025;3.1.3,0.00014859451039228588;3.6.4,4.8813999455887824e-05"
R05441,"1.14.13,0.8227276802062988;1.14.14,0.16004522144794464;1.14.18,0.00991262961179018;1.14.-,0.0017789126140996814;1.14.99,0.0013693185755982995"
R09748,"1.5.1,0.9356833696365356;1.14.13,0.024398203939199448;1.19.1,0.01828901469707489;1.6.99,0.008291260339319706;1.14.14,0.007162074092775583"
R03805,"2.1.1,1.0;2.4.2,2.244460617362165e-09;3.2.2,4.5300169171369475e-10;6.3.2,1.0484195456239576e-10;3.13.1,6.744245439893604e-11"
R01722,"2.4.1,0.43295755982398987;3.5.1,0.20939335227012634;2.3.1,0.20734213292598724;1.14.13,0.05107099190354347;6.3.4,0.04094375669956207"
R08239,"2.1.1,0.9999998807907104;2.5.1,6.087885395800186e-08;2.3.1,3.015239613546328e-08;2.4.2,1.5866483238369256e-08;2.6.1,4.9839425919628866e-09"
R09219,"1.6.5,0.9982016086578369;1.6.99,0.0007193057099357247;1.1.1,0.00036022873246110976;1.6.2,0.00023152485664468259;1.3.1,0.00016980238433461636"
R07094,"2.5.1,0.9999991655349731;6.2.1,6.686238975817105e-07;4.2.99,4.520842011856985e-08;5.3.3,3.735399189963573e-08;2.7.1,3.083123090164008e-08"
R04418,"1.1.1,0.8533567786216736;5.3.3,0.11368707567453384;1.3.1,0.017626099288463593;5.3.2,0.008793534711003304;1.2.1,0.0028848869260400534"
R04344,"1.1.1,0.9990234375;1.3.1,0.0004107609565835446;1.14.-,0.00017188639321830124;2.3.1,0.00017143390141427517;1.14.13,8.591479127062485e-05"
R09099,"2.1.2,0.995105504989624;4.3.1,0.0020891432650387287;4.2.1,0.0008621110464446247;1.4.4,0.0006905377958901227;3.4.13,0.0005048176972195506"
R03585,"1.1.1,0.9999709129333496;1.3.1,1.2937492101627868e-05;1.2.1,6.06383082413231e-06;1.-.-,2.7648416107695084e-06;2.3.1,1.360572468911414e-06"
R08117,"6.2.1,0.9279124736785889;2.8.3,0.06014280393719673;2.3.1,0.011079296469688416;2.7.2,0.0006177177419885993;3.1.2,0.00011422717943787575"
R01401,"3.2.2,0.9997552037239075;2.4.2,0.00024245455279015005;3.5.1,7.166423188209592e-07;3.1.1,6.71824977871438e-07;2.3.1,2.1835458596797253e-07"
R10438,"1.1.1,0.620192289352417;1.3.1,0.12316493690013885;1.8.1,0.043659597635269165;1.6.5,0.03465666249394417;1.2.1,0.03375115245580673"
R10720,"1.10.3,0.9998008608818054;1.14.14,7.669131446164101e-05;1.11.1,4.257886394043453e-05;1.14.18,3.0171951948432252e-05;6.3.3,1.4289157661551144e-05"
R03134,"2.5.1,0.9870476722717285;1.14.14,0.0047946409322321415;4.2.1,0.0033718268387019634;3.1.1,0.002003758680075407;3.5.1,0.0013985533732920885"
R09980,"3.5.1,0.989744246006012;2.7.2,0.0052620540373027325;3.1.1,0.0042747813276946545;3.2.1,0.0006036891136318445;3.5.3,8.81408850545995e-05"
R02144,"2.1.1,1.0;2.3.1,1.571823400603467e-11;2.5.1,3.5331219287032534e-12;6.3.2,1.395117745287e-12;1.3.98,1.9443199491837176e-13"
R05598,"4.1.99,0.8257892727851868;2.3.1,0.1186819076538086;4.3.1,0.02562405914068222;4.2.1,0.009765435941517353;4.1.3,0.007455348502844572"
R09630,"4.2.3,0.9279745817184448;4.2.1,0.05950281769037247;5.5.1,0.011943631805479527;4.3.2,0.00027469213819131255;3.1.7,0.00012247019913047552"
R05885,"2.1.1,1.0;1.-.-,2.0266039513217038e-08;2.3.1,9.726757177475065e-09;3.13.1,4.71881955732556e-09;2.5.1,4.261464070509646e-09"
R00287,"3.6.1,0.9358121752738953;3.1.4,0.035271234810352325;3.-.-,0.009909307584166527;3.2.1,0.006021079141646624;3.1.3,0.0059103392995893955"
R03177,"1.2.1,0.9182432293891907;1.1.1,0.07613247632980347;1.5.1,0.0025635624770075083;1.2.3,0.0012541664764285088;1.4.1,0.000716918264515698"
R05030,"6.3.5,0.9648942351341248;2.7.3,0.017457934096455574;6.3.1,0.013367808423936367;6.3.4,0.0024239616468548775;2.7.1,0.0006246473640203476"
R00771,"5.3.1,0.9978415966033936;2.3.1,0.0008133616065606475;2.2.1,0.00034967969986610115;1.1.1,0.000271096098003909;1.1.2,0.00023992714704945683"
R02601,"4.2.1,0.7082093358039856;3.7.1,0.2917315363883972;4.1.3,2.6382376745459624e-05;3.2.1,6.486673555627931e-06;3.3.2,3.349993448864552e-06"
R04457,"2.5.1,0.9999996423721313;1.1.1,1.6706361805063352e-07;2.4.2,7.780687383274199e-08;4.4.1,4.311615242613698e-08;5.3.99,2.3323925901763687e-08"
R03554,"2.1.1,1.0;2.3.1,4.738548789462449e-11;2.5.1,3.397530303969609e-12;6.3.2,1.0757547196788009e-12;3.3.1,2.068474650460464e-13"
R02706,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R09610,"4.2.3,0.9998044371604919;5.5.1,0.00019038347818423063;4.3.2,4.1813700590864755e-06;1.3.-,6.932294240868941e-07;3.1.7,1.2106605140616011e-07"
R08878,"1.1.1,0.9973297119140625;1.3.1,0.001788454595953226;2.7.1,0.00046902376925572753;1.1.99,8.963669097283855e-05;1.2.1,6.491257227025926e-05"
R10194,"1.3.1,0.9676015377044678;2.5.1,0.01580026187002659;1.3.99,0.013345083221793175;5.3.3,0.001710879267193377;1.1.1,0.0008029760792851448"
R03062,"3.1.1,0.8032514452934265;3.1.2,0.10873698443174362;3.4.11,0.02140575274825096;3.4.21,0.020438605919480324;3.1.4,0.006656146142631769"
R13127,"3.6.1,0.9950509667396545;3.1.3,0.0027286869008094072;3.-.-,0.0016529234126210213;3.1.4,0.0003993396821897477;3.6.2,0.00011871416063513607"
R06486,"2.4.1,0.9999957084655762;2.4.2,3.167682280036388e-06;2.7.7,5.492142349794449e-07;2.3.1,3.120188694083481e-07;3.2.1,4.848538637247657e-08"
R04315,"1.17.4,0.999890923500061;1.11.1,3.0826708098175004e-05;1.8.4,1.8249646018375643e-05;1.8.98,1.5472667655558325e-05;1.8.1,9.754097845871001e-06"
R03905,"3.6.1,0.8364036083221436;3.1.3,0.05007956176996231;3.6.4,0.03177787736058235;3.1.4,0.025153227150440216;2.7.3,0.015497368760406971"
R11950,"2.7.1,0.8312641978263855;6.2.1,0.0397549569606781;2.7.2,0.027068737894296646;3.5.1,0.019803356379270554;2.1.1,0.019539711996912956"
R08630,"2.6.1,0.9999148845672607;1.4.1,7.33487686375156e-05;1.4.11,4.1517309909977484e-06;4.1.3,2.111075900756987e-06;1.1.99,1.5184336916718166e-06"
R11330,"5.1.3,0.9935178756713867;5.3.1,0.004859440494328737;3.2.1,0.0007675490924157202;2.4.1,0.00035347198718227446;2.3.1,0.00011540514969965443"
R05221,"2.7.1,0.9945159554481506;2.7.4,0.005249769426882267;2.7.2,0.00014364880917128175;6.2.1,4.220698610879481e-05;2.1.1,1.5343946870416403e-05"
R04007,"1.1.1,0.7710503935813904;1.14.13,0.20990358293056488;1.-.-,0.011268695816397667;5.5.1,0.0060026501305401325;1.1.5,0.0010076096514239907"
R09533,"3.2.1,0.9973264932632446;2.4.1,0.002219359390437603;3.1.1,0.00022439415624830872;2.3.1,0.00016747243353165686;3.5.1,1.4182917766447645e-05"
R10009,"4.3.2,0.9227569103240967;4.2.3,0.04666794836521149;2.3.2,0.011222605593502522;2.7.8,0.007852454669773579;2.5.1,0.0032164680305868387"
R09099,"2.1.2,0.995105504989624;4.3.1,0.0020891432650387287;4.2.1,0.0008621110464446247;1.4.4,0.0006905377958901227;3.4.13,0.0005048176972195506"
R12144,"1.3.2,0.999995231628418;1.1.2,2.901905190810794e-06;1.8.2,7.41241251489555e-07;1.11.1,5.889211820431228e-07;1.1.1,2.1080956003061146e-07"
R11371,"2.1.1,0.9999978542327881;2.3.1,2.133476755261654e-06;2.5.1,1.8660440304074655e-08;4.2.1,1.8623676822926427e-08;6.3.2,1.4848853702176257e-08"
R09126,"3.5.1,1.0;3.5.3,5.8060550145455636e-08;3.5.4,1.7543648311857396e-08;4.2.1,8.91306584094309e-09;3.5.99,6.182738765403428e-09"
R06465,"1.14.-,0.9999063014984131;1.14.13,5.683650670107454e-05;1.14.12,2.3053220502333716e-05;1.14.15,9.174075785267632e-06;1.14.19,1.0518906492507085e-06"
R03296,"5.1.1,0.9982359409332275;2.6.1,0.0005221077590249479;3.4.17,0.0004736903647426516;2.3.2,9.614379814593121e-05;3.4.16,8.126907050609589e-05"
R06787,"1.14.13,0.9545612335205078;1.14.14,0.04192957654595375;1.-.-,0.0016506373649463058;1.14.12,0.0012612343998625875;1.14.15,0.0003206850669812411"
R12596,"6.3.2,0.9796894788742065;2.7.1,0.017119508236646652;2.7.4,0.002268066629767418;6.2.1,0.0006142857018858194;2.1.1,0.00014809156709816307"
R08342,"1.14.13,0.9044502377510071;1.14.14,0.09049484133720398;2.1.1,0.0012275160988792777;1.14.-,0.0008941645501181483;1.5.1,0.0006253938190639019"
R02679,"1.1.1,0.9999754428863525;1.2.1,5.744749614677858e-06;1.1.5,5.439071173896082e-06;1.-.-,3.2318314424628625e-06;1.8.1,2.5521117095195223e-06"
R04659,"2.4.1,0.9999942779541016;3.2.1,3.948179255530704e-06;2.7.1,1.143197209785285e-06;2.7.7,5.00119369917229e-07;3.1.3,9.10187694103115e-08"
R03940,"2.1.2,0.9944044351577759;3.5.1,0.002367560053244233;4.3.1,0.0015693180030211806;2.3.1,0.0004196103836875409;1.5.1,0.00040485060890205204"
R04013,"2.1.1,1.0;2.3.1,6.579482736412956e-09;1.1.99,5.902716981864842e-09;1.-.-,4.59252724738235e-09;1.1.1,2.6055422264192885e-09"
R02490,"4.2.1,0.9971365928649902;3.2.1,0.0012828022008761764;3.7.1,0.0005479208775795996;5.4.4,0.00028174935141578317;2.3.3,0.00014303604257293046"
R01304,"2.4.1,0.99993896484375;3.2.1,4.414822251419537e-05;2.7.7,5.513496034836862e-06;3.1.1,4.244387127982918e-06;2.4.2,3.993679456471e-06"
R09514,"1.14.13,0.9998843669891357;1.14.14,0.00010871178528759629;1.13.12,3.5151006159139797e-06;2.3.1,9.071436011254264e-07;1.5.1,7.041004437269294e-07"
R07075,"1.14.14,0.9959955215454102;1.14.13,0.0038330554962158203;1.11.1,9.185433009406552e-05;1.3.1,4.1145351133309305e-05;1.5.1,1.4861269846733194e-05"
R10876,"2.4.1,0.9999994039535522;2.7.7,1.8378553079401172e-07;2.4.2,1.057447818197943e-07;2.3.1,5.59792532328629e-08;2.7.1,4.73486707619486e-08"
R06477,"2.1.1,1.0;2.3.1,7.514649167685017e-13;3.3.1,1.4442429457223183e-13;2.5.1,1.3470557406070754e-13;6.3.2,1.1102325791568016e-13"
R02961,"2.1.1,0.999997615814209;2.-.-,1.1961726613662904e-06;2.5.1,2.0017368740354868e-07;1.3.98,1.7769077942375588e-07;4.3.3,9.705186698738544e-08"
R00872,"3.1.3,0.9999830722808838;3.6.1,1.2876902474090457e-05;2.7.1,3.1923552796797594e-06;3.1.4,6.966182013457001e-07;4.2.3,3.479024002217557e-08"
R06337,"1.14.11,0.9803518652915955;1.14.13,0.007705326657742262;1.4.11,0.007276433520019054;1.14.20,0.002818753244355321;1.14.-,0.0015053334645926952"
R11145,"1.1.1,0.9992032647132874;1.3.1,0.0005871293251402676;2.3.1,7.57325833546929e-05;1.14.13,4.3696101784007624e-05;1.-.-,2.9710981834796257e-05"
R11076,"4.2.1,0.9997001886367798;2.3.1,0.00020610715728253126;2.8.3,2.9940876629552804e-05;5.3.3,1.4229301996238064e-05;3.1.2,1.3383531950239558e-05"
R06272,"1.3.1,0.9997376799583435;4.99.1,0.0001652904029469937;1.3.99,7.02439938322641e-05;1.1.1,1.2210603927087504e-05;3.1.1,5.2159321057843044e-06"
R11831,"4.2.3,0.999914288520813;4.2.1,5.9962389059364796e-05;3.1.7,1.333587624685606e-05;5.5.1,7.816516699676868e-06;4.3.2,2.7908845368074253e-06"
