Reaction ID,Theia
R03123,"1.1.1,0.98309326171875;1.6.5,0.0025641140528023243;1.3.1,0.002426831517368555;1.5.1,0.0021808359306305647;1.14.14,0.0014908361481502652"
R09929,"1.1.1,0.9875560402870178;1.3.1,0.011376189067959785;1.6.5,0.00026815588353201747;1.2.1,0.0002136164257535711;5.3.3,7.128935976652429e-05"
R07336,"2.4.1,0.68458092212677;1.14.-,0.10129484534263611;4.2.1,0.06852474808692932;5.3.1,0.044875212013721466;2.3.1,0.03879480063915253"
R01252,"1.14.11,0.9977795481681824;1.14.20,0.0017069440800696611;2.6.1,0.0003102123155258596;1.4.11,0.00013914176088292152;4.1.1,3.990027471445501e-05"
R12785,"1.2.1,0.9999467134475708;1.1.1,1.671551763138268e-05;1.8.1,1.0082030712510459e-05;1.19.1,6.8738854679395445e-06;1.3.1,6.067293725209311e-06"
R01281,"2.3.1,0.9998881816864014;6.2.1,5.899997995584272e-05;4.1.1,3.134158760076389e-05;1.2.4,7.715810170338955e-06;1.2.7,5.615534973912872e-06"
R10356,"1.14.13,0.9999300241470337;1.14.14,5.795876859338023e-05;1.13.12,3.6815038129134336e-06;1.1.1,1.7112976138378144e-06;1.5.1,1.6212193258979823e-06"
R01943,"6.2.1,0.8764293193817139;2.3.1,0.097979836165905;3.1.2,0.017732204869389534;1.2.1,0.007054157555103302;4.1.2,0.0003518796875141561"
R02295,"2.4.2,0.718908965587616;6.3.4,0.24427802860736847;2.7.1,0.019643936306238174;2.7.3,0.006346933078020811;3.5.1,0.0032025729306042194"
R10451,"2.1.1,1.0;2.3.1,1.7349725036633e-14;6.-.-,5.139631811305564e-16;2.5.1,3.8984236117170024e-16;6.3.2,2.483089260974598e-16"
R12658,"1.14.3,0.9865142703056335;1.14.16,0.005140852183103561;1.14.18,0.0031006098724901676;1.14.13,0.002345235552638769;1.14.-,0.0007881797500886023"
R07498,"1.3.1,0.9707944989204407;1.1.1,0.02198295295238495;1.6.5,0.004601187538355589;2.3.1,0.000979250413365662;1.2.1,0.0002817366039380431"
R08597,"5.1.3,0.9696154594421387;5.3.1,0.027463149279356003;1.1.1,0.00106532103382051;4.2.1,0.0009787512244656682;5.-.-,0.0006048236973583698"
R00331,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R06757,"2.5.1,0.9999908208847046;5.3.3,3.033886287084897e-06;1.14.-,1.7107684016082203e-06;1.14.15,1.221909428750223e-06;1.14.13,1.0694204775063554e-06"
R11537,"6.2.1,0.9617972373962402;2.7.2,0.03641350939869881;2.3.1,0.0009384452714584768;2.7.1,0.00021071828086860478;6.3.1,0.00016924554074648768"
R08533,"2.4.1,0.9997239708900452;2.7.7,0.00016926252283155918;1.14.-,8.0705554864835e-05;2.4.2,5.699055691366084e-06;3.2.1,4.917055321129737e-06"
R00656,"4.1.1,0.9969227910041809;2.3.1,0.0016884494107216597;6.2.1,0.0005522441351786256;2.6.1,0.0004390220274217427;2.5.1,0.00017505015421193093"
R11798,"2.1.1,1.0;2.3.1,3.2032401175996483e-09;1.3.98,3.047419649959693e-09;1.4.3,2.135853938156629e-09;2.5.1,1.7928459827842858e-09"
R04359,"2.4.1,0.999995231628418;2.4.2,3.173231789332931e-06;2.7.7,5.903786473027139e-07;3.1.1,4.415457794948452e-07;3.2.1,2.548845543515199e-07"
R11026,"1.3.1,0.9985975623130798;1.3.99,0.0005957829998806119;1.3.3,0.00017879833467304707;1.3.98,0.0001470784336561337;1.1.1,7.867798558436334e-05"
R09757,"2.4.1,0.9990885257720947;2.3.1,0.0008377551566809416;2.7.7,6.788790778955445e-05;2.7.1,2.2039967007003725e-06;3.1.1,1.0688510201362078e-06"
R02003,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R08396,"3.1.7,0.7754074931144714;3.1.3,0.08255216479301453;3.1.4,0.02956797182559967;3.1.1,0.024532867595553398;3.2.1,0.024275222793221474"
R05312,"1.3.1,0.9996615648269653;1.14.12,0.0002700139011722058;1.1.1,4.6984292566776276e-05;1.3.99,1.4220518096408341e-05;1.14.21,1.4140410939944559e-06"
R01730,"1.3.1,0.9999436140060425;1.1.1,4.273893864592537e-05;5.4.99,4.731127773993649e-06;4.2.1,4.432812602317426e-06;1.3.99,1.869482275651535e-06"
R08694,"4.2.2,1.0;5.4.99,2.9569338644286347e-10;2.4.1,2.3244814406631065e-10;3.2.1,1.264739007966753e-10;3.4.14,4.328881697546194e-11"
R11672,"2.6.1,0.9999891519546509;4.3.1,4.848308435612125e-06;1.4.3,3.9846731851866934e-06;3.5.99,3.9935579820848943e-07;1.1.2,3.672325306069979e-07"
R11409,"4.2.1,0.9652374982833862;4.3.1,0.026011526584625244;1.4.1,0.0032925501000136137;2.5.1,0.0016689143376424909;2.6.1,0.0016524025704711676"
R13377,"1.1.1,0.857299268245697;1.14.13,0.14082692563533783;1.2.1,0.0005860870005562901;1.6.5,0.00029891420854255557;1.5.1,0.00023799539485480636"
R12942,"4.2.1,0.4992547333240509;4.1.1,0.2902173697948456;3.2.1,0.1475059688091278;3.5.1,0.021989740431308746;1.11.2,0.009074951522052288"
R03778,"2.3.1,0.9989180564880371;3.1.2,0.0009578812750987709;2.8.3,4.0137801988748834e-05;3.1.1,2.483185744495131e-05;2.3.3,1.971525307453703e-05"
R05394,"5.5.1,0.9999836683273315;1.13.11,8.857052307575941e-06;5.3.2,3.262332484155195e-06;1.3.-,6.799780294386437e-07;1.1.3,5.303179477778031e-07"
R03854,"4.1.1,0.8578841090202332;1.2.4,0.10481720417737961;1.1.5,0.006361235864460468;1.1.1,0.005616978742182255;1.2.7,0.005593704059720039"
R12974,"3.1.1,0.5141534805297852;3.2.1,0.13303537666797638;5.1.1,0.12125293910503387;2.5.1,0.06558439135551453;3.4.17,0.041659560054540634"
R03031,"5.3.3,0.9699199795722961;1.3.1,0.012147678062319756;4.2.1,0.009902305901050568;1.3.99,0.004416990093886852;1.3.3,0.002375930082052946"
R03738,"4.3.3,0.6642910242080688;4.2.1,0.2997231185436249;4.1.99,0.01585501804947853;1.14.13,0.010525399819016457;4.1.1,0.0029051571618765593"
R05092,"5.5.1,0.9880281686782837;3.1.7,0.00888178963214159;4.2.3,0.0016023122007027268;5.3.3,0.00048469880130141973;4.3.2,0.0003624749951995909"
R00828,"1.7.1,0.6668761372566223;1.14.13,0.33159393072128296;1.14.14,0.0009754468337632716;1.7.-,9.188314288621768e-05;4.1.99,6.72360256430693e-05"
R02670,"1.11.1,0.9999911785125732;1.11.2,7.555368028988596e-06;1.14.21,4.2778526676556794e-07;1.3.1,3.604859557526652e-07;1.11.-,1.514278267222835e-07"
R04557,"1.3.1,0.9908363819122314;1.1.1,0.00902438722550869;5.3.3,7.371420360868797e-05;1.3.99,4.274607636034489e-05;1.6.5,2.9216710117907496e-06"
R12348,"2.3.1,0.9839327335357666;3.1.1,0.0103191202506423;2.3.2,0.000959262193646282;2.7.1,0.0008957855752669275;2.5.1,0.0006209691055119038"
R07727,"1.7.1,0.9998950958251953;1.2.99,3.866101542371325e-05;1.2.1,3.174707671860233e-05;1.7.-,1.3296556971909013e-05;1.6.6,1.2054589205945376e-05"
R07014,"3.3.2,0.9367378354072571;4.2.1,0.061305735260248184;5.4.4,0.0009350267937406898;5.3.99,0.0003596522146835923;1.14.14,0.00021881423890590668"
