Reaction ID,Theia
R03681,"2.4.1,0.9998100399971008;2.4.2,0.00015025149332359433;3.2.1,1.4686831491417252e-05;2.7.7,1.0018175998993684e-05;4.1.3,2.625187562443898e-06"
R02297,"2.4.2,0.999356210231781;2.7.1,0.0003645546385087073;2.7.8,0.00021331534662749618;3.2.2,3.4718184906523675e-05;2.4.1,8.138607881846838e-06"
R11326,"4.2.3,0.9999881982803345;3.1.7,5.263326329441043e-06;3.1.3,4.10679876949871e-06;4.1.2,7.595415354444413e-07;3.1.5,6.300304562500969e-07"
R10782,"4.2.1,0.9838900566101074;2.3.1,0.013452825136482716;3.1.2,0.001403136644512415;3.1.1,0.00032590579940006137;1.14.14,0.000257862382568419"
R09764,"5.4.99,0.8863365054130554;2.3.1,0.06155639886856079;1.14.13,0.049567777663469315;1.1.1,0.002502204617485404;1.-.-,1.4031663340574596e-05"
R10443,"3.6.1,0.9977896213531494;3.-.-,0.0016778982244431973;3.1.4,0.00023707072250545025;3.1.3,0.00014859451039228588;3.6.4,4.8813999455887824e-05"
R13248,"2.5.1,0.9761201739311218;3.4.22,0.010469164699316025;1.14.12,0.007667604833841324;3.4.21,0.004455020651221275;5.3.3,0.00021210542763583362"
R12867,"1.14.13,0.5967958569526672;2.3.1,0.11753333359956741;1.14.14,0.0992923453450203;2.5.1,0.09598272293806076;4.1.1,0.033228304237127304"
R13043,"1.11.1,0.7382571697235107;5.3.3,0.22387893497943878;1.14.99,0.013422727584838867;4.2.1,0.006767815910279751;2.5.1,0.0038340308237820864"
R05222,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R12023,"1.14.19,0.8947135806083679;1.14.14,0.10289406776428223;1.14.13,0.0012023650342598557;4.1.99,0.000627844303380698;1.14.15,0.00025484294747002423"
R13273,"1.3.1,0.993392288684845;2.3.1,0.005394477862864733;1.3.99,0.0003284720587544143;1.1.1,0.0002659332531038672;1.6.99,0.00017579713312443346"
R08190,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R09563,"1.11.1,0.9982203841209412;5.3.4,0.0005599820869974792;1.8.3,0.0003695686173159629;1.8.1,0.00036153814289718866;1.11.2,0.0002664564526639879"
R09086,"3.6.1,0.3024560213088989;2.7.1,0.274019718170166;3.-.-,0.26955270767211914;3.1.3,0.05608541890978813;2.7.8,0.045325588434934616"
R05297,"4.2.1,0.9953742623329163;2.3.1,0.004157072398811579;3.2.1,0.00024415302323177457;5.4.4,0.00016924635565374047;1.14.-,8.44240730657475e-06"
R00842,"1.1.1,0.9160932302474976;1.3.1,0.04027075320482254;1.1.5,0.031323764473199844;2.7.1,0.010260060429573059;1.1.99,0.001354089006781578"
