reactionID,predictions
R10609,2.4.1;2.4.2;3.2.2;4.2.2
R13196,5.3.1;3.7.1;3.1.1;4.2.2
R01963,3.6.1;3.1.4;3.2.2;3.1.3
R02750,3.6.1;3.1.3;2.7.1;2.4.2
R08870,2.3.1;1.1.1;1.3.1;3.1.1
R00192,3.1.2;2.3.1;4.4.1;3.1.1
R03789,3.2.2;2.4.2;2.4.1;4.2.2
R02791,2.7.1;2.7.6;2.4.2;2.4.1
R08010,1.21.3;1.1.3;1.3.3;5.5.1
R05563,3.5.1;3.4.19;3.2.2;3.5.2
R00491,5.1.1;4.3.1;3.4.17;5.4.3
R12012,2.7.8;2.4.2;2.7.1;2.4.1
R04741,2.3.1;1.1.1;1.3.1;4.2.1
R04340,1.8.1;1.16.1;1.1.1;1.7.1
R01337,1.2.1;1.5.1;1.1.1;1.3.1
R00810,5.4.99;5.4.1;3.2.1;5.4.2
R08759,1.1.3;1.1.5;1.1.99;1.13.12
R05876,2.3.1;3.1.1;1.3.1;1.1.1
R02305,5.5.1;2.5.1;4.2.3;3.1.3
R03055,3.5.2;1.3.3;1.3.99;1.3.5
R09986,1.16.1;1.8.1;1.8.4;1.1.1
R13359,2.3.1;2.8.3;3.1.2;3.1.1
R13330,4.1.1;3.1.3;3.6.1;3.1.1
R12821,2.7.1;1.3.1;2.5.1;2.4.2
R07898,1.1.1;1.3.1;1.8.1;1.5.1
R02648,3.1.4;3.6.1;5.4.2;3.3.2
R06642,1.1.1;1.3.1;1.8.1;2.3.1
R04389,5.1.3;3.2.1;2.4.1;5.3.1
R00577,3.1.2;2.8.3;2.3.1;3.1.1
R03465,3.7.1;4.1.2;4.1.1;5.3.1
R04560,2.1.2;3.5.1;3.2.2;3.4.19
R02768,2.3.1;3.1.1;1.1.1;1.3.1
R08192,3.1.2;2.8.3;3.1.1;2.3.1
R08274,1.14.13;1.6.3;1.14.14;1.14.18
R02999,1.17.1;1.5.1;1.3.1;1.1.1
R08768,1.6.3;1.14.13;1.14.14;1.14.18
R10619,5.1.3;3.2.1;5.3.1;2.4.1
R05146,2.3.1;3.1.1;1.1.1;1.3.1
R00727,2.7.4;2.7.1;6.2.1;2.7.7
R01784,4.1.2;2.2.1;4.1.3;4.2.1
R05325,2.4.1;2.4.2;2.7.8;3.2.1
R10530,3.2.1;5.1.3;2.4.1;5.4.1
R08816,2.4.1;2.4.2;2.7.8;2.7.7
R03020,5.4.99;5.4.3;5.4.1;5.4.2
R00432,2.7.1;2.7.4;2.7.7;6.2.1
R08697,2.5.1;3.1.7;5.3.99;4.2.3
R13123,2.1.1;2.3.1;4.4.1;2.3.3
R06378,1.16.1;1.8.1;1.1.1;1.8.4
R03111,2.1.1;2.3.1;3.1.1;3.5.1
R00251,2.4.1;5.1.3;3.2.1;2.4.2
R05298,4.1.2;4.1.3;2.3.3;2.2.1
R00044,1.21.3;1.1.3;1.3.3;5.5.1
R07710,1.14.13;1.6.3;1.14.14;1.14.18
R01054,3.6.1;3.1.3;3.6.5;2.4.2
R00878,5.3.1;5.1.3;4.1.2;4.2.1
R05312,1.3.1;1.1.1;1.8.1;1.5.1
R00462,4.1.1;2.7.11;3.7.1;2.7.8
R08218,2.4.2;2.7.7;2.4.1;2.7.8
R07038,1.13.11;1.14.99;3.3.2;1.6.3
R13303,2.5.1;4.4.1;4.2.1;5.5.1
R06450,2.4.2;3.2.2;2.4.1;3.6.1
R04349,3.5.5;5.4.4;4.2.1;4.4.1
R00533,3.1.6;1.8.3;1.13.11;1.11.1
R01689,1.16.1;1.8.1;1.1.1;1.3.1
R09953,1.1.1;1.3.1;2.3.1;1.8.1
R06487,2.7.8;2.4.1;2.5.1;2.4.2
R10253,2.3.1;3.1.1;2.8.3;3.1.2
R05613,2.5.1;5.3.99;4.4.1;2.2.1
R12826,5.4.4;1.1.3;1.4.3;1.14.13
R10876,2.4.2;2.7.7;2.4.1;6.1.1
R07504,2.1.1;2.3.1;3.1.1;4.4.1
R03352,3.1.2;2.3.1;3.1.1;-
R12517,1.1.1;1.3.1;1.2.1;1.8.1
R08082,1.21.3;1.1.3;5.5.1;1.3.3
R01659,2.5.1;5.3.99;4.4.1;2.2.1
R12039,4.4.1;2.5.1;4.1.99;2.1.1
R03478,2.7.1;2.7.4;2.7.6;3.6.1
R03339,1.1.1;1.3.1;1.8.1;2.3.1
R05788,3.2.1;2.4.1;4.2.2;2.4.2
R06342,1.14.11;1.1.98;5.4.4;1.14.14
R09492,7.1.1;1.14.18;1.10.3;1.6.5
R12782,2.3.1;1.1.1;1.3.1;4.2.1
R04515,1.1.1;1.3.1;4.1.1;2.3.1
R09871,2.1.1;2.3.1;3.1.1;2.3.3
R08669,3.1.3;3.6.1;3.1.4;2.4.1
R12196,3.1.3;3.6.1;3.2.1;2.4.1
R00131,3.5.1;3.4.19;3.2.2;6.3.4
R07265,3.2.1;2.4.1;5.1.3;3.6.1
R07354,1.5.1;1.7.1;1.8.1;1.2.1
R06757,2.5.1;5.3.99;4.4.1;2.2.1
R06180,1.8.1;1.3.1;1.1.1;2.3.1
R05231,1.1.1;1.3.1;1.8.1;1.14.13
R12415,-;1.14.13;1.14.15;5.1.3
R08188,3.1.2;2.8.3;3.1.1;2.3.1
R12988,1.8.1;1.1.1;1.3.1;1.16.1
R02010,2.5.1;5.5.1;4.2.3;3.1.3
R00666,1.8.1;1.1.1;1.3.1;1.16.1
R01012,2.7.1;4.1.1;2.5.1;2.7.11
R12449,6.3.2;6.2.1;-;1.14.13
R00468,1.2.1;1.5.1;1.1.1;1.3.1
R09234,1.7.1;1.6.2;1.14.13;1.6.3
R01703,1.6.3;1.14.13;4.1.1;1.14.99
R11497,2.5.1;5.3.99;4.4.1;2.2.1
R04294,2.7.7;1.17.4;2.4.2;1.8.4
R10596,2.4.1;3.2.1;2.4.2;5.1.3
R02047,1.1.1;1.3.1;1.8.1;1.5.1
R11106,1.14.14;4.99.1;1.14.13;5.4.4
R05148,1.1.1;1.3.1;1.14.13;1.8.1
R06614,4.1.1;2.7.11;3.7.1;2.2.1
R13384,1.4.3;2.6.1;3.5.1;1.5.99
R04584,3.1.3;3.6.1;4.1.1;2.4.1
R08282,1.4.1;1.5.1;1.1.1;1.2.1
R00956,2.7.1;2.7.6;3.1.3;3.6.1
R04695,1.8.1;1.1.1;1.3.1;1.16.1
R09232,1.5.1;1.1.1;1.3.1;1.4.1
R11311,5.1.3;3.2.1;2.4.1;5.3.1
R12568,2.4.2;2.7.8;2.7.1;3.6.1
R04824,1.16.1;1.8.1;1.8.4;1.1.1
R03728,4.1.99;1.14.13;1.6.3;4.4.1
R10421,1.8.1;1.16.1;1.1.1;1.3.1
R10835,2.4.1;3.2.1;2.4.2;3.1.3
R05396,1.3.1;1.1.1;1.3.99;1.5.1
R11544,3.2.1;2.4.1;5.1.3;5.4.1
R13302,2.5.1;5.3.99;4.4.1;2.1.1
R02168,2.4.1;3.2.1;4.2.2;2.4.99
R06390,3.1.1;2.3.1;3.1.2;3.5.1
R00493,2.6.1;1.4.99;1.4.1;3.5.1
R12105,1.8.1;1.16.1;1.3.1;1.1.1
R04335,2.4.2;2.7.7;2.4.1;3.6.1
R07534,1.14.99;1.3.99;1.6.3;1.14.13
R05629,4.2.1;4.4.1;2.3.1;2.7.8
R10668,2.4.2;3.6.1;2.7.7;3.5.4
R06018,2.4.1;2.4.2;2.7.7;2.7.8
R11587,2.3.1;3.1.2;3.1.1;2.8.3
R01704,1.2.1;1.5.1;1.1.1;1.17.1
R07944,2.3.1;3.1.2;2.8.3;3.1.1
R02361,3.2.1;5.1.3;2.4.1;4.2.2
R04531,2.7.1;2.4.2;2.4.1;2.7.6
R03327,1.8.1;1.1.1;1.8.4;1.16.1
R06895,2.1.1;2.5.1;4.1.1;4.4.1
R03673,5.3.3;2.5.1;5.5.1;1.3.1
R02530,4.4.1;-;4.2.1;2.3.1
R12405,1.1.1;1.3.1;1.8.1;1.16.1
R04345,5.5.1;3.1.1;2.3.1;1.21.3
R12916,2.3.1;3.1.2;3.1.1;2.8.3
R11716,4.1.1;2.7.1;3.6.1;3.1.3
R04881,2.1.1;2.3.1;2.5.1;3.1.1
R10608,2.4.1;3.2.1;2.4.2;5.1.3
R01921,1.8.1;1.16.1;1.1.1;1.3.1
R00305,1.14.13;1.6.3;1.1.1;1.16.1
R08008,1.21.3;1.1.3;1.14.18;1.6.3
R00997,3.5.99;5.3.1;3.5.4;3.5.1
R00253,2.4.2;3.5.4;2.7.1;3.6.1
R10472,2.1.1;2.3.1;2.5.1;4.4.1
R02596,3.4.21;3.4.22;3.4.24;3.4.23
R02684,1.8.1;1.16.1;1.1.1;1.3.1
R09951,1.1.1;1.3.1;1.8.1;2.3.1
R03256,3.2.1;5.4.1;5.1.3;2.4.1
R11947,1.8.4;1.8.1;1.11.1;4.4.1
R02191,3.2.1;3.1.2;2.3.1;3.1.1
R10122,1.8.1;1.3.1;1.1.1;2.3.1
R13185,2.1.1;2.3.1;2.7.1;2.5.1
R08036,2.3.1;3.1.2;3.1.1;2.8.3
R03227,1.8.1;1.1.1;1.3.1;1.16.1
R09251,2.5.1;5.3.99;2.2.1;4.4.1
R09478,1.1.1;1.3.1;1.8.1;1.16.1
R07459,2.7.1;2.4.2;2.5.1;2.4.1
R05176,5.1.3;3.2.1;5.3.1;2.4.1
R08240,1.1.1;1.3.1;1.8.1;1.16.1
R12963,3.2.1;5.1.3;3.5.1;2.4.1
R06787,1.14.13;1.6.3;1.14.14;1.14.18
R03390,2.5.1;4.4.1;2.1.1;5.3.99
R11875,1.1.1;1.3.1;1.14.13;1.5.1
R01332,3.2.1;5.1.3;2.4.1;5.4.1
R11876,1.8.1;1.16.1;1.8.4;1.1.1
R01619,3.6.1;3.1.4;3.1.3;5.4.2
R13253,3.2.1;5.4.1;5.1.3;2.4.1
R03300,1.1.1;1.3.1;1.2.1;1.8.1
R12816,2.4.1;3.2.1;3.6.1;3.1.3
R10587,2.1.1;2.3.1;3.1.1;2.7.1
R07293,3.1.1;3.5.1;2.3.1;3.2.2
R12998,4.6.1;5.4.2;3.1.7;3.1.4
R03162,3.2.1;4.2.2;5.1.3;2.4.1
R04967,1.8.1;1.16.1;1.3.1;1.1.1
