Reaction name,SIMMER pred
R12617,3.5.4
R09296,5.4.99
R10051,5.5.1
R08232,2.7.1
R04515,
R01214,2.6.1
R13303,2.5.1
R11784,2.7.1
R10472,2.1.1
R08082,1.14.11
R05636,
R12729,3.1.4
R01337,1.14.13;1.17.1;1.1.1
R04051,2.6.1
R02010,4.2.3
R02997,3.1.1;3.2.1
R08197,
R10558,1.13.11
R00113,1.14.13;1.1.1
R07938,2.3.1
R04531,2.4.1
R12843,2.1.1
R10135,3.1.1
R00754,1.17.1;1.1.1
R04480,2.3.1
R10644,2.8.3
R07459,
R05563,3.5.1
R07270,2.5.1
R07747,1.5.1;1.1.1
R10448,2.1.1
R10288,4.2.1
R03327,1.1.1
R02791,2.4.1
R09781,2.4.1
R02305,4.2.3
R10609,2.4.2;2.4.1
R00554,2.7.3;2.7.7;2.7.1
R13096,2.3.1
R08095,2.3.1
R00416,2.7.7;2.4.1
R09711,5.4.99
R10524,2.1.1
R02361,3.2.1
R06821,2.3.1
R10253,2.3.1
R06917,1.14.13;1.14.12;1.1.1
R03963,1.2.1;1.1.1
R04420,5.3.1
R07339,2.4.2;2.4.1
R02085,4.2.1
R09450,2.3.1
R00304,3.1.3
R09871,2.1.1
R10883,5.1.3
R09951,1.1.1
R02227,2.7.1
R00462,4.1.1
R13025,3.5.4
R13253,3.2.1
R06450,3.2.1;2.4.1
R10596,2.4.1
R02336,3.8.1
R03339,1.1.1
R12517,1.5.1;1.2.1;1.1.1
R03315,2.7.1
R05236,1.14.13;1.1.1
R00727,6.2.1;2.3.1
R08604,1.3.1;1.1.1
R10254,2.3.1
R01689,1.14.12;1.1.1
R11716,4.1.1
R05412,1.13.11
R00432,6.2.1;2.3.1
R08192,2.3.1
R03761,1.14.12;1.3.1;1.1.1
R13125,2.4.1
R10692,1.3.1
R07962,1.3.1;1.1.1
R02087,5.1.3
R10985,1.14.12;1.1.1
R08283,1.14.13;1.1.1
R00493,5.3.3
R07944,2.3.1
R00468,1.2.1
R00705,1.2.1
R09405,1.5.1;1.1.1
R03176,1.1.1
R05169,3.5.1
R09478,1.2.1;1.14.13;1.1.1
R03055,3.5.2;3.5.1
R02047,1.2.1;1.1.1
R11842,4.2.3
R00856,2.7.7
R06180,1.14.12;1.1.1
R04073,1.14.11
