Reaction ID,Theia
R02997,"3.1.1,0.9998903274536133;2.3.1,3.761938205570914e-05;3.1.2,3.502307663438842e-05;3.2.1,2.9257183996378444e-05;3.1.-,2.455043613736052e-06"
R05764,"2.1.1,1.0;2.3.1,5.686120463366251e-10;2.5.1,3.521571922959765e-11;3.5.1,1.8164636461648342e-11;3.1.1,1.7461797632845055e-11"
R10549,"1.2.1,0.9988009929656982;1.3.1,0.0010792287066578865;1.1.1,5.296220479067415e-05;1.8.1,3.8101796235423535e-05;1.5.1,9.214129931933712e-06"
R01488,"1.1.1,0.9811286926269531;1.3.1,0.008926132693886757;1.2.1,0.00615688506513834;1.-.-,0.0032912997994571924;1.1.99,0.00011024058039765805"
R02610,"1.3.1,0.7536909580230713;1.3.99,0.20769797265529633;1.1.1,0.03738664835691452;1.3.3,0.00033063587034121156;1.3.8,0.00019239123503211886"
R02954,"1.3.1,0.9996988773345947;4.2.1,0.00023098841484170407;1.2.1,1.734150282572955e-05;1.1.1,1.0611926882120315e-05;5.3.3,8.67217022459954e-06"
R09129,"1.1.1,0.9663081765174866;1.-.-,0.03366592898964882;1.3.1,5.59503450858756e-06;1.14.13,5.585528469964629e-06;1.1.5,2.6640293526725145e-06"
R07212,"1.14.16,0.9999998807907104;1.14.18,6.246202133297629e-08;4.2.1,1.2935453597151536e-08;1.14.13,1.6245462752806361e-09;2.1.1,1.4401634329530566e-09"
R08035,"1.8.99,0.9750511646270752;1.14.13,0.010723046027123928;1.7.1,0.004633639473468065;1.-.-,0.0016046013915911317;2.5.1,0.0014483549166470766"
R07447,"1.3.1,0.7536909580230713;1.3.99,0.20769797265529633;1.1.1,0.03738664835691452;1.3.3,0.00033063587034121156;1.3.8,0.00019239123503211886"
R08304,"1.14.13,0.7950557470321655;1.14.14,0.20439352095127106;1.14.99,0.0002048846217803657;1.11.1,0.00015283327957149595;1.14.12,3.7872130633331835e-05"
R04844,"1.1.1,0.9977579712867737;2.7.1,0.0016356316627934575;5.3.1,0.00030311912996694446;1.-.-,5.135302126291208e-05;1.3.1,4.3877007556147873e-05"
R12636,"2.4.99,0.8973079323768616;2.4.1,0.04924098402261734;3.1.3,0.048053231090307236;3.1.4,0.0022983273956924677;2.7.7,0.0013210776960477233"
R11072,"3.5.4,0.9993793964385986;3.5.99,0.0005393790197558701;3.3.1,1.1418010217312258e-05;4.2.1,9.011155270854943e-06;3.3.2,7.908519364718813e-06"
R09680,"3.5.1,0.9988583326339722;3.4.19,0.00024280554498545825;3.4.17,0.0002110565546900034;2.3.2,0.00019852053083013743;4.3.2,9.673263411968946e-05"
R11953,"2.1.1,0.999997615814209;2.-.-,1.1961726613662904e-06;2.5.1,2.0017368740354868e-07;1.3.98,1.7769077942375588e-07;4.3.3,9.705186698738544e-08"
R09099,"2.1.2,0.995105504989624;4.3.1,0.0020891432650387287;4.2.1,0.0008621110464446247;1.4.4,0.0006905377958901227;3.4.13,0.0005048176972195506"
R11589,"2.3.1,0.8615890145301819;4.1.1,0.09070349484682083;4.2.1,0.014981362037360668;1.1.1,0.007132717873901129;5.3.3,0.006559738423675299"
R04555,"2.7.1,0.812363862991333;3.1.3,0.11025133728981018;2.7.11,0.04995720461010933;3.1.4,0.011682514101266861;3.6.1,0.00495277950540185"
R06921,"1.13.-,0.999940037727356;5.3.99,4.4440585043048486e-05;4.2.1,7.359476512647234e-06;1.14.14,6.405338808690431e-06;1.14.-,8.684546628501266e-07"
R00841,"3.1.3,0.969798743724823;3.6.1,0.023781685158610344;2.7.1,0.0035563099663704634;3.1.4,0.002633315045386553;4.6.1,0.00014717991871293634"
R12236,"1.3.1,0.9760634899139404;2.3.1,0.023614125326275826;1.1.1,0.00016825919738039374;1.3.99,5.685047653969377e-05;1.3.3,2.0297551600378938e-05"
