Reaction ID,BridgIT
R10283,4.1.3.16;4.1.2.18;4.1.1.3;1.1.1.38;2.1.2.11;4.1.99.12;4.2.1.155;4.2.99.21;1.3.8.6;3.1.1.82
R09329,1.1.1.362;2.3.1.85;1.2.1.82;1.3.1.20;5.3.3.1;1.17.1.4;1.1.3.16;5.4.99.3;4.1.1.56;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
R09780,1.1.1.86;5.4.99.3;4.1.1.5;4.2.1.155;1.1.3.15;1.1.5.4;1.2.1.89;1.4.3.5;1.1.99.9;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
R13368,4.2.1.22;3.1.2.11;3.3.2.15;2.3.1.85;3.1.1.55;1.14.14.1;3.3.1.1;3.7.1.8;2.1.1.246;2.5.1.18;3.2.2.1;3.2.1.86
R00150,
R03402,1.13.11.84;1.13.12.23;1.13.99.1;1.14.13.239
R00761,
R08125,
R11346,
R09726,2.7.7.75;2.7.4.12;2.7.2.6;2.7.3.8;2.7.1.82;6.3.5.5;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.8.38;2.7.6.1;2.7.99.1
R07025,2.3.1.196;2.3.2.14;2.3.3.13;2.1.2.5;6.3.4.10;2.1.3.2;6.2.1.50;6.3.1.20;6.1.2.2;1.2.1.95
R01395,2.7.7.96;2.7.1.86;2.7.2.2;6.3.5.5;2.7.3.3;2.7.14.1;2.7.11.4;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
R07043,1.13.11.16;1.13.12.23;1.13.99.1;1.14.13.239
R00672,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
R09890,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R11420,2.4.1.66;2.4.2.9;2.4.99.7
R05035,2.1.1.76;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R08965,
R02983,1.1.1.22;1.2.1.72;2.3.1.85;1.17.1.4;1.3.1.20;5.3.3.1;4.1.1.104;1.1.3.10;1.1.99.18;5.4.99.3;1.1.5.4;1.4.3.5;4.2.1.155
R00673,4.1.99.1;4.1.2.45;4.1.1.3;4.1.3.39;1.1.1.38;2.1.2.11;4.2.99.21;4.2.1.20;1.3.8.6;3.1.1.82
R10280,2.4.2.7;2.4.1.118;2.4.99.18
R05475,1.14.12.18;1.14.13.236;1.14.14.1;1.14.15.3;1.14.18.1;1.2.3.9;1.14.99.2;1.14.21.11;1.14.16.4;1.14.11.40;1.10.3.4;1.14.19.19
R01717,1.13.11.56;1.13.12.23;1.13.99.1;1.14.13.239
R12028,
R11860,2.5.1.62;2.4.1.39;1.3.1.96;2.4.2.34;2.1.3.12;4.4.1.20
R07684,1.13.11.38;1.13.12.23;1.13.99.1;1.14.13.239
