Reaction ID,SelenzymeRF
R10283,4.1.3.16|4.1.3.17|4.1.3.42;4.1.1.3|4.1.2.14|4.1.3.16;4.1.2|4.1.3.39
R09329,1.1.1.362;1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R09780,5.3.1.27;2.2.1.1;5.3.1.6
R13368,3.5.1.124;2.3.2.36;2.8.1.11|2.8.1.4
R00150,6.3.4.16|6.3.5.5
R03402,5.3.99.6;1.3.1.42;4.2.1.92;2.1.1.79;1.14.19.25;1.14.19.33;1.14.19.16;1.14.19.35;1.14.19.34;3.1.2.14;3.5.1.127;2.3.1.-|2.3.1.85|2.3.1.86|4.2.1.59
R00761,4.1.2.22;2.2.1.1;4.1.2.22|4.1.2.9;2.5.1.54|2.5.1.55|4.1.2.15
R08125,5.3.1.8|5.3.1.9
R11346,1.14.12.-|1.14.12.10;1.14.13.87;1.14.13.223;1.14.18.9;1.14.13.-|1.14.13.218;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3
R09726,2.7.7.96;2.7.7.2;2.7.4.3
R07025,2.5.1.18
R01395,2.7.1.40;6.3.5.5
R07043,1.14.14.1
R00672,2.1.3.3
R09890,4.2.3.90;4.2.3.198;4.2.3.86;4.2.3.198|4.2.3.66;2.5.1.20;4.2.3.85;4.2.3.169;3.1.7.7|4.2.3.194;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;2.5.1.87;4.2.3.21;4.2.3.17;4.2.3.67;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.181;4.2.3.172;4.2.3.77;4.2.3.93;4.2.3.69;4.2.3.83;4.2.3.79;4.2.3.7;4.2.3.-|4.2.3.129;4.2.3.160;4.2.3|4.2.3.-|4.2.3.56;4.2.3.73;4.2.3.61;4.2.3.9;4.2.3.75;4.2.3.87;4.2.3.54;4.2.3.81;4.2.3.6
R11420,2.4.1.327;2.4.1.322;2.4.1.-|2.4.1.326;2.4.1.-|2.4.1.318;2.4.2.27;2.4.1.325;2.4.1.311;2.4.1.-|2.4.1.328;2.4.1.-|2.4.1.289;5.4.2.7
R05035,2.1.1.76;2.1.1.88;2.1.1.155;2.1.1.169;2.1.1.149|2.1.1.169|2.1.1.267|2.1.1.76;2.1.1.-|2.1.1.267|2.1.1.42;2.1.1.70|2.1.1.93;2.1.1.155|2.1.1.75;2.1.1.117;2.1.1.212|2.1.1.46;2.1.1.64
R08965,1.14.18.1;1.13.12.-|1.14.13.210;1.10.3.1|1.14.18.1;1.13.11.8;1.13.11.57|1.13.11.8;1.13.11.4;1.14.18.3;1.14.14.25;1.14.14.23;1.14.14.32;1.14.14.139;1.14.14.26;1.14.14.37;1.14.14.147;1.14.14.176;1.14.14.138
R02983,1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R00673,4.1.99.1;4.2.1.122;4.2.1.122|4.2.1.20
R10280,3.2.2.19;3.2.2.24;3.6.1.21|3.6.1.9
R05475,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.-|1.14.12.26;1.14.13.131;1.14.13.245;1.14.13.69;1.14.13.223;1.6.5.4;1.14.13.87;1.14.12.17
R01717,4.1.1.68;4.1.1.77;1.3.1.87;1.14.12.10;1.3.1.56;1.3.1.19;1.14.12.19;1.14.12.18;1.13.11.2;1.13.11.1|1.13.11.M6;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39
R12028,1.14.19.56;1.14.14.15;1.14.19.9;1.14.14.13;1.3.8.1|1.3.8.4|1.3.8.7;1.3.8.2;1.14.14.3;1.1.99.21;1.14.14.5;1.1.99.31;1.14.14.133;1.14.14.46;1.14.14.8;1.1.99.1
R11860,2.7.7.91;1.3.1.96|2.5.1.21;2.4.1.266;2.5.1.39
R07684,1.13.11.38;1.13.11.-|1.13.11.3;1.13.11.-|1.13.11.39;1.13.11.-|1.13.11.56;1.13.11.4;1.14.18.1;1.14.14.154;1.14.14.78;1.14.14.115;1.14.14.126;1.14.14.111;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
R00209,1.1.1.36;1.1.1.211|1.1.1.35
R12413,2.6.1.57;3.4.15.1;3.4.11.17;2.3.2.21;3.4.21.39;3.4.17.12;2.3.2.20;3.4.16.5;3.4.23.43;2.6.1.7;5.1.99.5;3.4.21.10|3.4.21.59
R10576,1.14.13.26;1.14.18.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.7.2.1|7.1.1.9
R01155,2.6.1.29;2.6.1.36;2.6.1.19;1.14.11.17;2.6.1.82;2.6.1.-|2.6.1.76;2.6.1.48;2.6.1.-|2.6.1.116|2.6.1.af;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
