Reaction ID,Theia
R10283,"4.1.3,0.9972852468490601;4.1.2,0.0017500888789072633;1.1.99,0.0006214496097527444;4.2.1,7.612579793203622e-05;1.1.3,5.932337080594152e-05"
R09329,"1.1.1,0.99835205078125;1.3.1,0.0012441948056221008;1.-.-,0.00012953091936651617;1.2.1,0.00011586741311475635;1.8.1,4.9938520533032715e-05"
R09780,"5.1.3,0.9916786551475525;5.-.-,0.004650781396776438;5.3.1,0.0014394607860594988;1.1.1,0.0006399867124855518;4.1.2,0.00046192097943276167"
R13368,"2.5.1,0.46404939889907837;3.5.1,0.36006346344947815;1.8.4,0.09736822545528412;3.2.1,0.06262295693159103;2.7.1,0.0031537499744445086"
R00150,"6.3.4,0.6632506847381592;6.3.5,0.3271236717700958;2.7.2,0.00695103919133544;3.5.1,0.0015084000770002604;3.5.4,0.00029151735361665487"
R03402,"5.3.99,0.9912075996398926;4.2.1,0.007658647373318672;5.3.3,0.00034155999310314655;5.99.1,0.0002482461859472096;4.4.1,0.0001775179844116792"
R00761,"4.1.2,0.9995881915092468;4.2.1,0.00022386369528248906;2.3.3,4.296408224035986e-05;4.3.3,2.2634198103332892e-05;4.1.3,2.0648685676860623e-05"
R08125,"3.7.1,0.7108576893806458;3.2.1,0.2515081763267517;3.1.1,0.028915733098983765;5.3.99,0.0015034861862659454;3.5.-,0.001491466537117958"
R11346,"1.14.13,0.8730368614196777;1.14.12,0.03043793886899948;1.14.14,0.02934718318283558;1.2.1,0.022709602490067482;4.1.99,0.013993501663208008"
R09726,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R07025,"2.5.1,0.9999910593032837;2.1.1,6.774867870262824e-06;5.3.99,8.850848303154635e-07;4.2.99,3.9325922784883005e-07;5.3.3,3.623630675519962e-07"
R01395,"2.7.2,0.9998950958251953;6.3.5,7.418353197863325e-05;2.7.4,2.241671427327674e-05;2.7.1,5.119425168231828e-06;2.1.1,1.574322141095763e-06"
R07043,"1.14.14,0.5934213399887085;5.4.4,0.3246335983276367;3.3.2,0.07243146747350693;1.14.13,0.004577385727316141;1.13.11,0.003933663014322519"
R00672,"5.1.1,0.9997907280921936;2.6.1,6.206567923072726e-05;2.3.2,5.689772297046147e-05;3.4.16,3.702412504935637e-05;1.5.99,1.552334833831992e-05"
R09890,"4.2.3,0.8322586417198181;5.5.1,0.16754809021949768;3.1.7,0.00017392700829077512;4.3.2,1.609233186172787e-05;5.3.3,1.954934077730286e-06"
R11420,"2.4.2,0.9438127875328064;2.4.1,0.05590111389756203;2.4.-,0.00025574947358109057;2.3.1,2.2619811716140248e-05;3.2.1,6.18979538558051e-06"
R05035,"2.1.1,1.0;1.-.-,4.2526013960264564e-11;2.3.1,8.639337509275258e-12;2.5.1,4.066078636982828e-12;6.3.2,2.3154698644556326e-12"
R08965,"1.14.18,0.9999630451202393;1.10.3,1.975881605176255e-05;1.14.13,1.1383436685719062e-05;1.14.16,5.554812105401652e-06;1.14.14,1.0758756729956076e-07"
R02983,"1.1.1,0.9926050901412964;1.2.1,0.004534794483333826;4.2.1,0.0005175443948246539;1.-.-,0.00025805406039580703;1.8.1,0.00025333522353321314"
R00673,"4.1.99,0.9289309978485107;4.4.1,0.049406979233026505;4.2.1,0.01974770985543728;4.3.3,0.0009258446516469121;4.3.1,0.0006707267020829022"
R10280,"5.1.99,0.9999934434890747;4.2.1,4.461564913071925e-06;5.2.1,7.916537470009644e-07;2.A.3,1.7577924893430463e-07;1.97.1,1.6854926343512489e-07"
R05475,"1.14.12,0.9995803236961365;1.3.1,0.0003903960750903934;1.11.1,1.0388058399257716e-05;1.14.21,8.221910320571624e-06;1.3.3,2.3630668692931067e-06"
R01717,"5.4.4,0.7771037220954895;5.4.99,0.14078247547149658;3.3.2,0.044003210961818695;5.5.1,0.008112188428640366;5.2.1,0.005237946752458811"
R12028,"1.14.19,0.9999178647994995;1.14.14,5.5354783398797736e-05;1.14.99,7.659008588234428e-06;1.9.3,6.651876901742071e-06;1.16.3,4.672624982049456e-06"
R11860,"4.2.3,0.947442352771759;2.5.1,0.045419540256261826;5.5.1,0.0038091526366770267;5.3.3,0.0014752703718841076;4.3.2,0.0005631871754303575"
R07684,"1.13.11,0.9999057054519653;1.14.99,6.344771099975333e-05;1.1.3,9.104117452807259e-06;1.1.99,8.694959433341864e-06;1.-.-,3.694596443892806e-06"
