Reaction ID,Theia
R09087,"2.7.4,0.9838788509368896;2.7.1,0.014560949057340622;2.1.1,0.000783788796979934;6.3.2,0.00010656096128514037;1.6.1,9.912360837915912e-05"
R12242,"2.3.1,0.9987367987632751;2.6.1,0.000729705672711134;3.1.1,0.00018727866699919105;3.2.1,0.00015408400213345885;2.7.7,5.162919842405245e-05"
R09450,"3.1.2,0.7654543519020081;3.1.1,0.19905193150043488;2.3.1,0.026324504986405373;6.2.1,0.008727301843464375;2.3.3,0.00033464899752289057"
R04436,"2.1.1,1.0;2.3.1,4.40243530519524e-09;2.5.1,7.06715380660583e-11;3.1.1,2.4588660968438703e-11;1.-.-,1.7882540934155422e-11"
R03105,"2.8.1,0.7326396703720093;1.8.4,0.2019670605659485;5.3.4,0.02978411875665188;1.8.5,0.028530403971672058;1.8.1,0.0032870140857994556"
R09097,"1.2.1,0.9975618124008179;2.3.1,0.0013458403991535306;1.5.1,0.00037034109118394554;1.3.1,0.000327355315675959;1.8.1,0.00016475300071761012"
R04582,"6.3.4,0.9997733235359192;3.5.1,0.00010071044380310923;6.4.1,8.525219891453162e-05;2.7.2,2.157403105229605e-05;6.3.5,5.808942660223693e-06"
R00913,"3.5.3,0.9982680082321167;3.5.1,0.0006223017117008567;3.2.1,0.0005875105271115899;3.5.4,0.00010427989764139056;3.4.11,4.626439476851374e-05"
R01999,"2.3.1,0.9995848536491394;1.2.1,0.00020498903177212924;3.1.2,0.0001654436346143484;2.5.1,3.0447665267274715e-05;2.3.3,3.0801388675172348e-06"
R10424,"2.7.7,0.5397860407829285;2.4.1,0.4482607841491699;6.2.1,0.0033390375319868326;2.7.4,0.0010185149731114507;2.5.1,0.0006569696124643087"
R03544,"1.1.1,0.9770804643630981;1.2.1,0.020993025973439217;1.-.-,0.0011165724135935307;1.1.-,0.00040654922486282885;1.5.1,0.0001817333686631173"
R00959,"5.4.2,0.9930753707885742;2.7.1,0.005466007627546787;3.1.3,0.0008289818069897592;2.7.7,0.00032671610824763775;2.7.8,0.0002130431093974039"
R11246,"2.7.1,0.5991008877754211;2.7.4,0.3426414728164673;6.2.1,0.020196635276079178;2.1.1,0.008959753438830376;2.7.2,0.007100958842784166"
R12946,"1.8.4,0.4335082471370697;1.8.5,0.36691853404045105;1.8.1,0.06995026767253876;2.8.1,0.05373435840010643;5.3.3,0.042868517339229584"
R00243,"1.4.1,0.9999667406082153;1.5.1,1.404504928359529e-05;1.5.99,5.995509582135128e-06;1.4.3,3.5965870210930007e-06;1.7.1,1.6848249515533098e-06"
R05790,"3.1.3,0.946784257888794;3.6.1,0.02763316035270691;3.2.1,0.0242137610912323;3.1.4,0.0005132764927111566;4.2.1,0.0002602682216092944"
R00430,"2.7.1,0.8019711971282959;2.7.9,0.19148844480514526;4.1.1,0.0049536763690412045;2.5.1,0.0007555287447758019;2.7.4,0.0002942866994999349"
