Reaction,All ECs
R00424,3.5.4.16
R00430,2.7.1.40;2.7.9.1;2.7.3.9
R00483,3.5.1.1;6.3.5.4;3.5.1.3;3.6.1.5;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
R00710,4.1.2.30;1.2.1|1.2.1.19|1.2.1.24|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.48|1.2.1.5|1.2.1.69|1.2.1.88
R00733,1.3.1.43;1.3.1.121;1.6.3.2;1.3.1.78|1.3.1.79;1.6.5.4;1.4.1.27;1.5.1.6;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R00764,2.7.1.90;3.1.3.11
R00928,2.8.3.8;2.8.3.10;2.8.3.1|2.8.3.8;2.8.3.-|2.8.3.8|2.8.3.9;2.1.3.1;1.3.8.7|1.3.8.8;1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134
R01054,2.7.7.96;3.6.1.-|3.6.1.13|3.6.1.21|3.6.1.53;2.7.1.15;2.7.7.2;2.7.1.1
R01377,4.1.1.-|4.1.1.43|4.1.4.3;1.13.11.27;4.1.1.109;4.1.1.1|4.1.1.7;4.1.1.43|4.1.1.74;2.6.1.7;4.1.1.90;2.3.1.230;1.14.12.13;2.3.1.146;4.1.1.119;2.5.1.74;2.3.1.180
R01621,4.1.2.22|4.1.2.9;2.2.1.1;4.3.3.6
R01870,2.4.2.10
R01899,1.6.5.4;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R01930,1.8.99.5;3.1.6.1;3.1.6.19;2.5.1.47;1.8.2.1|1.8.3.1;3.1.6.20;1.11.1.19
R02011,4.2.3.117;4.2.3.116;2.5.1.39
R02227,2.7.1.40;2.7.1.95;2.7.1.72;2.7.1.87;2.7.1.163;3.6.1.21;3.6.1.5
R02243,5.5.1.1;2.3.1.180
R02428,1.1.1.179|1.1.1.376;1.1.1.175|1.1.1.376|1.1.1.46;3.1.1.15;1.1.1.117|1.1.1.179|1.3.1.20;1.1.1.107|1.1.1.116|1.1.1.122;1.1.99.28;5.1.3.31;5.1.3.30|5.1.3.31;1.1.1.370;1.1.1.121;3.2.1.7;1.1.1.346;2.4.1.140;3.1.1.17;2.4.1.13;1.1.99.35;2.7.1.3;2.7.1.11|2.7.1.3
R02430,2.7.1.215;2.7.1.40;5.4.2.7
R02473,3.6.1.5;6.3.2.1
R02478,2.4.1.17;2.4.1.173;2.4.1.192;2.8.2.15;2.4.1.52;2.4.1.-|2.4.1.254;2.4.1.276;2.4.1.368|2.4.1.dx;2.4.1.364|2.4.1.dt;2.4.1.367;2.4.1.350;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.210;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.38|2.4.1.90
R02517,1.14.13.63;1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.3|1.14.14.9;1.14.13.240;1.14.13.2|1.14.13.33;1.14.12.22;1.14.12.14;1.14.12.-|1.14.12.10;1.14.13.84;1.14.14.43|1.14.14.45;1.14.13.87;1.14.13.8
R02718,3.6.1.5;6.3.2.14;1.1.1.117;1.1.1.46;6.3.2.39;2.7.1.20|2.7.1.74;6.1.1.15
R02769,2.5.1.56|2.5.1.57;3.1.3.29;2.5.1.132;2.5.1.55
R02925,1.1.99.21;2.1.1.74
R02930,3.1.2.6
R03094,2.4.1.121;2.4.1.17;2.4.1.185;2.4.1.126;2.4.1.35;2.4.1.177;2.4.1.91;2.4.1.136;2.4.1.120|2.4.1.126;2.4.1.357;2.4.1.234;2.4.1.220;2.4.1.-|2.4.1.286;2.4.1.63;3.6.1.45;6.2.1.13
R03177,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R03390,2.3.1.101;2.1.1.258;2.1.1.245;2.1.1.86;1.2.7.12;4.2.1.147|4.3.-.-;1.2.7.4|1.2.99.2|2.1.1.-|2.3.1.-|2.3.1.169
R03393,3.1.3.62;3.1.3.57|3.1.3.7;3.1.3.36;3.1.3.64;2.7.8.34;3.1.4.11
R03396,1.1.1.133;1.1.1.271;1.1.1.135|1.1.1.187;1.1.1.187|1.1.1.281;1.1.1.339|1.1.1.344;1.1.1.266;1.1.1.364;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R03503,2.7.6.3;2.7.1.20|2.7.1.74;3.6.1.5;3.6.1.21;2.7.1.21
R03688,4.2.1.90;4.2.1.68;4.2.1.67;4.2.1.8;4.2.1.68|4.2.1.7;4.2.1.146|4.2.1.68
