Reaction ID,Prediction
R03429,"2.7.1,0.9999059438705444;2.7.4,4.368340159999207e-05;4.6.1,2.808843055390753e-05;3.1.3,7.124783223844133e-06;2.3.1,5.444474481919315e-06"
R11942,"3.2.1,0.9999963045120239;2.4.1,1.7042333411154686e-06;3.7.1,5.414082124843844e-07;5.1.3,2.4482855565111095e-07;3.1.4,2.3731408305138757e-07"
R05684,"1.1.1,0.9996956586837769;1.1.99,0.00016908156976569444;1.3.1,3.845732135232538e-05;2.7.1,2.461604162817821e-05;1.-.-,1.606013574928511e-05"
R00265,"1.2.4,0.634905219078064;1.2.1,0.2346312552690506;2.3.1,0.10413695871829987;1.8.1,0.022465422749519348;1.1.1,0.0024351298343390226"
R09911,"5.4.99,0.9999985694885254;1.14.13,9.902435067488113e-07;4.2.1,2.1864636323698505e-07;5.4.4,6.391196905042307e-08;5.4.1,2.2221717799197904e-08"
R03828,"2.3.1,0.13771112263202667;2.7.4,0.1075223833322525;2.4.1,0.0703362226486206;5.1.3,0.06864072382450104;2.7.8,0.04989016056060791"
R07250,"2.3.1,0.9999982118606567;3.1.2,1.4358626003740937e-06;1.2.3,2.68554060767201e-07;3.1.1,4.737490399975286e-08;6.2.1,1.608413313647361e-08"
R11862,"2.3.2,0.739766538143158;4.3.2,0.23154310882091522;2.3.1,0.011309223249554634;6.2.1,0.0032712791580706835;4.1.1,0.0015162723138928413"
R09946,"2.7.1,0.6015021204948425;2.7.4,0.3113462030887604;2.1.1,0.08211196213960648;2.7.7,0.0018704989925026894;6.2.1,0.0011846210109069943"
R05114,"2.4.99,0.8211254477500916;3.1.3,0.12527433037757874;2.7.7,0.023213347420096397;2.3.2,0.02229173108935356;3.1.4,0.002003513975068927"
R09552,"1.1.99,0.9993699193000793;1.1.2,0.0005529061309061944;1.1.1,4.11832588724792e-05;1.1.5,2.2366979465004988e-05;1.-.-,3.485765319055645e-06"
R10105,"1.2.1,0.9306342601776123;1.1.1,0.05672765150666237;1.5.1,0.008678841404616833;1.4.1,0.0006315135979093611;1.14.13,0.0005912476335652173"
R06690,"1.14.13,0.7225480675697327;1.14.14,0.1968994289636612;1.14.99,0.0772266685962677;1.14.15,0.0012053801910951734;1.14.-,0.0005885483114980161"
R03438,"2.3.1,0.9997653365135193;3.1.2,0.00019830514793284237;3.1.1,3.371957427589223e-05;6.2.1,1.3292327594172093e-06;2.5.1,3.1878013828645635e-07"
R11926,"6.2.1,0.9929592609405518;2.3.1,0.0067554619163274765;3.1.2,0.0001577898219693452;5.1.99,7.043317600619048e-05;6.3.2,1.1064636964874808e-05"
R09613,"2.1.1,1.0;2.3.1,2.2570162405699534e-10;2.5.1,2.1087510210238136e-11;1.3.98,6.264863194188619e-12;4.3.3,5.7532286226735785e-12"
R03032,"4.2.1,0.9812255501747131;3.2.1,0.00799405388534069;3.7.1,0.0041119735687971115;1.1.1,0.0018808605382218957;4.1.3,0.0009065337362699211"
R02631,"2.7.1,0.9999960660934448;2.7.3,2.1339144495868823e-06;2.7.13,1.3273856893647462e-06;2.7.11,2.8639541937991453e-07;2.3.1,5.8866078234132146e-08"
R02349,"1.1.1,0.9899795055389404;1.3.1,0.006660049315541983;2.3.1,0.0011964177247136831;1.14.14,0.0005644456832669675;1.-.-,0.0004052249132655561"
R03592,"1.1.1,0.9999814033508301;1.3.1,7.391391136479797e-06;1.-.-,2.737614977377234e-06;1.8.1,1.9839264950860525e-06;1.6.5,1.2419227459758986e-06"
R00421,"1.1.1,0.9927622675895691;1.2.1,0.004656151868402958;1.14.13,0.000347170396707952;1.8.1,0.0002910330949816853;1.17.1,0.00027324180700816214"
R07376,"2.7.8,0.9995155334472656;3.1.4,0.00022514119336847216;3.1.3,8.76917620189488e-05;2.6.1,7.182184344856068e-05;2.3.1,2.2163516405271366e-05"
R10242,"1.3.1,0.7697197794914246;1.3.99,0.2245928943157196;1.1.1,0.005138011649250984;1.3.3,0.00021926520275883377;1.3.8,0.00010119008948095143"
R02119,"2.4.2,0.9999760389328003;2.4.-,1.1806841030193027e-05;2.7.6,5.4069373618403915e-06;3.2.2,2.2966862616158323e-06;2.3.1,1.1303774272164446e-06"
R05757,"2.1.1,1.0;2.3.1,5.461640254639244e-13;4.3.3,1.8083173576165928e-13;6.3.2,7.81403953586772e-14;2.5.1,5.837506449361471e-14"
R00434,"4.6.1,0.8670641183853149;3.1.4,0.10802365094423294;2.7.1,0.018792133778333664;3.6.1,0.0035507355351001024;6.2.1,0.0006504444172605872"
R05635,"1.1.1,0.44990748167037964;1.11.1,0.2797020673751831;3.1.1,0.16229362785816193;2.3.1,0.06865793466567993;2.5.1,0.019883055239915848"
R13133,"4.99.1,0.4059329926967621;3.5.5,0.1531800478696823;4.2.1,0.14440298080444336;5.3.99,0.08323212713003159;5.99.1,0.04816274344921112"
R08190,"3.1.2,0.9574897885322571;3.1.1,0.01643400453031063;2.3.1,0.010375972837209702;1.2.1,0.005117122083902359;1.2.3,0.00357239181175828"
R05864,"4.2.1,0.999272882938385;3.7.1,0.0007019335753284395;4.1.3,7.527883553848369e-06;5.4.4,4.9778768698161e-06;1.1.1,3.587355877243681e-06"
R12749,"3.1.4,0.9543439745903015;3.6.1,0.0418291799724102;3.1.26,0.0018115317216143012;4.6.1,0.0009041455341503024;3.2.1,0.00023957037774380296"
R02489,"4.1.1,0.9989625215530396;2.7.11,9.711979510029778e-05;1.13.11,9.125596261583269e-05;1.2.3,8.593217353336513e-05;2.7.1,7.04661215422675e-05"
R11051,"1.1.1,0.9983515739440918;5.3.1,0.0009478366118855774;1.-.-,0.0001904327073134482;1.2.1,9.516583668300882e-05;4.2.1,8.161403093254194e-05"
R10016,"2.1.1,0.9923737645149231;6.5.1,0.007581572979688644;1.8.5,1.4606595868826844e-05;2.3.1,1.1861077837238554e-05;1.14.13,5.680650701833656e-06"
R00669,"3.5.1,0.9918031096458435;2.3.1,0.0031577786430716515;3.1.1,0.0025256413500756025;3.4.11,0.0008867568103596568;3.1.2,0.0003840616554953158"
R03178,"4.1.1,0.9964447617530823;2.6.1,0.0022758077830076218;1.1.1,0.0003544636128935963;4.1.3,0.0001814315328374505;1.1.-,0.00016056629829108715"
R10350,"1.14.13,0.9528063535690308;1.14.14,0.04147787392139435;1.14.99,0.004544091410934925;1.-.-,0.0005615371046587825;1.14.-,0.0002720057964324951"
R10442,"3.6.1,0.9950509667396545;3.1.3,0.0027286920230835676;3.-.-,0.001652929582633078;3.1.4,0.0003993427089881152;3.6.2,0.00011871461174450815"
R01064,"4.1.2,0.9924282431602478;2.2.1,0.007226316723972559;4.1.3,0.00021942412422504276;4.4.1,3.0801274988334626e-05;2.7.6,2.331828000023961e-05"
R02465,"4.2.2,0.9998160004615784;3.2.1,0.00018402973364572972;2.3.1,2.2680378464201567e-08;5.4.1,1.4027391470605721e-09;2.4.1,3.5460304137480136e-10"
R04024,"2.3.1,0.9999911785125732;2.4.1,3.448750021561864e-06;6.2.1,2.3164236608863575e-06;3.1.2,1.4425270364881726e-06;3.1.1,1.025673213916889e-06"
R01914,"1.4.3,0.9378772974014282;1.5.3,0.05139562487602234;4.1.99,0.0033313909079879522;1.14.18,0.0013281519059091806;3.5.4,0.0012572207488119602"
R03996,"2.7.7,0.6173999309539795;2.4.1,0.3785878121852875;1.1.3,0.0009273751056753099;2.7.8,0.0005643012700602412;5.3.1,0.000537562882527709"
R03095,"6.3.2,0.6845793128013611;2.3.2,0.1178387701511383;6.2.1,0.05562287196516991;2.7.1,0.03184913471341133;3.5.1,0.030453119426965714"
R02238,"6.3.4,0.9963361024856567;3.5.4,0.000985381193459034;1.5.1,0.0007060843054205179;2.1.2,0.000526474672369659;3.5.1,0.0004704502352979034"
R01739,"1.1.1,0.9401780366897583;1.1.99,0.05440100282430649;1.1.5,0.004843490663915873;1.1.3,0.00033565639751031995;1.1.-,6.191551801748574e-05"
R00635,"1.2.3,0.922585129737854;1.17.3,0.014748732559382915;1.11.1,0.011573752388358116;1.2.1,0.010829335078597069;1.11.2,0.006232805550098419"
R07279,"2.7.1,0.9796174168586731;2.7.4,0.015890982002019882;3.1.3,0.004197768401354551;3.6.1,0.00012880584108643234;2.1.1,3.286311402916908e-05"
R08404,"3.1.1,0.5807546377182007;2.7.1,0.15007047355175018;2.3.1,0.13229742646217346;5.4.2,0.07600221037864685;2.7.2,0.037781666964292526"
R12995,"2.4.1,0.999961256980896;2.7.7,3.102418122580275e-05;2.4.2,1.6858057279023342e-06;2.3.1,1.342201016996114e-06;2.7.1,1.120750539485016e-06"
R01941,"1.2.1,0.9989715814590454;1.3.1,0.0008155922405421734;1.1.1,8.090920164249837e-05;1.8.1,6.884746835567057e-05;1.6.5,1.3391173524723854e-05"
R01385,"2.3.1,0.8213477730751038;1.1.1,0.07380992919206619;5.1.3,0.055476170033216476;4.2.1,0.01244357693940401;5.3.1,0.008421391248703003"
R12821,"2.1.1,0.9999573230743408;4.3.99,2.0802721337531693e-05;2.5.1,6.160554676171159e-06;1.3.-,5.346770194591954e-06;1.-.-,5.127307758812094e-06"
R00892,"1.8.1,0.9126998782157898;1.6.4,0.05364495515823364;1.11.1,0.022822076454758644;1.8.4,0.003210986265912652;1.1.1,0.0022554632741957903"
R07295,"2.3.1,0.13771112263202667;2.7.4,0.1075223833322525;2.4.1,0.0703362226486206;5.1.3,0.06864072382450104;2.7.8,0.04989016056060791"
R02709,"2.4.1,0.9947308301925659;3.2.1,0.004061087500303984;2.7.7,0.0006622376968152821;5.1.3,0.00032743526389822364;2.4.2,9.744262206368148e-05"
R10470,"6.3.3,0.9970394968986511;1.4.99,0.001194923184812069;2.7.3,0.0007650754996575415;1.5.99,0.0006329627940431237;1.4.3,0.0002655591524671763"
R01669,"2.1.2,0.9929976463317871;3.5.4,0.0055261943489313126;3.5.99,0.00032577087404206395;3.2.1,0.00026666856138035655;6.3.4,0.0002618456492200494"
R06131,"4.3.1,0.9971791505813599;1.4.3,0.0021834829822182655;1.4.1,0.0003663492389023304;2.5.1,7.680210546823218e-05;2.6.1,7.574816845590249e-05"
R03478,"2.7.1,0.5946652293205261;2.7.4,0.3466925323009491;6.2.1,0.020394545048475266;2.1.1,0.00891904253512621;2.7.2,0.007206227630376816"
R00846,"1.1.3,0.9430093169212341;1.1.99,0.04704293608665466;1.1.5,0.00923123024404049;1.3.3,0.0001691384386504069;1.7.3,0.00014448867295868695"
R00004,"3.6.1,0.972323477268219;3.1.3,0.014231025241315365;3.1.4,0.006104659289121628;3.-.-,0.004182768519967794;3.6.2,0.0011206325143575668"
R05087,"4.1.1,0.999980092048645;2.7.8,9.625544407754205e-06;2.3.1,3.3658038773864973e-06;4.1.2,1.0161070349568035e-06;4.3.1,8.500432500113675e-07"
R07499,"1.3.1,0.9707944989204407;1.1.1,0.02198297530412674;1.6.5,0.004601187538355589;2.3.1,0.0009792522760108113;1.2.1,0.0002817366039380431"
R10041,"1.14.14,0.9701507091522217;1.14.13,0.016174906864762306;4.3.1,0.0031712132040411234;1.14.99,0.0014441561652347445;2.3.1,0.0006641306099481881"
R00325,"1.1.1,0.6619436740875244;4.1.3,0.29988956451416016;2.3.3,0.009118136949837208;2.3.1,0.009000295773148537;1.1.99,0.003949499689042568"
R03901,"4.4.1,0.6309356689453125;4.1.99,0.36843904852867126;4.5.1,0.0003704708069562912;4.1.2,3.888282662956044e-05;1.14.99,3.147278039250523e-05"
R05626,"2.7.1,0.9528186917304993;2.7.4,0.04177562892436981;2.1.1,0.0016078584594652057;2.3.1,0.0015022906009107828;2.7.2,0.0008197243441827595"
R12124,"2.3.1,0.9617845416069031;2.7.1,0.03488171100616455;3.1.1,0.0029269056394696236;2.1.1,0.0003899252333212644;3.1.3,8.923051609599497e-06"
R09109,"1.14.13,0.9645386338233948;1.1.1,0.033421147614717484;1.14.14,0.000575894839130342;4.2.1,0.0003634909517131746;1.14.15,0.00028626149287447333"
R09598,"3.6.1,0.5688821077346802;6.3.5,0.1003108099102974;2.7.3,0.09810114651918411;3.6.4,0.052452001720666885;6.3.4,0.0381876565515995"
R03464,"3.5.4,0.9990686774253845;2.1.2,0.0003992621204815805;1.5.1,0.00031627152930013835;4.2.1,6.900772132212296e-05;1.5.99,4.817359149456024e-05"
R10395,"4.2.1,0.9994499087333679;5.4.4,0.00046361659769900143;1.14.14,1.585138488735538e-05;2.3.3,1.3542397027777042e-05;4.1.3,1.0694604497984983e-05"
