reaction_id,SIMMER_SIMMER pred,SelenzymeRF2_All ECs,SelenzymeRF_Top EC,Theia_predicted_label,Theia_confidence,Theia_timestamp,BEC-Pred_Prediction,ec
MNXR134943,1.8.1|1.1.1,1.14.14.18;1.14.19.1;1.1.1.34|1.1.1.88;1.14.13.7|1.17.1.4;1.6.1.4;1.13.12.17;1.3.1.101;2.3.1.119;1.3.1.108,1.14.14.18,1.1.1,0.38169459,2025-05-02 10:32:37,1.1.1,1.3.1.0
MNXR131492,3.4.13|3.4.11,3.4.11.1,3.4.11.1,3.4.13,0.6406881,2025-05-02 10:32:37,3.4.13,3.4.11.1
MNXR94903,1.14.12,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.12.-|1.14.12.10;1.6.5.4;1.14.13.87;1.14.13.25;1.14.13.26;1.14.13.246;1.14.13.113;1.14.18.9,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,1.14.13,0.9801223,2025-05-02 10:32:37,1.14.13,1.14.13.127
MNXR150636,1.14.13,1.14.15.32;1.14.15.36;1.14.15.4;1.14.19.23;1.14.19.35;1.14.19.11;1.14.19.43;1.14.19.42;1.14.19.27;1.14.19.2;1.14.19.26;1.14.19.45;1.14.19.36;1.14.15.38;1.14.19.28;1.14.15.14;1.14.15.25;1.14.15.26;1.14.15.27;1.2.7.11;1.2.7.12;1.14.15.15;1.14.15.29;1.14.11.26;1.14.11.6,1.14.15.36,1.14.-,0.80050516,2025-05-02 10:32:37,1.14.15,1.14.15.32
MNXR167135,2.1.1,2.1.1.275;2.1.1.275|2.1.1.276;2.1.1.351|2.1.1.go;2.1.1.314;2.1.1.344;2.1.1.77,2.1.1.275,2.1.1,0.9999573,2025-05-02 10:32:37,2.1.1,2.1.1.275|2.1.1.276
MNXR145847,1.2.4,1.2.4.2;1.3.8.6|1.3.99.7;1.2.1.105|1.2.1.52|1.2.4.2|1.8.1.4|2.3.1.61,1.2.4.2,1.2.4,0.99950707,2025-05-02 10:32:37,1.2.4,1.2.4.2
MNXR181326,1.1.1,1.1.1.71;1.1.1.1,1.1.1.71,1.1.1,0.9993788,2025-05-02 10:32:37,1.1.1,1.1.1.71
MNXR177120,1.5.5|1.5.99,1.5.1.2;1.5.5.2;1.5.3.7;5.1.1.4|5.1.1.8;3.4.13.9,1.5.1.2,1.5.99,0.8958768,2025-05-02 10:32:37,1.5.99,1.5.99.8
MNXR136352,6.2.1|2.3.1,6.2.1|6.2.1.3|6.2.1.M30;6.2.1|6.2.1.2;6.2.1.12;6.2.1.60,6.2.1|6.2.1.3|6.2.1.M30,6.2.1,0.9996604,2025-05-02 10:32:37,6.2.1,6.2.1.3
MNXR116604,3.1.3|3.2.1,3.1.3.25;3.1.3.25|3.1.3.57;3.1.3.10;2.4.1.231;2.4.1.64;2.4.1.359|2.4.1.dr;2.4.1.332;4.2.3.-|4.2.3.124;2.4.1.31;2.4.1.20;2.4.1.8;2.4.1.320;2.4.1.279;2.4.1.281;2.4.1.230;2.4.1.339;2.4.1.321;2.4.1.7;2.4.1.1,3.1.3.25,3.1.3,0.9401948,2025-05-02 10:32:37,3.1.3,3.1.3.25
MNXR122289,1.14.99|1.14.19,1.14.19.35;1.14.19.25;1.14.19.13;1.14.19.42;1.14.19.36;1.14.19.23;1.14.19.28;1.14.19.27;1.14.19.45;1.14.19.43;1.14.19.11;1.14.19.26;1.14.19.2;1.14.15.4;1.14.15.36;1.14.15.38;1.14.15.14;2.4.1.241;1.14.19.3,1.14.19.35,1.14.19,0.9998666,2025-05-02 10:32:37,1.14.19,1.14.19.35
MNXR176569,4.2.2|3.2.1,4.2.2.11;4.2.2.3;2.4.1.33;5.1.3.37;4.2.2.23;4.2.2.12;4.2.2.7;4.2.2.24;4.2.2.26;4.2.2.6;4.2.2.1,4.2.2.3,3.2.1,0.8589278,2025-05-02 10:32:37,3.5.1,4.2.2.3
MNXR165560,,1.21.4.3;4.1.2.22|4.1.2.9;1.21.4.2;1.2.3.3;2.3.3.15;6.3.1.2|6.3.4.12,1.21.4.3,1.4.4,0.93127453,2025-05-02 10:32:37,1.4.4,1.21.4.3
MNXR174194,2.7.4|2.7.11|3.6.3,1.18.6.1;6.3.5.9,1.18.6.1,2.7.11,0.53930223,2025-05-02 10:32:37,2.7.11,2.7.11.2
MNXR106475,1.1.-,1.2.5.2|1.2.99.3;2.8.3.18;1.2.3.1;1.2.1|1.2.1.19|1.2.1.24|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.48|1.2.1.5|1.2.1.69|1.2.1.88;1.2.7.5;1.2.99.6,1.2.5.2|1.2.99.3,3.5.1,0.3656765,2025-05-02 10:32:37,1.2.99,1.2.99.6
MNXR132524,1.8.1,1.14.14.91;1.14.13.31;1.14.13.139;1.14.14.-|1.14.14.1,1.14.14.91,1.14.13,0.97313064,2025-05-02 10:32:37,1.14.14,1.14.14.1
MNXR141527,1.5.99,1.3.2.3;1.3.3.12;7.2.1.3;1.6.5.4;1.8.5.1;1.14.17.1;1.14.17.3;1.14.17.4;1.10.3.3;1.23.5.1;1.1.3.8;1.1.3.37,1.3.2.3,1.3.2,0.917691,2025-05-02 10:32:37,1.3.2,1.3.2.3
MNXR122644,2.7.7,2.7.7.61;2.7.7.66;2.7.7.85;3.6.1.19;2.7.7.91;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.8|4.1.1.65,2.7.7.61,2.7.7,0.8964473,2025-05-02 10:32:37,2.7.7,2.7.7.66
MNXR192129,2.3.1,2.3.1.107;2.3.1.180,2.3.1.107,2.3.1,0.9998091,2025-05-02 10:32:37,2.3.1,2.3.1.107
MNXR131208,6.3.1|6.3.2|2.7.1,6.3.2.17;6.3.2.2;6.3.2.60|6.3.2.M4;6.2.1.39;6.3.2.42,6.3.2.17,6.3.2,0.83869374,2025-05-02 10:32:37,6.3.2,6.3.2.17
MNXR119178,2.7.1,2.7.1.207;2.7.1.69;2.7.1.201|2.7.1.69;1.11.1.13|1.16.3.-|2.4.1.25|2.4.1.63|2.4.1.8|3.1.3.90|3.2.1.20|4.2.1.131;3.2.1.23,2.7.1.207,2.7.1,0.9999831,2025-05-02 10:32:37,2.7.1,2.7.1.207
MNXR123863,1.1.3,1.1.1.1,1.1.1.1,1.13.99,0.5754588,2025-05-02 10:32:37,1.3.99,1.1
MNXR109606,1.14.13,1.6.3.2;1.14.-.-|1.14.13.232|1.14.13.233;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.240;1.14.13.89;1.14.13.88;1.14.14.1,1.6.3.2,1.14.13,0.9993437,2025-05-02 10:32:37,1.14.13,1.14.-.-|1.14.13.232
