Reaction ID,Prediction
10046,1.1.1
10518,1.1.1
11169,1.1.1
11170,1.1.1
11302,1.1.1
11541,1.1.1
13282,1.1.1
13283,1.1.1
13862,1.1.1
13862,1.1.1
13919,1.1.1
14294,1.1.1
14294,1.1.1
14294,1.1.1
14406,1.1.1
14406,1.1.1
14406,1.1.1
14406,1.1.1
14834,1.2.1
15842,1.1.1
15842,1.1.1
15918,1.1.1
15918,1.1.1
15990,1.2.1
16198,1.1.1
16199,1.3.1
16299,1.1.1
16951,1.1.1
17431,1.1.1
17615,1.1.1
18139,1.1.1
18143,1.1.1
18427,1.1.1
18626,1.1.1
18626,1.1.1
18626,1.1.1
18982,1.1.1
18982,1.1.1
18982,1.1.1
19646,1.1.1
19734,1.1.1
19735,1.1.1
20439,1.1.1
21877,1.1.1
22001,1.1.1
22001,1.1.1
22257,1.1.1
22258,1.3.1
22366,1.3.1
22366,1.3.1
22405,1.1.1
22433,1.1.1
22434,1.1.1
23169,1.1.1
23814,1.1.1
25834,1.1.1
25965,1.1.1
25969,1.1.1
27276,1.1.1
27280,1.1.1
28503,1.1.1
28504,1.1.1
31676,1.1.1
31677,1.1.1
32381,1.1.1
32385,1.1.1
32389,1.1.1
32393,1.1.1
32397,1.1.1
32401,1.1.1
32405,1.1.1
32409,1.1.1
32413,1.1.1
32417,1.1.1
32421,1.1.1
32712,1.1.1
32713,1.1.1
33881,1.1.1
33885,1.1.1
33888,1.3.1
34025,1.5.1
34029,1.5.1
35692,1.1.1
35696,1.1.1
35700,1.1.1
36588,1.1.1
38216,1.1.1
38216,1.1.1
39065,1.1.1
42006,1.1.1
42393,1.1.1
43501,1.1.1
45797,1.1.1
45798,1.3.1
47897,1.1.1
48681,1.1.1
48682,1.3.1
52657,1.1.1
52658,1.1.1
55382,1.1.1
56286,1.1.1
75216,1.1.1
75268,1.1.1
79149,1.1.1
79617,1.3.1
81516,1.1.1
81520,1.1.1
81524,1.1.1
71660,1.1.2
11798,1.1.3
31680,1.1.3
31681,1.1.3
34048,1.1.3
34049,1.1.3
75256,1.1.3
28752,2.5.1
46013,1.1.5
51469,1.1.5
58665,2.6.1
29604,1.3.7
33901,2.7.1
51477,4.1.1
51478,4.1.1
15906,1.3.99
16591,1.1.99
22185,1.3.1
17246,1.3.3
30249,1.10.3
12365,1.1.5
22397,1.11.1
22998,1.11.1
30272,1.11.1
30273,1.11.1
48005,3.1.1
48957,1.11.1
48958,1.11.1
48961,1.11.1
48962,1.11.1
48966,1.11.1
48970,1.11.1
56137,1.11.1
56138,1.11.1
28219,1.11.1
28220,1.11.1
46025,1.11.1
46026,1.11.1
46029,1.11.1
46030,1.11.1
46033,1.11.1
46034,1.11.1
48361,4.2.1
48362,4.2.1
48385,1.11.1
48386,4.2.1
30280,1.18.1
17446,1.8.2
24438,1.3.99
15383,1.13.11
21342,1.13.11
26024,1.13.11
26025,1.13.11
26387,1.13.11
26390,1.13.11
26403,1.13.11
31520,1.13.11
31521,1.13.11
32888,1.13.11
33932,1.13.11
34400,1.13.11
34405,1.13.11
36045,1.13.11
16166,1.13.12
16167,1.13.12
35192,1.13.12
45057,1.13.12
23698,1.1.3
14510,1.14.11
18946,1.14.11
18947,1.14.11
20066,1.14.11
22873,1.14.11
22874,1.14.11
35833,1.14.11
48401,1.14.11
48402,1.14.11
48754,1.14.11
57849,1.14.11
57850,1.14.11
19174,1.14.12
10837,1.14.13
15738,1.14.13
18686,1.14.13
19426,1.14.13
19427,1.14.13
33237,1.14.13
34308,1.14.13
34312,1.14.13
34328,1.14.13
42822,1.3.1
48013,1.14.13
48017,1.14.13
49749,1.14.13
49753,1.14.13
49757,1.14.13
50009,1.14.13
50010,1.14.13
50357,1.14.13
50358,1.14.13
76469,1.2.1
82852,1.14.13
82853,1.14.13
82856,1.14.13
82857,1.14.13
82860,1.14.13
82861,1.14.13
14754,1.14.14
14754,1.14.14
15322,1.14.14
16338,1.14.14
16339,1.14.14
22846,1.14.19
26049,1.14.14
26053,1.14.19
32492,1.14.14
32904,1.14.14
32905,1.14.14
