Reaction ID,Prediction
14282,1.8.2
17710,2.5.1
22798,2.7.1
34169,3.1.1
26243,4.2.3
55426,1.14.14
10377,7.2.2
75353,1.5.99
38293,3.1.2
21129,2.1.1
35813,4.2.1
11954,5.1.1
82861,1.14.13
28343,3.6.1
59361,3.4.13
53837,2.3.1
32365,1.1.3
16371,1.1.1
14754,1.14.14
11341,4.1.1
10061,2.3.1
23649,1.1.1
44333,6.3.2
16283,2.7.1
33973,3.1.3
64446,2.1.1
79704,3.6.1
12839,2.7.1
73828,2.4.99
47949,3.1.3
22998,1.11.1
42214,3.1.1
21965,3.1.1
28323,2.4.1
44798,2.1.1
59149,6.2.1
13271,3.2.1
20679,2.4.1
30312,1.14.13
22090,2.7.4
65901,2.6.1
49293,2.7.1
23194,2.4.1
20929,1.8.4
22286,3.5.1
36652,2.1.1
23390,2.7.1
23642,1.10.3
19678,1.13.11
16175,3.3.2
10222,6.1.1
12631,1.14.11
47993,1.6.1
32068,3.5.4
10317,1.14.11
61417,5.5.1
30405,1.1.2
48902,1.3.7
22546,3.5.99
18647,4.3.1
52650,3.1.1
15498,2.6.1
38040,1.14.19
59133,6.3.2
46778,1.14.19
33073,4.2.3
13302,2.3.1
32345,1.1.1
14111,1.5.1
44645,3.6.1
33508,4.1.2
64538,2.4.1
31649,3.2.1
27359,2.1.1
11290,1.5.3
35633,2.4.1
62446,2.1.4
17634,3.2.1
48721,1.2.1
46762,1.14.12
44013,2.3.1
52618,2.7.1
58897,6.2.1
13183,7.3.2
65926,2.1.1
30401,1.14.14
80892,2.5.1
31784,2.5.1
19527,4.2.3
37448,1.13.12
53317,2.4.1
81496,1.14.14
74928,3.1.2
15263,1.14.14
26286,2.1.1
36152,2.3.1
13614,2.7.1
27308,1.1.99
13423,2.5.1
10534,2.6.1
20306,1.2.1
17790,2.1.1
30524,6.3.2
17915,1.7.1
55530,4.1.1
24217,1.2.1
11821,1.3.1
21594,1.5.1
36660,2.5.1
37977,2.5.1
15975,2.8.2
53342,1.3.1
55382,1.1.1
46030,1.11.2
31508,1.14.20
10050,2.5.1
18615,1.14.99
19723,1.14.19
46773,1.14.19
49026,1.4.3
13511,2.7.7
81525,1.1.1
52666,4.2.1
74148,2.3.1
32729,2.3.1
38909,2.1.1
62086,2.7.1
32417,1.1.1
19194,1.3.99
58025,2.4.1
13926,2.3.1
26210,4.1.2
19063,1.7.1
23957,2.4.1
19455,2.6.1
18006,1.1.1
30220,1.2.1
60202,1.14.11
14882,1.8.1
23225,2.4.1
24598,2.3.1
35577,1.14.14
12623,4.1.1
28424,1.14.14
51469,1.1.5
19159,4.2.1
28507,2.7.1
30077,3.1.3
22389,2.3.1
29484,4.2.3
54421,3.2.2
26246,4.2.3
58885,1.14.99
44185,4.2.3
15855,1.1.1
46610,2.7.11
53745,3.1.1
24109,3.5.1
15931,3.5.1
69797,3.1.1
10949,2.7.1
18419,2.4.3
28412,1.2.1
30285,3.1.1
23053,2.7.11
52406,4.1.1
11853,2.4.2
25918,1.3.99
25950,2.7.1
26271,4.99.1
77145,3.1.3
30993,1.14.14
37212,3.1.4
20119,2.7.1
40397,1.6.3
46925,4.2.1
31652,3.2.1
15175,1.11.1
30525,6.3.2
39908,2.6.1
19671,3.6.5
10998,2.1.1
17990,2.7.11
10502,3.1.2
31433,4.2.3
15530,3.1.1
54257,1.14.11
14318,1.1.1
46873,2.3.1
39909,2.6.1
37369,2.7.8
25913,1.3.99
14030,1.97.1
19707,1.2.1
34697,4.2.3
25283,1.14.14
55442,1.14.14
18523,2.1.1
44566,2.5.1
36293,1.14.13
81512,5.1.3
51705,2.1.1
34301,2.6.1
14295,1.1.1
16230,2.7.7
18486,3.1.1
23250,2.1.1
26350,3.1.3
43758,2.3.1
18174,4.3.1
26386,1.13.11
16178,1.2.1
13455,2.8.2
36569,1.1.1
25550,4.2.3
13383,2.8.3
49446,2.3.1
23930,3.5.1
57153,1.14.11
22205,1.14.13
23594,1.1.1
12827,1.8.4
69342,5.3.99
10873,3.5.1
27450,3.6.1
19506,2.4.1
24326,1.14.13
79601,2.1.1
20618,1.1.3
25056,1.13.11
19082,3.1.1
25433,5.1.3
18071,5.1.1
25954,2.6.1
17639,5.5.1
15606,4.4.1
19122,6.3.4
18459,4.1.2
30437,2.3.2
49738,1.14.13
21254,1.1.99
28375,6.3.2
30313,1.14.13
20566,4.2.3
12385,1.1.3
44334,6.3.2
32084,2.7.7
15674,3.1.2
62581,7.4.2
80920,2.3.1
28331,3.6.4
31424,4.2.3
49121,1.14.13
22114,2.5.1
69481,2.4.1
17611,2.1.1
26206,1.14.13
34780,1.1.1
18239,1.13.11
24899,2.7.7
20663,3.4.13
49034,1.14.14
17735,4.1.1
27442,1.1.1
16111,2.7.1
14962,3.1.2
62597,1.3.1
38216,1.1.1
11065,3.1.3
24895,2.1.1
42746,2.1.1
37120,2.1.1
20038,1.1.1
27875,4.1.3
12775,1.14.11
27588,2.6.1
11493,4.1.1
21513,5.3.1
14706,1.2.1
30565,2.5.1
45506,4.4.1
28607,1.14.14
37085,2.8.1
18319,5.1.1
52321,1.14.14
21226,2.7.8
81257,1.14.15
51514,3.5.1
53209,1.14.14
26158,1.1.1
64537,2.4.1
28135,3.2.1
36328,2.5.1
36397,1.3.1
49053,1.14.13
47509,1.1.1
22782,1.13.11
31797,4.2.1
24418,1.13.11
55458,1.14.14
24081,6.1.1
17603,2.7.1
48878,3.2.1
17991,2.7.11
23857,1.16.1
42902,2.1.1
36405,3.1.1
70560,3.2.1
22193,2.1.2
25801,1.5.3
12501,1.5.1
21738,5.1.1
24045,1.13.11
17758,4.1.1
30912,3.5.1
34560,1.3.1
69740,2.8.3
32308,1.3.3
68078,2.7.7
58954,2.4.1
19402,1.1.1
16302,3.2.2
74637,1.14.11
42733,2.1.1
16862,2.6.1
34520,2.4.1
10042,3.1.3
31868,5.4.99
35765,1.14.14
21034,2.4.2
63661,4.1.1
42889,2.7.1
23594,1.1.1
16547,2.8.3
15018,3.1.3
28247,2.7.1
24446,2.4.1
17863,5.4.99
19754,6.3.4
10233,2.4.2
46289,1.14.19
20802,2.4.1
22190,3.8.1
23866,5.4.99
17182,1.14.14
32248,1.5.1
16675,3.6.1
31468,2.4.1
12795,2.7.4
32053,3.6.1
76573,5.3.1
14406,1.1.1
10521,2.4.1
30476,3.2.1
13739,1.3.1
26226,1.2.1
20127,1.18.1
10442,3.1.1
36568,1.1.1
35373,2.5.1
12651,1.1.1
30973,5.5.1
30436,2.3.2
54514,4.2.3
29801,7.5.2
20131,3.2.2
10001,3.5.1
12410,1.4.1
21362,2.7.1
17990,2.7.11
57993,2.4.1
57749,2.3.1
41950,1.2.1
31312,2.4.1
59362,3.4.13
17534,2.6.1
26060,2.1.1
34572,1.3.1
19818,1.5.1
13038,3.5.4
16786,2.1.1
18631,2.7.1
28047,2.3.1
51310,1.14.13
14571,4.2.1
34576,1.14.19
20298,3.5.1
25821,1.5.3
34801,2.3.1
49490,2.3.2
42845,2.3.1
49582,4.2.3
15738,1.14.13
25068,1.3.1
32065,3.6.1
45170,2.3.1
52826,1.14.13
20090,2.3.1
19531,2.4.1
61642,4.1.1
54150,4.2.1
19054,3.1.4
49709,2.5.1
24202,4.1.1
49730,1.14.13
17575,2.1.1
33433,5.2.1
34304,4.3.1
22569,5.4.4
20555,5.4.99
79633,2.1.1
34777,1.1.1
20242,2.1.1
64534,1.14.18
81492,1.14.14
15890,3.5.1
17659,2.3.1
21994,2.3.1
60090,1.1.1
17542,1.1.3
23242,2.1.2
10278,2.7.4
61398,2.7.1
11845,2.3.1
22446,1.1.1
77981,4.2.3
49489,2.3.2
54413,1.3.1
52633,2.7.2
14782,6.2.1
53869,1.14.13
44402,2.1.1
26394,1.13.11
38004,2.5.1
56749,1.14.14
37241,3.1.4
19758,4.3.1
24581,3.1.3
48582,3.6.1
83301,1.14.15
27880,3.1.4
31844,5.3.3
27760,1.4.1
25430,2.7.1
31820,4.2.3
27560,2.5.1
12082,2.3.1
23093,3.5.4
41958,3.1.4
17498,2.4.1
10934,6.3.2
63350,6.2.2
65502,1.21.98
20102,6.3.1
13159,1.1.1
36653,2.1.1
38352,1.1.1
17258,1.14.14
18766,2.3.1
20737,2.3.1
18198,3.5.2
51418,1.3.1
50010,1.14.13
34700,4.2.3
35429,2.4.1
20019,1.3.99
47510,1.1.1
21737,5.1.1
49473,2.4.1
18894,2.4.1
58493,7.2.2
20554,5.4.99
30940,2.7.4
51929,1.5.1
56814,1.14.11
63193,1.13.11
67977,5.5.1
24538,1.13.11
57682,1.14.14
19935,3.1.3
18499,5.3.1
16219,3.1.1
20318,1.5.1
25458,4.2.3
52617,2.7.1
65998,2.1.1
18983,1.1.1
17006,2.7.1
18367,1.1.1
26086,1.14.13
49250,2.7.1
12446,1.1.1
62629,1.11.1
13106,3.1.3
78988,4.2.3
14071,1.1.1
12541,6.1.1
45950,2.3.1
49433,2.8.3
11713,1.2.7
44785,2.1.1
19023,2.4.1
17510,3.1.1
28231,1.14.14
15835,1.1.3
12538,3.7.1
11238,2.5.1
26416,1.5.3
75380,3.5.3
49057,1.14.13
42942,2.1.1
37088,2.1.1
21398,7.2.4
33365,2.7.1
44582,4.1.1
47909,3.1.1
49734,1.14.13
64058,1.1.1
44750,2.7.1
22061,2.8.1
34157,2.3.1
46246,1.14.19
25695,2.5.1
20166,3.1.1
54274,1.14.11
36217,2.7.8
69470,2.6.1
15938,1.1.1
69792,3.1.1
15894,4.99.1
10202,1.3.1
49677,1.14.13
14322,1.1.1
33417,3.1.1
17554,2.7.3
13127,2.3.1
28611,3.6.1
14538,3.5.4
63449,2.7.7
16526,2.7.1
26452,1.2.1
17170,2.3.1
75197,1.1.1
31024,5.5.1
33256,2.1.1
14699,1.1.1
15550,4.2.1
56285,1.3.1
15822,1.5.99
21618,2.4.3
19659,1.2.1
68357,3.4.17
24867,1.14.11
13386,4.1.1
63513,1.14.13
23190,1.1.1
31928,1.14.14
23805,5.1.3
79009,6.7.1
77965,4.2.3
21349,2.3.1
26315,2.2.1
54414,1.3.1
50006,1.14.13
34092,4.2.3
10598,2.7.12
22566,1.3.1
51638,1.1.5
20651,1.3.1
31525,4.1.1
23681,3.6.1
36256,1.14.16
10077,3.2.1
53670,4.2.3
22854,2.6.1
59990,1.3.1
52229,1.14.99
74473,1.14.11
23909,2.1.1
40301,1.14.15
56869,2.3.1
22614,2.8.3
54533,3.5.1
37940,5.4.4
15318,3.2.1
33713,3.1.6
14438,1.4.3
34145,1.21.3
16251,5.4.2
17903,2.1.1
43345,2.7.7
31392,1.3.8
19046,2.3.3
15007,1.14.11
46417,1.14.19
20973,2.3.1
25638,1.2.1
25030,3.1.3
57561,1.14.14
31756,4.2.1
18366,1.1.1
42917,2.1.1
33061,1.8.1
23509,3.5.1
74476,1.14.11
46894,2.6.1
18542,2.1.1
21998,2.3.1
55149,1.1.1
45470,2.5.1
12759,1.1.1
25259,5.1.3
71405,1.14.14
17434,1.1.99
12430,1.3.1
77908,1.4.3
19786,1.14.20
50338,1.14.14
79281,6.3.2
25210,3.5.1
58894,2.8.2
66034,2.7.7
20311,1.11.1
17463,3.1.3
19363,2.5.1
40764,3.2.1
32561,4.2.3
37905,2.1.1
11649,1.14.13
51954,1.14.14
70020,1.14.14
30765,1.4.1
14370,3.1.3
11365,7.4.2
49222,2.7.7
42625,3.5.1
10445,2.1.1
41212,1.14.13
19190,1.2.4
63410,1.14.14
24900,2.7.7
16027,2.3.1
16839,3.6.1
22818,5.1.3
32545,4.2.3
28027,1.17.4
55986,2.4.1
20434,1.1.1
21882,4.1.1
30417,1.14.13
44637,3.5.99
10306,2.3.1
30908,1.2.1
16742,2.3.1
46609,2.7.11
43785,2.1.1
30320,1.14.13
55454,1.14.14
38313,2.1.1
32669,4.4.1
27571,2.7.1
18547,4.1.2
31500,2.4.1
26037,1.14.19
27944,4.3.1
24985,1.14.15
10681,5.1.1
30052,3.8.1
15778,3.1.3
14535,3.5.2
10554,1.1.3
41406,1.5.1
68629,4.4.1
32104,2.1.1
25785,4.1.2
49670,1.14.13
59101,2.4.1
15683,1.2.1
23942,1.1.1
30201,1.3.7
55153,1.3.8
45490,4.4.1
64598,2.4.1
25659,1.14.14
25255,2.7.1
22122,6.2.1
19371,2.1.1
30644,2.4.2
48230,2.3.1
41945,2.7.2
24257,2.7.1
10381,2.4.2
22826,2.4.2
38349,2.6.1
46241,1.14.19
82033,1.14.15
42133,5.1.1
18502,1.1.1
43054,6.2.1
45218,2.1.1
56998,5.3.1
50422,2.3.2
49678,1.14.13
74281,2.3.1
21242,2.5.1
58458,3.2.1
58193,2.5.1
13086,2.3.1
16534,2.7.8
10970,2.3.1
33084,4.1.99
25223,4.1.1
27283,3.5.1
15135,1.4.1
24278,2.7.1
54149,4.2.1
12962,2.8.3
25639,1.2.1
36044,1.13.11
11782,2.4.1
58909,2.3.1
30457,3.5.99
11421,1.14.13
33280,1.14.14
80937,2.1.1
24510,1.1.1
27487,3.5.1
28344,3.6.1
29069,4.1.1
43694,6.3.2
16875,2.1.1
17207,2.8.2
17546,1.8.4
55618,5.5.1
34200,1.1.3
75129,5.3.3
25529,3.1.3
18586,5.3.1
24732,4.1.1
16894,2.1.1
80008,5.5.1
12878,1.13.11
36317,1.1.1
20027,2.4.1
21065,1.8.4
13891,3.6.1
15751,1.1.99
25352,3.6.1
23274,2.4.1
19862,1.1.1
37956,5.4.4
42525,5.4.99
23313,2.3.1
68553,1.1.1
13487,2.6.1
32568,4.2.3
20426,6.3.2
35788,2.4.1
30232,1.8.3
16399,2.4.1
22042,3.5.1
20519,5.1.3
14090,2.6.1
23882,6.3.2
13442,4.4.1
59313,1.1.3
17419,2.7.1
34448,1.1.1
31305,1.3.1
25570,2.7.1
76524,4.1.2
43433,1.1.2
15134,1.4.1
18882,6.3.2
33688,2.3.1
36216,2.7.8
31425,4.2.3
32396,1.1.1
50474,2.3.1
24134,5.4.99
82301,2.3.1
78720,3.2.1
29497,4.2.3
37828,1.14.11
17878,2.1.1
25970,1.1.1
56050,2.4.1
37976,2.5.1
24037,2.7.4
16510,4.1.1
10349,7.4.2
19610,2.1.1
15767,2.7.1
19030,3.5.1
50746,1.14.20
17495,1.1.99
24671,1.2.1
36004,4.1.3
10817,3.2.1
75232,3.1.1
18130,1.2.1
33816,2.7.8
17334,2.5.1
14498,1.1.99
65770,1.14.15
19342,1.14.18
30080,6.2.1
47413,2.3.1
27565,2.5.1
23721,6.4.1
12562,2.4.1
16514,1.1.3
68557,1.1.1
36221,3.1.4
46033,1.11.2
18078,2.4.2
11877,1.1.1
18274,1.4.3
12898,1.14.14
24883,1.2.1
13091,1.7.2
42546,5.4.99
47417,2.4.1
40552,2.1.1
20291,3.1.2
24501,3.6.4
12213,1.1.1
43158,2.1.1
52381,2.4.3
14562,2.3.1
31996,4.2.3
41425,1.10.3
13303,2.3.1
10877,4.1.1
25194,1.3.1
42950,2.1.1
12489,4.3.1
63133,2.5.1
49141,3.1.4
13014,2.4.1
42529,5.4.99
13067,3.6.4
18370,1.1.3
74017,4.1.1
29901,7.5.2
11741,1.8.1
13947,5.3.1
17091,4.1.2
45217,2.1.1
20634,2.3.1
12030,3.5.2
11177,2.4.1
58921,4.2.1
36232,3.1.1
74113,1.14.13
50466,2.3.1
78744,3.2.1
20114,5.4.2
15514,2.7.1
23229,1.14.13
19059,1.11.1
42638,2.8.1
23341,4.1.2
45717,3.1.2
10457,2.3.1
23353,2.6.1
48873,2.7.1
12297,3.5.99
52585,1.1.1
70456,1.14.20
19738,3.5.1
10118,1.1.1
10882,3.2.2
33056,3.6.1
33072,4.2.3
14675,7.4.2
22270,2.7.1
52410,1.1.1
26048,1.14.14
19663,1.1.1
52565,5.3.1
33916,1.5.3
21653,1.14.12
30824,4.2.1
30956,1.3.5
38601,1.3.1
57954,1.14.13
18358,1.1.1
16210,5.4.99
23377,1.1.1
50678,3.5.1
20985,3.1.4
27740,2.4.2
58185,2.5.1
18723,4.2.3
30317,1.14.13
17987,1.2.1
24826,1.17.7
21814,1.14.14
24904,3.1.4
59857,2.1.1
51589,1.3.1
11257,2.4.1
13751,2.7.4
28324,2.4.1
14247,3.6.1
23134,1.2.7
79700,3.6.1
43901,3.2.1
18254,1.1.1
