Reaction ID,Prediction
10233,2.4.2
10234,2.4.2
11273,1.1.5
11274,1.1.5
11381,1.14.11
11382,1.14.11
12714,2.7.4
12715,2.7.11
12886,2.4.1
12887,2.4.1
13822,1.14.11
13823,1.14.11
14590,2.1.1
14591,2.1.1
15086,3.2.1
15087,3.2.1
15534,1.1.1
15535,1.1.1
15594,2.5.1
15595,2.5.1
16330,1.13.11
16331,1.13.11
16742,2.3.1
16743,2.3.1
17134,2.7.11
17135,2.7.11
17610,1.21.98
17611,1.1.99
18346,4.1.1
18347,4.1.1
18758,1.14.11
18759,1.14.11
18806,1.8.4
18807,1.8.4
18882,6.3.2
18883,6.3.2
19358,1.14.13
19359,1.14.13
19390,6.2.1
19391,6.2.1
20094,2.4.1
20095,2.4.1
20330,2.7.11
20331,2.7.11
20350,1.14.13
20351,1.14.13
20362,1.14.15
20363,1.14.15
20713,2.3.1
20714,2.3.1
20733,1.8.4
20734,1.8.4
20929,1.8.4
20930,1.8.4
22265,1.14.14
22266,1.14.14
22685,1.14.99
22686,1.14.99
23121,6.3.4
23122,6.3.4
23817,2.6.1
23818,2.6.1
24025,2.6.1
24026,2.6.1
24449,2.4.1
24450,2.4.1
24830,6.3.2
24831,6.3.4
26157,1.1.1
26158,1.1.1
27651,2.7.1
27652,2.7.1
27711,2.7.1
27712,2.7.1
27759,1.5.1
27760,1.5.1
27787,1.2.1
27788,1.2.1
28011,2.8.3
28012,2.8.3
28043,1.2.1
28044,1.2.1
28051,3.6.5
28052,3.1.3
28191,3.5.4
28192,3.5.4
28331,3.6.4
28332,3.6.4
28375,6.3.2
28376,6.3.2
28387,2.7.8
28388,2.7.8
28403,2.7.8
28404,2.7.1
28407,3.6.1
28408,3.6.1
28539,2.7.8
28540,2.8.2
28676,5.3.1
28677,5.3.1
29768,6.3.4
29769,7.6.2
29776,2.7.1
29777,2.7.1
29780,7.4.2
29781,7.4.2
29792,6.3.5
29793,6.3.5
29796,7.2.2
29797,7.2.2
29800,6.3.4
29801,2.7.1
29812,7.6.2
29813,7.6.2
29996,7.2.2
29997,7.2.2
30000,6.3.4
30001,6.3.4
30084,1.16.3
30085,1.7.2
30112,1.11.1
30113,1.11.1
30392,2.6.1
30393,2.6.1
30688,4.1.3
30689,4.1.3
30700,2.6.1
30701,2.6.1
30872,2.7.1
30873,2.7.1
31156,1.2.1
31157,1.2.1
31228,2.7.8
31229,2.4.1
31236,2.6.1
31237,2.6.1
31416,4.2.3
31417,4.2.3
31424,4.2.3
31425,4.2.3
32588,1.14.13
32589,1.14.13
32764,6.3.2
32765,6.3.2
32980,3.1.1
32981,3.1.1
33032,1.1.1
33033,1.1.1
33088,1.1.99
33089,1.1.99
33148,6.3.4
33149,6.3.4
33156,3.1.3
33157,3.1.3
33276,3.1.1
33277,3.1.1
33688,2.3.1
33689,2.3.1
34800,2.3.1
34801,2.3.1
35264,3.1.1
35265,3.1.1
35580,2.4.1
35581,2.4.1
35816,2.4.2
35817,2.4.2
36080,2.7.8
36081,2.7.8
36228,2.7.8
36229,2.7.8
36252,6.2.1
36253,6.2.1
36308,4.1.2
36309,2.3.1
38356,4.2.1
38357,4.2.1
38460,2.3.1
38461,2.3.1
40720,1.8.4
40721,2.1.1
41945,2.7.4
41946,6.3.2
41949,1.2.1
41950,1.7.1
41953,2.6.1
41954,2.6.1
42213,3.1.1
42214,3.1.1
42269,2.3.1
42270,2.3.1
42273,2.3.1
42274,2.3.1
42277,2.3.1
42278,2.3.1
42409,2.7.1
42410,2.7.1
42413,2.7.7
42414,6.3.4
42489,2.3.1
42490,2.3.1
42717,2.5.1
42718,2.5.1
43637,1.2.1
43638,1.2.1
43641,2.3.1
43642,2.3.1
43765,6.2.1
43766,6.2.1
44061,2.3.1
44062,2.3.1
44181,1.3.8
44182,1.3.8
44649,3.1.1
44650,3.1.1
44769,4.1.1
44770,4.1.1
45233,1.3.1
45234,1.3.1
45701,1.14.13
45702,1.14.13
45717,3.1.2
45718,3.1.2
45757,1.14.16
45758,1.14.16
45821,2.8.3
45822,2.8.3
45913,1.3.1
45914,1.3.1
46001,2.5.1
46002,2.5.1
46309,1.14.14
46310,1.14.14
47045,2.8.3
47046,2.8.3
47129,6.2.1
47130,6.2.1
47137,6.2.1
47138,6.2.1
47621,1.14.11
47622,1.14.11
48129,3.6.1
48130,3.6.1
48637,4.2.1
48638,4.2.1
48685,3.5.1
48686,3.5.1
50237,1.14.14
50238,1.14.14
50305,1.14.14
50306,1.14.14
50309,1.14.14
50310,1.14.14
50337,1.14.14
50338,1.14.14
51429,2.3.1
51430,2.3.1
51505,2.4.1
51506,2.4.1
51589,1.3.1
51590,1.3.1
51637,1.3.5
51638,1.3.5
52321,1.14.14
52322,1.14.14
52541,2.4.2
52542,2.4.2
52613,1.3.8
52614,1.3.8
52625,6.3.2
52626,6.3.2
52633,2.7.1
52634,2.7.4
52669,1.2.1
52670,1.2.1
52673,2.6.1
52674,2.6.1
52677,3.5.3
52678,3.5.1
52825,1.14.13
52826,1.14.13
52829,1.14.13
52830,1.14.13
53409,1.14.13
53410,1.14.13
53413,1.14.13
53414,1.14.13
53777,1.13.11
53778,1.13.11
53829,1.14.11
53830,1.14.11
53833,1.14.11
53834,1.14.11
53837,2.3.1
53838,2.3.1
54257,1.14.11
54258,1.14.11
54413,1.3.1
54414,1.3.1
54421,3.2.2
54422,3.2.2
54877,5.5.1
54878,5.5.1
54881,5.5.1
54882,5.5.1
55009,1.14.13
55010,1.14.13
55013,1.14.13
55014,1.14.13
55041,2.3.1
55042,2.3.1
56005,3.2.1
56006,3.2.1
56009,3.2.1
56010,3.2.1
56029,3.2.1
56030,3.2.1
56045,3.2.1
56046,3.2.1
56125,2.5.1
56126,1.3.99
56129,1.3.99
56130,1.3.99
56517,1.14.20
56518,1.11.1
56521,1.21.98
56522,1.21.98
56709,1.14.14
56710,1.14.14
56745,1.14.11
56746,1.14.11
56753,1.14.15
56754,1.14.15
56829,1.8.4
56830,1.8.4
56833,1.8.4
56834,2.3.3
56845,2.1.1
56846,2.1.1
56861,2.3.1
56862,2.3.1
56865,2.3.1
56866,2.3.1
56909,2.5.1
56910,2.5.1
56941,4.1.2
56942,4.1.2
56997,5.3.1
56998,5.3.1
57021,2.7.1
57022,2.7.1
57025,2.2.1
57026,2.2.1
57045,1.1.1
57046,1.1.1
57053,4.1.1
57054,4.1.1
57057,1.1.1
57058,1.1.1
57061,3.1.1
57062,3.1.1
57065,3.1.1
57066,3.1.1
57069,2.7.1
57070,2.7.1
57073,4.1.1
57074,4.1.1
57077,3.1.4
57078,3.1.4
57081,2.3.2
57082,2.3.2
57101,5.3.1
57102,5.3.1
57153,1.14.11
57154,1.14.11
57377,1.14.14
57378,1.14.14
57385,2.3.1
57386,2.3.1
57389,1.14.14
57390,1.14.14
57397,2.1.1
57398,2.1.1
57401,3.1.1
57402,3.1.1
57581,5.3.1
57582,5.3.1
57681,1.14.14
57682,1.14.19
57749,2.3.1
57750,2.3.1
57753,2.3.1
57754,2.3.1
57757,2.3.1
57758,2.3.1
