reaction_id,BEC-Pred_Prediction,SIMMER_SIMMER pred,SelenzymeRF_All ECs,Scaffold_ground_truth_REACTION_ID,Scaffold_ground_truth_true_EC,merged_output_BEC-Pred_Prediction,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_theia_Prediction,merged_output_merged_output_ec,merged_output_theia_Prediction,merged_output_ec,theia_Prediction,ec
10013,1.5.3,5.3.3,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,,,1.5.3,5.3.3,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,,,1.1.3,5.3.3,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,,,1.1.3,5.3.3,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,,,1.1.3,5.3.3,1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,,,1.1.3,5.3.3,,,1.1.3,5.3.3,,,1.1.3,,,,1.5.3.6,1.5.3.6,1.5.3.6,"1.5.3,0.9848008155822754;4.2.1,0.005037973634898663;1.11.1,0.0030626989901065826;1.1.3,0.00186723074875772;1.8.3,0.0016445849323645234",1.5.3.6,1.5.3;4.2.1;1.11.1;1.1.3;1.8.3,1.5.3.6,1.5.3;4.2.1;1.11.1;1.1.3;1.8.3,1.5.3.6,1.5.3;4.2.1;1.11.1;1.1.3;1.8.3,1.5.3.6,1.5.3;4.2.1;1.11.1;1.1.3;1.8.3,1.5.3.6
10017,3.1.1,3.1.1,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126,,,3.1.1,3.1.1,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126,,,3.1.1,3.1.1,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126,,,3.1.1,3.1.1,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126,,,3.1.1,3.1.1,2.3.1.91;2.4.1.299;2.3.1.188;3.1.1.7|3.1.1.8;3.1.1.-|3.1.1.92;3.1.4.1|3.1.4.4;2.4.1.120|2.4.1.126,,,3.1.1,3.1.1,,,3.1.1,3.1.1,,,3.1.1,,,,3.1.1.49,3.1.1.49,3.1.1.49,"3.1.1,0.9995595812797546;2.3.1,7.684760930715129e-05;4.1.1,5.432028410723433e-05;2.7.2,5.0987302529392764e-05;1.2.98,4.086634726263583e-05",3.1.1.49,3.1.1;2.3.1;4.1.1;2.7.2;1.2.98,3.1.1.49,3.1.1;2.3.1;4.1.1;2.7.2;1.2.98,3.1.1.49,3.1.1;2.3.1;4.1.1;2.7.2;1.2.98,3.1.1.49,3.1.1;2.3.1;4.1.1;2.7.2;1.2.98,3.1.1.49
10189,2.3.3,3.1.2;2.3.1,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.3,3.1.2;2.3.1,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,,,2.3.1,3.1.2;2.3.1,,,2.3.1,,,,2.3.3.10,2.3.3.10,2.3.3.10,"2.3.3,0.4884131848812103;4.1.3,0.3509152829647064;2.3.1,0.07780462503433228;3.1.2,0.03994236886501312;3.7.1,0.016034303233027458",2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10
10265,5.3.1,5.1.1,5.1.3.3;3.2.1.22;2.7.1.1,,,5.3.1,5.1.1,5.1.3.3;3.2.1.22;2.7.1.1,,,5.3.1,5.1.1,5.1.3.3;3.2.1.22;2.7.1.1,,,5.3.1,5.1.1,5.1.3.3;3.2.1.22;2.7.1.1,,,5.3.1,5.1.1,5.1.3.3;3.2.1.22;2.7.1.1,,,5.1.3,5.1.1,,,5.1.3,5.1.1,,,5.1.3,,,,5.1.3.3,5.1.3.3,5.1.3.3,"3.2.1,0.4965817332267761;5.1.3,0.33812621235847473;5.3.1,0.05578657239675522;2.4.1,0.03956175222992897;2.7.8,0.016929276287555695",5.1.3.3,3.2.1;5.1.3;5.3.1;2.4.1;2.7.8,5.1.3.3,3.2.1;5.1.3;5.3.1;2.4.1;2.7.8,5.1.3.3,3.2.1;5.1.3;5.3.1;2.4.1;2.7.8,5.1.3.3,3.2.1;5.1.3;5.3.1;2.4.1;2.7.8,5.1.3.3
10285,5.1.1,,5.1.1.10;3.4.11.10,,,5.1.1,,5.1.1.10;3.4.11.10,,,5.1.1,,5.1.1.10;3.4.11.10,,,5.1.1,,5.1.1.10;3.4.11.10,,,5.1.1,,5.1.1.10;3.4.11.10,,,5.1.1,,,,5.1.1,,,,5.1.1,,,,5.4.3.7,5.4.3.7,5.4.3.7,"2.6.1,0.812734842300415;6.3.2,0.04147389158606529;5.1.1,0.028153952211141586;4.1.1,0.018348535522818565;2.7.4,0.009657264687120914",5.4.3.7,2.6.1;6.3.2;5.1.1;4.1.1;2.7.4,5.4.3.7,2.6.1;6.3.2;5.1.1;4.1.1;2.7.4,5.4.3.7,2.6.1;6.3.2;5.1.1;4.1.1;2.7.4,5.4.3.7,2.6.1;6.3.2;5.1.1;4.1.1;2.7.4,5.4.3.7
10361,3.1.1,,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,3.1.1,,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,3.1.1,,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,3.1.1,,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,3.1.1,,5.1.1.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,3.1.1,,,,3.1.1,,,,3.1.1,,,,3.1.1.35,3.1.1.35,3.1.1.35,"3.1.1,0.8655170202255249;3.7.1,0.05758308246731758;1.2.98,0.012535687536001205;3.5.2,0.005479568615555763;3.1.2,0.005132088903337717",3.1.1.35,3.1.1;3.7.1;1.2.98;3.5.2;3.1.2,3.1.1.35,3.1.1;3.7.1;1.2.98;3.5.2;3.1.2,3.1.1.35,3.1.1;3.7.1;1.2.98;3.5.2;3.1.2,3.1.1.35,3.1.1;3.7.1;1.2.98;3.5.2;3.1.2,3.1.1.35
10369,2.6.1,2.6.1,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,,,2.6.1,2.6.1,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,,,2.6.1,2.6.1,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,,,2.6.1,2.6.1,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,,,2.6.1,2.6.1,2.6.1.59;2.6.1.92;2.6.1.102;2.6.1.33;2.6.1.90;2.6.1.-|2.6.1.106;2.6.1.34|2.6.1.91;2.6.1.98;4.2.1.168;1.4.7.1;2.6.1.104;2.6.1.94;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,,,2.6.1,2.6.1,,,2.6.1,2.6.1,,,2.6.1,,,,2.6.1.59,2.6.1.59,2.6.1.59,"2.6.1,0.9891133308410645;4.2.1,0.006218577269464731;1.14.11,0.0015861507272347808;5.3.2,0.0005839676014147699;1.4.1,0.0004714225069619715",2.6.1.59,2.6.1;4.2.1;1.14.11;5.3.2;1.4.1,2.6.1.59,2.6.1;4.2.1;1.14.11;5.3.2;1.4.1,2.6.1.59,2.6.1;4.2.1;1.14.11;5.3.2;1.4.1,2.6.1.59,2.6.1;4.2.1;1.14.11;5.3.2;1.4.1,2.6.1.59
10461,5.3.3,1.17.99;1.13.11,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45,,,5.3.3,1.17.99;1.13.11,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45,,,5.3.1,1.17.99;1.13.11,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45,,,5.3.1,1.17.99;1.13.11,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45,,,5.3.1,1.17.99;1.13.11,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45,,,5.1.1,1.17.99;1.13.11,,,5.1.1,1.17.99;1.13.11,,,5.1.1,,,,5.3.3.9,5.3.3.9,5.3.3.9,"5.3.3,0.389231413602829;2.7.8,0.19468986988067627;5.3.99,0.09988684952259064;5.5.1,0.06575755029916763;4.2.1,0.028498142957687378",5.3.3.9,5.3.3;2.7.8;5.3.99;5.5.1;4.2.1,5.3.3.9,5.3.3;2.7.8;5.3.99;5.5.1;4.2.1,5.3.3.9,5.3.3;2.7.8;5.3.99;5.5.1;4.2.1,5.3.3.9,5.3.3;2.7.8;5.3.99;5.5.1;4.2.1,5.3.3.9
10509,4.1.2,,2.2.1.1;2.2.1.2,,,4.1.2,,2.2.1.1;2.2.1.2,,,2.3.1,,2.2.1.1;2.2.1.2,,,2.3.1,,2.2.1.1;2.2.1.2,,,2.3.1,,2.2.1.1;2.2.1.2,,,2.6.1,,,,2.6.1,,,,2.6.1,,,,2.2.1.1,2.2.1.1,2.2.1.1,"5.1.3,0.164356991648674;2.7.4,0.14693689346313477;2.7.8,0.11499759554862976;2.5.1,0.08483050763607025;4.1.2,0.05838647857308388",2.2.1.1,5.1.3;2.7.4;2.7.8;2.5.1;4.1.2,2.2.1.1,5.1.3;2.7.4;2.7.8;2.5.1;4.1.2,2.2.1.1,5.1.3;2.7.4;2.7.8;2.5.1;4.1.2,2.2.1.1,5.1.3;2.7.4;2.7.8;2.5.1;4.1.2,2.2.1.1
10609,1.14.14,1.14.14,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91,,,1.14.14,1.14.14,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91,,,1.14.14,1.14.14,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91,,,1.14.14,1.14.14,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91,,,1.14.14,1.14.14,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.5;1.14.14.28;1.14.14.8;1.14.14.15;1.14.14.30;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.91,,,1.14.14,1.14.14,,,1.14.14,1.14.14,,,1.14.14,,,,1.14.14.91,1.14.14.91,1.14.14.91,"1.14.14,0.9916397929191589;1.14.19,0.0063413092866539955;1.3.8,0.0005048560560680926;3.5.99,0.0002988891792483628;1.14.99,0.00024160227621905506",1.14.14.91,1.14.14;1.14.19;1.3.8;3.5.99;1.14.99,1.14.14.91,1.14.14;1.14.19;1.3.8;3.5.99;1.14.99,1.14.14.91,1.14.14;1.14.19;1.3.8;3.5.99;1.14.99,1.14.14.91,1.14.14;1.14.19;1.3.8;3.5.99;1.14.99,1.14.14.91
