reaction_id,Prediction
10013,1.5.3;4.2.1;1.11.1;1.1.3;1.8.3
10017,3.1.1;2.3.1;4.1.1;2.7.2;1.2.98
10189,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1
10265,3.2.1;5.1.3;5.3.1;2.4.1;2.7.8
10285,2.6.1;6.3.2;5.1.1;4.1.1;2.7.4
10361,3.1.1;3.7.1;1.2.98;3.5.2;3.1.2
10369,2.6.1;4.2.1;1.14.11;5.3.2;1.4.1
10461,5.3.3;2.7.8;5.3.99;5.5.1;4.2.1
10509,5.1.3;2.7.4;2.7.8;2.5.1;4.1.2
10609,1.14.14;1.14.19;1.3.8;3.5.99;1.14.99
10613,2.4.1;2.4.2;2.7.1;3.6.1;2.7.7
10733,2.7.7;3.6.1;6.1.1;2.7.4;6.2.1
10757,2.7.1;2.7.9;2.5.1;2.7.4;2.7.7
10797,1.14.13;1.14.19;1.14.12;1.6.3;4.1.99
10805,2.6.1;2.7.4;5.1.1;2.5.1;2.7.8
10905,2.8.1;1.2.99;3.1.2;4.4.1;1.3.99
10933,3.5.3;6.3.1;6.3.4;2.7.4;2.1.3
10969,2.3.1;6.2.1;3.1.2;1.2.1;2.3.3
11089,3.6.1;2.4.1;3.2.1;1.16.3;3.6.4
11141,2.7.1;5.3.1;2.7.8;5.1.3;1.1.1
11213,1.13.11;4.1.99;4.1.2;1.13.12;2.6.1
11309,4.1.1;2.3.1;6.3.2;2.8.3;2.7.4
11313,3.8.1;3.1.4;2.7.8;3.6.1;1.14.19
11365,2.7.9;3.6.1;2.7.1;2.5.1;6.4.1
11433,2.1.1;2.5.1;2.8.4;4.4.1;1.3.98
11457,2.4.1;3.6.1;2.4.2;2.7.7;2.7.1
11465,2.3.1;2.7.4;1.8.4;1.8.1;5.2.1
11489,2.3.1;3.1.2;2.3.2;2.4.1;3.1.1
11521,2.4.1;2.4.2;3.6.1;2.7.1;2.7.7
11693,2.7.4;2.7.8;2.6.1;2.8.3;5.2.1
11693,2.7.4;2.7.8;2.6.1;2.8.3;5.2.1
11713,1.2.7;3.1.2;1.2.4;6.2.1;2.3.3
11725,1.8.4;3.6.2;1.21.4;2.8.1;2.8.2
11749,4.1.2;2.7.4;5.1.1;4.2.1;5.3.3
11753,3.1.1;3.6.1;1.14.13;2.5.1;3.7.1
11781,2.4.1;2.4.2;3.6.1;2.7.1;2.7.7
11801,3.6.1;3.1.4;2.7.9;3.1.7;2.7.1
11849,3.1.2;2.1.1;2.3.1;2.8.1;3.1.3
11881,1.5.3;1.11.1;1.8.3;4.2.1;1.21.3
11905,3.5.4;3.5.1;3.5.5;1.7.1;3.5.99
11949,3.1.2;2.3.1;6.2.1;1.2.1;2.3.3
11957,3.2.1;2.4.1;2.3.1;5.4.99;2.4.2
12001,1.1.1;1.2.1;1.12.1;1.16.1;1.8.1
12005,2.4.1;2.4.2;3.6.1;2.7.7;3.2.1
12013,2.7.1;2.7.4;2.7.2;2.7.11;2.7.12
12173,5.3.1;4.3.1;3.2.1;2.2.1;1.4.1
12177,2.1.1;2.5.1;2.8.4;1.17.98;1.3.98
12181,2.1.1;2.5.1;2.3.1;2.8.4;4.4.1
12233,2.8.1;2.3.1;3.1.2;1.8.4;2.3.3
12277,1.3.8;1.14.14;1.3.99;1.5.1;5.3.3
12325,3.2.1;3.5.1;2.3.1;4.2.1;2.6.1
12606,4.1.1;4.1.2;1.1.1;5.1.3;1.2.7
12614,2.5.1;2.3.1;2.7.4;2.7.8;2.8.1
12630,1.14.11;4.1.1;2.6.1;1.13.12;1.14.20
12730,5.5.1;2.7.4;2.6.1;2.7.8;2.5.1
