Reaction name,SIMMER pred
25821,1.5.99;1.5.3
19598,
57077,
16534,2.4.1
38012,2.5.1
20514,4.1.1
27382,3.1.3
32484,
21609,2.1.1
66005,2.1.1
59757,2.1.1
49285,2.7.7
23145,1.1.1
11629,4.1.1
70804,
25513,4.2.1
18986,
46925,4.2.1
27955,4.2.3
62233,4.1.99
26374,1.11.1;1.17.4
36040,2.3.1
32200,1.14.15
68629,4.4.1
51605,1.14.15
17534,2.6.1
13114,1.7.1;1.14.19
14754,1.14.14
24625,6.1.1
48489,1.1.1
21673,2.1.1
35832,
16178,1.1.1
14042,3.2.1
57353,1.14.14
30360,1.7.1
13738,1.1.1
18622,1.14.20;1.14.11
23361,2.4.1
20126,1.18.1;1.6.2
56845,2.1.1
24193,1.1.1
51753,2.5.1
24237,
67657,1.18.1;1.6.2
16414,5.1.3;5.1.1
69473,2.3.1
13634,6.3.2;2.7.1
20398,
17390,1.1.1
21173,1.1.1
52385,
28335,6.3.5
35424,2.4.1
48893,3.2.1
22725,2.4.1
23917,4.1.1;4.2.1
12501,1.5.1;1.3.1
10245,
79620,1.14.19;1.14.14
22433,1.1.1
10757,2.7.9
36292,1.14.13
26082,4.2.3
33264,1.14.14
22321,2.4.1
24153,2.7.1
35956,1.14.14
34180,3.2.1
11697,2.1.1
23237,3.1.1
31688,1.13.11
41941,6.3.2
52441,2.4.1
69604,4.6.1
20462,2.1.1
14402,1.3.1
24794,5.3.1
19862,1.1.1
12702,1.17.4
74476,1.14.11
20330,2.7.11
60049,1.14.13
21649,4.2.1
30840,5.1.3;5.1.1
16290,1.3.1
46757,1.14.19
36184,2.7.8
21173,1.1.1
16218,3.1.1
74280,2.3.1
14074,4.1.1;1.14.11
45705,1.1.1
11265,1.12.1
28119,2.4.2;2.7.8;2.4.1
19110,
40540,1.14.15
27607,
55437,1.14.14
28792,1.5.1;1.1.1
26547,
17910,1.1.2
12169,1.1.1
17662,6.2.1
23797,3.1.1
59469,3.4.19
33448,1.1.1
34212,1.1.1
13614,3.1.3
10133,6.2.1
23545,2.4.1
36216,2.7.8
14370,3.1.3
20178,2.4.1
69393,2.4.3;2.4.1
12970,3.1.1
64653,1.2.1
34272,
12197,
22309,
17838,3.1.3
10517,1.1.1
26238,4.2.3
15614,1.14.13;1.3.1
39904,
29508,4.2.3
12581,1.5.1;1.1.1
16446,4.2.1
29860,3.2.2
13942,2.7.1;2.7.11
85248,1.6.5
23033,6.3.4
18294,6.2.1
70808,5.3.1
18514,5.3.1
42829,1.17.3;1.13.11
42565,5.4.99
20214,5.1.3;5.1.1
18794,5.4.2;3.1.3
80836,2.5.1
49025,
24117,4.2.3
18262,2.1.1
59181,3.1.4;2.7.7
15426,
76548,2.3.1
24529,1.1.1
31548,2.5.1
46921,1.13.11
19626,4.1.2
23945,2.4.1
13690,3.1.3
41537,2.1.1
57193,3.5.1
45221,2.1.1
24841,
24201,4.1.1
55057,1.14.14
14706,2.3.1
14070,1.1.1
11565,2.4.1
69477,2.3.1
31356,1.8.1;1.12.1
17402,5.5.1
65509,
14910,1.1.1
11881,1.5.3
30904,2.1.1
14474,1.3.1
23817,2.6.1
48545,2.1.1
36832,
62373,1.5.1
23009,3.2.1
52393,2.7.1
34592,2.1.1
36220,3.1.4
27875,4.1.3
20897,6.2.2
30708,2.6.1
26515,4.1.1
15994,1.14.13
42729,2.1.1
42761,1.2.1;1.1.1
79700,3.6.1
49085,1.14.19;1.14.14
14562,2.3.1
49201,2.5.1
70032,1.14.14
48921,
16366,
27731,2.4.99
33124,2.5.1;4.2.3
21813,1.14.14
20054,1.1.1
29504,4.2.3
13038,3.5.4
14466,
42625,5.4.4
74284,2.3.1
13990,5.1.3;5.1.1
49709,2.5.1
37944,4.2.1;1.13.11
18914,2.4.3;2.4.1
26390,1.13.11
53629,4.2.3
11897,1.1.1
33496,4.2.3;2.5.1
50381,2.3.1
22893,1.3.1
56345,2.4.1
16318,1.1.1
28011,2.8.3
68421,4.2.1
25445,4.2.3
79652,2.8.3
53209,1.14.14
55333,2.1.1
18586,4.2.3
45521,4.4.1
14506,1.11.1
48565,3.2.2
29800,7.3.2;7.2.2
51557,2.1.1
13930,3.5.3
41473,1.14.14
16970,5.1.3;5.1.1
20126,1.18.1;1.6.2
50921,1.21.98
55765,
44353,6.3.2
25561,4.2.3
20682,2.4.1
21765,1.14.15;1.14.99
12890,1.1.1
11093,1.1.1
23737,3.5.2
18590,2.7.7
44609,2.1.1
43221,2.1.1
34136,
25517,2.3.1
16538,3.1.4
14358,2.7.1
18858,1.14.14
25095,2.7.4
51701,2.1.1
28255,2.3.1
17726,4.2.1
40764,3.2.1
10089,2.4.1
31852,5.4.99
24149,1.13.11
44405,2.1.1
11801,3.6.1
16994,
18070,5.1.3;5.1.1
13106,3.1.3
23581,5.3.99
19966,
14002,2.3.1
19218,
40076,3.5.4
27751,2.4.2
35784,2.4.1
51525,2.1.1
41176,
23409,1.14.13;1.5.1
24489,5.3.3
75220,3.1.1
24109,3.5.1
11977,1.14.13;1.1.1
14342,
85516,
36272,1.14.13
12826,1.21.4;1.8.4
46957,1.3.1
10717,5.4.2
36304,1.2.1
63133,2.1.1
23265,1.1.1
40536,1.14.15
51541,1.14.19;1.14.14
34800,2.3.1
18214,2.7.7;2.4.1
13814,1.14.12;1.3.1
19394,2.6.1
63445,2.7.8
46973,1.3.99
15954,2.7.3;2.7.1
25789,4.1.2
37920,1.13.11
34824,2.3.1
28375,6.3.2
82408,4.2.3
21865,4.4.1
54069,4.2.3
19558,1.14.19
11073,1.14.13
78764,3.2.1
52481,1.14.14
43489,1.1.1
52553,2.7.1
32188,5.3.3;1.14.19
11257,2.4.1
51009,5.1.3;5.1.1
31012,
13038,3.5.4
21093,2.1.1
14770,1.5.99
33020,2.3.1
19586,1.1.1
11541,1.3.1;1.14.12;1.1.1
19262,7.3.2;7.2.2
14570,
20042,1.1.1
14106,1.5.1;1.1.1
17826,2.7.1
50529,2.3.1
36036,2.3.1
11481,1.14.13
40736,3.2.1
11537,1.1.99
34160,2.3.1
12906,2.7.7;2.4.1
20002,1.17.1;1.1.1
18950,1.14.14
22117,2.4.1
46513,1.14.18;1.13.11
32428,
20026,2.4.1
36004,4.1.3;4.1.2
12654,1.1.1
11093,1.1.1
59045,2.4.1
81252,1.14.15
36044,1.13.11
10461,1.17.99
20154,2.7.1
24449,2.4.1
24537,1.13.11
30676,4.2.1;5.4.99
74016,4.1.1
20218,
26090,1.14.13;1.1.1
17058,2.3.1
25283,1.14.14
37988,5.5.1
23601,2.6.1
18886,1.1.1
17654,2.5.1
15474,2.4.1
76044,1.14.14
75184,4.2.3
47837,2.7.4;2.7.1
29792,7.3.2;7.2.2
19626,4.1.2
11349,7.3.2;7.2.2
17934,2.1.1
65737,1.14.11
15366,2.4.2;2.4.1
12654,1.1.1
11497,
14814,5.1.3;5.1.1
46373,1.14.19
43137,2.1.1
49373,1.14.13
14026,1.17.3
