Reaction,All ECs
10001,3.5.1.4;6.3.1.2
10041,1.18.6.1;6.3.5.9
10045,1.1.1.184|1.1.1.188|1.1.1.2;1.1.1.1|1.1.1.163
10061,2.3.1.53;2.3.1.33;2.3.1.17;2.3.1.271;2.3.1.1|2.3.1.183|6.3.4.16
10089,2.4.1.96;2.4.1.13|2.4.1.14;2.4.1.203;2.4.1.159;2.4.1.241;2.4.1.271;2.4.1.123;2.4.1.309;5.4.99.11;2.4.1.365|2.4.1.du;2.4.1.-|2.4.1.293;2.4.1.239;2.4.1|2.4.1.44;2.4.1|2.4.1.58;2.4.1.238;2.4.1.304;2.4.1.272;2.4.1.177;2.4.1.111;2.4.1.357;2.4.1.91
10133,6.2.1.33;6.2.1.27;6.2.1.65|6.2.1.ak;6.2.1|6.2.1.-|6.2.1.32;6.2.1.2|6.2.1.30;6.2.1.26;6.2.1.1
10145,3.1.3.31|3.1.3.6;3.1.3.5
10245,3.7.1.-|3.7.1.20|3.7.1.5;3.7.1.23;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
10305,2.3.1.40;2.3.1.51;2.3.1.15
10457,1.2.1.18;2.3.1.79;2.3.1.180
10461,1.1.1.141;2.3.1.85;5.3.99.6;1.1.1.184;1.1.1.188;3.1.2.21;5.3.3.4;3.1.2.14|3.1.2.21;1.3.1.42;3.5.1.97;1.13.11.45
10517,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
10569,2.4.1.234;2.4.1.17;2.4.1.81;2.4.1.237;2.4.1.115;2.4.1.294;2.4.1.91;2.4.1.253;2.4.1.-|2.4.1.286;2.4.1.264;2.4.1.357;2.4.1.126;2.4.1.212
10717,5.5.1.4;5.1.3.15|5.3.1.9;5.4.2.8
10757,2.7.1.40|2.7.9.2;2.7.9.1;6.3.1.14;6.3.1.1|6.3.5.4
10789,2.7.1.1|2.7.1.15|2.7.1.2|2.7.1.4
10829,6.2.1.65|6.2.1.ak;6.2.1|6.2.1.-|6.2.1.32;6.2.1.37;6.2.1.2;6.2.1.33;6.2.1.27;6.2.1.2|6.2.1.30;6.2.1.26;6.2.1.1
10857,2.4.1.47;2.4.1.46;2.4.1.241;2.4.1.80;2.4.1.-|2.4.1.330;2.4.1.85;2.4.1.203;2.4.1.239;2.4.1.274;2.4.1.228;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.13;2.4.1.87
10881,2.4.99.20;2.1.1.159|2.1.1.160;2.4.2.21
10925,5.5.1.7;3.1.1.45;1.14.14.173;2.1.1.144;3.5.99.11;5.3.3.7;2.1.1.145;3.7.1.23;5.5.1.1;1.13.11.64;5.2.1.1;3.5.1.107;3.1.1.-|3.1.1.91;1.2.1.32;1.1.1.312|1.2.1.45;5.3.2.2;5.3.2.6;2.8.3.26;1.13.11.8;1.13.11.1|1.13.11.M6
11073,1.14.12.1;1.14.12.13;1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.10;1.14.13.240;1.14.12.14;1.14.13.2|1.14.13.33;1.14.14.91;1.14.13.84;1.14.13.8
11093,1.1.1.261;1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20
11225,6.3.2.8
11257,2.4.1.210;2.4.1.272;2.4.1.365;2.4.1.239;2.4.1.123;2.4.1.276;2.4.1.303;2.4.1.305;2.4.1.343;2.4.1.304;2.4.1.13|2.4.1.14;2.4.1.271;2.4.1.111;2.4.1.96;2.4.1.309;2.4.1.126;2.4.1.91;2.4.1.234;2.4.1.357;2.4.1.-|2.4.1.293;2.4.1.203;2.4.1.237;2.4.1.-|2.4.1.286;2.4.1|2.4.1.58;2.4.1.115;2.4.1.294
11265,1.6.3.5;1.14.13.225|1.6.3.1;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.99.33;1.14.12.12;1.14.12.13;1.14.12.1;1.14.12.11
11273,1.1.5.10;1.4.5.1;1.2.5.2;1.1.5.12;1.1.5.4
11349,6.3.4.16|6.3.5.5
11481,1.6.3.2;1.14.13.2|1.14.13.33;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.240;1.14.13.84;1.14.14.91;1.14.13.8
11497,2.5.1.52;4.4.1.11;2.5.1.47|2.5.1.49|4.2.99.8;2.5.1.47|2.5.1.65;2.5.1.134;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
11525,1.3.1.22;1.1.1|1.3.1.22|1.3.1.3|1.3.99.5;1.1.1.213|1.1.1.50|1.3.1.-|1.3.1.3|1.3.1.M16|1.3.99.6;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.11.1.2;1.1.1.51;1.1.1.270;1.1.1.170;1.14.13.54;1.3.1.114;1.1.1.145|5.3.3.1;1.1.1.201;1.3.1.72;1.1.1.146;1.1.1.50|1.1.1.52;1.1.1.149
11537,1.1.3.17|1.1.99.1;1.1.3.41;1.8.3.5;1.2.3.1;1.1.3.18;1.4.3.13
11541,1.6.5.4;1.1.1.233;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
11565,2.4.1.321;2.4.1.230;2.4.1.231;2.4.1.64;2.4.1.7;2.4.1.332;2.4.1.359|2.4.1.dr;2.4.1.329;2.4.1.1;2.4.1.279;2.4.1.281;2.4.1.31;2.4.1.20;2.4.1.320;2.4.1.8;2.4.1.211;2.4.1.-|2.4.1.282;2.4.1.247;2.4.1.352;3.1.3.10;2.4.1.49;2.7.7.37;2.4.1.216;2.4.1.340;2.4.1.1|2.4.1.139|2.4.1.30|2.4.1.333|2.4.1.97;2.4.1.334;2.3.1.15|2.3.1.51|2.4.1.46|3.1.3.4
11597,2.3.1.281|2.3.1.ci;2.3.1.119;1.13.12.17;2.3.1.161;4.1.1.21|5.4.99.18;1.3.1.-|2.3.1.170|2.3.1.74;1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9;2.3.1.239;2.3.1.94
11629,4.1.1.1;4.1.1.1|4.1.1.7|4.1.1.74|4.1.1.82;1.2.3.4;4.1.1.2;4.1.1.1|4.1.1.72;1.13|1.13.12.19;4.1.1.79;2.6.1.19;4.1.1.71;4.1.1.-|4.1.1.75;4.1.1.-|4.1.1.43|4.1.4.3;3.5.1.54;3.5.1.29;2.2.1.9
11697,2.1.1.285;2.1.1.164;2.1.1.315;2.1.1.305;2.1.1.306;2.1.1.307;2.1.1.238;2.1.1.237;2.1.1.102;2.1.1.239;2.1.1.101;2.1.1.365;2.1.1.267;2.1.1.129;2.1.1.163
11709,1.1.1.205;1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
11801,2.5.1.143;2.7.7.1|2.7.7.18
11837,2.4.99.1;2.4.99.14;2.7.8.46;2.7.8.14;2.4.99.13;6.1.2.2;3.2.1.18
11877,1.1.1.141;1.1.1.141|1.1.1.196;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
11881,1.5.3.6;1.1.3.15;1.4.3.3;1.4.3.13;1.8.3.5;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
11897,1.1.1.181;1.1.1.145|5.3.3.1;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
11901,1.1.1.41;1.1.1.170|1.1.1.418;1.1.1.417;5.3.3.1;1.3.1.25;1.1.1.42;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87;1.1.1.272|1.1.1.399|1.1.1.M7
11941,2.1.3.3|6.3.4.16
