reaction_id,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_theia_Prediction,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_ec,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_CLAIRE_predictions,merged_output_theia_Prediction,merged_output_BEC-Pred_Prediction,merged_output_ec,SIMMER_SIMMER pred,SelenzymeRF_All ECs,CLAIRE_predictions,theia_Prediction,BEC-Pred_Prediction,ec
10001-3.5.1.50-Q,10001,3.5.1.50,10001,3.5.1.50,10001,3.5.1.50,10001,3.5.1.50,10001,3.5.1.50,10001,3.5.1.50,10001,3.5.1.50,10001,3.5.1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041-3.1.3.7-Q,10041,3.1.3.7,10041,3.1.3.7,10041,3.1.3.7,10041,3.1.3.7,10041,3.1.3.7,10041,3.1.3.7,10041,3.1.3.7,10041,3.1.3.7,3.1.4;3.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045-1.1.1.245-Q,10045,1.1.1.245,10045,1.1.1.245,10045,1.1.1.245,10045,1.1.1.245,10045,1.1.1.245,10045,1.1.1.245,10045,1.1.1.245,10045,1.1.1.245,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061-2.3.1.34-Q,10061,2.3.1.34,10061,2.3.1.34,10061,2.3.1.34,10061,2.3.1.34,10061,2.3.1.34,10061,2.3.1.34,10061,2.3.1.34,10061,2.3.1.34,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089-2.4.1.167-Q,10089,2.4.1.167,10089,2.4.1.167,10089,2.4.1.167,10089,2.4.1.167,10089,2.4.1.167,10089,2.4.1.167,10089,2.4.1.167,10089,2.4.1.167,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133-6.2.1.25-Q,10133,6.2.1.25,10133,6.2.1.25,10133,6.2.1.25,10133,6.2.1.25,10133,6.2.1.25,10133,6.2.1.25,10133,6.2.1.25,10133,6.2.1.25,6.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145-3.1.3.6-Q,10145,3.1.3.6,10145,3.1.3.6,10145,3.1.3.6,10145,3.1.3.6,10145,3.1.3.6,10145,3.1.3.6,10145,3.1.3.6,10145,3.1.3.6,3.1.4;3.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10245-3.7.1.2-Q,10245,3.7.1.2,10245,3.7.1.2,10245,3.7.1.2,10245,3.7.1.2,10245,3.7.1.2,10245,3.7.1.2,10245,3.7.1.2,10245,3.7.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305-2.3.1.40-Q,10305,2.3.1.40,10305,2.3.1.40,10305,2.3.1.40,10305,2.3.1.40,10305,2.3.1.40,10305,2.3.1.40,10305,2.3.1.40,10305,2.3.1.40,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10457-2.3.1.79-Q,10457,2.3.1.79,10457,2.3.1.79,10457,2.3.1.79,10457,2.3.1.79,10457,2.3.1.79,10457,2.3.1.79,10457,2.3.1.79,10457,2.3.1.79,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10461-5.3.3.9-Q,10461,5.3.3.9,10461,5.3.3.9,10461,5.3.3.9,10461,5.3.3.9,10461,5.3.3.9,10461,5.3.3.9,10461,5.3.3.9,10461,5.3.3.9,1.17.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10517-1.1.1.166-Q,10517,1.1.1.166,10517,1.1.1.166,10517,1.1.1.166,10517,1.1.1.166,10517,1.1.1.166,10517,1.1.1.166,10517,1.1.1.166,10517,1.1.1.166,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10569-2.4.1.189-Q,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10717-5.5.1.4-Q,10717,5.5.1.4,10717,5.5.1.4,10717,5.5.1.4,10717,5.5.1.4,10717,5.5.1.4,10717,5.5.1.4,10717,5.5.1.4,10717,5.5.1.4,5.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10757-2.7.9.1-Q,10757,2.7.9.1,10757,2.7.9.1,10757,2.7.9.1,10757,2.7.9.1,10757,2.7.9.1,10757,2.7.9.1,10757,2.7.9.1,10757,2.7.9.1,2.7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10789-2.7.1.13-Q,10789,2.7.1.13,10789,2.7.1.13,10789,2.7.1.13,10789,2.7.1.13,10789,2.7.1.13,10789,2.7.1.13,10789,2.7.1.13,10789,2.7.1.13,2.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10829-6.2.1.32-Q,10829,6.2.1.32,10829,6.2.1.32,10829,6.2.1.32,10829,6.2.1.32,10829,6.2.1.32,10829,6.2.1.32,10829,6.2.1.32,10829,6.2.1.32,6.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10857-2.4.1.47-Q,10857,2.4.1.47,10857,2.4.1.47,10857,2.4.1.47,10857,2.4.1.47,10857,2.4.1.47,10857,2.4.1.47,10857,2.4.1.47,10857,2.4.1.47,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10881-3.2.2.25-Q,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,3.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10925-5.2.1.10-Q,10925,5.2.1.10,10925,5.2.1.10,10925,5.2.1.10,10925,5.2.1.10,10925,5.2.1.10,10925,5.2.1.10,10925,5.2.1.10,10925,5.2.1.10,5.1.3;5.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11073-1.14.12.1-Q,11073,1.14.12.1,11073,1.14.12.1,11073,1.14.12.1,11073,1.14.12.1,11073,1.14.12.1,11073,1.14.12.1,11073,1.14.12.1,11073,1.14.12.1,1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11093-1.1.1.8-Q,11093,1.1.1.8,11093,1.1.1.8,11093,1.1.1.8,11093,1.1.1.8,11093,1.1.1.8,11093,1.1.1.8,11093,1.1.1.8,11093,1.1.1.8,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11093-1.1.1.94-Q,11093,1.1.1.94,11093,1.1.1.94,11093,1.1.1.94,11093,1.1.1.94,11093,1.1.1.94,11093,1.1.1.94,11093,1.1.1.94,11093,1.1.1.94,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11225-6.3.2.4-Q,11225,6.3.2.4,11225,6.3.2.4,11225,6.3.2.4,11225,6.3.2.4,11225,6.3.2.4,11225,6.3.2.4,11225,6.3.2.4,11225,6.3.2.4,6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
