reactionID,predictions
10233,2.7.7;2.4.2;2.4.1;2.7.4
11273,1.3.5;1.1.5;1.17.5;1.4.7
11381,1.13.12;1.14.11;1.2.3;1.13.11
12714,2.8.2;2.4.3;7.1.1;2.7.1
12886,2.8.2;2.3.3;2.7.8;2.3.1
13822,1.13.12;1.14.11;1.13.11;1.2.3
14590,2.1.1;2.5.1;4.4.1;2.8.1
15086,3.2.1;4.2.1;3.3.2;3.1.1
15534,2.3.1;7.2.4;1.3.1;1.2.1
15594,3.1.3;3.1.7;3.1.4;2.5.1
16330,1.2.3;1.13.12;1.13.11;1.13.99
16742,2.3.1;2.3.2;2.3.3;2.7.8
17134,2.8.2;2.4.3;2.3.2;2.7.11
17610,2.5.1;4.2.3;2.1.1;4.4.1
18346,3.7.1;1.1.9;1.1.99;4.2.1
18758,2.4.2;3.2.1;2.4.1;4.3.3
18806,2.3.3;2.3.1;2.7.8;2.7.7
18882,6.3.2;6.3.1;6.3.4;6.2.1
19358,1.14.19;1.14.14;1.14.13;4.1.99
19390,6.2.1;6.3.1;2.7.7;6.3.2
20094,2.3.1;2.4.2;2.4.1;2.7.8
20330,2.8.2;2.4.3;2.3.2;2.7.11
20350,1.14.19;1.14.14;1.14.13;1.14.15
20362,1.14.15;1.14.19;1.14.14;1.14.18
20713,3.1.2;3.13.1;2.3.2;6.2.1
20733,2.3.1;2.3.3;2.5.1;2.7.8
20929,1.8.5;1.8.98;1.8.7;2.8.1
22265,1.14.15;1.14.14;1.14.19;1.14.20
22685,1.21.3;1.10.3;1.14.18;1.17.3
23121,7.1.1;1.6.1;3.6.1;2.7.7
23817,5.4.3;2.6.1;4.3.99;4.1.3
24025,2.6.1;4.1.3;4.1.1;2.2.1
24449,2.7.8;2.3.1;2.4.2;2.4.1
24830,4.1.3;3.7.1;4.1.1;2.6.1
26157,7.2.4;1.3.1;2.3.1;1.2.1
27611,1.2.99;3.7.1;1.2.2;1.1.99
27651,7.2.4;7.1.1;1.17.9;3.2.1
27711,2.4.2;2.4.1;2.7.7;2.7.4
27759,1.12.99;1.5.99;1.21.99;1.1.99
27787,2.3.1;2.7.7;2.1.1;7.2.4
28011,2.8.3;4.2.99;4.1.3;5.4.1
28043,2.3.1;2.3.3;2.3.2;2.4.2
28051,2.9.1;6.5.1;3.6.1;3.9.1
28191,3.5.1;3.5.3;3.5.99;3.5.2
28331,3.2.1;3.6.1;3.6.4;5.6.2
28375,2.4.2;2.3.3;2.3.1;2.7.7
28387,4.1.3;3.7.1;2.3.1;2.3.2
28403,2.4.2;2.7.4;2.4.1;2.7.1
28407,3.2.1;3.6.5;3.6.4;5.6.2
28539,2.7.8;2.3.1;2.4.2;2.4.1
28676,5.1.3;5.1.2;5.3.1;5.3.99
29768,2.7.7;2.4.2;2.7.1;2.4.1
29776,2.4.2;2.4.1;2.7.4;2.7.1
29780,2.7.7;2.4.2;2.7.1;2.4.1
29792,2.3.3;7.1.1;3.2.1;2.4.1
29796,1.1.98;1.2.2;1.5.8;3.5.99
29800,7.1.1;1.6.1;1.16.3;3.6.1
29812,1.16.3;7.1.1;1.6.1;1.7.7
29996,3.6.1;2.7.7;3.6.5;3.6.4
30000,3.6.4;5.6.2;3.6.1;1.1.7
30084,1.16.3;1.14.18;1.14.99;1.97.1
30112,1.7.99;1.14.99;1.16.3;1.7.3
30392,2.6.1;1.3.98;5.4.3;4.1.3
30688,4.1.2;3.7.1;1.1.99;4.1.3
30700,5.4.3;2.2.1;2.6.1;5.3.2
30872,2.4.2;2.7.4;2.4.1;2.7.1
31156,1.12.98;3.7.1;1.2.2;1.2.99
31228,2.4.2;2.7.7;2.4.1;2.7.4
31236,4.1.3;2.6.1;1.1.99;3.7.1
31416,4.2.3;3.1.7;4.2.1;5.4.99
31424,4.2.3;3.1.7;2.1.1;2.5.1
32588,1.14.19;1.14.13;1.14.14;1.14.15
32764,6.3.1;6.3.2;6.4.1;6.2.1
32980,3.1.1;3.1.2;3.5.5;3.5.1
33032,4.1.3;3.7.1;5.3.1;2.2.1
33088,4.2.3;5.4.4;5.4.99;3.1.7
33148,7.1.1;1.6.1;1.16.3;7.5.2
33156,3.1.3;3.1.7;3.1.4;2.5.1
33276,3.5.5;3.1.1;3.5.2;3.5.1
33688,2.3.2;3.1.2;2.3.1;3.13.1
33796,3.2.1;3.1.1;3.1.3;3.3.2
34800,2.3.1;2.3.2;2.7.8;3.1.2
35264,3.1.1;3.1.2;3.5.2;3.5.5
35580,2.4.2;2.4.1;2.7.7;2.7.8
35816,2.7.7;2.4.1;2.4.2;2.3.1
36080,2.8.3;4.1.3;2.7.8;2.7.2
36228,2.7.7;2.4.2;2.4.1;2.7.8
36252,6.3.1;2.7.7;6.2.1;6.3.2
36308,4.1.2;4.1.3;3.7.1;4.3.1
38356,4.2.1;4.1.99;1.2.3;3.7.1
38460,2.3.1;2.7.8;2.3.2;2.7.7
40720,2.1.1;2.5.1;4.4.1;2.7.7
41945,4.1.3;2.8.3;7.2.4;2.6.1
41949,2.3.1;2.3.2;2.3.3;3.1.2
41953,2.6.1;4.1.3;2.2.1;2.1.3
42213,3.1.1;3.1.2;3.13.1;3.5.5
42269,2.3.1;3.1.2;2.3.2;3.13.1
42273,2.3.1;2.3.2;3.1.2;3.13.1
42277,3.1.2;2.3.1;3.13.1;2.3.2
42409,2.8.2;2.4.2;2.7.1;2.7.4
42413,2.5.1;3.13.1;3.1.2;3.1.7
42441,2.3.1;7.2.4;3.7.1;4.1.3
42489,2.3.1;2.3.2;3.1.2;2.7.7
42493,1.14.14;1.3.7;1.17.7;1.14.15
42717,2.5.1;2.8.1;4.4.1;3.1.7
43637,2.3.1;3.7.1;2.3.2;4.1.3
43641,2.3.1;3.1.2;2.3.2;3.13.1
43765,6.2.1;2.7.7;6.3.1;2.3.1
44061,2.3.1;2.5.1;2.1.1;4.4.1
44141,6.1.1;6.3.4;6.3.1;6.3.5
44181,2.7.14;1.5.8;1.5.7;2.7.13
44649,3.1.1;3.7.1;3.1.2;3.5.5
44769,4.1.1;3.7.1;7.2.4;1.13.12
45233,4.99.1;7.2.1;4.98.1;2.1.1
45701,1.14.19;1.14.14;1.14.13;4.1.99
45717,3.1.2;3.13.1;3.1.1;2.3.2
45757,1.3.3;1.2.3;1.13.12;1.1.3
45821,2.8.3;2.8.2;2.7.8;2.7.2
45913,5.5.1;5.4.99;4.99.1;2.1.1
46001,2.5.1;2.7.7;2.7.8;2.1.1
46309,1.14.14;1.14.19;1.14.15;1.14.13
47045,2.8.3;2.7.2;7.2.4;4.1.3
47129,6.3.1;6.2.1;2.7.7;6.3.2
47137,6.2.1;2.7.7;6.3.1;2.3.2
47621,1.14.11;1.13.12;1.14.20;2.1.3
48129,3.1.3;3.1.7;3.1.4;2.5.1
