Reaction name,SIMMER pred
30700,2.6.1
59017,1.1.1
75128,1.3.99
70456,2.1.2
80552,2.1.1
23121,7.3.2;7.2.2
56865,2.3.1
61493,2.3.1
59413,
60409,2.4.1
60169,2.7.2
63441,2.7.7
72344,3.3.2
57937,1.2.1;1.14.13;1.1.1
66005,2.1.1
64865,2.7.1
58813,3.6.1
75356,
85936,2.3.1
73656,5.3.3
63885,1.11.2;1.13.11
69984,1.14.14
59013,2.1.1
59157,6.2.1
61801,6.2.1
79148,1.1.1
81500,6.3.2;2.7.7
65997,
68569,
64417,1.1.1
73824,2.4.99;2.4.1
86344,1.1.1
85448,2.1.1
66593,
59589,6.3.2;2.7.1
67013,2.7.7;3.6.1
41949,1.14.13;1.1.1
73416,
60441,
67845,2.4.3;2.4.1
80920,2.3.1
58049,2.3.1
75180,4.2.3
63137,6.3.5;2.7.8
63869,1.13.11
79632,2.1.1
62245,
74472,1.14.20
24830,2.7.13;2.7.3;2.7.1
79624,2.3.1
60089,1.1.1
74112,1.14.12;1.3.1
61397,2.7.1
58885,
63421,2.7.7
65721,1.14.11
65153,2.4.1
75132,5.3.3
74172,
60453,
77964,4.2.3
82300,
60397,2.7.7
28043,1.2.1
79600,2.1.1
71736,2.8.3
65385,3.6.1;2.7.7
62401,1.1.1
69796,3.1.1
70364,
57953,1.14.13
72284,3.5.4
60389,3.1.1
57833,1.3.1;1.2.1
60349,2.1.1
65741,1.14.11
63833,2.3.1
66973,2.4.1
59057,1.1.1
82112,1.14.11
82852,1.14.13;1.1.1
80604,
74068,2.4.1
74592,1.14.14
59761,2.4.1
61393,2.7.1
58053,2.3.1
59361,3.5.1
81488,4.1.1;4.2.1
79292,6.3.2
69529,
65901,
69820,1.14.12;1.3.1
76992,1.16.1
56521,
57397,2.1.1
78988,4.2.3
79176,2.8.3
64533,
30112,
86264,2.4.99
57749,2.3.1
86388,4.1.1
57997,2.4.1
52681,2.3.1
71788,1.14.11
74932,1.14.11
69229,
70492,2.4.1
79660,2.8.4;2.1.1
68589,
52541,2.4.2
76524,4.1.2
69473,2.3.1
42493,1.14.14
56829,1.11.1
46309,1.14.14
79652,2.8.3
76572,5.3.1;4.2.1
58565,1.3.1;1.1.1
58173,4.2.3
58569,2.3.1
69608,2.3.1
47045,
68129,2.3.1
61421,
71404,1.14.14
62493,6.2.1
59573,3.5.1
76560,
81340,
69045,4.2.1
63333,5.1.3;5.1.1
57981,2.4.1
69537,2.7.1
72976,6.3.2
64061,1.1.1
52321,1.14.14
59237,4.2.3
85500,2.1.1
63873,1.14.11
84776,1.1.5;1.13.11
78700,2.4.1
64445,2.1.1
60245,
83144,3.2.1;2.4.1
74152,2.3.1
58697,
59593,6.3.2
68605,4.4.1
85480,2.7.7
60289,2.1.1
81312,
57977,2.4.1
69053,1.1.1
74072,2.4.1
82192,2.1.1
81872,4.4.1;4.1.1
81288,1.2.99;4.1.1
74928,2.3.2;2.3.1
77132,3.1.3
31424,4.2.3
61653,6.2.1
63805,5.1.3;5.1.1
73856,2.4.1
69389,
57929,2.7.1
28375,6.3.2
57153,1.14.11
64153,2.4.1
67825,2.7.7;2.4.1
64149,2.4.3;2.4.1
69345,5.1.3;5.1.1
63837,1.13.11;1.11.2
65509,
65561,
74240,2.4.1
65493,
62017,2.4.2;2.4.1
64517,1.1.1
57053,4.1.1;4.2.1
59249,4.2.1
60265,2.1.1
58493,7.3.2;7.2.2
77228,2.8.4;2.1.1
59817,2.3.1
78720,3.2.1;2.4.1
74532,
59629,3.5.1
61473,2.3.1
61417,
70912,3.1.3
74480,1.14.20
84096,2.3.2;2.3.1
78716,3.2.1
76576,5.3.1;4.2.1
36308,2.3.1
85256,1.14.14
57949,1.14.13
70020,1.14.14
27759,1.5.1
65849,1.3.99
62409,2.1.1
68053,3.1.4
61689,6.2.1
75380,3.5.3
68809,3.2.1
62621,1.8.7;1.8.4
74148,2.3.1
82188,2.1.1
80944,2.1.1
64661,6.2.1
42277,2.3.1
63793,3.5.1
60417,2.4.1
63133,
69744,
78292,4.2.3
70032,1.14.14
72884,6.3.4
78812,1.3.1;1.1.1
56517,1.3.3;4.1.1
59585,6.3.2;2.7.1
85580,5.1.3;5.1.1
62113,5.4.3;4.3.1
58713,
59833,2.7.1
74180,1.1.1
59225,4.2.3
83272,
70016,1.14.14
78976,
61789,6.2.1
78764,3.2.1
84788,2.1.1
57073,4.1.1
65925,2.1.1
45233,1.3.1
30084,5.1.3;5.1.1
66821,7.3.2;7.2.2
51589,1.1.1
44061,2.3.1
67021,2.1.1
71660,5.3.1
80892,
82208,3.5.3
76036,1.14.14
53829,1.14.11
69612,3.2.1
61669,6.2.1
73912,2.7.10;2.7.1
29776,2.7.1
74936,1.14.11
80936,2.1.1
63349,6.3.3;2.7.3
65749,1.14.11
74708,1.1.1
82464,1.1.1;1.14.13
72336,3.3.2;3.1.1
70540,2.4.1
62241,4.1.99
65833,7.3.2;7.2.2
61157,2.7.1
65769,5.99.1
82312,6.3.2
76568,
76048,2.1.1
77116,3.1.3
75216,1.1.1
81268,4.1.1
78820,2.6.1
60945,2.1.1
66541,1.14.15;1.14.99
54257,1.14.11
81296,1.2.99;4.1.1
68421,4.2.1
11381,1.14.11
63341,6.3.2
61429,1.1.1
76500,5.1.3;5.1.1
63801,5.1.3;5.1.1
63865,1.13.11;1.14.18
75156,4.2.3
60041,3.5.1
72620,3.3.2
59153,6.2.1
59149,6.2.1
86148,1.1.1
85528,2.3.1
77144,3.1.3
75932,3.5.3
58573,1.5.3
47621,1.14.11
59229,5.1.3;5.1.1
81492,1.1.98
75252,
74476,1.14.11
80644,1.13.11
69349,4.4.1
59137,6.3.4;6.3.2
58045,2.3.1
65313,2.3.1
59777,
69481,2.4.1
62281,1.14.14
66949,2.3.1
86308,6.2.1
66921,
73832,2.4.3;2.4.99;2.4.1
29780,7.3.2;7.2.2
81252,1.2.99;4.1.1
28011,2.8.3
69253,
59577,3.5.1
78276,4.2.3
59189,5.1.3;5.1.1
82256,2.3.2
75876,2.1.1
84772,4.1.1
69313,
77136,3.1.3
60325,2.1.1
77112,3.1.3
65761,1.14.14
66033,5.1.3;5.1.1
58069,
83268,
61477,2.3.1
77968,4.2.3;2.5.1
63861,1.13.11
76408,
34800,2.3.1
65713,5.1.3;5.1.1
78172,2.1.1
32980,3.1.1
58457,3.2.1
63409,1.14.19;1.14.14
83296,1.14.15
50237,1.14.14
68561,1.2.1;1.1.1
76556,2.3.2
69792,2.3.2
56997,5.3.1;4.2.1
60157,7.3.2;7.2.2
66029,2.1.1
70036,1.14.14
44649,3.1.1
64065,1.1.1
73840,2.7.3;2.7.9
80836,2.5.1
63645,2.4.1
65701,1.14.14
