Reaction,All ECs
10233,2.4.2.10|2.4.2.9
11273,1.4.5.1;1.2.5.2;1.1.5.12;1.1.5.4
11381,1.14.11.46;1.14.11.1;1.14.11.8;1.13|1.13.12.19;1.14.11.45;1.14.11.-|1.14.11.55;1.14.11|1.14.11.2|1.14.11.57;1.14.11.28;1.14.11.56;1.14.11.-|1.14.11.35;1.14.11.39;1.14.11.40;1.14.11.41;1.14.11.21;1.14.11.15;1.14.11.13;1.14.11.24;1.14.11.25;1.14.11.20;1.14.11.11;1.14.11.52;1.14.20.12;1.14.20.11;1.14.11.18;1.14.11.49;1.14.11.38;1.14.11.58;1.14.11.17;1.14.11.9
12714,2.7.6.1
12886,2.4.1.36;2.4.1.217;2.4.1.-|2.4.1.266;2.4.1.269;2.4.1.252;2.4.1.246;2.4.1.251;2.4.1.270;2.4.1.347;2.4.1.342;2.4.1.345;2.4.1.245;2.4.1.213;2.4.1.346;2.4.1.268;2.4.1.15;2.4.1.348;2.4.1.90;2.4.1.22;2.4.1.-|2.4.1.284;2.4.1.-|2.4.1.323
13822,1.13|1.13.12.19;1.1.99.39;1.1.99.2;1.14.11.21;1.14.11.41;1.14.11.24;1.14.11.25;1.14.11.45;1.14.11.40;1.14.11.1;1.14.11.18;1.14.11.28;1.14.11|1.14.11.2|1.14.11.57;1.14.11.56;1.14.11.39;1.14.11.8;1.14.11.-|1.14.11.55;1.14.11.15;1.14.11.-|1.14.11.35;1.14.11.46;1.14.11.13;1.14.11.36;1.14.11.11;1.14.11.52;1.14.11.20;1.14.11.26;1.14.11.6
14590,2.1.1.169|2.1.1.175;2.1.1.68;2.1.1.155|2.1.1.75;2.1.1.128;2.1.1.149|2.1.1.169|2.1.1.267|2.1.1.76;2.1.1.104;2.1.1.283;2.1.1.116;2.1.1.65;2.1.1.109;2.1.1.-|2.1.1.338;2.1.1.336;2.1.1.110;2.1.1.-|2.1.1.291;2.1.1.146|2.1.1.279;2.1.1.118;2.1.1.323;2.1.1.114;2.1.1.330;2.1.1.89;2.1.1.292;2.1.1.88;2.1.1.-|2.1.1.222
15086,2.4.1.211;2.4.1.320;2.4.1.90;3.2.1.179;2.4.1.280;2.4.1.-|2.4.1.285;2.4.1.250;2.4.1.31;2.4.1.279;2.3.1.72;2.4.1.20;2.4.1.8;2.4.1.281;2.4.1.-|2.4.1.282;2.4.1.247;5.4.99.16;2.4.1.-|2.4.1.301;3.2.1.85
15534,1.1.1.272|1.1.1.310;1.1.1.272|1.1.1.338;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
15594,2.4.1.230;3.1.4.57;2.4.1.20;2.4.1.8;2.4.1.279;2.4.1.281;2.4.1.31;2.4.1.321;4.2.3.152;2.6.99.2
