reaction,REACTION_ID,true_EC
10233-2.4.2.20-Q,10233,2.4.2.20
11273-1.1.5.10-Q,11273,1.1.5.10
11381-1.14.11.72-Q,11381,1.14.11.72
12714-2.7.6.4-Q,12714,2.7.6.4
12886-2.4.1.110-Q,12886,2.4.1.110
13822-1.14.11.64-Q,13822,1.14.11.64
14590-2.1.1.398-Q,14590,2.1.1.398
15086-3.2.1.49-Q,15086,3.2.1.49
15534-1.1.1.337-Q,15534,1.1.1.337
15594-3.1.3.107-Q,15594,3.1.3.107
16330-1.13.11.92-Q,16330,1.13.11.92
16742-2.3.1.22-Q,16742,2.3.1.22
17134-2.7.11.6-Q,17134,2.7.11.6
17610-1.1.98.7-Q,17610,1.1.98.7
18346-4.1.1.114-Q,18346,4.1.1.114
18758-1.14.11.70-Q,18758,1.14.11.70
18806-1.8.4.15-Q,18806,1.8.4.15
18882-6.3.2.18-Q,18882,6.3.2.18
19358-1.14.13.247-Q,19358,1.14.13.247
19390-6.2.1.34-Q,19390,6.2.1.34
20094-2.4.1.115-Q,20094,2.4.1.115
20330-2.7.11.29-Q,20330,2.7.11.29
20350-1.14.13.243-Q,20350,1.14.13.243
20362-1.14.15.45-Q,20362,1.14.15.45
20713-2.3.1.47-Q,20713,2.3.1.47
20733-1.8.4.16-Q,20733,1.8.4.16
20929-1.8.5.9-Q,20929,1.8.5.9
22265-1.14.14.172-Q,22265,1.14.14.172
22685-1.14.99.65-Q,22685,1.14.99.65
23121-7.4.2.9-Q,23121,7.4.2.9
23817-2.6.1.82-Q,23817,2.6.1.82
24025-2.6.1.115-Q,24025,2.6.1.115
24449-2.4.1.369-Q,24449,2.4.1.369
24830-6.3.1.21-Q,24830,6.3.1.21
26157-1.1.1.292-Q,26157,1.1.1.292
27611-1.17.98.5-Q,27611,1.17.98.5
27651-2.7.1.48-Q,27651,2.7.1.48
27711-2.7.1.73-Q,27711,2.7.1.73
27759-1.4.1.27-Q,27759,1.4.1.27
27787-1.2.1.105-Q,27787,1.2.1.105
28011-2.8.3.27-Q,28011,2.8.3.27
28043-1.2.1.104-Q,28043,1.2.1.104
28051-3.1.3.108-Q,28051,3.1.3.108
28191-3.5.4.4-Q,28191,3.5.4.4
28331-3.6.1.73-Q,28331,3.6.1.73
28375-6.3.2.10-Q,28375,6.3.2.10
28387-2.7.8.13-Q,28387,2.7.8.13
28403-2.4.99.23-Q,28403,2.4.99.23
28407-3.6.1.73-Q,28407,3.6.1.73
28539-2.4.99.24-Q,28539,2.4.99.24
28676-5.1.3.3-Q,28676,5.1.3.3
29768-7.4.2.11-Q,29768,7.4.2.11
29776-2.7.1.239-Q,29776,2.7.1.239
29780-7.4.2.11-Q,29780,7.4.2.11
29792-7.4.2.10-Q,29792,7.4.2.10
29796-7.2.2.20-Q,29796,7.2.2.20
29800-7.5.2.8-Q,29800,7.5.2.8
29812-7.6.2.15-Q,29812,7.6.2.15
29996-7.6.2.16-Q,29996,7.6.2.16
30000-7.6.2.11-Q,30000,7.6.2.11
30084-1.16.3.4-Q,30084,1.16.3.4
30112-3.1.1.108-Q,30112,3.1.1.108
30392-2.6.1.117-Q,30392,2.6.1.117
30688-4.1.3.16-Q,30688,4.1.3.16
30700-2.6.1.120-Q,30700,2.6.1.120
30872-2.7.1.229-Q,30872,2.7.1.229
31156-1.2.1.88-Q,31156,1.2.1.88
31228-2.4.1.227-Q,31228,2.4.1.227
31236-2.6.1.23-Q,31236,2.6.1.23
31416-4.2.3.226-Q,31416,4.2.3.226
31424-4.2.3.227-Q,31424,4.2.3.227
32588-1.14.13.105-Q,32588,1.14.13.105
32764-6.3.2.59-Q,32764,6.3.2.59
32980-3.1.1.111-Q,32980,3.1.1.111
33032-1.1.1.14-Q,33032,1.1.1.14
33088-4.1.99.29-Q,33088,4.1.99.29
33148-7.6.2.2-Q,33148,7.6.2.2
33156-3.1.3.106-Q,33156,3.1.3.106
33276-3.1.1.116-Q,33276,3.1.1.116
33688-2.3.1.321-Q,33688,2.3.1.321
33796-3.2.1.48-Q,33796,3.2.1.48
34800-2.3.1.223-Q,34800,2.3.1.223
35264-3.1.1.118-Q,35264,3.1.1.118
35580-2.3.1.n12-Q,35580,2.3.1.n12
35816-2.4.2.54-Q,35816,2.4.2.54
36080-2.7.8.48-Q,36080,2.7.8.48
36228-2.7.8.22-Q,36228,2.7.8.22
36252-6.2.1.34-Q,36252,6.2.1.34
36308-4.1.2.61-Q,36308,4.1.2.61
38356-4.2.1.175-Q,38356,4.2.1.175
38460-2.3.1.278-Q,38460,2.3.1.278
40720-2.5.1.151-Q,40720,2.5.1.151
41945-2.7.2.17-Q,41945,2.7.2.17
41949-1.2.1.103-Q,41949,1.2.1.103
41953-2.6.1.118-Q,41953,2.6.1.118
42213-3.1.1.111-Q,42213,3.1.1.111
42269-2.3.1.300-Q,42269,2.3.1.300
42273-2.3.1.300-Q,42273,2.3.1.300
42277-2.3.1.300-Q,42277,2.3.1.300
42409-2.7.2.16-Q,42409,2.7.2.16
42413-6.5.1.9-Q,42413,6.5.1.9
42441-1.4.1.29-Q,42441,1.4.1.29
42489-2.3.1.320-Q,42489,2.3.1.320
42493-1.14.14.193-Q,42493,1.14.14.193
42717-2.9.1.3-Q,42717,2.9.1.3
43637-2.3.1.286-Q,43637,2.3.1.286
43641-2.3.1.301-Q,43641,2.3.1.301
43765-6.2.1.7-Q,43765,6.2.1.7
44061-2.3.1.288-Q,44061,2.3.1.288
44141-1.2.8.1-Q,44141,1.2.8.1
44181-1.3.8.5-Q,44181,1.3.8.5
44649-3.1.1.118-Q,44649,3.1.1.118
44769-4.1.1.130-Q,44769,4.1.1.130
45233-1.3.1.34-Q,45233,1.3.1.34
45701-1.14.13.251-Q,45701,1.14.13.251
45717-3.1.2.33-Q,45717,3.1.2.33
45757-1.5.3.10-Q,45757,1.5.3.10
45821-2.8.3.26-Q,45821,2.8.3.26
45913-1.3.1.124-Q,45913,1.3.1.124
46001-2.5.1.153-Q,46001,2.5.1.153
46309-1.14.14.19-Q,46309,1.14.14.19
47045-2.3.1.317-Q,47045,2.3.1.317
47129-6.2.1.7-Q,47129,6.2.1.7
47137-6.2.1.7-Q,47137,6.2.1.7
47621-1.14.11.77-Q,47621,1.14.11.77
48129-3.6.1.68-Q,48129,3.6.1.68
48637-4.2.1.152-Q,48637,4.2.1.152
48685-3.5.1.130-Q,48685,3.5.1.130
50237-1.14.14.19-Q,50237,1.14.14.19
50305-1.14.14.16-Q,50305,1.14.14.16
50309-1.14.14.16-Q,50309,1.14.14.16
50337-1.14.14.177-Q,50337,1.14.14.177
51429-2.3.1.280-Q,51429,2.3.1.280
51505-2.4.1.360-Q,51505,2.4.1.360
51589-1.1.1.416-Q,51589,1.1.1.416
51637-1.97.1.14-Q,51637,1.97.1.14
52321-1.14.14.186-Q,52321,1.14.14.186
52541-2.4.2.2-Q,52541,2.4.2.2
52613-1.3.99.41-Q,52613,1.3.99.41
52625-6.3.2.60-Q,52625,6.3.2.60
52633-2.7.2.19-Q,52633,2.7.2.19
52669-1.2.1.106-Q,52669,1.2.1.106
52673-2.6.1.124-Q,52673,2.6.1.124
52677-3.5.1.132-Q,52677,3.5.1.132
52681-2.3.1.331-Q,52681,2.3.1.331
