reaction_id,Prediction
10233,"2.4.2,0.9490035772323608;2.7.7,0.028817791491746902;2.5.1,0.009999347850680351;1.3.1,0.003375847125425935;2.4.1,0.002922241808846593"
11273,"1.1.5,0.7882283329963684;1.3.5,0.07421889156103134;1.8.5,0.06004568189382553;1.4.5,0.02700231596827507;1.6.5,0.026427723467350006"
11381,"1.14.11,0.839790940284729;1.13.11,0.0937514528632164;2.6.1,0.0298171304166317;1.14.20,0.012179568409919739;1.13.12,0.0074926987290382385"
12714,"2.7.1,0.9462271332740784;3.6.1,0.03457708656787872;2.7.4,0.005590422544628382;2.7.9,0.0014486195286735892;2.7.8,0.001423581619746983"
12886,"2.4.1,0.9997027516365051;2.4.2,0.00022444025671575218;2.7.4,2.392646092630457e-05;3.6.1,1.2971278010809328e-05;2.7.7,1.1344995982653927e-05"
13822,"1.14.11,0.9835883378982544;1.1.99,0.005937283392995596;4.1.3,0.003788674483075738;2.6.1,0.0019639560487121344;1.14.20,0.001017277711071074"
14590,"2.1.1,0.9998843669891357;2.8.4,6.956724246265367e-05;2.3.1,1.0535004548728466e-05;1.17.98,1.019519186229445e-05;2.5.1,8.083771717792843e-06"
15086,"3.2.1,0.995513379573822;2.4.1,0.0014894383493810892;4.2.1,0.0004197183297947049;2.3.1,0.0003677378117572516;3.1.4,0.0003183534718118608"
15534,"1.1.1,0.9952913522720337;1.4.1,0.001829707995057106;1.17.1,0.000682905490975827;1.16.1,0.0003318361996207386;1.12.1,0.00030614237766712904"
15594,"3.1.3,0.9948521256446838;3.6.1,0.001177263562567532;3.6.5,0.0007400212343782187;3.6.4,0.0005708056269213557;3.1.7,0.0005305188824422657"
16330,"1.13.11,0.919434130191803;5.4.4,0.05398503318428993;1.3.3,0.005726872012019157;4.2.1,0.0031218347139656544;1.14.99,0.002650640672072768"
16742,"2.3.1,0.9911928772926331;6.2.1,0.004578329622745514;2.3.3,0.001458163489587605;3.1.2,0.001378317829221487;2.3.2,0.00018347895820625126"
17134,"2.7.11,0.9059699773788452;2.7.12,0.05894597992300987;2.7.1,0.028545327484607697;2.7.8,0.002831442281603813;2.7.4,0.001772949704900384"
17610,"2.1.1,0.2239941507577896;1.17.98,0.18147160112857819;2.5.1,0.151507169008255;2.8.4,0.14224675297737122;4.4.1,0.06377303600311279"
18346,"3.3.2,0.06034952402114868;5.1.99,0.05929619446396828;4.1.1,0.050829123705625534;2.2.1,0.0507412925362587;6.1.3,0.038661275058984756"
18758,"1.14.11,0.9306347966194153;1.14.20,0.05452935770153999;1.13.12,0.007326975930482149;1.14.99,0.0019333930686116219;2.6.1,0.0006504189223051071"
18806,"2.7.4,0.1598474532365799;2.7.8,0.05540730059146881;2.3.1,0.052567701786756516;5.2.1,0.034546274691820145;2.6.1,0.0285967905074358"
18882,"6.3.1,0.7011963129043579;6.3.2,0.24086596071720123;6.3.4,0.03433464467525482;3.5.2,0.007705064956098795;6.3.5,0.007271823473274708"
19358,"1.14.13,0.972098708152771;1.6.3,0.014008249156177044;1.14.19,0.00616303039714694;1.18.1,0.0009161304333247244;1.17.1,0.0008312005084007978"
19390,"6.2.1,0.9385568499565125;1.2.1,0.02324916236102581;2.3.1,0.022043438628315926;3.1.2,0.012115377932786942;2.3.3,0.0012274193577468395"
20094,"2.4.1,0.9973957538604736;2.4.2,0.0024803997948765755;2.3.1,5.812837844132446e-05;2.7.8,3.214400203432888e-05;2.7.1,1.6472737115691416e-05"
20330,"2.7.11,0.9059699773788452;2.7.12,0.05894597992300987;2.7.1,0.028545327484607697;2.7.8,0.002831442281603813;2.7.4,0.001772949704900384"
20350,"1.14.13,0.9877673387527466;1.6.3,0.006374479737132788;1.14.12,0.0014708441449329257;1.6.5,0.0008776210015639663;1.3.1,0.0006513046682812274"
20362,"1.14.15,0.517021656036377;1.14.19,0.4260617196559906;1.14.13,0.019368277862668037;1.13.11,0.00923734437674284;1.14.99,0.0038534256163984537"
20713,"2.3.1,0.99836665391922;2.6.1,0.0008615914266556501;2.3.3,0.0002221317117800936;6.2.1,0.00019062819774262607;4.1.1,0.00011929753964068368"
20733,"2.7.4,0.1598474532365799;2.7.8,0.05540730059146881;2.3.1,0.052567701786756516;5.2.1,0.034546274691820145;2.6.1,0.0285967905074358"
20929,"1.8.5,0.98398756980896;1.3.5,0.006151907611638308;1.1.5,0.0022089239209890366;1.6.5,0.001001044176518917;1.8.4,0.0009192696306854486"
22265,"1.14.14,0.7652868628501892;1.14.19,0.10600679367780685;1.5.8,0.048510219901800156;1.5.1,0.019504506140947342;1.14.99,0.012389397248625755"
22685,"1.14.99,0.7647156715393066;1.14.19,0.06808358430862427;1.97.1,0.03389076516032219;1.5.99,0.02227073535323143;1.17.99,0.01625536009669304"
23121,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
