reactionID,predictions
10037,1.1.3;1.5.3;1.11.2;1.14.18
10041,3.1.3;3.1.4;3.1.7;3.6.1
10081,1.1.1;1.3.1;2.3.1;2.4.1
10089,2.4.2;3.1.4;3.2.1;3.1.1
10193,7.2.2;7.4.2;7.6.2;7.3.2
10209,2.3.2;2.3.1;2.4.1;2.8.3
10285,4.1.2;5.3.3;5.3.2;2.6.1
10349,1.17.99;1.21.99;1.3.99;1.14.99
10365,1.8.99;1.8.2;1.20.4;3.1.6
10501,2.3.1;2.3.2;2.4.1;2.8.3
10509,4.1.2;4.1.3;2.6.1;2.1.2
10621,2.3.1;2.1.1;2.4.1;2.3.2
10669,2.3.1;2.3.2;2.4.1;2.8.3
10705,6.2.1;6.3.2;4.3.3;6.1.1
10745,2.1.1;2.3.1;5.5.1;4.1.99
10757,5.1.1;4.3.3;6.2.1;2.6.1
10805,5.1.1;5.1.99;5.4.3;5.1.2
10809,4.2.1;3.3.2;4.1.2;1.1.3
10849,2.5.1;4.2.3;4.2.1;2.4.2
10937,1.7.7;1.20.4;1.12.7;2.8.1
11017,3.4.17;3.4.15;3.2.2;4.2.2
11025,2.7.11;2.7.12;6.2.1;2.7.13
11061,4.3.3;6.3.2;6.2.1;6.3.4
11081,3.1.3;3.1.7;3.1.4;2.5.1
11181,4.3.3;6.3.4;6.3.3;6.3.2
11241,2.7.4;2.7.6;5.1.2;2.7.7
11253,3.5.99;4.3.1;3.5.4;4.3.99
11261,1.14.14;1.13.11;1.14.19;1.14.18
11265,1.14.14;1.13.11;1.14.18;1.14.19
11277,1.14.19;1.14.13;1.14.18;1.14.15
11281,2.2.1;1.16.1;3.3.2;3.5.99
11313,3.8.1;3.12.1;3.11.1;1.2.2
11349,7.2.2;3.6.4;5.6.2;3.6.5
11365,2.7.2;2.7.1;4.5.1;5.1.1
11453,1.14.14;1.14.18;1.14.15;1.14.19
11561,1.1.1;1.3.1;2.3.1;1.2.1
11577,2.7.1;2.7.2;5.1.1;2.7.6
11681,6.3.3;6.4.1;6.6.1;1.4.7
11689,6.3.2;4.3.3;6.2.1;6.1.1
11721,6.3.3;6.4.1;6.3.1;6.6.1
11741,2.3.1;2.1.1;2.8.3;2.4.1
11749,2.6.1;2.8.3;4.1.3;5.4.1
11765,3.13.1;3.5.1;1.17.9;3.4.13
11849,6.3.1;1.4.7;6.6.1;1.18.6
11953,4.1.2;5.3.3;5.3.2;5.4.99
11969,1.14.99;1.3.99;1.13.11;1.17.99
11981,2.1.1;2.3.1;1.5.1;2.8.3
12029,3.5.2;3.5.1;3.5.5;3.13.1
12069,2.3.2;6.2.1;2.4.1;2.8.3
12165,2.8.5;2.7.3;3.6.2;2.8.2
12193,3.1.7;2.5.1;4.2.3;3.1.3
12233,6.3.1;6.3.4;1.4.7;6.6.1
12257,2.3.1;2.4.1;2.3.2;2.1.1
12261,2.7.1;2.7.2;3.1.1;6.2.1
12293,6.3.4;6.3.2;4.3.3;6.3.1
12297,4.3.1;4.1.99;5.4.99;3.3.2
12337,4.1.2;4.3.1;1.1.99;1.4.99
12341,2.3.1;2.4.1;2.3.2;2.8.3
12385,1.3.3;1.21.3;1.1.3;1.5.3
12429,1.3.8;4.1.99;1.17.99;1.5.8
12533,1.20.4;1.7.7;2.4.3;1.11.1
12541,6.3.2;4.3.3;6.2.1;2.7.7
12585,4.2.1;4.2.3;4.1.2;1.13.11
12594,2.4.99;2.4.1;2.8.3;2.3.2
12606,7.2.4;4.1.1;2.7.2;2.1.3
12722,2.5.1;2.1.1;4.3.3;4.1.99
12730,5.3.3;4.1.99;1.21.98;5.3.99
12734,2.5.1;2.3.1;3.1.1;4.1.99
12738,4.4.1;2.5.1;4.5.1;4.3.3
12758,1.5.1;2.3.1;1.1.1;1.2.1
12826,6.3.4;6.3.1;6.3.3;6.4.1
12902,3.10.1;3.5.3;3.4.13;3.5.2
12918,3.1.1;3.2.1;3.3.2;2.4.1
12930,2.3.2;1.2.1;2.8.3;2.4.1
12946,1.2.99;3.5.2;3.5.5;3.11.1
12978,3.4.19;3.4.17;3.5.1;3.2.2
12994,1.1.98;2.6.1;4.3.3;1.17.8
13034,5.4.99;4.1.2;5.3.3;5.3.99
13126,2.4.99;1.5.4;1.8.4;2.8.3
13182,4.1.1;1.13.12;1.13.11;7.2.4
13482,6.2.1;6.3.2;6.1.1;4.3.3
13522,1.4.2;1.17.99;1.1.2;1.3.99
13598,3.5.1;3.4.19;3.13.1;3.4.13
13662,3.5.99;4.3.1;3.5.4;4.8.1
13678,5.1.3;5.3.1;5.1.2;5.1.99
13730,3.1.4;3.6.1;2.7.8;3.1.3
13742,5.4.3;5.3.2;4.1.1;3.4.15
13802,2.3.1;2.1.1;2.4.1;2.3.2
13818,2.4.1;2.3.2;2.8.3;1.8.4
13838,2.1.1;2.3.1;1.5.1;4.1.99
13842,1.1.98;1.7.99;2.1.1;3.3.2
13850,4.1.2;5.4.99;3.3.2;4.2.1
13870,2.3.1;2.4.1;2.1.1;1.1.1
13930,3.5.2;3.5.3;3.10.1;3.11.1
13946,5.1.1;5.1.99;5.1.2;5.1.3
13950,1.1.98;2.1.1;1.7.99;1.4.1
13962,4.3.3;6.3.3;4.1.99;5.1.1
14022,1.17.99;1.14.99;1.13.11;5.3.3
14046,5.4.99;3.3.2;3.1.7;3.1.3
14094,2.6.1;4.1.3;2.1.3;1.1.99
14142,1.8.2;1.2.4;2.8.5;1.20.4
14146,1.2.7;3.1.2;1.2.3;1.8.3
14202,4.1.2;3.3.2;4.2.1;5.4.99
14222,3.12.1;3.1.6;1.7.99;1.8.99
14258,2.7.7;2.4.2;2.7.8;2.7.6
14266,5.3.3;4.1.2;5.3.99;5.4.99
14270,1.3.8;1.3.7;1.5.8;1.19.6
14342,4.1.1;1.13.11;1.14.11;7.2.4
14358,2.7.1;2.7.2;6.2.1;5.1.1
14430,2.5.1;4.2.3;4.2.1;2.4.2
14458,2.3.2;2.3.1;2.4.1;2.8.3
14462,2.4.1;2.4.2;2.3.1;2.4.99
14534,3.10.1;3.4.19;3.4.13;3.5.1
14542,1.8.2;1.20.4;2.3.2;3.1.2
14558,3.2.1;3.1.1;3.3.2;4.2.3
14598,2.4.2;2.7.8;2.4.3;2.4.99
14658,4.1.2;4.3.1;3.3.2;4.2.1
14674,6.4.1;7.2.2;7.4.2;6.3.3
14822,5.4.99;4.1.2;4.2.3;4.2.1
14850,3.10.1;3.4.13;3.5.5;3.5.3
14894,5.3.1;5.5.1;5.4.1;5.4.99
14950,1.3.99;1.16.3;1.21.99;1.17.99
15014,4.3.1;3.5.4;2.1.2;4.3.2
15062,1.1.98;1.7.99;2.1.1;3.3.2
15118,2.4.2;2.8.3;2.4.1;2.2.1
15150,1.1.3;1.5.3;1.11.2;4.2.1
15198,2.1.1;2.5.1;2.3.1;2.4.2
15266,1.17.99;4.1.99;1.21.98;1.21.99
15286,2.5.1;6.2.1;6.3.2;4.3.3
15346,6.2.1;6.3.2;2.8.3;4.3.3
15418,2.3.1;2.4.1;2.1.1;2.3.2
15430,2.1.1;1.14.13;2.5.1;1.7.7
15458,1.1.1;1.3.1;1.5.1;2.1.1
15614,2.1.1;1.5.1;2.3.1;4.1.99
15658,2.1.1;1.5.1;3.3.2;2.3.1
15750,1.1.99;1.13.11;1.3.99;4.1.2
15818,1.5.3;1.4.3;1.3.3;1.1.3
15834,1.13.11;1.3.3;1.13.12;1.14.20
15862,3.1.3;3.1.4;3.6.1;3.1.7
15902,5.1.2;5.4.2;5.1.3;5.3.1
15914,5.1.2;2.7.4;2.7.1;5.1.1
15930,4.3.1;3.5.1;3.5.99;3.5.4
15954,2.8.3;2.3.2;2.1.4;6.2.1
16014,4.3.3;6.3.2;2.7.7;2.5.1
16026,2.4.1;2.3.1;2.3.2;2.8.3
16030,3.5.3;3.10.1;3.11.1;3.5.2
16058,2.4.1;2.3.1;2.4.2;2.3.2
16122,3.5.2;3.5.1;3.4.13;3.13.1
16130,2.3.1;2.1.1;2.4.1;1.1.1
16166,4.2.1;1.13.11;1.3.3;4.1.2
16202,2.5.1;4.2.3;5.4.99;4.1.99
16226,3.5.1;3.13.1;3.4.13;3.5.2
16254,2.1.1;2.3.1;1.5.1;1.1.1
16270,2.1.1;1.5.1;1.4.1;5.5.1
16274,3.1.1;2.7.8;3.6.1;3.1.4
16290,2.1.1;5.5.1;5.4.99;2.3.1
16334,2.4.2;2.7.7;6.2.1;6.3.2
16338,1.14.14;1.14.18;1.14.15;1.10.3
16466,1.4.2;1.1.9;1.16.99;2.6.3
16498,2.1.1;2.3.1;2.5.1;2.8.4
16506,4.2.1;4.2.3;4.1.99;5.4.99
16562,5.4.99;4.2.3;4.3.1;3.5.99
16606,1.8.2;1.20.4;1.7.2;1.8.1
16662,2.5.1;4.4.1;4.5.1;2.1.1
16702,2.1.1;2.3.1;5.5.1;3.3.2
16706,2.1.1;2.3.1;5.5.1;2.4.1
16730,1.1.1;1.3.1;2.3.1;1.5.1
16786,2.1.1;2.3.1;2.5.1;2.8.4
16802,2.8.5;2.8.2;1.8.99;3.6.2
16814,3.7.1;3.11.1;1.1.9;1.2.99
16846,2.3.2;2.4.1;2.8.3;2.3.1
16910,1.17.9;1.4.9;3.13.2;1.20.2
16914,2.4.99;2.4.3;2.8.4;3.1.1
16970,5.1.99;5.1.3;5.3.1;5.1.2
16978,2.1.1;2.3.1;2.8.3;2.4.1
17014,3.1.3;3.1.7;3.1.4;5.4.99
17030,3.5.5;3.13.1;3.5.2;3.5.1
17054,2.4.2;5.1.3;2.2.1;4.6.1
17098,1.13.11;4.1.2;5.3.3;1.1.99
17158,2.1.4;3.5.1;2.8.3;3.13.1
17210,3.5.5;3.5.99;4.3.1;1.7.99
17234,5.4.99;4.2.3;4.2.1;4.1.2
17306,3.10.1;3.5.3;3.4.13;3.4.19
17546,1.4.7;6.7.1;1.4.5;1.8.5
17554,1.2.7;2.3.2;3.1.2;2.7.14
17566,2.1.1;2.5.1;2.3.1;4.1.99
17606,2.8.3;6.2.1;2.3.1;2.3.2
17750,1.16.3;1.4.99;1.4.3;1.1.99
