reaction,REACTION_ID,true_EC
10037-1.1.3.38-Q,10037,1.1.3.38
10041-3.1.3.7-Q,10041,3.1.3.7
10081-1.3.1.57-Q,10081,1.3.1.57
10089-2.4.1.167-Q,10089,2.4.1.167
10193-7.3.2.3-Q,10193,7.3.2.3
10209-2.3.2.8-Q,10209,2.3.2.8
10285-5.4.3.7-Q,10285,5.4.3.7
10349-3.5.2.9-Q,10349,3.5.2.9
10365-2.3.3.4-Q,10365,2.3.3.4
10501-2.3.3.7-Q,10501,2.3.3.7
10509-2.2.1.1-Q,10509,2.2.1.1
10621-1.2.1.44-Q,10621,1.2.1.44
10669-2.3.2.3-Q,10669,2.3.2.3
10705-6.1.1.9-Q,10705,6.1.1.9
10745-1.3.1.53-Q,10745,1.3.1.53
10757-2.7.9.1-Q,10757,2.7.9.1
10805-5.1.99.3-Q,10805,5.1.99.3
10809-1.11.1.23-Q,10809,1.11.1.23
10849-7.4.2.7-Q,10849,7.4.2.7
10937-1.8.5.2-Q,10937,1.8.5.2
11017-3.5.3.4-Q,11017,3.5.3.4
11025-2.7.3.8-Q,11025,2.7.3.8
11061-6.1.1.5-Q,11061,6.1.1.5
11081-3.1.3.35-Q,11081,3.1.3.35
11181-6.1.1.22-Q,11181,6.1.1.22
11241-2.7.4.15-Q,11241,2.7.4.15
11253-2.3.2.7-Q,11253,2.3.2.7
11261-1.6.3.1-Q,11261,1.6.3.1
11265-1.6.3.1-Q,11265,1.6.3.1
11265-1.6.3.3-Q,11265,1.6.3.3
11277-1.10.3.2-Q,11277,1.10.3.2
11281-2.1.2.8-Q,11281,2.1.2.8
11313-3.8.1.8-Q,11313,3.8.1.8
11349-7.3.2.7-Q,11349,7.3.2.7
11365-2.7.9.2-Q,11365,2.7.9.2
11453-1.14.14.85-Q,11453,1.14.14.85
11561-1.3.1.25-Q,11561,1.3.1.25
11577-2.7.6.2-Q,11577,2.7.6.2
11681-6.3.5.2-Q,11681,6.3.5.2
11689-6.1.1.4-Q,11689,6.1.1.4
11721-3.5.2.14-Q,11721,3.5.2.14
11741-1.8.1.7-Q,11741,1.8.1.7
11749-2.2.1.8-Q,11749,2.2.1.8
11765-3.5.3.16-Q,11765,3.5.3.16
11849-1.21.4.4-Q,11849,1.21.4.4
11953-5.3.1.22-Q,11953,5.3.1.22
11969-1.14.99.2-Q,11969,1.14.99.2
11981-1.8.1.13-Q,11981,1.8.1.13
12029-3.5.2.4-Q,12029,3.5.2.4
12069-2.7.8.7-Q,12069,2.7.8.7
12165-2.8.2.1-Q,12165,2.8.2.1
12193-4.2.3.166-Q,12193,4.2.3.166
12233-1.21.4.2-Q,12233,1.21.4.2
12257-1.3.1.43-Q,12257,1.3.1.43
12257-1.3.1.79-Q,12257,1.3.1.79
12261-2.7.1.86-Q,12261,2.7.1.86
12293-6.1.1.11-Q,12293,6.1.1.11
12297-3.5.99.16-Q,12297,3.5.99.16
12337-4.2.99.12-Q,12337,4.2.99.12
12341-2.3.2.6-Q,12341,2.3.2.6
12385-1.3.3.7-Q,12385,1.3.3.7
12429-1.6.5.7-Q,12429,1.6.5.7
12533-2.8.4.1-Q,12533,2.8.4.1
12541-6.1.1.7-Q,12541,6.1.1.7
12585-4.2.1.98-Q,12585,4.2.1.98
12594-2.7.8.5-Q,12594,2.7.8.5
12606-2.2.1.7-Q,12606,2.2.1.7
12722-2.5.1.16-Q,12722,2.5.1.16
12730-5.3.3.22-Q,12730,5.3.3.22
12734-2.4.2.19-Q,12734,2.4.2.19
12738-1.21.4.1-Q,12738,1.21.4.1
12758-1.3.1.69-Q,12758,1.3.1.69
12826-1.21.4.3-Q,12826,1.21.4.3
12902-3.5.3.10-Q,12902,3.5.3.10
12918-3.2.1.105-Q,12918,3.2.1.105
12930-2.3.3.14-Q,12930,2.3.3.14
12946-3.13.1.3-Q,12946,3.13.1.3
12978-3.9.1.1-Q,12978,3.9.1.1
12994-1.3.8.10-Q,12994,1.3.8.10
13034-5.3.1.26-Q,13034,5.3.1.26
13126-1.8.4.3-Q,13126,1.8.4.3
13182-7.3.2.4-Q,13182,7.3.2.4
13482-6.1.1.10-Q,13482,6.1.1.10
13522-1.1.2.4-Q,13522,1.1.2.4
13598-3.5.3.20-Q,13598,3.5.3.20
13662-3.5.3.5-Q,13662,3.5.3.5
13678-5.1.3.1-Q,13678,5.1.3.1
13730-4.6.1.15-Q,13730,4.6.1.15
13742-2.6.1.28-Q,13742,2.6.1.28
13802-1.8.1.2-Q,13802,1.8.1.2
13818-1.17.4.4-Q,13818,1.17.4.4
13838-1.3.1.64-Q,13838,1.3.1.64
13842-1.16.1.2-Q,13842,1.16.1.2
13850-5.3.1.3-Q,13850,5.3.1.3
13870-1.3.1.12-Q,13870,1.3.1.12
13930-3.5.3.11-Q,13930,3.5.3.11
13946-5.1.2.2-Q,13946,5.1.2.2
13950-1.18.1.4-Q,13950,1.18.1.4
13962-6.6.1.1-Q,13962,6.6.1.1
14022-1.14.99.22-Q,14022,1.14.99.22
14046-2.7.8.23-Q,14046,2.7.8.23
14094-2.6.1.27-Q,14094,2.6.1.27
14142-1.8.4.9-Q,14142,1.8.4.9
14146-2.7.3.1-Q,14146,2.7.3.1
14202-5.3.1.15-Q,14202,5.3.1.15
14222-3.1.6.16-Q,14222,3.1.6.16
14258-2.4.1.152-Q,14258,2.4.1.152
14266-5.4.3.8-Q,14266,5.4.3.8
14270-1.6.5.5-Q,14270,1.6.5.5
14342-2.2.1.5-Q,14342,2.2.1.5
14358-2.7.1.26-Q,14358,2.7.1.26
14430-7.4.2.6-Q,14430,7.4.2.6
14458-2.3.3.12-Q,14458,2.3.3.12
14462-2.4.1.193-Q,14462,2.4.1.193
14534-3.5.2.10-Q,14534,3.5.2.10
14542-3.1.2.27-Q,14542,3.1.2.27
14558-3.2.1.125-Q,14558,3.2.1.125
14598-2.7.8.24-Q,14598,2.7.8.24
14658-5.3.1.6-Q,14658,5.3.1.6
14674-7.4.2.1-Q,14674,7.4.2.1
14822-5.3.1.4-Q,14822,5.3.1.4
14850-3.5.3.14-Q,14850,3.5.3.14
14894-5.4.3.5-Q,14894,5.4.3.5
14950-1.3.99.19-Q,14950,1.3.99.19
15014-3.5.99.13-Q,15014,3.5.99.13
15062-1.16.1.10-Q,15062,1.16.1.10
15062-1.16.1.7-Q,15062,1.16.1.7
15118-2.4.2.52-Q,15118,2.4.2.52
15150-1.4.3.5-Q,15150,1.4.3.5
15198-2.1.1.72-Q,15198,2.1.1.72
15266-2.6.99.2-Q,15266,2.6.99.2
15286-2.5.1.27-Q,15286,2.5.1.27
15346-6.3.2.24-Q,15346,6.3.2.24
15418-1.3.1.78-Q,15418,1.3.1.78
15418-1.3.1.79-Q,15418,1.3.1.79
15430-2.1.1.342-Q,15430,2.1.1.342
15458-1.3.1.19-Q,15458,1.3.1.19
15614-1.3.1.76-Q,15614,1.3.1.76
15658-1.3.1.68-Q,15658,1.3.1.68
15750-1.1.99.31-Q,15750,1.1.99.31
15818-1.4.3.5-Q,15818,1.4.3.5
15834-1.1.3.19-Q,15834,1.1.3.19
15862-3.1.3.28-Q,15862,3.1.3.28
15902-5.4.2.11-Q,15902,5.4.2.11
15902-5.4.2.12-Q,15902,5.4.2.12
15914-2.7.4.16-Q,15914,2.7.4.16
15930-3.5.3.21-Q,15930,3.5.3.21
15954-2.7.3.10-Q,15954,2.7.3.10
16014-6.1.1.14-Q,16014,6.1.1.14
16026-2.3.1.171-Q,16026,2.3.1.171
16030-3.5.3.17-Q,16030,3.5.3.17
16058-2.4.1.145-Q,16058,2.4.1.145
16122-3.5.2.2-Q,16122,3.5.2.2
16130-1.1.1.65-Q,16130,1.1.1.65
16166-1.13.12.3-Q,16166,1.13.12.3
16202-4.1.3.38-Q,16202,4.1.3.38
16226-3.5.2.12-Q,16226,3.5.2.12
16254-1.3.1.49-Q,16254,1.3.1.49
16270-1.7.1.6-Q,16270,1.7.1.6
16274-2.7.8.3-Q,16274,2.7.8.3
16290-1.5.1.18-Q,16290,1.5.1.18
16334-2.7.7.61-Q,16334,2.7.7.61
16338-1.14.14.82-Q,16338,1.14.14.82
