reaction_id,SIMMER_SIMMER pred,merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_ec,merged_output_merged_output_theia_Prediction,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_ec,merged_output_theia_Prediction,merged_output_SelenzymeRF_All ECs,merged_output_BEC-Pred_Prediction,merged_output_CLAIRE_predictions,merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_Scaffold_ground_truth_true_EC,merged_output_ec,theia_Prediction,SelenzymeRF_All ECs,BEC-Pred_Prediction,CLAIRE_predictions,Scaffold_ground_truth_REACTION_ID,Scaffold_ground_truth_true_EC,ec
11561,1.14.12;1.1.1,1.14.12;1.1.1,1.14.12;1.1.1,1.14.12;1.1.1,1.14.12;1.1.1,1.14.12;1.1.1,1.14.12;1.1.1,,1.1.1,,,1.3.1.25,1.1.1,,,1.3.1.25,1.1.1,,,1.3.1.25,"1.14.12,0.9915345311164856;1.3.1,0.0030729197897017;1.14.13,0.0021143152844160795;1.17.1,0.0007344202022068202;1.1.1,0.0004048881819471717",1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.12.10;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.6.5.2,1.1.1,1.3.1;1.2.1;1.1.1;1.5.1,,,1.3.1.25,1.14.12;1.3.1;1.14.13;1.17.1;1.1.1,1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.12.10;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.6.5.2,1.1.1,1.3.1;1.2.1;1.1.1;1.5.1,,,1.3.1.25,1.14.12;1.3.1;1.14.13;1.17.1;1.1.1,1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.12.10;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.6.5.2,1.1.1,1.1.1;1.3.1;2.3.1;1.2.1,,,1.3.1.25,1.14.12;1.3.1;1.14.13;1.17.1;1.1.1,1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.12.10;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.6.5.2,1.3.1,1.1.1;1.3.1;2.3.1;1.2.1,,,1.3.1.25,1.14.12;1.3.1;1.14.13;1.17.1;1.1.1,1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.12.10;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.6.5.2,1.3.1,1.1.1;1.3.1;2.3.1;1.2.1,,,1.3.1.25
80556,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1,,2.1.1,,,2.1.1.395,2.1.1,,,2.1.1.395,2.1.1,,,2.1.1.395,"2.1.1,0.9974763989448547;2.5.1,0.0004862229397986084;2.3.1,0.00039396865759044886;3.13.2,0.00034937041345983744;1.17.98,0.00029201156576164067",2.1.1.6;2.1.1.128;2.1.1.-|2.1.1.291;2.1.1.42;2.1.1.267;2.1.1.89;2.1.1.68;2.1.1.116;2.1.1.104;2.1.1.132;2.1.1.330;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.323;2.1.1.336;2.1.1.114;2.1.1.110;2.1.1.338;2.1.1.109;2.1.1.283;2.1.1.222,2.1.1,2.1.1;2.8.4;4.4.1;1.3.8,,,2.1.1.395,2.1.1;2.5.1;2.3.1;3.13.2;1.17.98,2.1.1.6;2.1.1.128;2.1.1.-|2.1.1.291;2.1.1.42;2.1.1.267;2.1.1.89;2.1.1.68;2.1.1.116;2.1.1.104;2.1.1.132;2.1.1.330;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.323;2.1.1.336;2.1.1.114;2.1.1.110;2.1.1.338;2.1.1.109;2.1.1.283;2.1.1.222,2.1.1,2.1.1;2.8.4;4.4.1;1.3.8,,,2.1.1.395,2.1.1;2.5.1;2.3.1;3.13.2;1.17.98,2.1.1.6;2.1.1.128;2.1.1.-|2.1.1.291;2.1.1.42;2.1.1.267;2.1.1.89;2.1.1.68;2.1.1.116;2.1.1.104;2.1.1.132;2.1.1.330;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.323;2.1.1.336;2.1.1.114;2.1.1.110;2.1.1.338;2.1.1.109;2.1.1.283;2.1.1.222,2.1.1,2.1.1;2.3.1;2.5.1;4.1.99,,,2.1.1.395,2.1.1;2.5.1;2.3.1;3.13.2;1.17.98,2.1.1.6;2.1.1.128;2.1.1.-|2.1.1.291;2.1.1.42;2.1.1.267;2.1.1.89;2.1.1.68;2.1.1.116;2.1.1.104;2.1.1.132;2.1.1.330;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.323;2.1.1.336;2.1.1.114;2.1.1.110;2.1.1.338;2.1.1.109;2.1.1.283;2.1.1.222,2.1.1,2.1.1;2.3.1;2.5.1;4.1.99,,,2.1.1.395,2.1.1;2.5.1;2.3.1;3.13.2;1.17.98,2.1.1.6;2.1.1.128;2.1.1.-|2.1.1.291;2.1.1.42;2.1.1.267;2.1.1.89;2.1.1.68;2.1.1.116;2.1.1.104;2.1.1.132;2.1.1.330;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.323;2.1.1.336;2.1.1.114;2.1.1.110;2.1.1.338;2.1.1.109;2.1.1.283;2.1.1.222,2.1.1,2.1.1;2.3.1;2.5.1;4.1.99,,,2.1.1.395
51021,5.1.3;5.1.1,5.1.3;5.1.1,5.1.3;5.1.1,5.1.3;5.1.1,5.1.3;5.1.1,5.1.3;5.1.1,5.1.3;5.1.1,,1.17.99,,,1.1.2.8,1.17.99,,,1.1.2.8,1.17.99,,,1.1.2.8,"1.1.99,0.21184051036834717;1.14.19,0.0875602662563324;1.8.2,0.0800013542175293;1.7.2,0.07019218802452087;1.1.3,0.06666061282157898",7.2.1.3;1.16.9.1;1.1.1.1|1.1.1.184|1.1.1.244|1.1.1.284|1.1.1.71,1.17.99,1.1.9;1.2.2;1.20.9;1.16.2,,,1.1.2.8,1.1.99;1.14.19;1.8.2;1.7.2;1.1.3,7.2.1.3;1.16.9.1;1.1.1.1|1.1.1.184|1.1.1.244|1.1.1.284|1.1.1.71,1.17.99,1.1.9;1.2.2;1.20.9;1.16.2,,,1.1.2.8,1.1.99;1.14.19;1.8.2;1.7.2;1.1.3,7.2.1.3;1.16.9.1;1.1.1.1|1.1.1.184|1.1.1.244|1.1.1.284|1.1.1.71,1.17.99,1.1.9;1.20.9;1.16.99;2.6.3,,,1.1.2.8,1.1.99;1.14.19;1.8.2;1.7.2;1.1.3,7.2.1.3;1.16.9.1;1.1.1.1|1.1.1.184|1.1.1.244|1.1.1.284|1.1.1.71,1.8.2,1.1.9;1.20.9;1.16.99;2.6.3,,,1.1.2.8,1.1.99;1.14.19;1.8.2;1.7.2;1.1.3,7.2.1.3;1.16.9.1;1.1.1.1|1.1.1.184|1.1.1.244|1.1.1.284|1.1.1.71,1.8.2,1.1.9;1.20.9;1.16.99;2.6.3,,,1.1.2.8
10193,7.2.2,7.2.2,7.2.2,7.2.2,7.2.2,7.2.2,7.2.2,,7.2.2,,,7.3.2.3,7.2.2,,,7.3.2.3,7.2.2,,,7.3.2.3,"3.6.1,0.4224162995815277;3.6.4,0.20205901563167572;3.6.5,0.15492506325244904;5.6.2,0.10084584355354309;6.3.5,0.0543358288705349",6.3.4.16|6.3.5.5,7.2.2,7.1.3;7.2.3;3.1.7;4.2.3,,,7.3.2.3,3.6.1;3.6.4;3.6.5;5.6.2;6.3.5,6.3.4.16|6.3.5.5,7.2.2,7.1.3;7.2.3;3.1.7;4.2.3,,,7.3.2.3,3.6.1;3.6.4;3.6.5;5.6.2;6.3.5,6.3.4.16|6.3.5.5,7.2.2,7.2.2;7.4.2;7.6.2;7.3.2,,,7.3.2.3,3.6.1;3.6.4;3.6.5;5.6.2;6.3.5,6.3.4.16|6.3.5.5,7.6.2,7.2.2;7.4.2;7.6.2;7.3.2,,,7.3.2.3,3.6.1;3.6.4;3.6.5;5.6.2;6.3.5,6.3.4.16|6.3.5.5,7.6.2,7.2.2;7.4.2;7.6.2;7.3.2,,,7.3.2.3
12946,1.13.11,1.13.11,1.13.11,1.13.11,1.13.11,1.13.11,1.13.11,,1.13.11,,,3.13.1.3,1.13.11,,,3.13.1.3,1.13.11,,,3.13.1.3,"3.6.1,0.2061099112033844;3.2.1,0.08221140503883362;3.1.1,0.07032172381877899;3.13.1,0.06803398579359055;4.2.1,0.06653352081775665",1.8.98.3;1.8.5.5;1.13.11.2;1.14.13.44;1.8.5.5|1.8.5.8;1.8.2.5;2.5.1.49;2.8.1.3;1.14.14.5;3.1.1.-|3.1.1.92;1.14.11.17;1.14.13.89;1.8.5.6;1.8.1.-|1.8.1.9,3.5.4,1.2.99;4.3.1;1.12.99;7.2.4,,,3.13.1.3,3.6.1;3.2.1;3.1.1;3.13.1;4.2.1,1.8.98.3;1.8.5.5;1.13.11.2;1.14.13.44;1.8.5.5|1.8.5.8;1.8.2.5;2.5.1.49;2.8.1.3;1.14.14.5;3.1.1.-|3.1.1.92;1.14.11.17;1.14.13.89;1.8.5.6;1.8.1.-|1.8.1.9,3.5.4,1.2.99;4.3.1;1.12.99;7.2.4,,,3.13.1.3,3.6.1;3.2.1;3.1.1;3.13.1;4.2.1,1.8.98.3;1.8.5.5;1.13.11.2;1.14.13.44;1.8.5.5|1.8.5.8;1.8.2.5;2.5.1.49;2.8.1.3;1.14.14.5;3.1.1.-|3.1.1.92;1.14.11.17;1.14.13.89;1.8.5.6;1.8.1.-|1.8.1.9,3.5.4,1.2.99;3.5.2;3.5.5;3.11.1,,,3.13.1.3,3.6.1;3.2.1;3.1.1;3.13.1;4.2.1,1.8.98.3;1.8.5.5;1.13.11.2;1.14.13.44;1.8.5.5|1.8.5.8;1.8.2.5;2.5.1.49;2.8.1.3;1.14.14.5;3.1.1.-|3.1.1.92;1.14.11.17;1.14.13.89;1.8.5.6;1.8.1.-|1.8.1.9,4.4.1,1.2.99;3.5.2;3.5.5;3.11.1,,,3.13.1.3,3.6.1;3.2.1;3.1.1;3.13.1;4.2.1,1.8.98.3;1.8.5.5;1.13.11.2;1.14.13.44;1.8.5.5|1.8.5.8;1.8.2.5;2.5.1.49;2.8.1.3;1.14.14.5;3.1.1.-|3.1.1.92;1.14.11.17;1.14.13.89;1.8.5.6;1.8.1.-|1.8.1.9,4.4.1,1.2.99;3.5.2;3.5.5;3.11.1,,,3.13.1.3
36228,2.8.2,2.8.2,2.8.2,2.8.2,2.8.2,2.8.2,2.8.2,,2.7.1,,,2.7.8.22,2.7.1,,,2.7.8.22,2.7.1,,,2.7.8.22,"2.7.8,0.9696337580680847;3.1.4,0.014821543358266354;2.7.1,0.009800012223422527;2.7.6,0.0024191811680793762;2.4.3,0.0007103597745299339",2.7.8.2;2.7.8.1;2.7.8.8;2.7.8.45;3.1.4|3.6.1.53;2.7.8.-|2.7.8.44;2.7.8.5;2.7.8.11;2.7.8.28;2.7.8.39;2.7.6.1,2.4.1,2.7.7;2.7.8;3.1.4;2.4.3,,,2.7.8.22,2.7.8;3.1.4;2.7.1;2.7.6;2.4.3,2.7.8.2;2.7.8.1;2.7.8.8;2.7.8.45;3.1.4|3.6.1.53;2.7.8.-|2.7.8.44;2.7.8.5;2.7.8.11;2.7.8.28;2.7.8.39;2.7.6.1,2.4.1,2.7.7;2.7.8;3.1.4;2.4.3,,,2.7.8.22,2.7.8;3.1.4;2.7.1;2.7.6;2.4.3,2.7.8.2;2.7.8.1;2.7.8.8;2.7.8.45;3.1.4|3.6.1.53;2.7.8.-|2.7.8.44;2.7.8.5;2.7.8.11;2.7.8.28;2.7.8.39;2.7.6.1,2.4.1,2.7.8;2.4.2;2.4.99;2.4.3,,,2.7.8.22,2.7.8;3.1.4;2.7.1;2.7.6;2.4.3,2.7.8.2;2.7.8.1;2.7.8.8;2.7.8.45;3.1.4|3.6.1.53;2.7.8.-|2.7.8.44;2.7.8.5;2.7.8.11;2.7.8.28;2.7.8.39;2.7.6.1,2.7.8,2.7.8;2.4.2;2.4.99;2.4.3,,,2.7.8.22,2.7.8;3.1.4;2.7.1;2.7.6;2.4.3,2.7.8.2;2.7.8.1;2.7.8.8;2.7.8.45;3.1.4|3.6.1.53;2.7.8.-|2.7.8.44;2.7.8.5;2.7.8.11;2.7.8.28;2.7.8.39;2.7.6.1,2.7.8,2.7.8;2.4.2;2.4.99;2.4.3,,,2.7.8.22
17766,3.1.3,3.1.3,3.1.3,3.1.3,3.1.3,3.1.3,3.1.3,,2.7.1,,,5.4.2.4,2.7.1,,,5.4.2.4,2.7.1,,,5.4.2.4,"3.1.1,0.41034987568855286;2.7.2,0.36120209097862244;4.1.1,0.06755577772855759;1.2.1,0.02409505844116211;3.7.1,0.016724057495594025",5.4.2.4;3.1.3.9;2.7.1.106;3.6.1.7,3.2.1,3.1.1;4.2.99;1.1.99;4.2.3,,,5.4.2.4,3.1.1;2.7.2;4.1.1;1.2.1;3.7.1,5.4.2.4;3.1.3.9;2.7.1.106;3.6.1.7,3.2.1,3.1.1;4.2.99;1.1.99;4.2.3,,,5.4.2.4,3.1.1;2.7.2;4.1.1;1.2.1;3.7.1,5.4.2.4;3.1.3.9;2.7.1.106;3.6.1.7,3.2.1,3.1.1;4.1.1;3.1.3;1.2.3,,,5.4.2.4,3.1.1;2.7.2;4.1.1;1.2.1;3.7.1,5.4.2.4;3.1.3.9;2.7.1.106;3.6.1.7,5.3.3,3.1.1;4.1.1;3.1.3;1.2.3,,,5.4.2.4,3.1.1;2.7.2;4.1.1;1.2.1;3.7.1,5.4.2.4;3.1.3.9;2.7.1.106;3.6.1.7,5.3.3,3.1.1;4.1.1;3.1.3;1.2.3,,,5.4.2.4
59617,3.4.13;3.5.1,3.4.13;3.5.1,3.4.13;3.5.1,3.4.13;3.5.1,3.4.13;3.5.1,3.4.13;3.5.1,3.4.13;3.5.1,,3.5.1,,,3.4.13.4,3.5.1,,,3.4.13.4,3.5.1,,,3.4.13.4,"6.3.2,0.4515659213066101;3.5.1,0.2490549236536026;3.4.17,0.1233510971069336;3.4.13,0.1052686870098114;4.3.2,0.03903215378522873",6.3.2.11;3.4.13.4;2.3.1.109;3.4.13.18|3.4.13.4;3.4.19.5;6.3.2.30;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,3.5.1,3.4.13;3.5.2;3.4.14;3.4.11,,,3.4.13.4,6.3.2;3.5.1;3.4.17;3.4.13;4.3.2,6.3.2.11;3.4.13.4;2.3.1.109;3.4.13.18|3.4.13.4;3.4.19.5;6.3.2.30;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,3.5.1,3.4.13;3.5.2;3.4.14;3.4.11,,,3.4.13.4,6.3.2;3.5.1;3.4.17;3.4.13;4.3.2,6.3.2.11;3.4.13.4;2.3.1.109;3.4.13.18|3.4.13.4;3.4.19.5;6.3.2.30;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,3.5.1,3.4.13;3.5.1;3.13.1;3.5.2,,,3.4.13.4,6.3.2;3.5.1;3.4.17;3.4.13;4.3.2,6.3.2.11;3.4.13.4;2.3.1.109;3.4.13.18|3.4.13.4;3.4.19.5;6.3.2.30;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,3.4.17,3.4.13;3.5.1;3.13.1;3.5.2,,,3.4.13.4,6.3.2;3.5.1;3.4.17;3.4.13;4.3.2,6.3.2.11;3.4.13.4;2.3.1.109;3.4.13.18|3.4.13.4;3.4.19.5;6.3.2.30;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,3.4.17,3.4.13;3.5.1;3.13.1;3.5.2,,,3.4.13.4
76576,4.2.1,4.2.1,4.2.1,4.2.1,4.2.1,4.2.1,4.2.1,,5.4.99,,,4.2.99.25,5.4.99,,,4.2.99.25,5.4.99,,,4.2.99.25,"1.1.1,0.2811015546321869;3.2.1,0.19545279443264008;5.3.2,0.13327191770076752;4.2.2,0.1079002246260643;5.5.1,0.09637250006198883",3.2.1.172;3.2.1.179;4.2.2.26;4.2.2.6;4.2.2.9;5.3.1.17;3.2.1.180;5.5.1.27;4.2.2.24;4.2.2.11;4.2.2.3;4.2.2.23,5.4.99,1.1.99;4.2.99;4.1.99;5.5.1,,,4.2.99.25,1.1.1;3.2.1;5.3.2;4.2.2;5.5.1,3.2.1.172;3.2.1.179;4.2.2.26;4.2.2.6;4.2.2.9;5.3.1.17;3.2.1.180;5.5.1.27;4.2.2.24;4.2.2.11;4.2.2.3;4.2.2.23,5.4.99,1.1.99;4.2.99;4.1.99;5.5.1,,,4.2.99.25,1.1.1;3.2.1;5.3.2;4.2.2;5.5.1,3.2.1.172;3.2.1.179;4.2.2.26;4.2.2.6;4.2.2.9;5.3.1.17;3.2.1.180;5.5.1.27;4.2.2.24;4.2.2.11;4.2.2.3;4.2.2.23,5.4.99,5.4.99;3.3.2;5.5.1;4.3.1,,,4.2.99.25,1.1.1;3.2.1;5.3.2;4.2.2;5.5.1,3.2.1.172;3.2.1.179;4.2.2.26;4.2.2.6;4.2.2.9;5.3.1.17;3.2.1.180;5.5.1.27;4.2.2.24;4.2.2.11;4.2.2.3;4.2.2.23,5.1.3,5.4.99;3.3.2;5.5.1;4.3.1,,,4.2.99.25,1.1.1;3.2.1;5.3.2;4.2.2;5.5.1,3.2.1.172;3.2.1.179;4.2.2.26;4.2.2.6;4.2.2.9;5.3.1.17;3.2.1.180;5.5.1.27;4.2.2.24;4.2.2.11;4.2.2.3;4.2.2.23,5.1.3,5.4.99;3.3.2;5.5.1;4.3.1,,,4.2.99.25
25937,1.3.99;1.17.3,1.3.99;1.17.3,1.3.99;1.17.3,1.3.99;1.17.3,1.3.99;1.17.3,1.3.99;1.17.3,1.3.99;1.17.3,,1.17.99,,,1.3.99.17,1.17.99,,,1.3.99.17,1.17.99,,,1.3.99.17,"1.3.99,0.5242668390274048;1.17.99,0.22402437031269073;1.14.99,0.09678918868303299;1.12.99,0.02281971089541912;1.16.99,0.015064910054206848",1.3.99.17;1.4.3.4;2.4.2.31;2.5.1.72,1.3.99,1.21.99;1.5.99;1.12.99;3.5.99,,,1.3.99.17,1.3.99;1.17.99;1.14.99;1.12.99;1.16.99,1.3.99.17;1.4.3.4;2.4.2.31;2.5.1.72,1.3.99,1.21.99;1.5.99;1.12.99;3.5.99,,,1.3.99.17,1.3.99;1.17.99;1.14.99;1.12.99;1.16.99,1.3.99.17;1.4.3.4;2.4.2.31;2.5.1.72,1.3.99,1.16.3;1.5.99;1.4.99;1.1.99,,,1.3.99.17,1.3.99;1.17.99;1.14.99;1.12.99;1.16.99,1.3.99.17;1.4.3.4;2.4.2.31;2.5.1.72,1.17.99,1.16.3;1.5.99;1.4.99;1.1.99,,,1.3.99.17,1.3.99;1.17.99;1.14.99;1.12.99;1.16.99,1.3.99.17;1.4.3.4;2.4.2.31;2.5.1.72,1.17.99,1.16.3;1.5.99;1.4.99;1.1.99,,,1.3.99.17
