reactionID,predictions
10157,1.14.14;1.14.19;1.14.15;1.14.18
10173,3.7.1;3.3.2;3.1.1;1.2.3
10221,2.1.2;2.6.1;4.1.3;4.1.2
10237,2.4.1;2.3.1;2.4.2;3.1.1
10289,3.1.1;2.3.2;3.1.2;4.1.1
10337,5.4.99;4.2.99;4.1.2;4.1.3
10341,4.2.3;2.5.1;4.1.99;4.4.1
10345,2.3.1;2.4.1;2.8.3;5.3.99
10393,1.2.1;1.1.1;2.4.1;2.3.1
10397,4.1.1;1.2.1;1.3.98;1.21.98
10421,2.6.1;2.2.1;1.13.11;1.14.11
10441,3.1.1;3.7.1;3.3.2;3.1.2
10509,5.3.2;2.2.1;5.4.1;5.4.3
10521,2.4.1;2.4.2;5.3.99;2.3.1
10537,3.1.6;3.1.4;3.1.1;2.3.3
10569,1.3.1;1.1.1;4.2.2;2.4.1
10585,2.3.1;5.3.99;2.1.1;2.5.1
10689,3.1.3;3.1.4;3.1.7;3.6.1
10765,1.14.11;1.14.20;1.1.5;1.13.99
10781,2.3.1;1.2.1;2.4.1;1.1.1
10821,5.1.1;5.3.2;5.1.3;5.3.1
10881,3.5.4;3.5.2;4.1.1;2.1.2
10953,2.3.1;2.4.1;5.3.99;2.3.2
11025,2.7.11;2.7.13;3.6.1;2.7.1
11041,4.2.1;1.3.3;4.2.3;4.4.1
11113,4.1.2;3.3.2;3.7.1;5.4.99
11189,4.4.1;3.5.5;3.5.99;1.4.99
11237,2.3.1;5.3.99;2.7.1;2.4.1
11345,2.4.1;2.4.2;2.3.1;3.1.1
11389,2.3.1;1.2.1;2.4.1;3.1.2
11409,3.2.2;4.3.3;6.3.4;2.3.2
11421,1.21.3;1.14.15;1.14.13;1.14.99
11441,1.14.13;1.21.3;1.14.19;1.14.15
11457,2.4.1;2.4.2;2.7.7;2.3.1
11501,3.1.3;3.1.7;3.1.4;3.6.1
11709,1.2.1;1.4.1;2.3.1;2.5.1
11721,1.3.8;1.16.99;1.3.2;1.1.2
11741,1.2.1;1.8.1;1.4.1;1.3.98
11769,3.2.2;2.4.2;6.3.4;2.7.7
11821,2.4.2;2.4.1;3.2.2;5.3.99
11837,2.7.7;2.7.1;2.7.8;2.4.2
11849,1.21.4;6.4.1;1.3.4;6.1.1
11901,2.3.1;2.5.1;1.5.1;1.3.98
11941,3.5.2;1.13.11;3.5.4;3.11.1
