reaction,REACTION_ID,true_EC
10157-1.14.14.101-Q,10157,1.14.14.101
10173-3.1.1.22-Q,10173,3.1.1.22
10221-6.1.1.1-Q,10221,6.1.1.1
10237-2.4.1.114-Q,10237,2.4.1.114
10289-3.1.1.65-Q,10289,3.1.1.65
10337-4.2.1.3-Q,10337,4.2.1.3
10341-4.2.3.21-Q,10341,4.2.3.21
10345-2.3.1.25-Q,10345,2.3.1.25
10393-1.1.1.195-Q,10393,1.1.1.195
10397-1.4.1.5-Q,10397,1.4.1.5
10421-2.6.1.77-Q,10421,2.6.1.77
10441-3.1.1.17-Q,10441,3.1.1.17
10509-2.2.1.1-Q,10509,2.2.1.1
10521-2.4.1.241-Q,10521,2.4.1.241
10537-3.1.6.10-Q,10537,3.1.6.10
10569-2.4.1.189-Q,10569,2.4.1.189
10585-2.3.1.170-Q,10585,2.3.1.170
10689-3.1.3.39-Q,10689,3.1.3.39
10765-1.14.20.4-Q,10765,1.14.20.4
10781-1.1.1.110-Q,10781,1.1.1.110
10781-1.1.1.237-Q,10781,1.1.1.237
10821-5.1.2.6-Q,10821,5.1.2.6
10881-3.2.2.25-Q,10881,3.2.2.25
10953-2.3.1.106-Q,10953,2.3.1.106
11025-2.7.3.8-Q,11025,2.7.3.8
11041-4.2.1.19-Q,11041,4.2.1.19
11113-3.3.2.1-Q,11113,3.3.2.1
11189-3.5.5.4-Q,11189,3.5.5.4
11237-2.5.1.44-Q,11237,2.5.1.44
11237-2.5.1.45-Q,11237,2.5.1.45
11345-2.7.7.43-Q,11345,2.7.7.43
11389-1.1.1.146-Q,11389,1.1.1.146
11409-3.5.99.1-Q,11409,3.5.99.1
11421-1.14.13.101-Q,11421,1.14.13.101
11441-1.14.13.50-Q,11441,1.14.13.50
11457-2.4.1.101-Q,11457,2.4.1.101
11501-3.1.3.45-Q,11501,3.1.3.45
11709-1.1.1.205-Q,11709,1.1.1.205
11721-3.5.2.14-Q,11721,3.5.2.14
11741-1.8.1.7-Q,11741,1.8.1.7
11769-2.4.2.18-Q,11769,2.4.2.18
11821-2.4.2.36-Q,11821,2.4.2.36
11837-2.4.3.1-Q,11837,2.4.3.1
11849-1.21.4.4-Q,11849,1.21.4.4
11901-1.1.1.286-Q,11901,1.1.1.286
11901-1.1.1.87-Q,11901,1.1.1.87
11941-3.5.1.20-Q,11941,3.5.1.20
11989-2.1.1.79-Q,11989,2.1.1.79
11993-1.5.3.7-Q,11993,1.5.3.7
12181-2.1.1.111-Q,12181,2.1.1.111
12273-4.1.1.28-Q,12273,4.1.1.28
12369-1.1.99.4-Q,12369,1.1.99.4
12417-4.3.1.6-Q,12417,4.3.1.6
12453-2.7.1.134-Q,12453,2.7.1.134
12465-2.4.1.123-Q,12465,2.4.1.123
12630-1.14.11.11-Q,12630,1.14.11.11
12650-1.1.1.173-Q,12650,1.1.1.173
