reaction_id,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_theia_Prediction,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_ec,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_theia_Prediction,merged_output_BEC-Pred_Prediction,merged_output_ec,SIMMER_SIMMER pred,SelenzymeRF_All ECs,theia_Prediction,BEC-Pred_Prediction,ec
10157-1.14.14.101-Q,10157,1.14.14.101,10157,1.14.14.101,10157,1.14.14.101,10157,1.14.14.101,10157,1.14.14.101,10157,1.14.14.101,10157,1.14.14.101,10157,1.14.14.101,1.14.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10173-3.1.1.22-Q,10173,3.1.1.22,10173,3.1.1.22,10173,3.1.1.22,10173,3.1.1.22,10173,3.1.1.22,10173,3.1.1.22,10173,3.1.1.22,10173,3.1.1.22,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10221-6.1.1.1-Q,10221,6.1.1.1,10221,6.1.1.1,10221,6.1.1.1,10221,6.1.1.1,10221,6.1.1.1,10221,6.1.1.1,10221,6.1.1.1,10221,6.1.1.1,6.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10237-2.4.1.114-Q,10237,2.4.1.114,10237,2.4.1.114,10237,2.4.1.114,10237,2.4.1.114,10237,2.4.1.114,10237,2.4.1.114,10237,2.4.1.114,10237,2.4.1.114,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289-3.1.1.65-Q,10289,3.1.1.65,10289,3.1.1.65,10289,3.1.1.65,10289,3.1.1.65,10289,3.1.1.65,10289,3.1.1.65,10289,3.1.1.65,10289,3.1.1.65,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10337-4.2.1.3-Q,10337,4.2.1.3,10337,4.2.1.3,10337,4.2.1.3,10337,4.2.1.3,10337,4.2.1.3,10337,4.2.1.3,10337,4.2.1.3,10337,4.2.1.3,4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10341-4.2.3.21-Q,10341,4.2.3.21,10341,4.2.3.21,10341,4.2.3.21,10341,4.2.3.21,10341,4.2.3.21,10341,4.2.3.21,10341,4.2.3.21,10341,4.2.3.21,4.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10345-2.3.1.25-Q,10345,2.3.1.25,10345,2.3.1.25,10345,2.3.1.25,10345,2.3.1.25,10345,2.3.1.25,10345,2.3.1.25,10345,2.3.1.25,10345,2.3.1.25,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10393-1.1.1.195-Q,10393,1.1.1.195,10393,1.1.1.195,10393,1.1.1.195,10393,1.1.1.195,10393,1.1.1.195,10393,1.1.1.195,10393,1.1.1.195,10393,1.1.1.195,1.1.1;1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10397-1.4.1.5-Q,10397,1.4.1.5,10397,1.4.1.5,10397,1.4.1.5,10397,1.4.1.5,10397,1.4.1.5,10397,1.4.1.5,10397,1.4.1.5,10397,1.4.1.5,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10421-2.6.1.77-Q,10421,2.6.1.77,10421,2.6.1.77,10421,2.6.1.77,10421,2.6.1.77,10421,2.6.1.77,10421,2.6.1.77,10421,2.6.1.77,10421,2.6.1.77,2.6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10441-3.1.1.17-Q,10441,3.1.1.17,10441,3.1.1.17,10441,3.1.1.17,10441,3.1.1.17,10441,3.1.1.17,10441,3.1.1.17,10441,3.1.1.17,10441,3.1.1.17,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509-2.2.1.1-Q,10509,2.2.1.1,10509,2.2.1.1,10509,2.2.1.1,10509,2.2.1.1,10509,2.2.1.1,10509,2.2.1.1,10509,2.2.1.1,10509,2.2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10521-2.4.1.241-Q,10521,2.4.1.241,10521,2.4.1.241,10521,2.4.1.241,10521,2.4.1.241,10521,2.4.1.241,10521,2.4.1.241,10521,2.4.1.241,10521,2.4.1.241,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10537-3.1.6.10-Q,10537,3.1.6.10,10537,3.1.6.10,10537,3.1.6.10,10537,3.1.6.10,10537,3.1.6.10,10537,3.1.6.10,10537,3.1.6.10,10537,3.1.6.10,3.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10569-2.4.1.189-Q,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,10569,2.4.1.189,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10585-2.3.1.170-Q,10585,2.3.1.170,10585,2.3.1.170,10585,2.3.1.170,10585,2.3.1.170,10585,2.3.1.170,10585,2.3.1.170,10585,2.3.1.170,10585,2.3.1.170,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10689-3.1.3.39-Q,10689,3.1.3.39,10689,3.1.3.39,10689,3.1.3.39,10689,3.1.3.39,10689,3.1.3.39,10689,3.1.3.39,10689,3.1.3.39,10689,3.1.3.39,3.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10765-1.14.20.4-Q,10765,1.14.20.4,10765,1.14.20.4,10765,1.14.20.4,10765,1.14.20.4,10765,1.14.20.4,10765,1.14.20.4,10765,1.14.20.4,10765,1.14.20.4,1.14.20;1.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10781-1.1.1.110-Q,10781,1.1.1.110,10781,1.1.1.110,10781,1.1.1.110,10781,1.1.1.110,10781,1.1.1.110,10781,1.1.1.110,10781,1.1.1.110,10781,1.1.1.110,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10781-1.1.1.237-Q,10781,1.1.1.237,10781,1.1.1.237,10781,1.1.1.237,10781,1.1.1.237,10781,1.1.1.237,10781,1.1.1.237,10781,1.1.1.237,10781,1.1.1.237,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10821-5.1.2.6-Q,10821,5.1.2.6,10821,5.1.2.6,10821,5.1.2.6,10821,5.1.2.6,10821,5.1.2.6,10821,5.1.2.6,10821,5.1.2.6,10821,5.1.2.6,5.1.3;5.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10881-3.2.2.25-Q,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,10881,3.2.2.25,3.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10953-2.3.1.106-Q,10953,2.3.1.106,10953,2.3.1.106,10953,2.3.1.106,10953,2.3.1.106,10953,2.3.1.106,10953,2.3.1.106,10953,2.3.1.106,10953,2.3.1.106,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11025-2.7.3.8-Q,11025,2.7.3.8,11025,2.7.3.8,11025,2.7.3.8,11025,2.7.3.8,11025,2.7.3.8,11025,2.7.3.8,11025,2.7.3.8,11025,2.7.3.8,2.7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11041-4.2.1.19-Q,11041,4.2.1.19,11041,4.2.1.19,11041,4.2.1.19,11041,4.2.1.19,11041,4.2.1.19,11041,4.2.1.19,11041,4.2.1.19,11041,4.2.1.19,5.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11113-3.3.2.1-Q,11113,3.3.2.1,11113,3.3.2.1,11113,3.3.2.1,11113,3.3.2.1,11113,3.3.2.1,11113,3.3.2.1,11113,3.3.2.1,11113,3.3.2.1,4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
