reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
10157,1.14.14.101,1.14.14,1.14.14.13;1.14.14.28;1.14.14.3;1.14.14.5;1.14.14.15;1.14.14.8;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.12;1.14.14.108;1.14.14.30;1.13.12.16;1.14.14.22,1.14.14,1.14.14;1.14.19;1.5.1;1.5.8;1.3.8,1.14.14,1.14.14
10173,3.1.1.22,3.1.1,3.4.16.4;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,3.1.1,3.1.1;3.6.1;3.3.2;4.2.1;3.7.1,3.1.1,3.1.1
10221,6.1.1.1,6.1.1,6.3.2.14;6.3.2.40;6.1.3.1;2.7.7.85;6.1.1.1,6.1.1,6.1.1;6.3.2;6.3.4;2.3.2;2.7.2,6.1.1,6.1.1
10237,2.4.1.114,2.4.1,2.4.1.35;2.4.1.220;2.4.1.126;2.4.1.128;2.4.1.170;2.4.1|2.4.1.-|2.4.1.298;2.4.1.249;2.4.1.238;2.4.1.218;2.4.1.91;2.4.1.-|2.4.1.286;2.4.1.185;2.4.1.202;2.4.1.85;2.4.1.234;2.4.1.-|2.4.1.266;2.4.1.81;2.4.1.-|2.4.1.323;2.4.1.219;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.63;2.4.1.324;1.11.1.13|1.16.3.-|2.4.1.25|2.4.1.63|2.4.1.8|3.2.1.20|4.2.1.131,2.4.1,2.4.1;2.4.2;3.2.1;2.7.8;2.7.7,2.4.1,2.4.1
10289,3.1.1.65,3.1.1,1.2.1.3;3.1.1.17|3.1.1.25;3.1.1|3.1.1.-|3.1.1.17;5.5.1.27;3.2.1.144;3.4.16.4,3.1.1,3.1.1;3.7.1;5.5.1;1.14.18;4.2.1,3.1.1,3.1.1
10337,4.2.1.3,4.2.1,4.2.1.3;6.3.2.27;4.2.1.114;4.2.1.166;4.1.3.1;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87,4.2.1,4.2.1;4.1.3;5.4.99;2.3.3;5.4.4,4.2.1,4.2.1
10341,4.2.3.21,4.2.3,4.2.3.21;4.2.3.164|4.2.3.ek;4.2.3.90;4.2.3.37;4.2.3.73;4.2.3.-|4.2.3.129;4.2.3.197;4.2.3.62;4.2.3.68;4.2.3.7;4.2.3.204;4.2.3.198;4.2.3.136;4.2.3.172;4.2.3.96;4.2.3.93;4.2.3.6;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.87;2.5.1.87;4.2.3.61;4.2.3.9;4.2.3.69;4.2.3.79;4.2.3|4.2.3.-|4.2.3.56;4.2.3.181;4.2.3.160;4.2.3.22;4.2.3.83;4.2.3.24;4.2.3.64;4.2.3.169;4.2.3.74;4.2.3.98;2.5.1.86;4.2.3.55,4.2.3,4.2.3;5.5.1;2.5.1;3.1.7;5.4.99,4.2.3,4.2.3
10345,2.3.1.25,2.3.1,2.3.1.25;2.3.1.121;2.3.1.23|2.3.1.63;2.3.1.62;2.3.1.51;2.3.1.180,2.3.1,2.3.1;6.2.1;3.1.2;2.8.3;2.3.2,2.3.1,2.3.1
10393,1.1.1.195,1.1.1,1.1.1.1,1.1.1;1.14.13,1.1.1;1.2.1;1.12.1;2.7.1;1.17.1,1.1.1,1.1.1
10397,1.4.1.5,1.4.1,1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9,1.1.1,1.4.1;1.2.1;1.1.1;4.1.99;1.7.1,1.4.1,1.4.1
