reaction_id,Prediction
10157,1.14.14;1.14.19;1.5.1;1.5.8;1.3.8
10173,3.1.1;3.6.1;3.3.2;4.2.1;3.7.1
10221,6.1.1;6.3.2;6.3.4;2.3.2;2.7.2
10237,2.4.1;2.4.2;3.2.1;2.7.8;2.7.7
10289,3.1.1;3.7.1;5.5.1;1.14.18;4.2.1
10337,4.2.1;4.1.3;5.4.99;2.3.3;5.4.4
10341,4.2.3;5.5.1;2.5.1;3.1.7;5.4.99
10345,2.3.1;6.2.1;3.1.2;2.8.3;2.3.2
10393,1.1.1;1.2.1;1.12.1;2.7.1;1.17.1
10397,1.4.1;1.2.1;1.1.1;4.1.99;1.7.1
10421,2.6.1;5.4.3;4.1.3;4.3.1;1.4.1
10441,3.1.1;5.5.1;4.2.1;3.7.1;1.14.18
10509,2.2.1;5.1.3;2.7.4;2.7.8;4.1.2
10521,2.4.2;2.4.1;3.6.1;2.7.7;2.7.1
10537,3.1.6;2.8.2;5.4.2;3.13.1;3.12.1
10569,2.4.1;2.4.2;3.2.1;2.7.1;2.7.8
10585,2.3.1;1.2.1;3.1.2;1.8.1;6.2.1
10689,3.1.3;3.6.1;3.6.5;2.7.7;2.5.1
10765,1.14.11;1.14.20;4.2.1;4.1.1;1.13.11
10781,1.1.1;1.17.1;1.4.1;1.2.1;1.12.1
10781,1.1.1;1.17.1;1.4.1;1.2.1;1.12.1
10821,4.2.1;2.7.8;4.1.3;2.7.4;5.3.3
10881,3.2.2;5.4.99;3.2.1;3.5.4;2.1.1
10953,2.3.1;2.3.2;6.2.1;3.1.2;2.3.3
11025,2.7.3;2.7.1;2.7.2;6.3.1;2.7.13
11041,4.2.1;4.1.2;5.4.2;3.1.3;1.1.99
11113,4.1.3;3.7.1;4.4.1;5.4.99;2.7.9
11189,4.2.1;2.6.1;3.5.5;3.5.1;3.5.99
11237,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1
11237,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1
11345,2.7.7;4.6.1;2.7.8;2.5.1;2.7.4
11389,1.1.1;1.3.1;1.17.1;1.12.1;1.5.1
11409,1.14.14;1.14.19;1.17.7;1.17.8;1.3.8
11421,1.14.13;1.14.19;4.1.99;1.17.1;1.14.12
11441,1.14.13;4.1.99;1.17.1;1.14.19;1.2.1
11457,2.4.1;3.6.1;2.4.2;2.7.7;2.7.1
11501,3.1.3;5.4.2;3.6.5;2.7.1;4.2.3
11709,1.17.1;1.14.13;1.7.1;1.2.1;1.12.1
11721,3.5.2;6.3.1;3.6.5;6.3.5;6.3.4
11741,1.8.1;1.2.1;1.12.1;1.16.1;1.18.1
11769,2.4.2;2.5.1;2.7.7;2.4.1;2.6.1
11821,2.4.2;2.7.1;2.4.1;2.4.99;2.7.7
11837,2.4.3;2.4.99;3.1.4;2.7.8;4.6.1
11849,3.1.2;1.8.98;1.11.1;1.8.4;2.3.3
11901,1.1.1;1.3.1;1.17.1;1.5.1;1.14.11
11901,1.1.1;1.3.1;1.17.1;1.5.1;1.14.11
11941,3.5.1;3.5.3;3.5.2;2.1.3;2.3.2
11989,2.1.1;2.3.1;2.5.1;4.4.1;5.3.3
11993,1.5.3;3.4.17;1.4.3;1.5.5;1.5.1
12181,2.1.1;2.3.1;2.5.1;2.8.4;3.13.2
12273,4.1.1;5.4.3;4.3.1;1.13.12;3.5.2
12369,1.1.99;1.3.99;5.1.3;5.3.1;1.1.1
12417,4.3.1;5.4.3;2.3.2;2.3.1;5.4.99
12453,2.7.1;2.7.4;2.7.8;2.7.6;2.7.11
12465,2.4.1;2.4.2;3.6.1;2.7.7;3.2.1
12630,1.14.11;4.1.1;1.14.20;2.6.1;1.13.11
12650,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1
12650,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1
12714,2.7.1;3.6.1;2.7.4;2.7.6;4.6.1
12754,1.1.1;1.17.1;1.2.1;1.12.1;1.3.1
12798,1.14.11;4.2.1;1.14.20;1.13.12;1.14.13
12806,2.1.1;2.8.4;3.13.2;2.3.1;2.5.1
12838,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8
12898,1.14.14;1.14.19;1.5.1;1.5.8;1.17.7
13006,2.1.1;2.5.1;2.8.4;3.13.2;1.21.98
13070,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8
13074,3.6.1;3.6.5;3.6.4;3.1.3;6.3.5
13094,2.4.1;2.4.2;2.7.1;3.2.1;2.7.8
13186,4.2.1;3.5.1;4.3.1;3.5.99;1.4.3
13254,2.7.1;2.7.4;2.7.6;2.7.11;2.7.2
13310,1.2.1;1.14.13;1.17.1;1.1.1;4.1.99
13410,1.7.1;1.1.1;1.4.1;1.5.1;1.17.1
13418,1.3.1;1.1.1;1.6.3;1.14.13;1.6.5
13466,2.3.1;2.3.2;6.3.2;4.3.2;4.3.1
13510,2.7.7;2.7.4;2.7.1;2.5.1;6.2.1
13526,1.14.15;1.14.19;4.2.1;1.17.7;1.14.18
13530,4.2.1;4.1.3;5.4.1;1.17.99;3.7.1
13686,1.3.1;1.1.1;1.17.1;1.14.13;1.5.1
13722,3.1.1;3.7.1;3.5.1;1.14.18;1.2.99
13742,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1
13770,1.1.1;1.17.1;1.2.1;1.12.1;1.3.1
13794,5.4.99;4.2.1;5.5.1;4.1.2;5.3.3
13814,1.14.12;1.3.1;1.14.13;1.1.1;1.17.1
13830,1.1.1;1.17.1;1.12.1;5.3.2;4.1.99
13830,1.1.1;1.17.1;1.12.1;5.3.2;4.1.99
13838,1.14.12;1.3.1;1.6.5;1.1.1;1.17.1
13910,2.4.2;2.4.1;2.7.7;3.1.3;3.2.2
13954,3.1.1;3.6.1;2.3.2;3.5.1;6.1.1
13970,6.5.1;4.6.1;2.7.7;2.7.4;6.1.1
13998,1.2.1;1.1.1;2.3.1;1.8.1;1.17.1
14010,4.2.3;2.5.1;2.7.7;3.1.7;5.4.99
14046,4.1.1;5.4.2;2.7.1;5.2.1;1.14.11
14054,4.1.2;2.5.1;4.2.1;4.2.3;2.1.2
14090,2.6.1;5.4.3;4.1.1;4.1.3;1.4.1
14114,3.1.3;4.2.1;3.6.5;3.6.1;3.1.4
14142,1.8.4;1.8.99;1.8.5;2.8.1;1.8.7
