Reaction name,SIMMER pred
18806,5.1.3;5.1.1
24013,2.1.1
30076,3.2.2
62385,3.1.3
27446,1.1.1
27418,1.14.99
25258,
25153,2.6.1
23561,2.5.1
24477,
11725,2.8.2
15810,4.2.3
18946,1.14.11
46917,3.1.1
19218,
16666,1.13.11
21397,4.1.1
73832,2.4.3;2.4.99
17722,1.3.99;1.3.8
17306,2.1.4
66921,5.3.1
20506,2.6.1
63349,6.2.2
56285,1.1.1
27535,4.2.3
66821,7.4.2;3.6.4
35804,3.1.4
10189,3.1.2;2.3.1
36148,2.3.1
67909,
25376,5.4.99
11721,6.3.4
52769,3.4.19;3.5.1
42361,5.1.3;5.1.1
25400,1.13.11
15558,7.4.2;3.6.4
40044,6.3.2
33688,2.3.1
17558,2.3.1
15914,2.7.1;2.7.7
25266,
15970,
27394,1.14.19
25380,2.3.1
22369,5.1.3;5.1.1
34240,2.6.1
43545,6.3.2
27719,3.1.3;3.1.4
12025,3.2.1
10261,7.4.2;3.6.4
10605,5.4.1;3.1.1
18090,5.1.3;5.1.1
47837,2.7.4;2.7.1
21141,2.7.1
68461,2.8.2
28027,1.17.4
42833,
13706,2.4.1
22325,5.4.4
19038,5.1.3;5.1.1
35788,2.4.1
37800,1.7.1;1.1.1
62641,1.8.7;1.21.4
48733,
17090,5.3.1
16046,2.4.1
20310,5.1.3;5.1.1
49237,2.7.1
42101,6.3.1
35108,1.21.99
59573,3.4.13;3.5.1
24297,3.5.2;3.5.1
58157,7.4.2;3.6.4
32560,4.2.3
63829,2.6.1
60225,1.5.3;1.14.20
16166,4.1.1
10553,5.3.1
27851,2.3.1
17938,
16122,3.5.2;3.5.1
11989,2.1.1
23205,
55381,1.1.1
27711,2.7.1
21845,2.3.1
65745,1.14.11
26411,3.1.1;3.2.1
37800,1.7.1;1.1.1
18654,3.5.1
82852,1.14.13;1.1.1
76408,
35800,3.1.4
47849,2.5.1
18594,
13406,2.3.1
12626,3.2.1
31804,3.2.1;2.4.1
12525,1.5.1;1.3.1
20270,3.2.1
31888,5.4.99
21105,1.17.99
17882,
11101,
15258,
18546,4.1.3
79304,5.5.1
22021,7.4.2;3.6.4
21569,3.2.1
22949,5.3.1
54657,
14478,1.3.99;1.3.8
37796,1.7.1
51697,2.1.1
43633,3.1.1;2.3.2
