reaction_id,BEC-Pred_Prediction,SIMMER_SIMMER pred,CLAIRE_predictions,SelenzymeRF_All ECs,Scaffold_ground_truth_REACTION_ID,Scaffold_ground_truth_true_EC,merged_output_BEC-Pred_Prediction,merged_output_SIMMER_SIMMER pred,merged_output_CLAIRE_predictions,merged_output_SelenzymeRF_All ECs,merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_theia_Prediction,merged_output_merged_output_ec,merged_output_theia_Prediction,merged_output_ec,theia_Prediction,ec
10041,3.1.3,3.1.4;3.1.3,3.1.3;3.1.4;3.6.1;3.1.7,1.18.6.1;6.3.5.9,,,3.1.3,3.1.4;3.1.3,3.1.3;3.1.4;3.6.1;3.1.7,1.18.6.1;6.3.5.9,,,3.1.3,3.1.4;3.1.3,3.1.3;3.1.4;3.6.1;3.1.7,1.18.6.1;6.3.5.9,,,3.1.3,3.1.4;3.1.3,1.13.11;1.1.3;4.2.1;1.2.3,1.18.6.1;6.3.5.9,,,3.1.3,3.1.4;3.1.3,1.13.11;1.1.3;4.2.1;1.2.3,1.18.6.1;6.3.5.9,,,3.1.3,3.1.4;3.1.3,,,3.1.3,3.1.4;3.1.3,,,3.1.3,,,,3.1.3.7,3.1.3.7,3.1.3.7,"3.1.3,0.6688130497932434;3.1.7,0.20807701349258423;3.1.4,0.0739164650440216;3.6.1,0.005707576405256987;3.6.5,0.004309406504034996",3.1.3.7,3.1.3;3.1.7;3.1.4;3.6.1;3.6.5,3.1.3.7,3.1.3;3.1.7;3.1.4;3.6.1;3.6.5,3.1.3.7,3.1.3;3.1.7;3.1.4;3.6.1;3.6.5,3.1.3.7,3.1.3;3.1.7;3.1.4;3.6.1;3.6.5,3.1.3.7
10105,1.14.11,1.14.11,1.14.11;1.13.12;1.13.11;1.14.20,1.14.11.15;1.14.11|1.14.11.-|1.14.11.13;1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.33;1.14.11.53,,,1.14.11,1.14.11,1.14.11;1.13.12;1.13.11;1.14.20,1.14.11.15;1.14.11|1.14.11.-|1.14.11.13;1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.33;1.14.11.53,,,1.14.11,1.14.11,1.14.11;1.13.12;1.13.11;1.14.20,1.14.11.15;1.14.11|1.14.11.-|1.14.11.13;1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.33;1.14.11.53,,,1.14.11,1.14.11,3.1.3;3.1.7;3.6.1;2.7.8,1.14.11.15;1.14.11|1.14.11.-|1.14.11.13;1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.33;1.14.11.53,,,1.14.11,1.14.11,3.1.3;3.1.7;3.6.1;2.7.8,1.14.11.15;1.14.11|1.14.11.-|1.14.11.13;1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.33;1.14.11.53,,,1.14.11,1.14.11,,,1.14.11,1.14.11,,,1.14.11,,,,1.14.11.15,1.14.11.15,1.14.11.15,"1.14.11,0.9220766425132751;1.14.20,0.03046587109565735;1.13.12,0.013277661986649036;4.1.1,0.00537976436316967;1.13.11,0.005088170990347862",1.14.11.15,1.14.11;1.14.20;1.13.12;4.1.1;1.13.11,1.14.11.15,1.14.11;1.14.20;1.13.12;4.1.1;1.13.11,1.14.11.15,1.14.11;1.14.20;1.13.12;4.1.1;1.13.11,1.14.11.15,1.14.11;1.14.20;1.13.12;4.1.1;1.13.11,1.14.11.15
10189,2.3.1,3.1.2;2.3.1,2.3.2;3.1.2;3.1.1;2.8.3,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.3.2;3.1.2;3.1.1;2.8.3,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.3.2;3.1.2;3.1.1;2.8.3,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.4.99;5.99.1;2.4.2;5.1.3,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,2.4.99;5.99.1;2.4.2;5.1.3,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,,,2.3.1,3.1.2;2.3.1,,,2.3.1,3.1.2;2.3.1,,,2.3.1,,,,2.3.3.10,2.3.3.10,2.3.3.10,"2.3.3,0.4278617203235626;4.1.3,0.38129571080207825;2.3.1,0.12788955867290497;3.1.2,0.02963639423251152;3.7.1,0.01017606258392334",2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.3.10
10193,7.4.2,7.4.2;3.6.4,3.6.4;5.6.2;3.6.5;7.6.2,6.3.4.16|6.3.5.5,,,7.4.2,7.4.2;3.6.4,3.6.4;5.6.2;3.6.5;7.6.2,6.3.4.16|6.3.5.5,,,3.5.4,7.4.2;3.6.4,3.6.4;5.6.2;3.6.5;7.6.2,6.3.4.16|6.3.5.5,,,3.5.4,7.4.2;3.6.4,2.7.8;3.6.1;2.4.2;2.7.6,6.3.4.16|6.3.5.5,,,3.5.4,7.4.2;3.6.4,2.7.8;3.6.1;2.4.2;2.7.6,6.3.4.16|6.3.5.5,,,6.3.2,7.4.2;3.6.4,,,6.3.2,7.4.2;3.6.4,,,6.3.2,,,,7.3.2.3,7.3.2.3,7.3.2.3,"3.6.1,0.30933111906051636;3.6.5,0.29970765113830566;5.6.2,0.14949576556682587;3.6.4,0.13185426592826843;6.3.5,0.018394649028778076",7.3.2.3,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.3.2.3,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.3.2.3,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.3.2.3,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.3.2.3
10261,1.16.99,7.4.2;3.6.4,3.1.3;3.1.7;3.5.1;2.3.2,6.3.2.2,,,1.16.99,7.4.2;3.6.4,3.1.3;3.1.7;3.5.1;2.3.2,6.3.2.2,,,3.5.4,7.4.2;3.6.4,3.1.3;3.1.7;3.5.1;2.3.2,6.3.2.2,,,3.5.4,7.4.2;3.6.4,3.1.8;3.1.5;7.2.3;7.1.3,6.3.2.2,,,3.5.4,7.4.2;3.6.4,3.1.8;3.1.5;7.2.3;7.1.3,6.3.2.2,,,1.7.2,7.4.2;3.6.4,,,1.7.2,7.4.2;3.6.4,,,1.7.2,,,,7.2.2.14,7.2.2.14,7.2.2.14,"3.6.1,0.30933111906051636;3.6.5,0.29970765113830566;5.6.2,0.14949576556682587;3.6.4,0.13185426592826843;6.3.5,0.018394649028778076",7.2.2.14,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.14,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.14,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.14,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.14
10269,4.1.3,4.2.1;4.2.99,2.1.2;3.5.4;4.1.2;4.1.3,4.1.2.20;4.1.2.51|4.1.2.55;4.1.2.14|4.1.2.55;4.1.2.21|4.1.2.55;4.1.2.23|4.1.2.52;4.1.3.16|4.1.3.17|4.1.3.42,,,4.1.3,4.2.1;4.2.99,2.1.2;3.5.4;4.1.2;4.1.3,4.1.2.20;4.1.2.51|4.1.2.55;4.1.2.14|4.1.2.55;4.1.2.21|4.1.2.55;4.1.2.23|4.1.2.52;4.1.3.16|4.1.3.17|4.1.3.42,,,4.1.3,4.2.1;4.2.99,2.1.2;3.5.4;4.1.2;4.1.3,4.1.2.20;4.1.2.51|4.1.2.55;4.1.2.14|4.1.2.55;4.1.2.21|4.1.2.55;4.1.2.23|4.1.2.52;4.1.3.16|4.1.3.17|4.1.3.42,,,4.1.3,4.2.1;4.2.99,3.1.2;2.3.2;3.1.1;2.4.1,4.1.2.20;4.1.2.51|4.1.2.55;4.1.2.14|4.1.2.55;4.1.2.21|4.1.2.55;4.1.2.23|4.1.2.52;4.1.3.16|4.1.3.17|4.1.3.42,,,4.1.3,4.2.1;4.2.99,3.1.2;2.3.2;3.1.1;2.4.1,4.1.2.20;4.1.2.51|4.1.2.55;4.1.2.14|4.1.2.55;4.1.2.21|4.1.2.55;4.1.2.23|4.1.2.52;4.1.3.16|4.1.3.17|4.1.3.42,,,4.1.3,4.2.1;4.2.99,,,4.1.3,4.2.1;4.2.99,,,4.1.3,,,,4.1.2.20,4.1.2.20,4.1.2.20,"4.1.3,0.6129568219184875;1.1.1,0.1456461101770401;5.1.2,0.06418465822935104;4.2.1,0.02594832144677639;5.3.1,0.02316104620695114",4.1.2.20,4.1.3;1.1.1;5.1.2;4.2.1;5.3.1,4.1.2.20,4.1.3;1.1.1;5.1.2;4.2.1;5.3.1,4.1.2.20,4.1.3;1.1.1;5.1.2;4.2.1;5.3.1,4.1.2.20,4.1.3;1.1.1;5.1.2;4.2.1;5.3.1,4.1.2.20
10285,5.1.1,,2.6.99;2.8.3;5.4.3;3.4.17,5.1.1.10;3.4.11.10,,,5.1.1,,2.6.99;2.8.3;5.4.3;3.4.17,5.1.1.10;3.4.11.10,,,5.5.1,,2.6.99;2.8.3;5.4.3;3.4.17,5.1.1.10;3.4.11.10,,,5.5.1,,5.3.2;4.2.99;3.1.1;2.6.99,5.1.1.10;3.4.11.10,,,5.5.1,,5.3.2;4.2.99;3.1.1;2.6.99,5.1.1.10;3.4.11.10,,,5.4.99,,,,5.4.99,,,,5.4.99,,,,5.4.3.7,5.4.3.7,5.4.3.7,"2.6.1,0.6861392855644226;5.1.1,0.07956299930810928;4.1.1,0.030589820817112923;6.3.2,0.01800292171537876;2.3.1,0.015999285504221916",5.4.3.7,2.6.1;5.1.1;4.1.1;6.3.2;2.3.1,5.4.3.7,2.6.1;5.1.1;4.1.1;6.3.2;2.3.1,5.4.3.7,2.6.1;5.1.1;4.1.1;6.3.2;2.3.1,5.4.3.7,2.6.1;5.1.1;4.1.1;6.3.2;2.3.1,5.4.3.7
10349,7.4.2,6.3.2,4.1.99;1.3.98;1.1.99;3.5.1,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,,,7.4.2,6.3.2,4.1.99;1.3.98;1.1.99;3.5.1,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,,,3.5.4,6.3.2,4.1.99;1.3.98;1.1.99;3.5.1,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,,,3.5.4,6.3.2,2.10.1;2.9.1;3.13.2;3.1.8,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,,,3.5.4,6.3.2,2.10.1;2.9.1;3.13.2;3.1.8,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,,,6.3.2,6.3.2,,,6.3.2,6.3.2,,,6.3.2,,,,3.5.2.9,3.5.2.9,3.5.2.9,"6.3.2,0.9351692795753479;3.5.1,0.05097927153110504;6.3.5,0.004883004818111658;3.4.17,0.0037842276506125927;3.4.13,0.0011713870335370302",3.5.2.9,6.3.2;3.5.1;6.3.5;3.4.17;3.4.13,3.5.2.9,6.3.2;3.5.1;6.3.5;3.4.17;3.4.13,3.5.2.9,6.3.2;3.5.1;6.3.5;3.4.17;3.4.13,3.5.2.9,6.3.2;3.5.1;6.3.5;3.4.17;3.4.13,3.5.2.9
10377,1.16.99,7.4.2;3.6.4,3.1.3;3.5.1;3.1.7;3.1.1,6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8;6.3.4.6,,,1.16.99,7.4.2;3.6.4,3.1.3;3.5.1;3.1.7;3.1.1,6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8;6.3.4.6,,,3.5.4,7.4.2;3.6.4,3.1.3;3.5.1;3.1.7;3.1.1,6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8;6.3.4.6,,,3.5.4,7.4.2;3.6.4,3.1.2;4.3.2;2.3.2;2.1.2,6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8;6.3.4.6,,,3.5.4,7.4.2;3.6.4,3.1.2;4.3.2;2.3.2;2.1.2,6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8;6.3.4.6,,,1.7.2,7.4.2;3.6.4,,,1.7.2,7.4.2;3.6.4,,,1.7.2,,,,7.2.2.9,7.2.2.9,7.2.2.9,"3.6.1,0.30933111906051636;3.6.5,0.29970765113830566;5.6.2,0.14949576556682587;3.6.4,0.13185426592826843;6.3.5,0.018394649028778076",7.2.2.9,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.9,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.9,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.9,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.2.2.9
10469,4.1.3,4.1.99,1.11.1;1.14.18;1.14.19;1.14.99,4.1.2.22;4.3.3.6,,,4.1.3,4.1.99,1.11.1;1.14.18;1.14.19;1.14.99,4.1.2.22;4.3.3.6,,,4.2.1,4.1.99,1.11.1;1.14.18;1.14.19;1.14.99,4.1.2.22;4.3.3.6,,,4.2.1,4.1.99,2.3.2;3.1.2;2.8.3;4.3.2,4.1.2.22;4.3.3.6,,,4.2.1,4.1.99,2.3.2;3.1.2;2.8.3;4.3.2,4.1.2.22;4.3.3.6,,,2.3.1,4.1.99,,,2.3.1,4.1.99,,,2.3.1,,,,4.1.2.9,4.1.2.9,4.1.2.9,"2.3.1,0.5123367309570312;5.3.1,0.1612565815448761;3.1.3,0.07661662995815277;1.1.1,0.06152084469795227;3.1.1,0.04537631943821907",4.1.2.9,2.3.1;5.3.1;3.1.3;1.1.1;3.1.1,4.1.2.9,2.3.1;5.3.1;3.1.3;1.1.1;3.1.1,4.1.2.9,2.3.1;5.3.1;3.1.3;1.1.1;3.1.1,4.1.2.9,2.3.1;5.3.1;3.1.3;1.1.1;3.1.1,4.1.2.9
