reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
10041,3.1.3.7,3.1.3,1.18.6.1;6.3.5.9,3.1.4;3.1.3,3.1.3;3.1.7;3.1.4;3.6.1;3.6.5,3.1.3,3.1.3
10105,1.14.11.15,1.14.11,1.14.11.15;1.14.11|1.14.11.-|1.14.11.13;1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.33;1.14.11.53,1.14.11,1.14.11;1.14.20;1.13.12;4.1.1;1.13.11,1.14.11,1.14.11
10189,2.3.3.10,2.3.1,2.3.1.86;1.2.1.18;2.3.1.206;2.3.1.169;2.3.1.16,3.1.2;2.3.1,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1,2.3.1,2.3.1
10193,7.3.2.3,7.4.2,6.3.4.16|6.3.5.5,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,3.6.4,7.4.2
10261,7.2.2.14,1.16.99,6.3.2.2,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,3.6.4,3.6.4
10269,4.1.2.20,4.1.3,4.1.2.20;4.1.2.51|4.1.2.55;4.1.2.14|4.1.2.55;4.1.2.21|4.1.2.55;4.1.2.23|4.1.2.52;4.1.3.16|4.1.3.17|4.1.3.42,4.2.1;4.2.99,4.1.3;1.1.1;5.1.2;4.2.1;5.3.1,4.1.2,4.1.2
10285,5.4.3.7,5.1.1,5.1.1.10;3.4.11.10,,2.6.1;5.1.1;4.1.1;6.3.2;2.3.1,5.1.1,5.1.1
10349,3.5.2.9,7.4.2,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,6.3.2,6.3.2;3.5.1;6.3.5;3.4.17;3.4.13,6.3.2,6.3.2
10377,7.2.2.9,1.16.99,6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8;6.3.4.6,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,6.3.2,6.3.2
10469,4.1.2.9,4.1.3,4.1.2.22;4.3.3.6,4.1.99,2.3.1;5.3.1;3.1.3;1.1.1;3.1.1,1.11.1|2.3.1|4.1.2|4.1.3|4.1.99,2.3.1|4.1.2|4.1.3|4.1.99
10509,2.2.1.1,4.1.3,2.2.1.1;2.2.1.2,,5.4.99;2.3.1;2.7.8;2.7.4;5.3.1,2.2.1,2.2.1
10553,1.1.3.10,1.1.3,1.1.3.10;1.1.3.4|1.1.3.5;1.1.3.10|1.1.3.9;1.1.3.41;1.1.99.18;1.17.3.2;1.4.3.13;1.1.3.30;1.1.3.18;1.1.3.15;1.6.3.1;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,5.3.1,1.1.3;1.5.3;1.4.3;1.13.11;1.2.3,1.1.3,1.1.3
10605,3.1.4.3,3.1.1,3.1.4.3;2.7.7.15|2.7.7.57;2.7.8.27;3.1.4.12;3.1.4.38;3.1.4.4,5.4.1;3.1.1,3.1.4;2.7.8;3.6.1;2.7.1;3.1.7,3.1.4,3.1.4
10613,2.4.2.38,2.4.2,2.4.1.-|2.4.1.293;2.4.1.-|2.4.1.292;2.4.1.309;2.4.1.58;2.4.1.44|2.4.1.73;2.4.1.56;2.4.1.264;2.4.1.17;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.271;2.4.1.288;2.4.1.227,2.4.1,2.4.1;2.4.2;2.7.8;3.2.1;2.7.7,2.4.1,2.4.1
10733,1.13.12.7,4.1.1,1.13.12.7;6.3.1.14;1.13.12.24;2.7.9.2;6.3.4.22;6.2.1.50;6.3.1.13;6.1.1.20,6.3.2,2.7.7;2.7.4;6.3.1;3.6.1;6.1.1,6.3.1,1.13.12
10765,1.14.20.4,1.14.20,1.14.11.-|1.14.11.19|1.14.20.4;1.13|1.13.12.19;1.14.11.67;1.14.11.17;1.14.11.23|1.14.20.6;1.14.11.54;1.14.11.53;1.14.11.51;1.14.11.33;1.14.11.22;1.14.11.27|1.14.11.65|1.14.11.67,1.14.11,1.14.20;1.14.11;1.13.12;4.2.1;1.14.18,1.14.20,1.14.11
10769,1.14.20.4,1.14.11,1.14.11.-|1.14.11.19|1.14.20.4;1.13|1.13.12.19;1.14.11.67;1.14.11.22;1.14.11.17;1.14.11.54;1.14.11.23;1.14.11.53;1.14.11.33;1.14.11.51;1.14.11.27|1.14.11.65|1.14.11.67,1.14.11,1.14.20;1.14.11;1.13.12;4.2.1;1.14.18,1.14.11,1.14.11
10805,5.1.99.3,5.1.1,5.1.99.3;3.5.2.5;1.7.3.3;5.1.99.5;3.5.3.9;3.5.2.1;1.3.98.1;3.5.2.16;2.6.1.112;1.1.1.154|1.1.1.350;3.5.1.131;3.5.1.84;1.3.3.1|3.5.2.3,5.1.3;5.1.1,2.6.1;5.1.1;5.3.3;2.7.4;2.5.1,5.1.1,5.1.1
10841,4.2.3.1,3.1.3,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,5.3.1,3.1.3;4.2.1;3.1.7;2.5.1;4.2.3,3.1.3,3.1.3
10937,1.8.5.2,2.8.2,1.8.5.2;1.8.2.2;1.3.5.2|1.3.98.1,,2.1.1;5.3.3;1.3.1;2.5.1;4.2.99,1.8.5,1.8.5|2.1.1|2.8.2
10945,3.1.3.96,3.1.3,2.7.1.83;1.14.11.49;6.3.5.9;4.1.99.23;4.2.3.152;4.1.99.24;3.1.3.2;3.1.4.57;3.1.3.5,3.1.3,3.1.3;3.1.5;5.4.2;3.6.5;5.6.2,3.1.3,3.1.3
10953,2.3.1.106,2.3.1,2.3.1.248;2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.188;6.2.1|6.2.1.12;2.3.1.249;2.3.1.110;2.3.1.215;2.3.1.153;2.3.1.300;2.3.1.180,2.3.1,2.3.1;3.1.2;1.2.1;6.2.1;2.3.3,2.3.1,2.3.1
11017,3.5.3.4,3.5.1,3.5.3.4|4.3.2.3;3.5.3.9;6.3.4.6;3.5.3.1,,4.2.1;4.3.2;3.5.1;3.1.7;3.2.1,3.5.3,3.5.3
11025,2.7.3.8,2.7.11,6.3.5.-|6.3.5.13;6.3.5.5,2.7.11,2.7.1;6.3.4;2.7.4;6.3.2;2.7.7,2.7.11,2.7.11
11101,4.1.2.35,4.1.3,1.2.1.3|1.2.1.5;1.2.1|1.2.1.19|1.2.1.22|1.2.1.24|1.2.1.26|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.4|1.2.1.48|1.2.1.5|1.2.1.88;1.2.7.5;1.2.98.1,,4.1.3;4.2.1;1.1.99;4.1.2;5.3.1,4.1.3,4.1.3
11133,1.3.1.33,1.3.1,1.14.13.122;1.11.1.1|1.11.1.2;1.3.1.33;1.3.1.75;1.6.2.4;1.14.13.81,1.3.1,1.3.1;1.1.1;1.5.1;1.2.1;1.8.1,1.3.1,1.3.1
11241,2.7.4.15,2.7.4,2.7.4.3,2.7.4;2.7.7,2.7.4;2.7.8;2.3.1;2.8.3;5.2.1,2.7.4,2.7.4
11349,7.3.2.7,7.4.2,6.3.4.6;6.3.4.16|6.3.5.5,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,3.6.4,7.4.2
11373,6.3.1.1,6.3.2,6.3.5.4;6.3.1.14;6.3.1.5|6.3.5.1,6.3.5,6.3.4;6.3.2;2.7.7;6.3.1;2.7.4,6.3.5,6.3.5
11381,1.14.11.72,1.14.11,1.14.11.72;1.14.11.67;1.14.11.1;1.14.11.66;1.14.11.68;1.14.11.69;1.14.11.54;1.14.11.27;1.14.11.65;1.14.11.53;1.14.11.33;1.14.11.51;1.13|1.13.12.19;1.14.11.-|1.14.11.55;1.14.11|1.14.11.2|1.14.11.57,1.14.11,1.13.11;1.14.11;1.13.12;1.14.20;2.6.1,1.14.11,1.14.11
11413,2.7.6.3,2.7.4,2.5.1.15|2.7.6.3;6.3.4.22;2.7.6.2;2.7.1.11|2.7.1.20|2.7.1.74,6.3.2,2.7.1;2.7.4;2.7.11;2.7.2;2.7.6,2.7.4,2.7.4
11465,1.8.4.1,1.8.1,,,2.3.1;1.8.4;1.8.1;2.7.4;2.1.1,1.8.1,1.8.1
11489,2.3.1.76,2.3.1,2.3.1.76;2.3.1.180,2.3.1,2.3.1;2.7.8;2.3.3;3.1.2;2.4.1,2.3.1,2.3.1
