reaction_id,SIMMER_SIMMER pred,SelenzymeRF_All ECs,BEC-Pred_Prediction,CLAIRE_predictions,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,theia_Prediction,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_BEC-Pred_Prediction,merged_output_CLAIRE_predictions,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_theia_Prediction,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_ec,merged_output_merged_output_ec,merged_output_ec,ec
80552,2.1.1,2.1.1.146;2.1.1.146|2.1.1.279;2.1.1.323;2.1.1.6;2.1.1.116;2.1.1.68;2.1.1.-|2.1.1.291;2.1.1.169|2.1.1.68;2.1.1.336;2.1.1.89;2.1.1.132;2.1.1.338;2.1.1.104;2.1.1.222,2.1.1,2.1.1;1.3.7;2.5.1;1.3.8,,,2.1.1;2.8.4;3.13.2;2.5.1;1.17.98,2.1.1,2.1.1.146;2.1.1.146|2.1.1.279;2.1.1.323;2.1.1.6;2.1.1.116;2.1.1.68;2.1.1.-|2.1.1.291;2.1.1.169|2.1.1.68;2.1.1.336;2.1.1.89;2.1.1.132;2.1.1.338;2.1.1.104;2.1.1.222,2.1.1,2.1.1;1.3.7;2.5.1;1.3.8,,,2.1.1;2.8.4;3.13.2;2.5.1;1.17.98,2.1.1,2.1.1.146;2.1.1.146|2.1.1.279;2.1.1.323;2.1.1.6;2.1.1.116;2.1.1.68;2.1.1.-|2.1.1.291;2.1.1.169|2.1.1.68;2.1.1.336;2.1.1.89;2.1.1.132;2.1.1.338;2.1.1.104;2.1.1.222,2.1.1,2.1.1;1.3.7;2.5.1;1.3.8,,,2.1.1;2.8.4;3.13.2;2.5.1;1.17.98,2.1.1,2.1.1.146;2.1.1.146|2.1.1.279;2.1.1.323;2.1.1.6;2.1.1.116;2.1.1.68;2.1.1.-|2.1.1.291;2.1.1.169|2.1.1.68;2.1.1.336;2.1.1.89;2.1.1.132;2.1.1.338;2.1.1.104;2.1.1.222,2.1.1,2.1.1;2.5.1;3.13.2;1.3.8,,,2.1.1;2.8.4;3.13.2;2.5.1;1.17.98,2.1.1,2.1.1.146;2.1.1.146|2.1.1.279;2.1.1.323;2.1.1.6;2.1.1.116;2.1.1.68;2.1.1.-|2.1.1.291;2.1.1.169|2.1.1.68;2.1.1.336;2.1.1.89;2.1.1.132;2.1.1.338;2.1.1.104;2.1.1.222,2.1.1,2.1.1;2.5.1;3.13.2;1.3.8,,,"2.1.1,0.9979033470153809;2.8.4,0.0005276157171465456;3.13.2,0.00035229252534918487;2.5.1,0.0003412382793612778;1.17.98,0.00019519409397616982",2.1.1,2.1.1,,,,2.1.1,,,2.1.1.146,2.1.1.146,2.1.1.146,2.1.1.146,2.1.1.146,2.1.1.146,2.1.1.146
42669,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.5.1;1.1.1;1.3.1;1.2.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.5.1;1.1.1;1.3.1;1.2.1,,,"1.1.1,0.9987351298332214;3.2.2,0.0003069697122555226;1.17.1,0.00023066627909429371;1.12.1,0.0001316453272011131;5.3.1,7.270144851645455e-05",1.1.1,1.1.1,,,,1.1.1,,,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377
42669,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.5.1;1.1.1;1.3.1;1.2.1,,,1.1.1;3.2.2;1.17.1;1.12.1;5.3.1,1.1.1,1.1.1.173|1.1.1.378;1.1.1.377|1.1.1.378;1.1.1.119|1.1.1.179;1.1.1.119;1.1.1.120;1.1.1.376;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.121;1.1.1.359;1.1.1.117;1.1.1.179|1.3.1.20;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.363|1.1.1.49;1.1.1.346;1.1.1.122|1.1.1.316;1.1.1.21,1.1.1,1.5.1;1.1.1;1.3.1;1.2.1,,,"1.1.1,0.9987351298332214;3.2.2,0.0003069697122555226;1.17.1,0.00023066627909429371;1.12.1,0.0001316453272011131;5.3.1,7.270144851645455e-05",1.1.1,1.1.1,,,,1.1.1,,,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.377,1.1.1.378
36256,5.5.1,1.14.16.5;1.5.1.34;1.14.16.2;1.14.16.1;1.14.16.1|1.14.16.4;1.5.1.33;1.14.16.7;1.14.12.17;1.14.13.167;1.1.99.8;1.13.11.49;1.14.17.3;1.1.3.30;1.7.3.6;1.14.12.22;1.1.3.13;1.1.3.7,1.14.16,1.4.3;1.3.3;1.13.12;3.5.99,,,1.14.16;3.5.4;1.5.1;1.5.99;4.2.1,5.5.1,1.14.16.5;1.5.1.34;1.14.16.2;1.14.16.1;1.14.16.1|1.14.16.4;1.5.1.33;1.14.16.7;1.14.12.17;1.14.13.167;1.1.99.8;1.13.11.49;1.14.17.3;1.1.3.30;1.7.3.6;1.14.12.22;1.1.3.13;1.1.3.7,1.14.16,1.4.3;1.3.3;1.13.12;3.5.99,,,1.14.16;3.5.4;1.5.1;1.5.99;4.2.1,5.5.1,1.14.16.5;1.5.1.34;1.14.16.2;1.14.16.1;1.14.16.1|1.14.16.4;1.5.1.33;1.14.16.7;1.14.12.17;1.14.13.167;1.1.99.8;1.13.11.49;1.14.17.3;1.1.3.30;1.7.3.6;1.14.12.22;1.1.3.13;1.1.3.7,1.4.3,1.4.3;1.3.3;1.13.12;3.5.99,,,1.14.16;3.5.4;1.5.1;1.5.99;4.2.1,5.5.1,1.14.16.5;1.5.1.34;1.14.16.2;1.14.16.1;1.14.16.1|1.14.16.4;1.5.1.33;1.14.16.7;1.14.12.17;1.14.13.167;1.1.99.8;1.13.11.49;1.14.17.3;1.1.3.30;1.7.3.6;1.14.12.22;1.1.3.13;1.1.3.7,1.4.3,1.13.12;1.14.19;1.3.3;1.14.13,,,1.14.16;3.5.4;1.5.1;1.5.99;4.2.1,5.5.1,1.14.16.5;1.5.1.34;1.14.16.2;1.14.16.1;1.14.16.1|1.14.16.4;1.5.1.33;1.14.16.7;1.14.12.17;1.14.13.167;1.1.99.8;1.13.11.49;1.14.17.3;1.1.3.30;1.7.3.6;1.14.12.22;1.1.3.13;1.1.3.7,1.4.3,1.13.12;1.14.19;1.3.3;1.14.13,,,"1.14.16,0.5086706876754761;3.5.4,0.204507976770401;1.5.1,0.19732682406902313;1.5.99,0.028157122433185577;4.2.1,0.016311686486005783",5.5.1,1.14.19,,,,1.14.19,,,1.14.16.5,1.14.16.5,1.14.16.5,1.14.16.5,1.14.16.5,1.14.16.5,1.14.16.5
56865,2.3.1,2.3.1.86;2.3.1.161;2.3.1.295;2.3.1.236;2.3.1.237;2.3.1.119;2.3.1.165;2.3.1.240;2.3.1.289;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.4.1;2.4.99;2.1.1;2.3.1,,,1.2.1;2.3.1;3.1.2;1.3.1;2.3.3,2.3.1,2.3.1.86;2.3.1.161;2.3.1.295;2.3.1.236;2.3.1.237;2.3.1.119;2.3.1.165;2.3.1.240;2.3.1.289;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.4.1;2.4.99;2.1.1;2.3.1,,,1.2.1;2.3.1;3.1.2;1.3.1;2.3.3,2.3.1,2.3.1.86;2.3.1.161;2.3.1.295;2.3.1.236;2.3.1.237;2.3.1.119;2.3.1.165;2.3.1.240;2.3.1.289;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.4.1;2.4.99;2.1.1;2.3.1,,,1.2.1;2.3.1;3.1.2;1.3.1;2.3.3,2.3.1,2.3.1.86;2.3.1.161;2.3.1.295;2.3.1.236;2.3.1.237;2.3.1.119;2.3.1.165;2.3.1.240;2.3.1.289;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.5.1;2.4.1;2.8.3;2.4.99,,,1.2.1;2.3.1;3.1.2;1.3.1;2.3.3,2.3.1,2.3.1.86;2.3.1.161;2.3.1.295;2.3.1.236;2.3.1.237;2.3.1.119;2.3.1.165;2.3.1.240;2.3.1.289;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.5.1;2.4.1;2.8.3;2.4.99,,,"1.2.1,0.9939258694648743;2.3.1,0.0038825415540486574;3.1.2,0.001353594590909779;1.3.1,0.0004189313331153244;2.3.3,7.862464553909376e-05",2.3.1,2.3.1,,,,2.3.1,,,2.3.1.281,2.3.1.281,2.3.1.281,2.3.1.281,2.3.1.281,2.3.1.281,2.3.1.281
10449,1.14.20,1.14.20.5;1.14.11.9;1.14.11.67;1.13|1.13.12.19;1.14.20.6;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67,1.14.11,1.21.3;1.14.13;1.13.12;1.14.19,,,1.14.20;1.14.19;1.14.11;1.21.3;1.13.12,1.14.20,1.14.20.5;1.14.11.9;1.14.11.67;1.13|1.13.12.19;1.14.20.6;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67,1.14.11,1.21.3;1.14.13;1.13.12;1.14.19,,,1.14.20;1.14.19;1.14.11;1.21.3;1.13.12,1.14.20,1.14.20.5;1.14.11.9;1.14.11.67;1.13|1.13.12.19;1.14.20.6;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67,1.14.11,1.21.3;1.14.13;1.13.12;1.14.19,,,1.14.20;1.14.19;1.14.11;1.21.3;1.13.12,1.14.20,1.14.20.5;1.14.11.9;1.14.11.67;1.13|1.13.12.19;1.14.20.6;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67,1.14.11,1.14.19;1.3.3;1.14.13;4.1.1,,,1.14.20;1.14.19;1.14.11;1.21.3;1.13.12,1.14.20,1.14.20.5;1.14.11.9;1.14.11.67;1.13|1.13.12.19;1.14.20.6;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67,1.14.11,1.14.19;1.3.3;1.14.13;4.1.1,,,"1.14.20,0.5489799976348877;1.14.19,0.4185083508491516;1.14.11,0.014566546306014061;1.21.3,0.005553883966058493;1.13.12,0.0023234114050865173",1.14.20,1.14.11,,,,1.14.11,,,1.14.20.5,1.14.20.5,1.14.20.5,1.14.20.5,1.14.20.5,1.14.20.5,1.14.20.5
57805,1.14.12,1.14.12.23;1.14.12.-|1.14.12.24;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.25;1.14.13.87;1.14.13.113;1.14.13.26;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.225;1.14.13.166;1.14.13.240;1.14.13.2|1.14.13.33,1.14.12,1.14.12;1.14.19;1.14.14;1.14.13,,,1.14.12;1.14.13;1.7.1;1.14.99;1.6.5,1.14.12,1.14.12.23;1.14.12.-|1.14.12.24;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.25;1.14.13.87;1.14.13.113;1.14.13.26;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.225;1.14.13.166;1.14.13.240;1.14.13.2|1.14.13.33,1.14.12,1.14.12;1.14.19;1.14.14;1.14.13,,,1.14.12;1.14.13;1.7.1;1.14.99;1.6.5,1.14.12,1.14.12.23;1.14.12.-|1.14.12.24;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.25;1.14.13.87;1.14.13.113;1.14.13.26;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.225;1.14.13.166;1.14.13.240;1.14.13.2|1.14.13.33,1.14.12,1.14.12;1.14.19;1.14.14;1.14.13,,,1.14.12;1.14.13;1.7.1;1.14.99;1.6.5,1.14.12,1.14.12.23;1.14.12.-|1.14.12.24;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.25;1.14.13.87;1.14.13.113;1.14.13.26;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.225;1.14.13.166;1.14.13.240;1.14.13.2|1.14.13.33,1.14.12,1.14.19;1.14.15;1.14.18;1.14.12,,,1.14.12;1.14.13;1.7.1;1.14.99;1.6.5,1.14.12,1.14.12.23;1.14.12.-|1.14.12.24;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.25;1.14.13.87;1.14.13.113;1.14.13.26;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.225;1.14.13.166;1.14.13.240;1.14.13.2|1.14.13.33,1.14.12,1.14.19;1.14.15;1.14.18;1.14.12,,,"1.14.12,0.8575735688209534;1.14.13,0.12741346657276154;1.7.1,0.010655365884304047;1.14.99,0.0014963066205382347;1.6.5,0.0005289923865348101",1.14.12,1.14.12,,,,1.14.12,,,1.14.12.23,1.14.12.23,1.14.12.23,1.14.12.23,1.14.12.23,1.14.12.23,1.14.12.23
50565,2.3.1,2.3.1.258;2.3.1.1,2.3.1,2.3.1;2.4.1;2.8.3;2.3.2,,,2.3.1;2.3.2;2.3.3;6.3.2;3.4.17,2.3.1,2.3.1.258;2.3.1.1,2.3.1,2.3.1;2.4.1;2.8.3;2.3.2,,,2.3.1;2.3.2;2.3.3;6.3.2;3.4.17,2.3.1,2.3.1.258;2.3.1.1,2.3.1,2.3.1;2.4.1;2.8.3;2.3.2,,,2.3.1;2.3.2;2.3.3;6.3.2;3.4.17,2.3.1,2.3.1.258;2.3.1.1,2.3.1,2.3.2;3.1.2;2.3.3;2.8.3,,,2.3.1;2.3.2;2.3.3;6.3.2;3.4.17,2.3.1,2.3.1.258;2.3.1.1,2.3.1,2.3.2;3.1.2;2.3.3;2.8.3,,,"2.3.1,0.9998891353607178;2.3.2,8.023055124795064e-05;2.3.3,1.093804257834563e-05;6.3.2,3.047778136533452e-06;3.4.17,2.3843522285460494e-06",2.3.1,2.3.1,,,,2.3.1,,,2.3.1.258,2.3.1.258,2.3.1.258,2.3.1.258,2.3.1.258,2.3.1.258,2.3.1.258
33752,3.1.3,3.1.3.27;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.5|3.1.3.27,3.1.3,3.1.3;3.1.7;2.6.99;3.1.4,,,3.1.3;3.1.4;3.6.1;3.6.5;3.6.4,3.1.3,3.1.3.27;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.5|3.1.3.27,3.1.3,3.1.3;3.1.7;2.6.99;3.1.4,,,3.1.3;3.1.4;3.6.1;3.6.5;3.6.4,3.1.3,3.1.3.27;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.5|3.1.3.27,3.1.3,3.1.3;3.1.7;2.6.99;3.1.4,,,3.1.3;3.1.4;3.6.1;3.6.5;3.6.4,3.1.3,3.1.3.27;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.5|3.1.3.27,3.1.3,3.1.7;3.1.3;4.6.1;3.2.1,,,3.1.3;3.1.4;3.6.1;3.6.5;3.6.4,3.1.3,3.1.3.27;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.5|3.1.3.27,3.1.3,3.1.7;3.1.3;4.6.1;3.2.1,,,"3.1.3,0.9772084951400757;3.1.4,0.00551679078489542;3.6.1,0.003149213269352913;3.6.5,0.0014749581459909678;3.6.4,0.0014454536139965057",3.1.3,3.1.3,,,,3.1.3,,,3.1.3.27,3.1.3.27,3.1.3.27,3.1.3.27,3.1.3.27,3.1.3.27,3.1.3.27
30632,2.4.1,2.4.1.264;2.4.1.305;2.4.1.343;2.4.1.303;2.4.1.304;2.4.1.122|2.4.1.307;2.4.1.356;2.4.1.309;2.4.1.180;2.4.1.306;2.4.1.187;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.-|2.4.1.292;2.4.1.-|2.4.1.293;2.4.1.227,2.4.1,3.2.1;2.7.7;3.1.1;2.7.8,,,2.4.1;2.4.2;2.7.7;2.7.8;3.6.1,2.4.1,2.4.1.264;2.4.1.305;2.4.1.343;2.4.1.303;2.4.1.304;2.4.1.122|2.4.1.307;2.4.1.356;2.4.1.309;2.4.1.180;2.4.1.306;2.4.1.187;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.-|2.4.1.292;2.4.1.-|2.4.1.293;2.4.1.227,2.4.1,3.2.1;2.7.7;3.1.1;2.7.8,,,2.4.1;2.4.2;2.7.7;2.7.8;3.6.1,2.4.1,2.4.1.264;2.4.1.305;2.4.1.343;2.4.1.303;2.4.1.304;2.4.1.122|2.4.1.307;2.4.1.356;2.4.1.309;2.4.1.180;2.4.1.306;2.4.1.187;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.-|2.4.1.292;2.4.1.-|2.4.1.293;2.4.1.227,2.4.1,3.2.1;2.7.7;3.1.1;2.7.8,,,2.4.1;2.4.2;2.7.7;2.7.8;3.6.1,2.4.1,2.4.1.264;2.4.1.305;2.4.1.343;2.4.1.303;2.4.1.304;2.4.1.122|2.4.1.307;2.4.1.356;2.4.1.309;2.4.1.180;2.4.1.306;2.4.1.187;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.-|2.4.1.292;2.4.1.-|2.4.1.293;2.4.1.227,2.4.1,4.2.3;4.2.2;3.2.1;2.4.99,,,2.4.1;2.4.2;2.7.7;2.7.8;3.6.1,2.4.1,2.4.1.264;2.4.1.305;2.4.1.343;2.4.1.303;2.4.1.304;2.4.1.122|2.4.1.307;2.4.1.356;2.4.1.309;2.4.1.180;2.4.1.306;2.4.1.187;2.4.1.287;2.4.1.-|2.4.1.291;2.4.1.-|2.4.1.292;2.4.1.-|2.4.1.293;2.4.1.227,2.4.1,4.2.3;4.2.2;3.2.1;2.4.99,,,"2.4.1,0.6778826713562012;2.4.2,0.07436373829841614;2.7.7,0.04645905643701553;2.7.8,0.04551064595580101;3.6.1,0.04485941678285599",2.4.1,2.4.1,,,,2.4.1,,,2.4.1.264,2.4.1.264,2.4.1.264,2.4.1.264,2.4.1.264,2.4.1.264,2.4.1.264
