split,method,mcc_mean,mcc_std,ppv_mean,ppv_std,recall_mean,recall_std
Scaffold,BEC-Pred,0.6518402998123725,0.055550224740735246,0.6569653413690099,0.05014720037685303,0.6853499717684845,0.054818133362743854
Scaffold,CLAIRE,0.3225577032822047,0.06764789606679288,0.40030604696572825,0.06472539032396282,0.3138085726614929,0.06922654803785991
Scaffold,SIMMER,0.4619108044239333,0.03186445719657128,0.5209300484385866,0.04567957251865704,0.46258655779138297,0.026228456725680586
Scaffold,SelenzymeRF,0.5359864719340185,0.01939274069208287,0.5766125541115589,0.016354493769753786,0.5508976043484231,0.019802279665824297
Scaffold,Theia,0.6737893961821134,0.027598039088463866,0.7085318248219909,0.004517080402072716,0.6925674310193089,0.036703430537072236
Stratified,BEC-Pred,0.856027910609428,0.0014082061223805791,0.8446013955894139,0.0044218618614357014,0.8766384124949861,0.004688624844369179
Stratified,CLAIRE,0.43323966233032934,0.018307220144327913,0.5117765530778352,0.017376016728378497,0.42332972472414704,0.02324510707454625
Stratified,SIMMER,0.7248596445839309,0.012211458672463047,0.7520513720664379,0.007845266793212045,0.7172085329455848,0.0182818827355335
Stratified,SelenzymeRF,0.7146578591150847,0.02425974746867029,0.7154283321702682,0.029350284012934626,0.7487553836159413,0.02149978476899665
Stratified,Theia,0.84585574936875,0.004219827610860156,0.8471769579353476,0.008640658315302946,0.8571613866434583,0.0018134788345393073
