split,method,mcc_mean,mcc_std,ppv_mean,ppv_std,recall_mean,recall_std
Scaffold,BEC-Pred,0.6518402998123725,0.0555502247407352,0.6569653413690099,0.050147200376853,0.6853499717684844,0.0548181333627438
Scaffold,SIMMER,0.4619108044239333,0.0318644571965712,0.5209300484385866,0.045679572518657,0.4625865577913829,0.0262284567256805
Scaffold,SelenzymeRF,0.5359864719340185,0.0193927406920828,0.5766125541115589,0.0163544937697537,0.550897604348423,0.0198022796658242
Scaffold,Theia,0.6737893961821134,0.0275980390884638,0.708531824821991,0.0045170804020727,0.692567431019309,0.0367034305370722
Stratified,BEC-Pred,0.856027910609428,0.0014082061223805,0.8446013955894139,0.0044218618614357,0.8766384124949861,0.0046886248443691
Stratified,SIMMER,0.7248596445839309,0.012211458672463,0.7520513720664379,0.007845266793212,0.7172085329455848,0.0182818827355335
Stratified,SelenzymeRF,0.7146578591150847,0.0242597474686702,0.7154283321702682,0.0293502840129346,0.7487553836159413,0.0214997847689966
Stratified,Theia,0.84585574936875,0.0042198276108601,0.8471769579353476,0.0086406583153029,0.8571613866434583,0.0018134788345393
Time,BEC-Pred,0.6833436082639566,,0.7211928576904798,,0.6718213058419243,
Time,MajorityVoteCore4,0.7209261419469265,,0.7136568265885054,,0.7542955326460481,
Time,SIMMER,0.6018488622425754,,0.6592957315034237,,0.5816151202749141,
Time,SelenzymeRF,0.5393836846406199,,0.5821824069090651,,0.5446735395189003,
Time,Theia,0.7536997540341673,,0.760865467328122,,0.770618556701031,
Scaffold,MajorityVoteCore4,0.6603425317375672,0.01939155915061167,0.6941202420191952,0.01379243477904574,0.6802195128508842,0.0275164566497224
Stratified,MajorityVoteCore4,0.8834125890988145,0.0031476873626479812,0.8743309516158245,0.005043758128477702,0.9026858046778367,0.006725270958763247
