reaction_id,CLAIRE
MNXR114344,2.1.1
MNXR123788,1.5.99
MNXR120600,2.3.1
MNXR133482,1.1.1
MNXR176705,3.1.4
MNXR130205,2.4.2
MNXR114457,1.14.13
MNXR180464,4.4.1
MNXR175412,2.7.7
MNXR174799,7.5.2
MNXR152582,2.5.1
MNXR193539,2.7.1
MNXR183763,1.1.1
MNXR181392,1.1.1
MNXR104540,1.1.1
MNXR106475,1.11.2
MNXR122056,1.6.5
MNXR129474,1.1.1
MNXR108662,1.8.1
MNXR172328,2.4.1
MNXR113653,3.1.1
MNXR109758,1.1.1
MNXR192204,1.8.1
MNXR150587,4.2.3
MNXR108667,1.8.1
MNXR150583,3.1.3
MNXR113823,3.5.1
MNXR147353,3.2.1
MNXR148124,1.13.11
MNXR191374,1.7.1
MNXR100064,2.5.1
MNXR105284,1.1.1
MNXR194999,2.7.8
MNXR133894,2.7.8
MNXR195000,2.7.8
MNXR130623,4.3.1
MNXR163576,2.7.8
MNXR110293,2.4.1
MNXR148302,1.14.13
MNXR119365,1.14.14
MNXR181993,1.1.1
MNXR134027,4.1.1
MNXR175986,1.11.2
MNXR173736,1.11.2
MNXR135176,1.3.99
MNXR119976,1.6.3
MNXR107574,2.3.1
MNXR135784,1.16.1
MNXR118050,1.16.1
MNXR153411,1.16.1
MNXR166958,1.16.1
MNXR134913,1.16.1
MNXR146856,1.16.1
MNXR134898,1.16.1
MNXR150331,1.16.1
MNXR149069,1.14.99
MNXR134956,1.16.1
MNXR130361,1.16.1
MNXR145866,1.14.99
MNXR130681,1.8.3
MNXR133274,6.3.5
MNXR115345,3.2.1
MNXR149335,3.2.1
MNXR174227,3.2.1
MNXR187688,5.5.1
MNXR122852,1.1.1
MNXR122006,4.1.1
MNXR172798,1.14.99
MNXR122447,1.10.3
MNXR119241,1.6.3
MNXR164860,4.2.1
MNXR120190,1.3.8
MNXR168019,1.14.11
MNXR170252,1.14.11
MNXR165987,1.14.11
MNXR122373,4.2.3
MNXR120100,1.13.12
MNXR181504,1.8.1
MNXR115463,1.10.3
MNXR190714,2.1.1
MNXR182435,1.1.1
MNXR102068,1.7.1
MNXR113078,3.1.3
MNXR191811,1.7.3
MNXR114641,1.1.99
MNXR117655,1.6.3
MNXR113071,3.5.2
MNXR132055,2.7.1
MNXR108523,1.8.1
MNXR115161,3.2.2
MNXR173451,3.2.1
MNXR113284,4.2.3
MNXR135096,1.2.3
MNXR191520,1.7.7
MNXR182090,3.6.1
MNXR112213,3.1.4
MNXR192372,2.4.2
MNXR147786,3.1.4
MNXR135989,2.7.8
MNXR146160,2.7.8
MNXR181088,1.14.13
MNXR186732,2.1.3
MNXR151288,2.4.1
MNXR131119,2.3.1
MNXR192525,1.13.11
MNXR118714,1.14.18
MNXR139137,5.4.3
MNXR177094,1.1.3
MNXR191668,1.13.11
MNXR144133,2.4.1
MNXR95718,1.1.1
MNXR116221,5.1.3
MNXR186161,4.2.1
MNXR179279,1.5.1
MNXR175371,6.2.1
MNXR185799,3.2.1
MNXR189424,1.14.99
MNXR186840,2.3.1
MNXR165097,5.1.3
MNXR185877,1.13.12
MNXR181116,1.1.1
MNXR118742,3.1.3
MNXR120390,1.14.13
MNXR164240,4.1.99
MNXR102035,3.6.1
MNXR175455,1.7.2
MNXR133195,1.6.3
MNXR115846,3.4.11
MNXR181089,1.14.13
MNXR131399,1.11.2
MNXR172571,1.1.1
MNXR164895,2.3.1
MNXR137689,1.7.5
MNXR116902,5.3.3
MNXR126353,4.1.2
MNXR147958,1.8.1
MNXR134135,1.5.1
MNXR146841,1.14.99
MNXR130225,1.1.1
MNXR149778,1.8.2
MNXR175390,1.13.11
MNXR168245,2.1.1
MNXR183483,2.1.1
MNXR145700,2.1.1
MNXR168505,2.1.1
MNXR168280,2.1.1
MNXR168209,2.1.1
MNXR131242,2.1.1
MNXR147938,2.1.1
MNXR168392,2.1.1
MNXR168238,2.1.1
MNXR131132,2.1.1
MNXR170257,2.1.1
MNXR168248,2.1.1
MNXR147955,2.1.1
MNXR169617,2.1.1
MNXR168250,2.1.1
MNXR131461,2.1.1
MNXR168246,2.1.1
MNXR176103,2.1.1
MNXR190330,4.99.1
MNXR182369,1.14.13
MNXR193351,1.14.14
MNXR144324,2.7.1
MNXR104272,1.5.3
MNXR183540,1.14.14
MNXR164453,1.14.14
MNXR183837,2.7.8
MNXR192902,3.1.2
MNXR131127,3.6.1
MNXR117911,1.5.1
MNXR170765,1.1.3
MNXR147900,2.4.1
MNXR134290,2.4.2
MNXR193367,2.7.1
MNXR128747,3.2.1
MNXR113475,2.3.1
MNXR165227,1.6.3
MNXR129446,4.99.1
