Reaction name,SIMMER
MNXR134943,1.8.1|1.1.1
MNXR131492,3.4.13|3.4.11
MNXR94903,1.14.12
MNXR150636,1.14.13
MNXR167135,2.1.1
MNXR145847,1.2.4
MNXR181326,1.1.1
MNXR177120,1.5.5|1.5.99
MNXR136352,6.2.1|2.3.1
MNXR116604,3.1.3|3.2.1
MNXR122289,1.14.99|1.14.19
MNXR176569,4.2.2|3.2.1
MNXR165560,No Significant EC
MNXR174194,2.7.4|2.7.11|3.6.3
MNXR106475,1.1.-
MNXR132524,1.8.1
MNXR141527,1.5.99
MNXR122644,2.7.7
MNXR192129,2.3.1
MNXR131208,6.3.1|6.3.2|2.7.1
MNXR119178,2.7.1
MNXR123863,1.1.3
MNXR109606,1.14.13
MNXR185910,1.14.19
MNXR189231,2.7.4|2.7.1
MNXR176886,1.13.99|1.1.3
MNXR181300,1.1.1
MNXR146865,6.3.2
MNXR107895,1.14.12
MNXR147407,5.3.1
MNXR181006,1.17.5
MNXR146284,1.14.99
MNXR112007,3.1.1
MNXR133052,1.1.1
MNXR166757,5.3.2
MNXR188207,1.1.1
MNXR163963,1.3.3
MNXR169194,6.2.1
MNXR187046,1.14.99
MNXR192211,No Significant EC
MNXR180021,2.4.1
MNXR192712,2.8.1
MNXR172513,2.3.1
MNXR133647,1.1.1
MNXR191311,1.1.1
MNXR181993,1.1.1
MNXR129131,1.3.1
MNXR182604,2.4.1
MNXR144965,2.1.2
MNXR140617,1.14.99
MNXR177726,1.8.7
MNXR192044,3.5.1
MNXR170772,2.7.8
MNXR113301,5.3.2
MNXR150986,1.1.99
MNXR193771,3.1.3
MNXR195408,3.1.3
MNXR120404,1.1.1|1.14.13
MNXR116226,No Significant EC
MNXR165706,2.3.1
MNXR188922,2.5.1
MNXR148457,No Significant EC
MNXR193196,2.1.1
MNXR107636,1.1.1
MNXR173592,2.3.1
MNXR103361,2.7.11|2.7.1
MNXR117106,1.3.1|1.2.1
MNXR130361,1.8.1
MNXR149347,2.7.4|2.7.1
MNXR147424,2.3.1
MNXR145190,2.4.1
MNXR135228,2.7.1
MNXR116932,3.4.19
MNXR181516,1.1.1
MNXR111485,2.3.2|2.3.1
MNXR151705,2.7.1|2.7.2
MNXR146006,2.5.1|4.2.3
MNXR173388,2.3.1
MNXR172903,2.1.1
MNXR108734,2.7.4
MNXR112737,1.1.1
MNXR183578,2.3.1
MNXR113271,2.1.1
MNXR146653,No Significant EC
MNXR143972,2.4.2|2.4.1
MNXR109062,1.5.3
MNXR184628,2.7.8
MNXR120826,2.4.1
MNXR112783,1.1.1|1.14.13
MNXR110190,1.3.99
MNXR121955,2.6.1
