Reaction,SelenzymeRF
MNXR94806,4.2.1.-|4.2.1.136;6.3.4.6;6.3.1.10;6.3.2.3;6.3.2.2|6.3.2.3;6.4.1.8
MNXR94840,1.2.1.5;1.2.1.3|1.2.1.5;1.6.5.4
MNXR94884,1.1.1.100;4.2.1.59|4.2.1.61
MNXR94896,4.1.1.107;4.1.1.25|4.1.1.28;4.1.1.28|4.1.1.53;4.1.1.105|4.1.1.28;4.1.1.11|4.1.1.15
MNXR94903,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.12.-|1.14.12.10;1.6.5.4;1.14.13.87;1.14.13.25;1.14.13.26;1.14.13.246;1.14.13.113;1.14.18.9
MNXR94958,2.3.1.86;2.3.1.41;2.3.1.179;2.3.1.-|2.3.1.179|2.3.1.180|2.3.1.41|2.3.1.85|2.3.1.86
MNXR94976,1.13.11.80;2.3.1.13|2.3.1.192;6.2.1.2|6.2.1.30;6.2.1.13;4.4.1.26;2.3.1.171;3.1.2|3.1.2.20;2.3.1.119;6.2.1.4;6.3.2.50;2.3.3.5;2.3.3.1|2.3.3.5|4.1.3.31;3.1.2|3.1.2.-|3.1.2.20|3.1.2.23;6.2.1.18
MNXR95008,2.8.3.8;2.3.1.16
MNXR95097,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.13;1.14.12.1;1.14.13.64;1.14.12.10;1.14.13.223;1.14.18.9;1.14.13.69;1.6.5.4;1.14.13.87;1.14.13.113;1.14.13.25
MNXR95146,6.2.1.1|6.2.1.3
MNXR95148,6.2.1|6.2.1.3;6.2.1|6.2.1.1|6.2.1.2|6.2.1.3
MNXR95433,2.7.1.74;2.7.1.145|2.7.1.21
MNXR95442,6.4.1.6;4.1.1.88|4.1.1.89;1.1.1.38|1.1.1.40|4.1.1.112|4.1.1.3|4.1.1.32|4.1.2.52|4.1.3.16|4.1.3.17|4.1.3.39|4.4.1.1
MNXR95529,2.6.1.69|3.5.3.23;1.14.13.39;1.14.14.47;3.5.3.15|3.5.3.6
MNXR95554,3.5.3.-|3.5.3.24;3.5.3.1;3.5.3.7;3.5.3.17|3.5.3.7;3.5.3.22;2.1.3.3|2.1.3.6
MNXR95718,1.1.1|1.1.1.1|1.1.1.21
MNXR95942,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;4.1.1.86;4.1.1.20;4.1.1.11|4.1.1.15
MNXR95945,3.5.3.1;3.5.3.7;2.1.4.1;2.1.4.3;3.5.3.-|3.5.3.24;3.5.3.25;3.5.3.17|3.5.3.7;3.5.3.22;2.1.3.3|6.3.4.16
MNXR96365,1.2.1.19|1.2.1.3|1.2.1.4|1.2.1.5|1.2.1.7
MNXR96400,2.3.1.137|2.3.1.7;2.3.1.21;2.3.1.26;2.3.1.51;2.3.1.23;2.3.1.207;2.3.1.301;2.3.1.15
MNXR96436,1.13.12.24
MNXR96988,1.13.11.55;1.13.11.18;1.13.11.2;1.15.1.1
MNXR96993,1.4.3.2;1.13.11.18;1.13.11.55;1.14.99.52;1.14.99.51;4.1.1.12|4.4.1.1;1.15.1.1
MNXR97007,2.5.1.47|2.5.1.49|4.2.99.8;2.5.1.47|4.2.1.22;4.4.1.9;2.5.1.134;4.4.1.15
MNXR97021,4.2.1.22|4.4.1.1;2.5.1.48;4.2.3.1|4.2.99.2;6.3.5.9;6.3.5.10;6.3.5.-|6.3.5.13;6.3.5.11;2.5.1.113;2.8.5.1;2.5.1.47|2.5.1.65
MNXR97093,2.7.1.107;6.3.4.14;6.3.4.14|6.4.1.1;6.3.2.60|6.3.2.M4;6.3.2.30;6.3.2.29;6.3.1.14|6.3.2.22;6.3.4.3
MNXR97145,2.7.1.40;2.7.1.40|2.7.9.2;2.7.9.1;2.7.1.1
MNXR97263,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
MNXR97424,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
MNXR97432,3.5.1.6;2.6.1.19;6.3.5.11;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10
MNXR97842,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
MNXR97863,1.3.1.9;2.3.1.86;1.1.1.212;1.3.1.44|1.3.1.9|1.3.8.1|1.3.99.2
MNXR99236,1.1.1.284;1.1.1.306|1.2.1.-|1.2.1.66;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
MNXR99526,6.3.1.2
MNXR99654,2.7.1.171;2.7.1.172;1.1.1.346;5.1.3.30|5.1.3.31;5.1.3.31;1.1.1|1.1.1.215;1.1.99.3;1.1.99.32;1.5.1.7;1.5.1.8;1.1.1.58;1.1.1.69;1.1.1.57;5.1.2.7;1.1.1.414;1.1.1.45;1.1.1|1.1.1.264|1.1.1.366;1.1.1.380;2.7.1.4;2.7.1.1|2.7.1.15|2.7.1.2|2.7.1.4
MNXR99843,1.1.1.8|1.1.1.94|1.1.5.3
MNXR99856,2.3.1.15
MNXR100064,2.1.2.10
MNXR100113,1.2.1.-|1.2.1.99;1.6.3.2;1.11.1.21;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5
MNXR100303,4.3.2.5;4.1.3.24;2.2.1.5;1.13.12.17;1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9;2.3.1.85;2.3.1.165;1.1.1.26|1.1.1.28|1.1.1.29|1.1.1.79|1.1.1.8|1.1.1.81|1.1.99.14
MNXR100325,1.1.1|1.1.1.79|1.1.1.81|1.1.1.86
MNXR100353,4.4.1.5;2.5.1.18
MNXR100413,3.1.4.2;3.1.4.2|3.1.4.38;3.1.4.43;2.7.7.39;3.1.4.46;2.7.8.5;4.1.2.40
MNXR100482,4.2.1.104;6.3.4.14;4.1.1.39
MNXR100566,2.5.1.39
MNXR100637,1.6.5.4;1|1.1.1|1.11.1.1|1.14.13.39|1.16.1.7|1.18.1.2|1.6.2.2|1.6.5.9|1.6.99.3;1.14.12.17|1.16.1.7|1.5.1
MNXR100652,4.1.1.97;1.14.13.113;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
MNXR100692,2.7.3.9;2.2.1.1;1.1.1|1.1.1.79|1.1.1.81|1.1.1.86
MNXR100782,1.1.1.286|1.1.1.41;1.1.1.42;1.1.1.286|1.1.1.42|1.1.1.87;1.1.1.85
MNXR100949,2.6.1.7;2.6.1.63;2.3.1.230;1.14.12.1;4.1.3.27;1.3.5.2|1.3.98.1
MNXR101164,3.1.1.5;2.3.1.15
MNXR101420,2.1.1.247|2.1.1.248;2.1.1.247|2.1.1.249;2.1.1.-|2.1.1.247|2.1.1.250;2.1.1.86;2.1.1.251;2.1.1.246;1.8.98.4;1.1.2.7;3.1.1.61
MNXR101472,6.3.1.2
MNXR101478,1.4.3.3;1.4.3.2;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.4.3.13;1.4.3.21
MNXR101505,6.3.1.2
MNXR101715,1.1.3.15;1.4.3.2;1.4.3.3;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.8.3.5;1.1.3.30;1.4.3.13
MNXR101802,6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8
MNXR101959,6.3.1.2
MNXR101969,6.3.1.5|6.3.5.1
MNXR102006,1.14.13.8;1.14.13.225;1.14.13.84;1.14.14.1
MNXR102010,1.6.3.5;1.14.13.225|1.6.3.1;1.14.99.33;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.12;1.14.12.3;1.14.12.1
