reaction_id,Theia,confidence,timestamp
MNXR114344,2.1.1,0.99997735,2025-05-02 10:32:37
MNXR123788,1.5.5,0.99955815,2025-05-02 10:32:37
MNXR120600,2.3.1,0.99911183,2025-05-02 10:32:37
MNXR133482,1.1.1,0.9979646,2025-05-02 10:32:37
MNXR176705,2.7.8,0.99954224,2025-05-02 10:32:37
MNXR130205,1.17.3,0.35267478,2025-05-02 10:32:37
MNXR114457,1.14.13,0.9752924,2025-05-02 10:32:37
MNXR180464,4.2.1,0.4952059,2025-05-02 10:32:37
MNXR175412,2.7.7,0.5130451,2025-05-02 10:32:37
MNXR174799,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR152582,2.5.1,0.9989048,2025-05-02 10:32:37
MNXR193539,2.4.1,0.9997116,2025-05-02 10:32:37
MNXR183763,2.3.2,0.7066793,2025-05-02 10:32:37
MNXR181392,1.1.1,0.9880393,2025-05-02 10:32:37
MNXR104540,1.2.1,0.9828964,2025-05-02 10:32:37
MNXR106475,3.5.1,0.3656765,2025-05-02 10:32:37
MNXR122056,1.3.1,0.99186385,2025-05-02 10:32:37
MNXR129474,1.1.1,0.99306023,2025-05-02 10:32:37
MNXR108662,1.1.1,0.9974572,2025-05-02 10:32:37
MNXR172328,2.4.1,0.99987257,2025-05-02 10:32:37
MNXR113653,2.4.1,0.9998165,2025-05-02 10:32:37
MNXR109758,1.1.1,0.9992816,2025-05-02 10:32:37
MNXR192204,1.8.1,0.92229736,2025-05-02 10:32:37
MNXR150587,4.2.3,0.9999181,2025-05-02 10:32:37
MNXR108667,1.3.1,0.9987299,2025-05-02 10:32:37
MNXR150583,4.2.3,0.9999975,2025-05-02 10:32:37
MNXR113823,2.3.1,0.9989662,2025-05-02 10:32:37
MNXR147353,3.2.1,0.99994504,2025-05-02 10:32:37
MNXR148124,1.13.11,0.99997485,2025-05-02 10:32:37
MNXR191374,1.7.1,0.99936885,2025-05-02 10:32:37
MNXR100064,2.1.2,0.9999926,2025-05-02 10:32:37
MNXR105284,1.3.1,0.95143336,2025-05-02 10:32:37
MNXR194999,2.7.8,0.95570153,2025-05-02 10:32:37
MNXR130623,4.3.1,0.9867583,2025-05-02 10:32:37
MNXR163576,1.14.14,0.9066647,2025-05-02 10:32:37
MNXR110293,2.4.1,0.9998977,2025-05-02 10:32:37
MNXR148302,1.14.14,0.99990284,2025-05-02 10:32:37
MNXR119365,1.14.14,0.99996674,2025-05-02 10:32:37
MNXR181993,1.1.1,0.69452643,2025-05-02 10:32:37
MNXR134027,4.1.1,0.99837154,2025-05-02 10:32:37
MNXR175986,1.11.1,0.9999119,2025-05-02 10:32:37
MNXR135176,1.3.99,0.9985066,2025-05-02 10:32:37
MNXR119976,1.14.14,0.52241296,2025-05-02 10:32:37
MNXR107574,3.5.1,0.856445,2025-05-02 10:32:37
MNXR135784,1.1.1,0.38169459,2025-05-02 10:32:37
MNXR145866,1.14.14,0.9992669,2025-05-02 10:32:37
MNXR130681,1.10.3,0.9266401,2025-05-02 10:32:37
MNXR133274,6.3.2,0.99971384,2025-05-02 10:32:37
MNXR115345,3.2.1,0.999949,2025-05-02 10:32:37
MNXR174227,3.2.1,0.90642595,2025-05-02 10:32:37
MNXR187688,5.5.1,0.99981385,2025-05-02 10:32:37
MNXR122852,1.1.1,0.7407864,2025-05-02 10:32:37
MNXR122006,4.1.1,0.99050444,2025-05-02 10:32:37
MNXR172798,3.3.2,0.9996284,2025-05-02 10:32:37
MNXR122447,4.2.1,0.30366883,2025-05-02 10:32:37
MNXR119241,1.14.13,0.98705727,2025-05-02 10:32:37
MNXR164860,4.2.1,0.9379824,2025-05-02 10:32:37
MNXR120190,1.3.8,0.99395657,2025-05-02 10:32:37
MNXR168019,1.14.11,0.97746277,2025-05-02 10:32:37
MNXR122373,4.2.3,0.993234,2025-05-02 10:32:37
MNXR120100,1.14.99,0.4806857,2025-05-02 10:32:37
MNXR181504,1.1.1,0.99958354,2025-05-02 10:32:37
MNXR115463,3.2.1,0.8323554,2025-05-02 10:32:37
MNXR190714,2.5.1,0.98632324,2025-05-02 10:32:37
MNXR182435,1.1.1,0.986005,2025-05-02 10:32:37
MNXR102068,1.7.1,0.9993038,2025-05-02 10:32:37
MNXR113078,3.1.3,0.9648324,2025-05-02 10:32:37
MNXR191811,1.17.99,0.99927133,2025-05-02 10:32:37
MNXR114641,1.1.5,0.8391598,2025-05-02 10:32:37
MNXR117655,1.14.13,0.5502327,2025-05-02 10:32:37
MNXR113071,3.5.2,0.99998355,2025-05-02 10:32:37
MNXR132055,1.14.13,0.9792406,2025-05-02 10:32:37
MNXR108523,1.8.1,0.9967512,2025-05-02 10:32:37
MNXR115161,2.4.1,0.62581706,2025-05-02 10:32:37
MNXR173451,2.4.1,0.9996879,2025-05-02 10:32:37
MNXR113284,4.2.3,0.99998105,2025-05-02 10:32:37
MNXR135096,1.14.99,0.99007416,2025-05-02 10:32:37
MNXR191520,1.7.9,0.50870633,2025-05-02 10:32:37
MNXR182090,3.1.3,0.9817407,2025-05-02 10:32:37
MNXR112213,3.1.7,0.5506269,2025-05-02 10:32:37
MNXR192372,2.4.2,0.9838172,2025-05-02 10:32:37
MNXR147786,3.1.1,0.9963565,2025-05-02 10:32:37
MNXR135989,2.7.8,0.99951816,2025-05-02 10:32:37
MNXR181088,1.1.1,0.9999565,2025-05-02 10:32:37
MNXR186732,1.2.99,0.97145903,2025-05-02 10:32:37
MNXR151288,3.2.1,0.99969995,2025-05-02 10:32:37
MNXR131119,2.3.1,0.99892765,2025-05-02 10:32:37
MNXR192525,1.14.20,0.9949163,2025-05-02 10:32:37
MNXR118714,1.14.19,0.9817437,2025-05-02 10:32:37
MNXR139137,2.3.2,0.4291026,2025-05-02 10:32:37
MNXR177094,1.1.1,0.90436125,2025-05-02 10:32:37
MNXR191668,1.14.99,0.9275462,2025-05-02 10:32:37
MNXR144133,2.4.1,0.9957723,2025-05-02 10:32:37
MNXR95718,1.1.1,0.99557424,2025-05-02 10:32:37
MNXR116221,5.1.3,0.97350717,2025-05-02 10:32:37
MNXR186161,1.14.11,0.92201674,2025-05-02 10:32:37
MNXR179279,1.5.1,0.9981818,2025-05-02 10:32:37
MNXR175371,3.1.2,0.9665028,2025-05-02 10:32:37
MNXR185799,3.2.1,0.9888081,2025-05-02 10:32:37
MNXR189424,1.14.99,0.9996973,2025-05-02 10:32:37
MNXR186840,3.4.14,0.8612907,2025-05-02 10:32:37
MNXR165097,2.4.1,0.28342095,2025-05-02 10:32:37
MNXR185877,2.7.3,0.9999161,2025-05-02 10:32:37
MNXR181116,1.1.1,0.99999166,2025-05-02 10:32:37
MNXR118742,3.1.3,0.99944454,2025-05-02 10:32:37
MNXR120390,1.14.12,0.9962895,2025-05-02 10:32:37
MNXR164240,4.1.99,0.99425054,2025-05-02 10:32:37
MNXR102035,3.1.3,0.9872361,2025-05-02 10:32:37
MNXR175455,1.3.2,0.9999722,2025-05-02 10:32:37
MNXR133195,1.14.13,0.9666976,2025-05-02 10:32:37
MNXR115846,3.4.11,0.98881453,2025-05-02 10:32:37
MNXR181089,1.1.1,0.9999565,2025-05-02 10:32:37
MNXR131399,3.None.None,0.9571645,2025-05-02 10:32:37
MNXR172571,1.1.1,0.99959856,2025-05-02 10:32:37
MNXR164895,3.1.1,0.999097,2025-05-02 10:32:37
MNXR137689,1.5.5,0.99991167,2025-05-02 10:32:37
MNXR116902,3.5.1,0.86026794,2025-05-02 10:32:37
MNXR126353,1.13.11,0.9988952,2025-05-02 10:32:37
MNXR147958,1.14.14,0.91896397,2025-05-02 10:32:37
MNXR134135,1.2.1,0.48453662,2025-05-02 10:32:37
MNXR146841,1.10.3,0.99242365,2025-05-02 10:32:37
MNXR130225,1.1.1,0.9997342,2025-05-02 10:32:37
MNXR149778,1.11.1,0.47694728,2025-05-02 10:32:37
MNXR175390,1.4.3,0.99877626,2025-05-02 10:32:37
MNXR168245,2.1.1,0.99648285,2025-05-02 10:32:37
MNXR176103,2.1.1,0.99996114,2025-05-02 10:32:37
MNXR190330,1.5.99,0.9833054,2025-05-02 10:32:37
MNXR182369,1.14.13,0.9638541,2025-05-02 10:32:37
MNXR193351,3.1.2,0.9555997,2025-05-02 10:32:37
MNXR144324,4.1.2,0.9009343,2025-05-02 10:32:37
MNXR104272,1.5.3,0.9227948,2025-05-02 10:32:37
MNXR183540,1.14.14,0.99982184,2025-05-02 10:32:37
MNXR183837,2.7.1,0.98484516,2025-05-02 10:32:37
