drug,true_EC,majority_prediction_top1,majority_fractional_hit_top1,majority_hit_type_top1,majority_prediction_top5,majority_fractional_hit_top5,majority_hit_type_top5
4-asa,2.3.1,2.3.1,1,Top 1,2.3.1,1,Top 1
prontosil,1.7.1,1.7.1,1,Top 1,1.7.1,1,Top 1
capecitabine,2.4.2,2.4.2,1,Top 1,2.4.2,1,Top 1
5-fu,1.3.1,1.3.1,1,Top 1,1.3.1,1,Top 1
flunitrazepam,1.5.1,1.3.1|1.5.1|1.7.1|1.8.1,0,No hit,1.5.1,1,Top 1
5-asa (mesalazine),2.3.1,2.3.1,1,Top 1,2.3.1,1,Top 1
doxifluridine,2.4.2,2.4.2,1,Top 1,2.4.2,1,Top 1
hydrocortisone (cortisol),1.1.1,1.1.1,1,Top 1,1.1.1,1,Top 1
sulfasalazine,1.7.1,1.7.1,1,Top 1,1.7.1,1,Top 1
brivudine,2.4.2,2.4.2,1,Top 1,2.4.2,1,Top 1
morphine 6-glucuronide,3.2.1,3.2.1,1,Top 1,3.2.1,1,Top 1
sorivudine,2.4.2,2.4.2|4.2.1|5.4.99,1,Top 1,4.2.1,0,No hit
ezetimib glucuronide,3.2.1,3.2.1,1,Top 1,3.2.1,1,Top 1
digoxin,1.3.2,1.3.2|1.3.8|2.1.1,1,Top 1,1.3.2|1.3.8|2.1.1,1,Top 1
diclofenac glucuronide,3.2.1,3.2.1,1,Top 1,3.2.1,1,Top 1
clonazepam,1.5.1,1.3.1|1.5.1|1.7.1|1.8.1,0,No hit,1.5.1,1,Top 1
SN38-G,3.2.1,3.2.1,1,Top 1,3.2.1,1,Top 1
levodopa,4.1.1,4.1.1,1,Top 1,4.1.1,1,Top 1
nicardipine,1.5.1,1.11.1|1.14.13|3.1.1|5.4.99,0,No hit,1.14.13,0,No hit
mycophenolate-glucuronide,3.2.1,3.1.1,0,No hit,3.1.1,0,No hit
nitrazepam,1.5.1,1.5.1,1,Top 1,1.5.1,1,Top 1
trifluridine,2.4.2,2.4.2,1,Top 1,2.4.2,1,Top 1
regorafenib-glucuronide,3.2.1,3.2.1,1,Top 1,3.2.1,1,Top 1
balsalazide,1.7.1,1.7.1,1,Top 1,1.7.1,1,Top 1
olsalazine,1.7.1,1.7.1,1,Top 1,1.7.1,1,Top 1
indomethacin glucuronide,3.2.1,3.1.1|3.2.1,1,Top 1,3.2.1,1,Top 1
ketoprofen glucuronide,3.2.1,3.2.1,1,Top 1,3.2.1,1,Top 1
gemcitabine,3.5.4,3.5.4,1,Top 1,3.5.4,1,Top 1
