drug_EC,majority_top1,majority_top1_ranked
2.3.1,2.3.1,2.3.1
1.7.1,1.7.1,1.7.1
2.4.2,2.4.2,2.4.2
1.3.1,1.3.1,1.3.1
1.5.1,1.3.1|1.5.1|1.7.1|1.8.1,1.3.1|1.5.1|1.7.1|1.8.1
2.3.1,2.3.1,2.3.1
2.4.2,2.4.2,2.4.2
1.1.1,1.1.1,1.1.1
1.7.1,1.7.1,1.7.1
2.4.2,2.4.2,2.4.2
3.2.1,3.2.1,3.2.1
2.4.2,2.4.2|4.2.1|5.4.99,2.4.2|4.2.1|5.4.99
3.2.1,3.2.1,3.2.1
1.3.2,1.3.2|1.3.8|2.1.1,1.3.2|1.3.8|2.1.1
3.2.1,3.2.1,3.2.1
1.5.1,1.3.1|1.5.1|1.7.1|1.8.1,1.3.1|1.5.1|1.7.1|1.8.1
3.2.1,3.2.1,3.2.1
4.1.1,4.1.1,4.1.1
1.5.1,1.11.1|1.14.13|3.1.1|5.4.99,1.11.1|1.14.13|3.1.1|5.4.99
3.2.1,3.1.1,3.1.1
1.5.1,1.5.1,1.5.1
2.4.2,2.4.2,2.4.2
3.2.1,3.2.1,3.2.1
1.7.1,1.7.1,1.7.1
1.7.1,1.7.1,1.7.1
3.2.1,3.1.1|3.2.1,3.1.1|3.2.1
3.2.1,3.2.1,3.2.1
3.5.4,3.5.4,3.5.4
