drug_EC,majority_top1,majority_top5_ranked
2.3.1,2.3.1,2.3.1 ; 2.6.1 ; 6.2.1 ; 3.1.1 ; 2.3.3
1.7.1,1.7.1,1.7.1 ; 1.6.3 ; 1.1.1 ; 1.6.5 ; 1.3.98
2.4.2,2.4.2,2.4.2 ; 3.1.3 ; 3.5.4 ; 3.2.2 ; 2.7.1
1.3.1,1.3.1,1.3.1 ; 1.7.1 ; 1.3.3 ; 1.1.1|1.2.1|1.3.99 ; 1.14.13|1.6.2
1.5.1,1.5.1,1.5.1 ; 1.8.1 ; 1.3.1|1.7.1 ; 1.1.1 ; 1.11.1|1.19.1
2.3.1,2.3.1,2.3.1 ; 2.6.1 ; 6.2.1 ; 3.1.1 ; 2.3.3
2.4.2,2.4.2,2.4.2 ; 2.7.4 ; 3.2.2 ; 1.14.14 ; 2.6.1
1.1.1,1.1.1,1.1.1 ; 2.4.2|2.7.1 ; 5.3.3 ; 1.1.99|1.14.13 ; 1.1.5
1.7.1,1.7.1,1.7.1 ; 1.14.13 ; 1.6.5 ; 1.1.1|1.3.98|1.6.3|1.6.99|1.7.- ; 1.6.2
2.4.2,2.4.2,2.4.2 ; 4.2.1 ; 3.1.1 ; 5.4.99 ; 4.1.3
3.2.1,3.2.1,3.2.1 ; 2.4.1 ; 1.13.99 ; 3.7.1 ; 3.1.1
2.4.2,4.2.1,4.2.1 ; 2.4.2 ; 5.4.99 ; 5.4.4 ; 4.1.3
3.2.1,3.2.1,3.2.1 ; 2.4.1 ; 3.1.1 ; 3.1.4 ; 3.1.3
1.3.2,1.3.2|1.3.8|2.1.1,1.3.2|1.3.8|2.1.1 ; 1.-.- ; 1.1.1 ; 1.1.99 ; 1.3.1
3.2.1,3.2.1,3.2.1 ; 3.1.1 ; 2.3.1 ; 3.5.1 ; 3.7.1
1.5.1,1.5.1,1.5.1 ; 1.8.1 ; 1.3.1 ; 1.7.1 ; 1.11.1|1.19.1
3.2.1,3.2.1,3.2.1 ; 2.4.1 ; 3.1.1 ; 1.13.99 ; 3.7.1
4.1.1,4.1.1,4.1.1 ; 2.3.2 ; 2.8.2|3.4.13 ; 4.2.1 ; 2.7.8
1.5.1,1.14.13,1.14.13 ; 1.11.1|3.1.1|5.4.99 ; 1.1.1 ; 1.7.1 ; 2.7.1
3.2.1,3.1.1,3.1.1 ; 2.5.1 ; 2.1.1 ; 2.4.1|4.3.3 ; 1.14.13
1.5.1,1.5.1,1.5.1 ; 1.1.1 ; 1.8.1 ; 1.7.1 ; 1.19.1|1.3.1
2.4.2,2.4.2,2.4.2 ; 3.2.2 ; 2.4.1 ; 2.7.4 ; 4.1.3
3.2.1,3.2.1,3.2.1 ; 2.3.1 ; 1.1.1|3.1.1 ; 1.1.3|3.5.1 ; 1.1.98|3.4.11
1.7.1,1.7.1,1.7.1 ; 1.14.13 ; 1.5.1|1.6.5 ; 1.1.1|1.3.98|1.6.3|1.6.99|1.7.- ; 1.6.2
1.7.1,1.7.1,1.7.1 ; 1.6.3 ; 1.6.5 ; 1.1.1|1.14.13|1.3.98|1.6.99|1.7.- ; 1.6.2
3.2.1,3.2.1,3.2.1 ; 3.1.1 ; 2.3.1 ; 3.5.1 ; 3.7.1
3.2.1,3.2.1,3.2.1 ; 2.4.1|3.1.1 ; 3.7.1 ; 3.5.1 ; 2.3.1
3.5.4,3.5.4,3.5.4 ; 6.3.4 ; 3.5.99 ; 3.1.2 ; 3.2.1
