,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,98.900000,P32141,Sulfofructosephosphate aldolase,Escherichia coli (strain K12) OX=83333,1.0,MNXR114076,-,4.1.2.57,1.0,0.0,1.00000,1.000000,1,1.000000,51.1,26.8,13.0,14.9,31983.03,5.8244,40.411,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O>>O=C[C@H](O)CS(=O)(=O)[O-].O=C(CO)COP(=O)([O-])[O-]
2,96.700000,Q8X8D5,Sulfofructosephosphate aldolase,Escherichia coli O157:H7 OX=83334,3.0,MNXR114076,-,4.1.2.57,3.0,0.0,1.00000,1.000000,1,1.000000,49.6,27.9,13.0,15.2,31996.99,5.8254,41.096,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O>>O=C[C@H](O)CS(=O)(=O)[O-].O=C(CO)COP(=O)([O-])[O-]
3,93.700000,Q83PF0,Sulfofructosephosphate aldolase,Shigella flexneri OX=623,6.0,MNXR114076,-,4.1.2.57,3.0,0.0,1.00000,1.000000,1,1.000000,51.1,26.8,13.4,14.5,32013.05,5.8244,40.753,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O>>O=C[C@H](O)CS(=O)(=O)[O-].O=C(CO)COP(=O)([O-])[O-]
4,91.700000,Q8Z2T5,Sulfofructosephosphate aldolase,Salmonella typhi OX=90370,8.0,MNXR114076,-,4.1.2.57,3.0,0.0,1.00000,1.000000,1,1.000000,59.4,20.7,13.4,12.3,31866.87,7.2942,41.438,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O>>O=C[C@H](O)CS(=O)(=O)[O-].O=C(CO)COP(=O)([O-])[O-]
5,90.900000,Q9L7R9,Sulfofructosephosphate aldolase,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9.0,MNXR114076,-,4.1.2.57,1.0,0.0,1.00000,1.000000,1,1.000000,59.4,20.3,13.4,12.7,31865.89,7.9268,41.438,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O>>O=C[C@H](O)CS(=O)(=O)[O-].O=C(CO)COP(=O)([O-])[O-]
6,69.782953,P0A991,Fructose-bisphosphate aldolase class 1,Escherichia coli (strain K12) OX=83333,1.0,MNXR191073,-,4.1.2.13,1.0,0.0,0.63005,0.787609,-1,0.708829,34.1,38.9,17.7,14.1,38109.19,6.7173,42.571,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=C[C@H](O)CO.O=C(CO)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
7,69.782953,P0AB71,Fructose-bisphosphate aldolase class 2,Escherichia coli (strain K12) OX=83333,1.0,MNXR191073,-,4.1.2.13,1.0,0.0,0.63005,0.787609,-1,0.708829,39.4,27.1,15.7,22.4,39147.26,5.7158,45.125,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=C[C@H](O)CO.O=C(CO)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
8,67.582953,P0AB72,Fructose-bisphosphate aldolase class 2,Escherichia coli O157:H7 OX=83334,3.0,MNXR191073,-,4.1.2.13,3.0,0.0,0.63005,0.787609,-1,0.708829,39.4,27.1,15.7,22.4,39147.26,5.7158,45.125,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=C[C@H](O)CO.O=C(CO)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
9,67.582953,P0A992,Fructose-bisphosphate aldolase class 1,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR191073,-,4.1.2.13,3.0,0.0,0.63005,0.787609,-1,0.708829,34.1,38.9,17.7,14.1,38109.19,6.7173,42.571,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=C[C@H](O)CO.O=C(CO)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
10,64.582953,P0AB73,Fructose-bisphosphate aldolase class 2,Shigella flexneri OX=623,6.0,MNXR191073,-,4.1.2.13,3.0,0.0,0.63005,0.787609,-1,0.708829,39.4,27.1,15.7,22.4,39147.26,5.7158,45.125,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=C[C@H](O)CO.O=C(CO)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
11,61.582953,O52402,Fructose-bisphosphate aldolase,Edwardsiella ictaluri (strain 93-146) OX=634503,9.0,MNXR191073,-,4.1.2.13,3.0,0.0,0.63005,0.787609,-1,0.708829,46.8,21.1,14.3,22.5,39154.53,5.9246,43.296,O=C(CO)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)CS(=O)(=O)[O-]>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O,O=C[C@H](O)CO.O=C(CO)COP(=O)([O-])[O-]>>O=P([O-])([O-])OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
